,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,58454157.0,2019-10-18 15:42:39,5096.0,2.0,6.0,1.0,58456379.0,"[(58456379.0, '2019-10-18 18:28:42')]",2019-10-18 18:28:42,2019-10-18 18:28:42,2.7675,2.7675
1,59656096.0,2020-01-09 01:41:04,497.0,3.0,4.0,1.0,59684161.0,"[(59684161.0, '2020-01-10 15:00:10')]",2020-01-10 15:00:10,2020-01-10 15:00:10,37.318333333333335,37.318333333333335
2,60062624.0,2020-02-04 17:28:36,114.0,2.0,3.0,1.0,,"[(60384955.0, '2020-02-24 22:38:08')]",2020-02-24 22:38:08,,485.1588888888889,
3,60459292.0,2020-02-28 21:11:27,223.0,1.0,0.0,1.0,60480429.0,"[(60480429.0, '2020-03-01 22:35:41')]",2020-03-01 22:35:41,2020-03-01 22:35:41,49.403888888888886,49.403888888888886
4,60833301.0,2020-03-24 14:42:14,260.0,0.0,0.0,1.0,60833512.0,"[(60833512.0, '2020-03-24 14:53:57')]",2020-03-24 14:53:57,2020-03-24 14:53:57,0.19527777777777777,0.19527777777777777
5,60848403.0,2020-03-25 11:59:40,62.0,3.0,-1.0,1.0,,"[(60863248.0, '2020-03-26 08:20:07')]",2020-03-26 08:20:07,,20.340833333333332,
6,61019485.0,2020-04-03 19:54:41,379.0,0.0,0.0,1.0,61019599.0,"[(61019599.0, '2020-04-03 20:03:38')]",2020-04-03 20:03:38,2020-04-03 20:03:38,0.14916666666666667,0.14916666666666667
7,61382917.0,2020-04-23 08:42:41,246.0,2.0,1.0,1.0,,"[(64956697.0, '2020-11-22 16:35:44')]",2020-11-22 16:35:44,,5119.884166666667,
8,61680408.0,2020-05-08 13:35:11,132.0,0.0,0.0,2.0,,"[(61680700.0, '2020-05-08 13:50:33'), (61695918.0, '2020-05-09 11:20:13'), (67096954.0, '2021-04-14 18:10:49')]",2020-05-08 13:50:33,,0.2561111111111111,
9,62327803.0,2020-06-11 15:23:32,247.0,0.0,1.0,1.0,62328920.0,"[(62328920.0, '2020-06-11 16:22:25'), (72940359.0, '2022-07-11 14:43:56')]",2020-06-11 16:22:25,2020-06-11 16:22:25,0.9813888888888889,0.9813888888888889
10,62434075.0,2020-06-17 16:41:46,406.0,0.0,0.0,1.0,62434868.0,"[(62434868.0, '2020-06-17 17:25:40')]",2020-06-17 17:25:40,2020-06-17 17:25:40,0.7316666666666667,0.7316666666666667
11,62472238.0,2020-06-19 14:17:46,730.0,0.0,0.0,2.0,,"[(62504856.0, '2020-06-21 21:54:12'), (62664374.0, '2020-06-30 18:57:08')]",2020-06-21 21:54:12,,55.60722222222222,
12,62979062.0,2020-07-19 10:28:28,136.0,2.0,0.0,1.0,,"[(63271902.0, '2020-08-05 19:03:22')]",2020-08-05 19:03:22,,416.58166666666665,
13,63232732.0,2020-08-03 15:51:49,224.0,8.0,6.0,2.0,63415069.0,"[(63244366.0, '2020-08-04 09:53:50'), (63415069.0, '2020-08-14 14:49:16')]",2020-08-04 09:53:50,2020-08-14 14:49:16,18.03361111111111,262.9575
14,63465109.0,2020-08-18 08:52:59,428.0,2.0,1.0,1.0,,"[(63484017.0, '2020-08-19 09:32:07')]",2020-08-19 09:32:07,,24.65222222222222,
15,64044200.0,2020-09-24 10:08:21,111.0,0.0,1.0,1.0,64044374.0,"[(64044374.0, '2020-09-24 10:19:04')]",2020-09-24 10:19:04,2020-09-24 10:19:04,0.1786111111111111,0.1786111111111111
16,64124757.0,2020-09-29 17:33:32,167.0,3.0,-2.0,1.0,,"[(64126847.0, '2020-09-29 20:03:31')]",2020-09-29 20:03:31,,2.499722222222222,
17,64180517.0,2020-10-03 03:51:06,130.0,3.0,0.0,1.0,,"[(64228596.0, '2020-10-06 15:05:59')]",2020-10-06 15:05:59,,83.24805555555555,
18,64406166.0,2020-10-17 18:52:55,90.0,0.0,1.0,1.0,,"[(64415982.0, '2020-10-18 17:01:24'), (66655308.0, '2021-03-16 12:32:35'), (69045734.0, '2021-09-03 13:28:34')]",2020-10-18 17:01:24,,22.14138888888889,
19,64800623.0,2020-11-12 08:50:15,49.0,3.0,0.0,1.0,64801036.0,"[(64801036.0, '2020-11-12 09:17:10')]",2020-11-12 09:17:10,2020-11-12 09:17:10,0.4486111111111111,0.4486111111111111
20,65023526.0,2020-11-26 14:01:21,52.0,6.0,-1.0,1.0,65052927.0,"[(65052927.0, '2020-11-28 18:08:29')]",2020-11-28 18:08:29,2020-11-28 18:08:29,52.11888888888889,52.11888888888889
21,65095129.0,2020-12-01 17:07:32,39.0,1.0,1.0,1.0,,"[(65115011.0, '2020-12-02 19:39:47')]",2020-12-02 19:39:47,,26.5375,
22,66109084.0,2021-02-08 20:44:13,5649.0,0.0,7.0,2.0,66117248.0,"[(66117248.0, '2021-02-09 10:36:06'), (74918672.0, '2022-12-26 08:50:49')]",2021-02-09 10:36:06,2021-02-09 10:36:06,13.864722222222222,13.864722222222222
23,66148641.0,2021-02-11 04:09:11,9619.0,0.0,2.0,2.0,,"[(66152899.0, '2021-02-11 10:27:29'), (74219869.0, '2022-10-27 09:36:57')]",2021-02-11 10:27:29,,6.305,
24,66207138.0,2021-02-15 11:23:51,170.0,1.0,0.0,1.0,66260061.0,"[(66260061.0, '2021-02-18 12:33:39')]",2021-02-18 12:33:39,2021-02-18 12:33:39,73.16333333333333,73.16333333333333
25,66249631.0,2021-02-17 20:41:16,572.0,3.0,0.0,1.0,66250147.0,"[(66250147.0, '2021-02-17 21:22:50')]",2021-02-17 21:22:50,2021-02-17 21:22:50,0.6927777777777778,0.6927777777777778
26,66293355.0,2021-02-20 15:33:21,10066.0,4.0,4.0,1.0,66293832.0,"[(66293832.0, '2021-02-20 16:21:45')]",2021-02-20 16:21:45,2021-02-20 16:21:45,0.8066666666666666,0.8066666666666666
27,66442648.0,2021-03-02 15:52:08,1650.0,2.0,3.0,1.0,,"[(69070891.0, '2021-09-06 07:41:36')]",2021-09-06 07:41:36,,4503.824444444444,
28,66501492.0,2021-03-06 01:22:11,2776.0,2.0,5.0,2.0,,"[(70459557.0, '2021-12-23 08:38:10'), (71153984.0, '2022-02-17 07:26:24')]",2021-12-23 08:38:10,,7015.266388888889,
29,66555455.0,2021-03-09 22:04:43,1647.0,1.0,3.0,3.0,,"[(66565116.0, '2021-03-10 12:47:57'), (68036830.0, '2021-06-18 14:20:20'), (68648593.0, '2021-08-04 09:14:08')]",2021-03-10 12:47:57,,14.720555555555556,
30,66579324.0,2021-03-11 09:03:59,658.0,2.0,2.0,1.0,66619742.0,"[(66619742.0, '2021-03-13 23:54:54')]",2021-03-13 23:54:54,2021-03-13 23:54:54,62.84861111111111,62.84861111111111
31,66602656.0,2021-03-12 15:21:51,5341.0,7.0,5.0,2.0,66603865.0,"[(66603056.0, '2021-03-12 15:47:59'), (66603865.0, '2021-03-12 16:44:06')]",2021-03-12 15:47:59,2021-03-12 16:44:06,0.43555555555555553,1.3708333333333333
32,66664184.0,2021-03-16 22:16:27,638.0,1.0,1.0,1.0,,"[(70607559.0, '2022-01-06 13:05:53')]",2022-01-06 13:05:53,,7094.823888888889,
33,66693724.0,2021-03-18 15:04:05,1337.0,0.0,4.0,1.0,66702446.0,"[(66702446.0, '2021-03-19 04:19:43')]",2021-03-19 04:19:43,2021-03-19 04:19:43,13.260555555555555,13.260555555555555
34,66712357.0,2021-03-19 16:50:44,1400.0,2.0,1.0,2.0,,"[(66726639.0, '2021-03-20 21:27:14'), (77192340.0, '2023-09-28 05:28:11')]",2021-03-20 21:27:14,,28.608333333333334,
35,66824985.0,2021-03-26 22:20:15,2800.0,2.0,3.0,1.0,66833572.0,"[(66833572.0, '2021-03-27 16:25:19')]",2021-03-27 16:25:19,2021-03-27 16:25:19,18.084444444444443,18.084444444444443
36,66834205.0,2021-03-27 17:28:48,4136.0,2.0,2.0,1.0,,"[(67384448.0, '2021-05-04 12:06:18')]",2021-05-04 12:06:18,,906.625,
37,67153058.0,2021-04-18 20:24:00,4625.0,2.0,1.0,1.0,67170170.0,"[(67170170.0, '2021-04-19 22:36:41')]",2021-04-19 22:36:41,2021-04-19 22:36:41,26.211388888888887,26.211388888888887
38,67193312.0,2021-04-21 09:47:54,10196.0,1.0,5.0,1.0,,"[(67571397.0, '2021-05-17 14:12:04')]",2021-05-17 14:12:04,,628.4027777777778,
39,67221901.0,2021-04-22 23:09:25,936.0,0.0,2.0,1.0,,"[(67228335.0, '2021-04-23 10:29:16')]",2021-04-23 10:29:16,,11.330833333333333,
40,67283668.0,2021-04-27 13:06:54,5073.0,3.0,5.0,1.0,,"[(73423443.0, '2022-08-20 00:50:36')]",2022-08-20 00:50:36,,11507.728333333333,
41,67511285.0,2021-05-12 21:38:05,827.0,2.0,1.0,1.0,71189395.0,"[(71189395.0, '2022-02-19 21:34:48')]",2022-02-19 21:34:48,2022-02-19 21:34:48,6791.945277777778,6791.945277777778
