,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,,59656096,2020-01-09 01:41:04,497,1,3,4,59684161.0
1,,,,62979062,2020-07-19 10:28:28,136,1,2,0,
2,,,,64818504,2020-11-13 09:32:47,53,0,2,0,
3,,,,65023526,2020-11-26 14:01:21,52,1,6,-1,65052927.0
4,,,,61019485,2020-04-03 19:54:41,379,1,0,0,61019599.0
5,,,,65091635,2020-12-01 13:42:28,35,0,3,0,
6,,,,64370953,2020-10-15 11:49:09,36,0,0,0,
7,,,,63465109,2020-08-18 08:52:59,428,1,2,1,
8,,,,65095129,2020-12-01 17:07:32,39,1,1,1,
9,,,,61382917,2020-04-23 08:42:41,246,1,2,1,
10,,,,62936905,2020-07-16 14:23:59,194,0,0,1,
11,,,,60459292,2020-02-28 21:11:27,223,1,1,0,60480429.0
12,,,,64044200,2020-09-24 10:08:21,111,1,0,1,64044374.0
13,,,,60848403,2020-03-25 11:59:40,62,1,3,-1,
14,,,,60530393,2020-03-04 16:18:38,192,0,2,0,
15,,,,61863504,2020-05-18 06:20:21,687,0,4,0,
16,,,,60833301,2020-03-24 14:42:14,260,1,0,0,60833512.0
17,,,,62434075,2020-06-17 16:41:46,406,1,0,0,62434868.0
18,,,,64124757,2020-09-29 17:33:32,167,1,3,-2,
19,,,,64180517,2020-10-03 03:51:06,130,1,3,0,
20,,,,60209265,2020-02-13 13:42:55,727,0,3,3,
21,,,,62142122,2020-06-01 22:43:30,33,0,0,0,
22,,,,61888473,2020-05-19 10:11:07,41,0,2,0,
23,,,,63232732,2020-08-03 15:51:49,224,2,8,6,63415069.0
24,,,,60062624,2020-02-04 17:28:36,114,1,2,3,
25,,,,62671054,2020-07-01 06:42:21,137,0,2,1,
26,,,,62863374,2020-07-12 16:03:54,378,0,6,2,
27,,,,62472238,2020-06-19 14:17:46,730,2,0,0,
28,,,,64180606,2020-10-03 04:10:57,41,0,1,0,
29,,,,58454157,2019-10-18 15:42:39,5096,1,2,6,58456379.0
30,,,,64626722,2020-10-31 21:46:19,101,0,4,0,
31,,,,61680408,2020-05-08 13:35:11,132,2,0,0,
32,,,,64800623,2020-11-12 08:50:15,49,1,3,0,64801036.0
33,,,,62327803,2020-06-11 15:23:32,247,1,0,1,62328920.0
34,,,,65082609,2020-11-30 23:26:09,14,0,1,0,
35,,,,65140400,2020-12-04 08:42:57,18,0,2,0,
36,,,,63906559,2020-09-15 16:55:29,46,0,0,0,
37,,,,64406166,2020-10-17 18:52:55,90,1,0,1,
38,,,,62772819,2020-07-07 10:06:24,406,0,4,2,
39,,,,64514791,2020-10-24 15:04:55,89,0,11,0,
40,,,,77903161,2024-01-29 23:29:40,16,0,1,0,
41,,,,77866423,2024-01-23 12:47:32,16,0,0,0,
42,,,,77861915,2024-01-22 18:14:55,58,1,17,0,77862615.0
43,,,,77836708,2024-01-18 03:21:22,30,0,0,0,
44,,,,77825337,2024-01-16 11:12:17,20,0,0,0,
45,,,,77820479,2024-01-15 14:30:00,33,0,0,0,
46,,,,77814471,2024-01-14 09:18:30,25,1,0,0,
47,,,,77810413,2024-01-13 05:31:57,105,0,4,0,
48,,,,77738486,2023-12-31 07:13:50,241,1,0,0,
49,,,,77729879,2023-12-29 01:30:14,171,1,0,0,
50,,,,77700722,2023-12-21 21:53:41,78,0,0,0,
51,,,,77689837,2023-12-20 07:22:13,120,0,2,1,
52,,,,77681471,2023-12-18 20:02:17,19,1,0,1,77681791.0
53,,,,77676747,2023-12-18 03:07:35,186,2,2,0,77686737.0
54,,,,77673353,2023-12-17 04:49:28,171,1,0,0,77675813.0
55,,,,77671277,2023-12-16 14:30:38,2537,1,3,6,
56,,,,77656467,2023-12-13 20:50:34,519,1,0,0,77657100.0
57,,,,77653666,2023-12-13 12:41:06,89,1,3,0,77653714.0
58,,,,77611570,2023-12-06 08:33:45,223,0,3,0,
59,,,,77606942,2023-12-05 14:22:48,59,0,0,0,
60,,,,77602220,2023-12-04 19:52:51,125,0,0,0,
61,,,,77596271,2023-12-03 21:39:46,577,1,1,0,77596556.0
62,,,,77596218,2023-12-03 21:19:09,396,1,0,0,
63,,,,77574764,2023-11-29 22:10:32,202,1,4,2,
64,,,,77555030,2023-11-27 07:04:00,49,1,0,0,77555970.0
65,,,,77526949,2023-11-22 02:01:51,97,0,0,0,
66,,,,77513504,2023-11-20 04:25:16,67,1,0,2,
67,,,,77469094,2023-11-12 13:24:43,1121,1,2,1,
68,,,,77451923,2023-11-09 09:25:26,35,0,0,1,
69,,,,77448062,2023-11-08 18:25:52,577,0,1,2,
70,,,,77447393,2023-11-08 16:38:16,417,0,0,0,
71,,,,77433167,2023-11-06 17:41:42,78,1,0,0,
72,,,,77433096,2023-11-06 17:29:38,11286,1,3,12,77433141.0
73,,,,77399456,2023-10-31 22:52:18,66,0,4,2,
74,,,,77384193,2023-10-29 16:26:22,130,0,0,0,
75,,,,77334292,2023-10-21 00:01:12,167,1,0,0,
76,,,,77323785,2023-10-19 12:31:20,230,1,0,0,
77,,,,77311999,2023-10-17 20:13:08,48,1,0,0,77593927.0
78,,,,77286961,2023-10-13 10:23:20,271,1,0,0,
79,,,,77253558,2023-10-08 12:12:15,233,1,2,0,77253843.0
80,,,,77218008,2023-10-02 19:22:45,71,0,0,0,
81,,,,77216725,2023-10-02 15:28:32,203,0,0,1,
82,,,,77207179,2023-09-30 13:22:31,376,0,0,0,
83,,,,77200600,2023-09-29 08:51:26,739,0,0,3,
84,,,,77194219,2023-09-28 10:38:14,57,0,2,0,
85,,,,77149712,2023-09-21 11:14:15,80,0,0,0,
86,,,,77128569,2023-09-18 15:37:14,517,1,0,1,
87,,,,77114512,2023-09-15 17:58:57,48,0,0,0,
88,,,,77092094,2023-09-12 19:17:21,94,0,0,0,
89,,,,77036063,2023-09-04 08:05:17,261,1,0,0,
90,,,,77004078,2023-08-29 23:08:42,104,0,0,0,
91,,,,76983880,2023-08-26 16:31:20,90,0,1,0,
92,,,,76983789,2023-08-26 16:04:45,396,0,1,2,
93,,,,76971461,2023-08-24 16:53:14,328,0,0,3,
94,,,,76965187,2023-08-23 22:11:13,228,0,1,2,
95,,,,76959782,2023-08-23 08:54:11,424,1,0,0,
96,,,,76909845,2023-08-16 00:44:02,93,0,0,0,
97,,,,76886334,2023-08-11 19:44:05,490,0,0,0,
98,,,,76883181,2023-08-11 11:34:09,384,1,12,2,76883714.0
99,,,,76882987,2023-08-11 11:05:12,180,0,0,0,
100,,,,76881754,2023-08-11 08:11:33,300,0,0,0,
101,,,,76879872,2023-08-10 23:22:56,1120,2,1,0,76929999.0
102,,,,76878387,2023-08-10 18:21:06,319,1,0,0,76878652.0
103,,,,76875718,2023-08-10 12:24:05,133,1,0,0,76878017.0
104,,,,76872115,2023-08-10 01:24:33,693,1,1,0,
105,,,,76868251,2023-08-09 13:27:29,898,1,0,0,
106,,,,76841121,2023-08-05 10:07:32,387,0,1,0,
107,,,,76809729,2023-08-01 08:19:56,97,0,0,0,
108,,,,76799701,2023-07-30 21:33:19,5192,3,0,1,
109,,,,76796590,2023-07-30 06:32:11,214,0,0,1,
110,,,,76796304,2023-07-30 04:06:39,670,1,0,1,
111,,,,76781329,2023-07-27 15:30:55,991,1,0,0,
112,,,,76763718,2023-07-25 14:26:41,166,0,0,0,
113,,,,76753228,2023-07-24 09:45:15,384,1,0,0,
114,,,,76730299,2023-07-20 13:14:44,176,0,0,0,
115,,,,76728496,2023-07-20 09:29:56,3511,2,1,1,
116,,,,76694190,2023-07-15 14:19:32,270,0,2,0,
117,,,,76663419,2023-07-11 15:10:22,2321,1,0,0,76665384.0
118,,,,76661870,2023-07-11 12:13:34,145,1,2,1,
119,,,,76661210,2023-07-11 10:49:01,616,1,0,2,
120,,,,76625249,2023-07-06 03:11:15,422,1,0,1,76662406.0
121,,,,76574447,2023-06-28 15:01:08,665,1,2,0,
122,,,,76539647,2023-06-23 11:26:56,88,0,0,0,
123,,,,76533716,2023-06-22 15:59:32,644,0,0,1,
124,,,,76473823,2023-06-14 12:54:45,147,0,0,1,
125,,,,76459041,2023-06-12 17:35:52,1225,0,1,1,
126,,,,76448287,2023-06-10 21:51:03,19099,1,7,18,76452964.0
127,,,,76444412,2023-06-10 01:38:59,3686,2,0,2,
128,,,,76441777,2023-06-09 15:41:02,175,0,2,0,
129,,,,76437117,2023-06-09 03:58:30,299,1,2,2,
130,,,,76414860,2023-06-06 12:53:19,542,0,0,0,
131,,,,76384436,2023-06-01 17:46:05,182,0,2,0,
132,,,,76363492,2023-05-30 09:36:59,485,1,0,2,
133,,,,76363436,2023-05-30 09:29:24,4387,3,0,6,
134,,,,76349622,2023-05-28 01:27:59,172,1,2,0,76373648.0
135,,,,76342140,2023-05-26 15:17:50,204,1,0,0,
136,,,,76340743,2023-05-26 12:17:56,1376,2,0,1,76389560.0
137,,,,76338313,2023-05-26 06:55:31,530,0,1,1,
138,,,,76325023,2023-05-24 15:12:13,105,0,0,1,
139,,,,76307369,2023-05-22 14:47:08,44,1,0,2,
140,,,,76307106,2023-05-22 14:14:48,800,1,8,1,76307884.0
141,,,,76304449,2023-05-22 08:49:55,312,1,0,0,
142,,,,76300212,2023-05-21 13:46:32,192,1,10,0,76300536.0
143,,,,76285778,2023-05-19 03:18:17,112,0,0,1,
144,,,,76249230,2023-05-14 19:01:50,848,0,0,0,
145,,,,76247583,2023-05-14 12:50:56,480,2,0,1,
146,,,,76201055,2023-05-08 13:25:19,660,1,0,0,
147,,,,76199989,2023-05-08 11:08:11,526,1,9,1,76203775.0
148,,,,76185121,2023-05-05 18:46:07,98,0,0,0,
149,,,,76148493,2023-05-01 16:24:49,260,1,1,1,
150,,,,76147663,2023-05-01 14:19:29,244,2,0,0,
151,,,,76137512,2023-04-29 17:28:08,2388,1,1,3,76683808.0
152,,,,76104554,2023-04-25 18:58:18,78,0,1,0,
153,,,,76099140,2023-04-25 08:36:20,1293,1,9,3,76163186.0
154,,,,76079388,2023-04-22 11:23:03,1227,1,1,2,76147127.0
155,,,,76066751,2023-04-20 17:24:13,257,1,1,0,
156,,,,76065460,2023-04-20 14:52:01,1318,1,1,0,
157,,,,76061747,2023-04-20 07:55:20,319,1,0,2,76062748.0
158,,,,76052537,2023-04-19 08:53:28,719,1,0,0,
159,,,,76051046,2023-04-19 05:33:51,1322,0,1,4,
160,,,,76040957,2023-04-18 03:45:45,941,1,3,1,
161,,,,75979420,2023-04-10 17:46:58,1544,2,0,2,75980931.0
162,,,,75947960,2023-04-06 09:32:58,264,0,1,0,
163,,,,75918140,2023-04-03 09:53:31,2934,4,3,5,
164,,,,75916003,2023-04-03 04:14:58,237,0,1,0,
165,,,,75892836,2023-03-30 20:42:05,174,0,1,1,
166,,,,75849546,2023-03-26 17:54:44,551,1,3,2,75855859.0
167,,,,75849386,2023-03-26 17:23:49,750,1,0,2,
168,,,,75836953,2023-03-24 18:12:11,1595,2,2,4,
169,,,,75817859,2023-03-22 22:41:10,117,1,1,1,
170,,,,75809979,2023-03-22 08:39:56,2141,2,0,0,
171,,,,75783029,2023-03-19 15:24:24,422,0,2,2,
172,,,,75774417,2023-03-18 07:22:58,32,0,0,0,
173,,,,75749036,2023-03-15 19:02:22,877,0,3,2,
174,,,,75741187,2023-03-15 06:32:01,378,1,2,2,
175,,,,75726841,2023-03-13 20:58:18,305,1,0,0,
176,,,,75718658,2023-03-13 06:36:51,1606,1,2,1,
177,,,,75713161,2023-03-12 12:37:08,616,1,0,1,76004702.0
178,,,,75709193,2023-03-11 20:03:21,2545,1,0,2,75709479.0
179,,,,75684290,2023-03-09 11:57:42,478,0,3,1,
180,,,,75581482,2023-02-27 14:05:01,72,0,0,0,
181,,,,75547541,2023-02-23 16:21:44,245,0,0,0,
182,,,,75530862,2023-02-22 09:46:55,350,1,0,1,75689049.0
183,,,,75489321,2023-02-17 21:19:13,524,1,6,0,75548617.0
184,,,,75458603,2023-02-15 10:44:23,3077,1,0,0,75474939.0
185,,,,75437911,2023-02-13 15:26:37,654,1,2,1,75483342.0
186,,,,75436031,2023-02-13 12:42:40,458,0,1,1,
187,,,,75376650,2023-02-07 17:00:39,279,0,5,0,
188,,,,75335475,2023-02-03 12:03:53,89,0,0,0,
189,,,,75294121,2023-01-31 07:55:09,388,0,0,3,
190,,,,75247437,2023-01-26 14:24:45,6588,2,1,0,
191,,,,75237628,2023-01-25 17:21:03,484,1,3,0,75249088.0
192,,,,75230112,2023-01-25 05:48:27,416,0,0,1,
193,,,,75229395,2023-01-25 03:16:10,456,1,2,2,75240414.0
194,,,,75168665,2023-01-19 06:53:46,2354,3,0,2,
195,,,,75137789,2023-01-16 17:39:00,120,0,0,1,
196,,,,75052206,2023-01-09 00:13:17,454,1,2,1,75526581.0
197,,,,75042153,2023-01-07 16:56:24,2746,2,0,4,75150156.0
198,,,,74991778,2023-01-03 10:04:31,624,1,0,0,
199,,,,74967466,2022-12-31 04:12:07,244,1,0,0,
200,,,,74944147,2022-12-28 19:14:03,806,0,2,2,
201,,,,74864306,2022-12-20 14:06:58,1503,1,0,1,
202,,,,74857932,2022-12-20 02:24:25,2408,1,0,2,74861994.0
203,,,,74836777,2022-12-17 19:13:15,587,1,0,1,74966347.0
204,,,,74785188,2022-12-13 12:53:33,839,1,4,1,74787068.0
205,,,,74694531,2022-12-05 21:20:00,725,0,0,0,
206,,,,74671279,2022-12-03 22:26:22,260,1,1,0,74694893.0
207,,,,74663365,2022-12-03 01:47:27,328,0,0,2,
208,,,,74593644,2022-11-27 20:36:49,14499,2,0,4,74646499.0
209,,,,74568520,2022-11-25 05:03:03,238,1,0,1,
210,,,,74565147,2022-11-24 18:51:35,70,0,3,0,
211,,,,74556349,2022-11-24 06:14:59,11294,1,1,15,74573811.0
212,,,,74502025,2022-11-19 17:12:03,1771,0,0,2,
213,,,,74497166,2022-11-19 02:36:17,7709,1,5,1,74506560.0
214,,,,74412085,2022-11-12 10:26:15,232,1,0,0,
215,,,,74378661,2022-11-09 17:01:20,1018,1,0,1,74390713.0
216,,,,74304875,2022-11-03 14:38:38,2278,1,0,2,74323008.0
217,,,,74255617,2022-10-30 18:16:15,1912,1,1,0,74255650.0
218,,,,74239556,2022-10-28 18:30:28,1722,1,0,2,
219,,,,74228673,2022-10-27 21:49:36,379,0,0,1,
220,,,,74223324,2022-10-27 13:58:41,1809,1,0,1,
221,,,,74212925,2022-10-26 18:56:36,266,0,0,1,
222,,,,74101343,2022-10-17 18:00:54,756,1,0,0,
223,,,,74091703,2022-10-17 01:03:13,1301,2,0,0,
224,,,,74073113,2022-10-14 17:55:18,435,1,0,2,74073165.0
225,,,,74056019,2022-10-13 12:45:18,73,0,2,0,
226,,,,74018571,2022-10-10 17:22:12,173,2,0,1,
227,,,,73962183,2022-10-05 14:45:58,803,0,0,1,
228,,,,73939929,2022-10-03 19:24:36,15688,2,0,0,
229,,,,73932308,2022-10-03 07:28:59,596,0,1,1,
230,,,,73873233,2022-09-27 20:02:56,2520,1,0,0,
231,,,,73823498,2022-09-23 05:50:01,1418,0,0,3,
232,,,,73610869,2022-09-05 14:23:41,11155,1,1,3,73613559.0
233,,,,73549346,2022-08-30 23:13:40,458,1,0,4,
234,,,,73509188,2022-08-27 07:42:54,584,0,0,1,
235,,,,73452601,2022-08-23 02:43:07,439,0,2,0,
