,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,,29653321,2015-04-15 14:42:44,2659,3,5,3,38192664.0
1,,,,49891820,2018-04-18 05:29:35,51,1,0,0,
2,,,,59360678,2019-12-16 16:32:46,96,0,2,0,
3,,,,42616455,2017-03-06 02:08:24,1257,1,0,0,42616512.0
4,,,,22775938,2014-04-01 02:53:02,1434,1,1,1,22781232.0
5,,,,24134131,2014-06-10 06:17:41,434,1,3,0,
6,,,,31707742,2015-07-29 17:55:14,738,2,0,2,
7,,,,49074258,2018-03-02 17:24:09,768,1,2,1,
8,,,,50694066,2018-06-05 07:06:58,214,1,5,0,
9,,,,37096648,2016-05-08 05:45:42,247,0,4,0,
10,,,,36349755,2016-04-01 06:48:29,921,0,10,1,
11,,,,16370583,2013-05-04 04:29:22,209946,26,1,107,
12,,,,27074322,2014-11-22 05:14:49,3950,2,0,1,27074349.0
13,,,,58085041,2019-09-24 16:58:40,39,1,2,0,
14,,,,53920226,2018-12-25 07:24:03,388,1,3,-1,53920592.0
15,,,,34904175,2016-01-20 15:33:45,206,0,2,1,
16,,,,32896097,2015-10-01 20:14:49,664,1,5,2,
17,,,,34787210,2016-01-14 10:30:37,7830,1,8,4,
18,,,,19975301,2013-11-14 10:31:07,1223,1,0,0,19991109.0
19,,,,38420922,2016-07-17 11:56:35,2370,1,3,3,38444940.0
20,,,,51287590,2018-07-11 14:05:08,925,1,0,3,
21,,,,33015326,2015-10-08 12:07:29,488,1,2,1,33019535.0
22,,,,31298842,2015-07-08 16:49:12,937,1,4,0,
23,,,,9777871,2012-03-19 21:01:07,1147,1,0,1,9778486.0
24,,,,49017941,2018-02-27 21:06:31,352,1,1,0,49026572.0
25,,,,36836481,2016-04-25 09:20:55,1262,2,4,-1,36849430.0
26,,,,13269543,2012-11-07 12:11:23,2075,1,2,4,13289830.0
27,,,,27178492,2014-11-27 20:49:42,1091,2,0,0,27210525.0
28,,,,31621967,2015-07-25 01:35:58,525,3,0,2,
29,,,,35889792,2016-03-09 11:04:59,1512,0,3,1,
30,,,,27271082,2014-12-03 11:51:28,625,1,2,6,
31,,,,39007755,2016-08-17 23:30:00,3980,3,6,2,39028327.0
32,,,,25493720,2014-08-25 20:18:52,6719,4,4,8,
33,,,,43412753,2017-04-14 13:40:32,475,2,3,6,
34,,,,37059269,2016-05-05 20:02:07,39865,4,4,13,37059431.0
35,,,,12317279,2012-09-07 11:31:37,1580,1,4,2,
36,,,,16275471,2013-04-29 09:40:26,286,0,0,1,
37,,,,50883000,2018-06-15 21:41:11,1759,1,0,3,50913980.0
38,,,,63587198,2020-08-25 21:13:24,142,0,0,1,
39,,,,17486918,2013-07-05 10:39:01,4374,1,2,1,
40,,,,29863715,2015-04-25 09:58:38,563,1,0,1,
41,,,,57088490,2019-07-18 06:43:53,80,2,3,0,
42,,,,1286301,2009-08-17 05:36:56,5870,4,3,17,1287621.0
43,,,,17672423,2013-07-16 09:10:11,3640,2,5,4,
44,,,,2289046,2010-02-18 13:55:51,4950,3,0,7,2295334.0
45,,,,20403876,2013-12-05 15:26:17,1694,3,0,2,20404639.0
46,,,,40361488,2016-11-01 13:53:28,22186,4,1,10,40362096.0
47,,,,31700152,2015-07-29 12:16:06,653,1,2,0,31736436.0
48,,,,28979559,2015-03-11 05:55:35,2228,3,2,0,
49,,,,51081994,2018-06-28 11:39:40,1581,1,0,7,
50,,,,35624245,2016-02-25 10:12:05,4034,2,7,4,
51,,,,60574800,2020-03-07 05:51:07,19,0,0,0,
52,,,,39706790,2016-09-26 15:30:10,642,0,2,0,
53,,,,25910257,2014-09-18 10:31:01,7244,2,0,3,25910743.0
54,,,,35738678,2016-03-02 04:43:19,1316,0,5,0,
55,,,,19749541,2013-11-03 03:27:10,1614,2,3,1,
56,,,,55135556,2019-03-13 06:17:40,1101,1,3,1,55135647.0
57,,,,42100586,2017-02-07 21:44:05,320,0,13,0,
58,,,,40722794,2016-11-21 14:42:41,68,0,3,0,
59,,,,28245866,2015-01-30 22:43:49,1051,2,0,1,
60,,,,40012516,2016-10-13 04:50:40,347,0,6,3,
61,,,,30454582,2015-05-26 09:24:44,537,1,1,0,30468386.0
62,,,,27203429,2014-11-29 14:38:16,489,1,0,3,27209841.0
63,,,,35821955,2016-03-06 01:18:44,309,0,4,1,
64,,,,33773157,2015-11-18 06:25:58,7661,1,13,2,33782626.0
65,,,,35475677,2016-02-18 07:49:19,2687,2,0,4,35476344.0
66,,,,26693736,2014-11-01 22:05:17,98798,6,0,62,26693897.0
67,,,,40012711,2016-10-13 05:07:53,366,1,2,1,
68,,,,59379230,2019-12-17 17:25:18,416,2,0,1,
69,,,,15220961,2013-03-05 10:05:20,8217,1,0,4,15221111.0
70,,,,30201476,2015-05-12 21:10:19,6249,1,1,6,
71,,,,42690716,2017-03-09 08:53:31,3681,1,3,4,42690864.0
72,,,,50764576,2018-06-08 16:08:46,626,1,0,2,50764734.0
73,,,,47519987,2017-11-27 21:21:02,19122,3,0,5,
74,,,,40359272,2016-11-01 11:35:42,576,1,8,0,40363704.0
75,,,,37423353,2016-05-24 20:33:44,411,2,4,1,
76,,,,32898563,2015-10-01 23:54:38,163,0,2,1,
77,,,,49454546,2018-03-23 16:39:13,199,0,3,1,
78,,,,64890666,2020-11-18 09:51:30,27,1,0,1,
79,,,,49475847,2018-03-25 12:29:18,302,1,0,0,49475891.0
80,,,,21403692,2014-01-28 10:56:47,242,0,4,0,
81,,,,32491209,2015-09-10 00:35:04,337,1,0,4,
82,,,,44795012,2017-06-28 06:22:13,5506,2,5,1,
83,,,,41201926,2016-12-17 18:46:26,458,0,6,0,
84,,,,35265843,2016-02-08 09:10:41,500,1,3,2,35266559.0
85,,,,61825613,2020-05-15 18:02:46,51,0,10,0,
86,,,,43721142,2017-05-01 14:53:32,170,1,2,2,43769905.0
87,,,,54514394,2019-02-04 10:38:47,774,2,0,-1,
88,,,,61083086,2020-04-07 15:01:01,98,0,6,0,
89,,,,46347196,2017-09-21 14:55:41,409,1,4,1,
90,,,,48901691,2018-02-21 08:58:10,54,2,0,0,
91,,,,50290762,2018-05-11 10:55:48,565,1,0,0,
92,,,,20380716,2013-12-04 16:29:02,615,0,2,0,
93,,,,52054622,2018-08-28 09:34:56,343,0,0,2,
94,,,,49217117,2018-03-11 05:54:34,31,1,0,0,
95,,,,33632682,2015-11-10 14:45:57,412,0,3,2,
96,,,,14009330,2012-12-23 07:18:03,9280,1,1,14,14065146.0
97,,,,51166149,2018-07-04 05:10:57,397,1,0,1,51184993.0
98,,,,34726200,2016-01-11 16:14:27,19400,2,4,12,
99,,,,36004661,2016-03-15 07:07:26,99,1,2,1,
100,,,,47015589,2017-10-30 12:42:59,464,1,2,1,
101,,,,23980755,2014-06-01 14:14:02,2475,0,4,1,
102,,,,57489518,2019-08-14 06:53:37,119,0,4,1,
103,,,,49398875,2018-03-21 05:34:20,445,1,4,2,
104,,,,44069375,2017-05-19 11:50:54,536,0,1,2,
105,,,,34037094,2015-12-02 07:28:36,11352,3,4,7,
106,,,,39551842,2016-09-17 21:18:23,421,0,6,0,
107,,,,51502542,2018-07-24 15:32:31,764,1,0,0,
108,,,,35508230,2016-02-19 14:56:59,465,2,18,3,
109,,,,54017404,2019-01-03 06:35:03,760,1,0,0,
110,,,,58959739,2019-11-20 17:04:15,50,1,2,0,
111,,,,60291151,2020-02-19 00:01:15,173,1,9,0,60294069.0
112,,,,55806624,2019-04-23 07:55:09,309,3,2,1,56345703.0
113,,,,24267276,2014-06-17 15:06:12,331,1,2,1,24267806.0
114,,,,26292453,2014-10-10 05:22:40,9252,2,0,2,26294198.0
115,,,,40090274,2016-10-17 15:27:33,275,0,0,1,
116,,,,59499039,2019-12-27 10:04:39,33,1,1,1,59505377.0
117,,,,44344814,2017-06-03 14:12:05,250,0,2,0,
118,,,,49537804,2018-03-28 14:54:01,362,1,1,0,49746946.0
119,,,,41014907,2016-12-07 10:23:36,1157,1,2,1,
120,,,,41795476,2017-01-22 19:56:02,889,2,6,1,41797342.0
121,,,,45280461,2017-07-24 12:17:50,390,0,4,1,
122,,,,61941818,2020-05-21 18:54:06,87,0,9,0,
123,,,,57228272,2019-07-27 00:30:13,610,1,4,1,57228419.0
124,,,,36038827,2016-03-16 14:38:31,1015,1,2,2,36039276.0
125,,,,45066913,2017-07-12 20:26:14,372,1,3,1,
126,,,,26899025,2014-11-13 00:04:17,685,2,0,3,26899320.0
127,,,,21511420,2014-02-02 13:57:34,395,1,0,0,
128,,,,35780684,2016-03-03 18:58:36,1079,2,0,0,35781071.0
129,,,,38100213,2016-06-29 12:54:19,181,0,5,0,
130,,,,64786718,2020-11-11 12:46:20,45,0,2,1,
131,,,,48340974,2018-01-19 12:19:17,9978,1,4,1,48341103.0
132,,,,37239532,2016-05-15 14:35:21,745,1,0,0,37239703.0
133,,,,20862106,2013-12-31 19:02:16,291,0,8,3,
134,,,,39316345,2016-09-04 11:19:20,382,1,1,0,39316537.0
135,,,,60872405,2020-03-26 17:02:41,311,1,1,0,
136,,,,43251888,2017-04-06 10:02:24,334,1,3,0,43252726.0
137,,,,27277827,2014-12-03 17:21:26,219,1,9,0,27279540.0
