,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,[],61433576,2020-04-25 22:44:32,29,0,0,0,
1,,,[],45017534,2017-07-10 16:44:02,394,1,2,2,
2,,,[],5651998,2011-04-13 15:47:46,1139,5,0,1,5652040.0
3,,,[],45588502,2017-08-09 10:46:34,306,0,4,1,
4,,,[],52919299,2018-10-21 19:57:41,209,0,0,1,
5,,,[],44187168,2017-05-25 18:11:05,1344,1,7,1,44213572.0
6,,,[],37909295,2016-06-19 16:17:49,95,3,6,0,
7,,,[],50570511,2018-05-28 16:37:13,1632,2,0,2,50575550.0
8,,,[],31836058,2015-08-05 14:58:33,47606,7,4,18,31838373.0
9,,,[],62740690,2020-07-05 12:26:39,36,2,0,-1,62741134.0
10,,,[],45783267,2017-08-20 14:36:55,978,0,7,1,
11,,,[],51585247,2018-07-29 23:03:54,1196,2,0,1,
12,,,[],48810597,2018-02-15 15:20:54,90,2,0,0,48811063.0
13,,,[],51910396,2018-08-18 16:05:31,118,2,2,1,51912125.0
14,,,[],43923853,2017-05-11 19:14:11,116,1,2,1,43928573.0
15,,,[],53284807,2018-11-13 15:56:28,150,2,0,0,
16,,,[],64307851,2020-10-11 18:51:15,73,2,2,-1,64308124.0
17,,,[],60653271,2020-03-12 11:31:45,239,1,1,0,60653436.0
18,,,[],38309163,2016-07-11 14:13:20,86,1,0,0,38309471.0
19,,,[],63764186,2020-09-06 12:32:16,185,2,0,0,
20,,,[],35705303,2016-02-29 17:06:04,103,2,3,-1,
21,,,[],51330793,2018-07-13 18:14:07,22,1,0,0,51330877.0
22,,,[],7679970,2011-10-06 20:18:14,2051,1,1,2,
23,,,[],51895244,2018-08-17 12:15:02,66,2,2,0,51895442.0
24,,,[],38401202,2016-07-15 16:41:20,62,1,0,0,
25,,,[],61278302,2020-04-17 18:30:14,134,1,4,0,
26,,,[],28501072,2015-02-13 13:46:41,199285,7,9,109,28501150.0
27,,,[],27471177,2014-12-14 16:09:31,352,2,3,0,27492630.0
28,,,[],3703944,2010-09-13 20:01:49,2669,4,2,0,3703993.0
29,,,[],22919275,2014-04-07 17:34:33,828,1,3,1,22921140.0
30,,,[],46449738,2017-09-27 13:54:19,2432,2,0,2,46451775.0
31,,,[],36870633,2016-04-26 16:27:23,662,2,1,0,
32,,,[],18023553,2013-08-02 18:13:09,81,1,0,1,18023579.0
33,,,[],38907413,2016-08-11 23:06:00,640,1,0,0,38907493.0
34,,,[],34242030,2015-12-12 16:13:15,1864,1,0,1,34255998.0
35,,,[],4858467,2011-02-01 03:06:57,8905,3,1,27,4860826.0
36,,,[],51135507,2018-07-02 11:48:43,437,0,3,0,
37,,,[],56882778,2019-07-04 07:31:51,189,2,3,0,
38,,,[],43572898,2017-04-23 15:17:51,448,1,0,0,43573362.0
39,,,[],63427681,2020-08-15 15:23:59,45,2,0,0,
40,,,[],43216610,2017-04-04 20:00:35,787,1,1,0,43217132.0
41,,,[],14802442,2013-02-10 20:52:31,1897,1,1,0,15154234.0
42,,,[],10715628,2012-05-23 07:49:23,7204,5,3,11,
43,,,[],48872564,2018-02-19 18:59:34,305,1,1,1,48872610.0
44,,,[],62472606,2020-06-19 14:37:52,22,1,0,0,62472871.0
45,,,[],28999668,2015-03-12 00:00:37,2733,1,0,0,28999855.0
46,,,[],58800527,2019-11-11 11:32:29,206,1,0,1,58800887.0
47,,,[],44334261,2017-06-02 17:16:16,1353,1,1,0,44334334.0
48,,,[],49845994,2018-04-15 19:36:03,293,1,2,3,49846244.0
49,,,[],30003957,2015-05-02 15:15:09,434,1,3,1,30004116.0
50,,,[],59151477,2019-12-03 06:44:42,247,1,0,1,
51,,,[],62672474,2020-07-01 08:13:25,20,0,1,0,
52,,,[],61897926,2020-05-19 18:13:44,143,1,1,1,
53,,,[],50849478,2018-06-14 04:09:19,184,1,10,0,
54,,,[],11870210,2012-08-08 17:47:33,4273,1,0,6,11870736.0
55,,,[],52542614,2018-09-27 17:53:34,197,1,1,0,
56,,,[],54537417,2019-02-05 15:09:35,36,0,5,0,
57,,,[],54517501,2019-02-04 13:47:20,208,1,0,0,54517783.0
58,,,[],28926017,2015-03-08 11:44:05,1565,1,0,1,
59,,,[],46914387,2017-10-24 15:25:01,1103,1,1,2,46914605.0
60,,,[],37908571,2016-06-19 14:59:00,15879,2,7,6,
61,,,[],39643391,2016-09-22 15:41:26,1510,0,2,2,
62,,,[],62956267,2020-07-17 14:38:22,39,0,1,0,
63,,,[],59099451,2019-11-29 06:00:19,71,1,0,1,
64,,,[],43207335,2017-04-04 12:31:42,261,1,5,2,
65,,,[],14580540,2013-01-29 10:19:42,7613,3,1,3,14582003.0
66,,,[],47992091,2017-12-27 12:19:25,1130,2,1,1,48001510.0
67,,,[],58437691,2019-10-17 17:14:04,64,0,3,1,
68,,,[],14313025,2013-01-14 03:32:45,903,3,1,5,
69,,,[],43194726,2017-04-03 21:36:18,393,2,2,0,43197709.0
70,,,[],28575082,2015-02-18 02:44:40,825,4,1,8,
71,,,[],50659889,2018-06-02 18:21:58,802,1,0,0,50661395.0
72,,,[],36382937,2016-04-03 07:55:14,10512,2,5,3,
73,,,[],27216038,2014-11-30 17:27:03,4110,1,1,1,27216633.0
74,,,[],54631353,2019-02-11 13:08:52,66,0,1,1,
75,,,[],31349851,2015-07-10 20:34:49,263,1,0,1,31393224.0
76,,,[],39473824,2016-09-13 15:29:59,1131,1,5,1,39478210.0
77,,,[],42970646,2017-03-23 08:23:58,2684,3,2,7,42972210.0
