,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,[],43929708,2017-05-12 05:10:08,386,1,0,0,43931068.0
1,,,[],53154852,2018-11-05 12:53:42,100,0,2,1,
2,,,[],50473181,2018-05-22 17:12:35,112,1,0,2,50473277.0
3,,,[],49805284,2018-04-12 20:22:00,1612,2,0,3,
4,,,[],43224389,2017-04-05 07:17:46,726,0,1,2,
5,,,[],44425159,2017-06-08 01:17:35,17479,1,0,26,
6,,,[],51144078,2018-07-02 21:41:00,337,1,0,-1,
7,,,[],51230726,2018-07-08 09:45:25,2148,1,0,3,51231402.0
8,,,[],51721448,2018-08-07 07:43:33,364,1,0,2,51728488.0
9,,,[],50572592,2018-05-28 19:37:30,2553,1,0,4,50574528.0
10,,,[],51553123,2018-07-27 07:41:02,30,1,0,-1,
11,,,[],64405445,2020-10-17 17:40:36,71,0,1,1,
12,,,[],37270446,2016-05-17 08:04:22,6774,1,0,16,
13,,,[],44146567,2017-05-23 23:23:44,628,0,2,1,
14,,,[],48433197,2018-01-24 23:08:27,1816,2,1,1,50086085.0
15,,,[],38664620,2016-07-29 17:42:06,3217,2,0,8,38664792.0
16,,,[],50338747,2018-05-14 20:46:09,674,2,0,2,
17,,,[],37823992,2016-06-14 23:52:46,620,2,0,3,37932340.0
18,,,[],61397456,2020-04-23 21:39:04,92,0,5,0,
19,,,[],40659109,2016-11-17 15:42:11,1688,1,0,4,40659180.0
20,,,[],55079805,2019-03-09 17:03:43,891,1,0,0,55080310.0
21,,,[],39641770,2016-09-22 14:25:10,2328,2,2,-1,
22,,,[],41374498,2016-12-29 06:46:45,2053,1,0,3,41375366.0
23,,,[],48234474,2018-01-12 21:50:19,485,1,1,2,48235041.0
24,,,[],45787323,2017-08-20 22:26:47,1464,1,0,3,45787920.0
25,,,[],56749463,2019-06-25 08:04:02,62,1,0,0,
26,,,[],35253990,2016-02-07 13:20:34,2571,1,2,3,35255523.0
27,,,[],58454744,2019-10-18 16:21:20,160,0,2,0,
