,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,20376435,2013-12-04 13:17:32,1177,1,2,1,,"[(53204813.0, '2018-11-08 09:27:55')]",2018-11-08 09:27:55,,43196.173055555555,
1,30383404,2015-05-21 20:08:14,2806,2,5,1,30384484.0,"[(30384484.0, '2015-05-21 21:16:32')]",2015-05-21 21:16:32,2015-05-21 21:16:32,1.1383333333333334,1.1383333333333334
2,32419510,2015-09-06 02:41:12,28026,10,78,11,,"[(32687043.0, '2015-09-21 03:45:27'), (36888790.0, '2016-04-27 11:44:02'), (38371558.0, '2016-07-14 10:17:14'), (38950594.0, '2016-08-15 06:57:53'), (40151338.0, '2016-10-20 10:05:08'), (52897216.0, '2018-10-19 17:23:30'), (56606207.0, '2019-06-14 23:40:46'), (59076062.0, '2019-11-27 18:03:28'), (62431214.0, '2020-06-17 14:19:59'), (64895559.0, '2020-11-18 14:55:13'), (69616874.0, '2021-10-18 13:20:55')]",2015-09-21 03:45:27,,361.0708333333333,
3,33536182,2015-11-05 03:30:30,2599,0,2,2,34154972.0,"[(33559473.0, '2015-11-06 04:24:28'), (34154972.0, '2015-12-08 11:40:59')]",2015-11-06 04:24:28,2015-12-08 11:40:59,24.899444444444445,800.1747222222223
4,33878321,2015-11-23 18:46:47,746,0,2,1,,"[(39533985.0, '2016-09-16 14:28:09')]",2016-09-16 14:28:09,,7147.689444444444,
5,34115948,2015-12-06 09:34:48,292,1,0,1,34115992.0,"[(34115992.0, '2015-12-06 09:41:14')]",2015-12-06 09:41:14,2015-12-06 09:41:14,0.10722222222222222,0.10722222222222222
6,34970818,2016-01-24 00:34:51,783,0,1,1,45060104.0,"[(45060104.0, '2017-07-12 14:11:36')]",2017-07-12 14:11:36,2017-07-12 14:11:36,12853.6125,12853.6125
7,35050753,2016-01-28 00:21:39,82144,3,72,5,,"[(nan, nan)]",,,,
8,35775853,2016-03-03 15:11:14,736,0,0,1,35779034.0,"[(35779034.0, '2016-03-03 17:32:06')]",2016-03-03 17:32:06,2016-03-03 17:32:06,2.347777777777778,2.347777777777778
9,35881949,2016-03-09 02:45:55,1169,3,1,1,,"[(43664585.0, '2017-04-27 17:41:39')]",2017-04-27 17:41:39,,9950.92888888889,
10,36303610,2016-03-30 08:34:17,290,0,1,1,,"[(36303806.0, '2016-03-30 08:43:38')]",2016-03-30 08:43:38,,0.15583333333333332,
11,36566333,2016-04-12 07:24:29,1450,0,2,1,36567652.0,"[(36567652.0, '2016-04-12 08:29:43')]",2016-04-12 08:29:43,2016-04-12 08:29:43,1.0872222222222223,1.0872222222222223
12,36852500,2016-04-25 22:53:36,11418,0,6,2,,"[(38189299.0, '2016-07-04 16:47:27'), (40308043.0, '2016-10-28 15:10:06')]",2016-07-04 16:47:27,,1673.8975,
13,36864774,2016-04-26 12:19:39,9095,0,18,2,36872347.0,"[(36872347.0, '2016-04-26 17:55:48'), (59231724.0, '2019-12-08 01:30:28'), (69040518.0, '2021-09-03 06:39:46')]",2016-04-26 17:55:48,2016-04-26 17:55:48,5.6025,5.6025
