,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,297112,2008-11-17 22:03:25,9532,0,9,4,297175.0,"[(297137.0, '2008-11-17 22:10:08'), (297155.0, '2008-11-17 22:13:29'), (297175.0, '2008-11-17 22:18:46'), (297520.0, '2008-11-18 00:58:43')]",2008-11-17 22:10:08,2008-11-17 22:18:46,0.11194444444444444,0.25583333333333336
1,526469,2009-02-08 21:41:13,50256,0,78,3,,"[(526485.0, '2009-02-08 21:50:53'), (1249895.0, '2009-08-08 21:03:16'), (7734737.0, '2011-10-12 02:52:43')]",2009-02-08 21:50:53,,0.16111111111111112,
2,818691,2009-05-04 03:26:39,2941,2,2,4,818737.0,"[(818737.0, '2009-05-04 04:01:01'), (818740.0, '2009-05-04 04:01:59'), (818748.0, '2009-05-04 04:06:50'), (1155326.0, '2009-07-20 19:08:31')]",2009-05-04 04:01:01,2009-05-04 04:01:01,0.5727777777777778,0.5727777777777778
3,1687510,2009-11-06 13:10:20,4410,0,9,2,1687712.0,"[(1687712.0, '2009-11-06 13:49:23'), (1691962.0, '2009-11-07 04:10:04')]",2009-11-06 13:49:23,2009-11-06 13:49:23,0.6508333333333334,0.6508333333333334
4,1787110,2009-11-24 00:48:12,83671,4,140,9,1787121.0,"[(nan, nan)]",,2024-02-08 11:32:05.758943,,124546.7315997064
5,1787755,2009-11-24 04:21:28,6314,0,8,3,1788172.0,"[(1787793.0, '2009-11-24 04:32:18'), (1787804.0, '2009-11-24 04:34:09'), (1788172.0, '2009-11-24 06:18:44')]",2009-11-24 04:32:18,2009-11-24 06:18:44,0.18055555555555555,1.9544444444444444
6,1795410,2009-11-25 08:17:32,7806,0,10,1,1900596.0,"[(1900596.0, '2009-12-14 12:15:51')]",2009-12-14 12:15:51,2009-12-14 12:15:51,459.97194444444443,459.97194444444443
7,2168793,2010-01-30 17:48:45,6378,0,4,3,,"[(2168862.0, '2010-01-30 18:13:26'), (2226080.0, '2010-02-09 01:12:41'), (2355858.0, '2010-03-01 12:53:17')]",2010-01-30 18:13:26,,0.4113888888888889,
8,2290375,2010-02-18 16:46:36,1918,1,0,2,2290400.0,"[(2290400.0, '2010-02-18 16:48:49'), (2298117.0, '2010-02-19 16:58:09')]",2010-02-18 16:48:49,2010-02-18 16:48:49,0.036944444444444446,0.036944444444444446
9,2472313,2010-03-18 18:14:47,174,1,-6,1,,"[(nan, nan)]",,,,
10,2539782,2010-03-29 17:04:00,1562,0,1,1,2540925.0,"[(2540925.0, '2010-03-29 20:12:26')]",2010-03-29 20:12:26,2010-03-29 20:12:26,3.1405555555555558,3.1405555555555558
11,2568963,2010-04-02 20:19:51,483,0,2,1,2570311.0,"[(2570311.0, '2010-04-03 05:13:41')]",2010-04-03 05:13:41,2010-04-03 05:13:41,8.897222222222222,8.897222222222222
12,2572301,2010-04-03 18:53:14,28569,2,14,4,2574727.0,"[(nan, nan)]",,2024-02-08 11:32:05.765232,,121408.64771256445
13,2661778,2010-04-18 09:39:24,23083,0,47,5,2664351.0,"[(2661789.0, '2010-04-18 09:44:57'), (2663346.0, '2010-04-18 18:19:09'), (2664255.0, '2010-04-18 22:31:56'), (2664351.0, '2010-04-18 22:57:28'), (64285526.0, '2020-10-09 18:32:49')]",2010-04-18 09:44:57,2010-04-18 22:57:28,0.0925,13.301111111111112
14,2836959,2010-05-14 19:19:38,1223,0,5,2,,"[(2840660.0, '2010-05-15 15:34:33')]",2010-05-15 15:34:33,,20.24861111111111,
15,2844105,2010-05-16 14:28:34,323,1,5,4,,"[(2844449.0, '2010-05-16 16:15:24'), (2844538.0, '2010-05-16 16:36:26'), (2845142.0, '2010-05-16 19:28:59'), (2847116.0, '2010-05-17 06:46:12')]",2010-05-16 16:15:24,,1.7805555555555554,
16,3108602,2010-06-24 09:18:36,1105,0,1,1,3438091.0,"[(3438091.0, '2010-08-09 07:29:33')]",2010-08-09 07:29:33,2010-08-09 07:29:33,1102.1825,1102.1825
17,3113428,2010-06-24 19:56:42,13348,1,33,3,3114191.0,"[(3113725.0, '2010-06-24 20:42:55'), (3113737.0, '2010-06-24 20:45:05'), (3114191.0, '2010-06-24 21:55:16')]",2010-06-24 20:42:55,2010-06-24 21:55:16,0.7702777777777777,1.9761111111111112
