,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,42479902.0,2017-02-27 07:21:10,156271.0,0.0,234.0,8.0,42482819.0,"[(42482819.0, '2017-02-27 10:04:34'), (48650355.0, '2018-02-06 19:15:51'), (54687473.0, '2019-02-14 09:49:56'), (55155611.0, '2019-03-14 05:37:30'), (55880999.0, '2019-04-27 13:22:18'), (58897267.0, '2019-11-17 03:34:34'), (59961625.0, '2020-01-29 06:35:10'), (62305146.0, '2020-06-10 13:44:10'), (65970435.0, '2021-01-30 16:36:48')]",2017-02-27 10:04:34,2017-02-27 10:04:34,2.723333333333333,2.723333333333333
1,42480111.0,2017-02-27 07:35:42,97258.0,2.0,148.0,12.0,42616812.0,"[(42616812.0, '2017-03-06 02:55:05'), (45528544.0, '2017-08-06 04:33:58'), (48659275.0, '2018-02-07 08:39:25'), (49989438.0, '2018-04-23 20:26:57'), (54581226.0, '2019-02-07 19:50:57'), (56762410.0, '2019-06-25 21:43:16'), (59696639.0, '2020-01-11 17:03:02'), (63372506.0, '2020-08-12 08:15:30'), (66984386.0, '2021-04-07 10:41:01'), (67019430.0, '2021-04-09 10:29:39'), (71290001.0, '2022-02-28 02:19:01')]",2017-03-06 02:55:05,2017-03-06 02:55:05,163.32305555555556,163.32305555555556
2,42711144.0,2017-03-10 05:47:28,18672.0,0.0,16.0,7.0,42735403.0,"[(42735403.0, '2017-03-11 12:48:46'), (47667283.0, '2017-12-06 05:18:10'), (48843779.0, '2018-02-17 17:07:33'), (55081539.0, '2019-03-09 20:14:50'), (61544999.0, '2020-05-01 15:01:10'), (62297965.0, '2020-06-10 07:24:14'), (62300335.0, '2020-06-10 09:35:04'), (66034694.0, '2021-02-03 19:51:18')]",2017-03-11 12:48:46,2017-03-11 12:48:46,31.02166666666667,31.02166666666667
3,42795226.0,2017-03-14 19:47:08,2135.0,0.0,1.0,1.0,,"[(44475009.0, '2017-06-10 15:26:37')]",2017-06-10 15:26:37,,2107.6580555555556,
4,43080583.0,2017-03-28 21:50:44,10999.0,5.0,12.0,3.0,43080779.0,"[(43080779.0, '2017-03-28 22:04:07'), (52832219.0, '2018-10-16 09:27:42'), (61304189.0, '2020-04-19 12:18:16')]",2017-03-28 22:04:07,2017-03-28 22:04:07,0.22305555555555556,0.22305555555555556
5,43104252.0,2017-03-29 21:12:52,3868.0,0.0,5.0,2.0,,"[(43106686.0, '2017-03-30 01:00:06'), (43128647.0, '2017-03-30 21:25:46')]",2017-03-30 01:00:06,,3.7872222222222223,
6,43328632.0,2017-04-10 16:38:52,111634.0,0.0,44.0,10.0,43451081.0,"[(43344607.0, '2017-04-11 11:27:11'), (43451081.0, '2017-04-17 12:01:27'), (46627181.0, '2017-10-08 03:13:51'), (47561301.0, '2017-11-29 20:30:24'), (47667447.0, '2017-12-06 05:32:27'), (53490192.0, '2018-11-26 22:39:12'), (54242870.0, '2019-01-17 19:20:16'), (59603631.0, '2020-01-05 19:48:48'), (60492939.0, '2020-03-02 16:27:14'), (64006971.0, '2020-09-22 09:34:58'), (66985519.0, '2021-04-07 11:52:04')]",2017-04-11 11:27:11,2017-04-17 12:01:27,18.80527777777778,163.3763888888889
7,43441673.0,2017-04-16 20:13:16,9006.0,0.0,4.0,3.0,,"[(43477547.0, '2017-04-18 16:28:12'), (45754714.0, '2017-08-18 10:41:15'), (45848698.0, '2017-08-23 20:23:15')]",2017-04-18 16:28:12,,44.24888888888889,
8,43556339.0,2017-04-22 07:06:45,1110.0,2.0,1.0,1.0,,"[(43640174.0, '2017-04-26 16:49:59')]",2017-04-26 16:49:59,,105.72055555555555,
9,43585263.0,2017-04-24 10:07:01,1226.0,2.0,0.0,1.0,,"[(48218569.0, '2018-01-12 02:07:11'), (67077298.0, '2021-04-13 14:54:58'), (77031545.0, '2023-09-03 08:43:37')]",2018-01-12 02:07:11,,6304.002777777778,
10,43662364.0,2017-04-27 15:45:38,897.0,0.0,0.0,1.0,,"[(43669406.0, '2017-04-27 23:17:20')]",2017-04-27 23:17:20,,7.528333333333333,
11,43664444.0,2017-04-27 17:33:57,75416.0,0.0,19.0,6.0,,"[(43664575.0, '2017-04-27 17:41:19'), (47744661.0, '2017-12-10 23:40:41'), (49521603.0, '2018-03-27 20:08:34'), (54476822.0, '2019-02-01 09:46:25'), (55214411.0, '2019-03-18 03:33:22'), (61599289.0, '2020-05-04 18:38:01')]",2017-04-27 17:41:19,,0.12277777777777778,
12,43699517.0,2017-04-29 19:11:19,886.0,0.0,1.0,1.0,,"[(43883143.0, '2017-05-10 03:30:15')]",2017-05-10 03:30:15,,248.31555555555556,
