,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,34750268,2016-01-12 17:36:25,5613,0,5,3,34762233.0,"[(34750580.0, '2016-01-12 17:53:35'), (34762233.0, '2016-01-13 08:57:29'), (55802422.0, '2019-04-22 23:38:32')]",2016-01-12 17:53:35,2016-01-13 08:57:29,0.2861111111111111,15.351111111111111
1,41767005,2017-01-20 15:22:08,4737,0,10,1,43824857.0,"[(43824857.0, '2017-05-06 20:00:38')]",2017-05-06 20:00:38,2017-05-06 20:00:38,2548.641666666667,2548.641666666667
2,41818618,2017-01-24 01:34:19,1485,2,0,2,,"[(41818807.0, '2017-01-24 02:00:19'), (43016636.0, '2017-03-25 12:58:42')]",2017-01-24 02:00:19,,0.43333333333333335,
3,41861354,2017-01-25 20:45:35,13512,2,8,2,54261158.0,"[(42109564.0, '2017-02-08 09:43:31'), (54261158.0, '2019-01-18 20:40:31')]",2017-02-08 09:43:31,2019-01-18 20:40:31,324.96555555555557,17351.915555555555
4,41924453,2017-01-29 18:31:25,38504,0,56,4,42054194.0,"[(42054194.0, '2017-02-05 16:04:41'), (42202068.0, '2017-02-13 10:41:49'), (58265626.0, '2019-10-07 08:06:48'), (63682242.0, '2020-09-01 06:06:58'), (66536147.0, '2021-03-08 19:43:18')]",2017-02-05 16:04:41,2017-02-05 16:04:41,165.55444444444444,165.55444444444444
5,42703500,2017-03-09 19:06:41,152408,6,222,5,43819235.0,"[(43819235.0, '2017-05-06 10:18:43'), (49078976.0, '2018-03-02 23:34:56'), (55734349.0, '2019-04-17 19:01:03'), (56119670.0, '2019-05-13 20:46:40'), (61941234.0, '2020-05-21 18:23:12'), (66921920.0, '2021-04-02 15:54:04'), (68391053.0, '2021-07-15 09:13:25'), (69889940.0, '2021-11-08 21:05:18'), (74189099.0, '2022-10-25 04:22:58'), (75961033.0, '2023-04-07 18:20:28'), (77895355.0, '2024-01-28 15:39:07')]",2017-05-06 10:18:43,2017-05-06 10:18:43,1383.2005555555556,1383.2005555555556
6,43459013,2017-04-17 20:23:11,4521,1,21,1,,"[(47011724.0, '2017-10-30 09:24:15')]",2017-10-30 09:24:15,,4693.017777777778,
7,43793168,2017-05-04 21:37:43,1078,1,-1,1,,"[(43824700.0, '2017-05-06 19:44:32')]",2017-05-06 19:44:32,,46.11361111111111,
8,43851657,2017-05-08 15:33:00,825,0,2,1,43882062.0,"[(43882062.0, '2017-05-10 01:08:23')]",2017-05-10 01:08:23,2017-05-10 01:08:23,33.58972222222222,33.58972222222222
9,44260217,2017-05-30 10:51:35,16751,0,29,4,,"[(44349229.0, '2017-06-03 22:50:40'), (45441313.0, '2017-08-01 14:59:58'), (49705133.0, '2018-04-07 07:47:28'), (58746934.0, '2019-11-07 10:40:02')]",2017-06-03 22:50:40,,107.98472222222222,
