,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,5529625,2011-04-03 12:39:33,82169,11,179,8,,"[(5531148.0, '2011-04-03 17:17:03'), (5551499.0, '2011-04-05 12:05:28'), (9875395.0, '2012-03-26 15:52:45'), (15724959.0, '2013-03-31 00:14:34'), (39442355.0, '2016-09-12 01:38:45'), (51727861.0, '2018-08-07 13:20:52'), (56324541.0, '2019-05-27 10:45:28'), (63707989.0, '2020-09-02 14:44:06')]",2011-04-03 17:17:03,,4.625,
1,7391427,2011-09-12 17:10:04,1472,0,5,2,7400297.0,"[(7400297.0, '2011-09-13 10:24:04'), (20999120.0, '2014-01-08 15:00:26')]",2011-09-13 10:24:04,2011-09-13 10:24:04,17.233333333333334,17.233333333333334
2,8360253,2011-12-02 17:31:03,2312,1,8,1,8367162.0,"[(8367162.0, '2011-12-03 10:53:10')]",2011-12-03 10:53:10,2011-12-03 10:53:10,17.36861111111111,17.36861111111111
3,8539141,2011-12-16 19:23:59,13966,0,4,2,8551193.0,"[(8539745.0, '2011-12-16 20:29:37'), (8551193.0, '2011-12-18 10:42:06')]",2011-12-16 20:29:37,2011-12-18 10:42:06,1.093888888888889,39.301944444444445
4,9163407,2012-02-06 16:23:51,3276,0,5,3,9173985.0,"[(9173985.0, '2012-02-07 09:43:11'), (9198278.0, '2012-02-08 17:20:59'), (9198781.0, '2012-02-08 17:53:51')]",2012-02-07 09:43:11,2012-02-07 09:43:11,17.322222222222223,17.322222222222223
5,9299346,2012-02-15 18:46:13,29593,0,34,10,9300883.0,"[(9299495.0, '2012-02-15 18:58:22'), (9300826.0, '2012-02-15 20:29:17'), (9300883.0, '2012-02-15 20:33:39'), (12613674.0, '2012-09-27 03:30:40'), (13072636.0, '2012-10-25 16:03:16'), (16286163.0, '2013-04-29 18:58:14'), (16849978.0, '2013-05-31 04:52:42'), (26898688.0, '2014-11-12 23:33:00'), (29919336.0, '2015-04-28 12:20:09'), (63031742.0, '2020-07-22 10:05:30')]",2012-02-15 18:58:22,2012-02-15 20:33:39,0.2025,1.7905555555555555
6,9355978,2012-02-20 03:53:02,953,0,2,1,9358003.0,"[(9358003.0, '2012-02-20 08:19:28')]",2012-02-20 08:19:28,2012-02-20 08:19:28,4.440555555555555,4.440555555555555
7,9365982,2012-02-20 17:56:08,35469,0,32,7,9369202.0,"[(9369202.0, '2012-02-20 22:11:54'), (17582671.0, '2013-07-10 23:30:03'), (17624766.0, '2013-07-12 22:06:54'), (18020591.0, '2013-08-02 15:22:28'), (31435405.0, '2015-07-15 15:58:31'), (46881751.0, '2017-10-23 03:57:43'), (48199308.0, '2018-01-11 03:22:03')]",2012-02-20 22:11:54,2012-02-20 22:11:54,4.262777777777778,4.262777777777778
8,9642000,2012-03-09 22:45:22,704,0,2,1,,"[(9642113.0, '2012-03-09 22:58:33')]",2012-03-09 22:58:33,,0.21972222222222224,
9,9647862,2012-03-10 16:03:24,1949,0,0,2,9649982.0,"[(9648401.0, '2012-03-10 17:08:48'), (9649982.0, '2012-03-10 20:36:21')]",2012-03-10 17:08:48,2012-03-10 20:36:21,1.09,4.549166666666666
