Q_id,Id,CreationDate,ParentId
53588623,53592537,2018-12-03 11:07:23,53588623
55762581,55763110,2019-04-19 14:04:51,55762581
62677285,62678431,2020-07-01 13:53:06,62677285
62677285,62680230,2020-07-01 15:29:24,62677285
46509039,46565802,2017-10-04 13:11:59,46509039
46509039,49472197,2018-03-25 03:15:47,46509039
46509039,52350192,2018-09-16 01:22:05,46509039
54722814,54726401,2019-02-16 18:40:22,54722814
61708729,61747498,2020-05-12 08:49:50,61708729
53578605,59365634,2019-12-16 23:26:45,53578605
53916510,53916567,2018-12-24 18:10:52,53916510
60478862,60485719,2020-03-02 09:19:44,60478862
60478862,60909819,2020-03-29 03:26:04,60478862
56251267,56251599,2019-05-22 07:36:06,56251267
52782864,52845257,2018-10-16 23:23:34,52782864
58688056,58693807,2019-11-04 12:49:22,58688056
47594358,47680685,2017-12-06 18:00:59,47594358
62400718,62403717,2020-06-16 07:59:12,62400718
61569612,62285265,2020-06-09 14:43:41,61569612
58709494,58709822,2019-11-05 10:53:28,58709494
64670476,64764132,2020-11-10 06:51:57,64670476
59684472,61576400,2020-05-03 14:47:18,59684472
43662364,43669406,2017-04-27 23:17:21,43662364
50663803,50710466,2018-06-05 23:53:46,50663803
50663803,59842060,2020-01-21 13:17:36,50663803
60009868,60010284,2020-01-31 19:42:54,60009868
65023526,65052927,2020-11-28 18:08:30,65023526
56861681,56901974,2019-07-05 11:13:33,56861681
64589649,64598561,2020-10-29 20:10:47,64589649
61019485,61019599,2020-04-03 20:03:38,61019485
64335975,64390722,2020-10-16 14:02:13,64335975
56926882,56930366,2019-07-08 07:41:22,56926882
60796555,60796897,2020-03-22 07:27:43,60796555
60257756,62305732,2020-06-10 14:12:36,60257756
64356499,64390863,2020-10-16 14:12:53,64356499
64356499,64484546,2020-10-22 14:34:28,64356499
53710313,53710777,2018-12-10 17:34:55,53710313
51329159,51330659,2018-07-13 18:05:41,51329159
51329159,51331557,2018-07-13 19:18:16,51329159
64365215,64365390,2020-10-15 05:30:49,64365215
64365215,64365402,2020-10-15 05:31:46,64365215
61900138,61902197,2020-05-19 22:58:02,61900138
61900138,61902478,2020-05-19 23:26:53,61900138
61900138,62550189,2020-06-24 07:47:32,61900138
62237372,62238454,2020-06-06 21:50:45,62237372
60615115,60616378,2020-03-10 11:07:48,60615115
59008098,59008155,2019-11-23 13:26:52,59008098
59613693,59624394,2020-01-07 08:03:46,59613693
59437658,59437659,2019-12-21 15:52:06,59437658
60376096,60376220,2020-02-24 12:43:48,60376096
55341072,55341363,2019-03-25 15:35:21,55341072
48807989,48824423,2018-02-16 10:12:24,48807989
61736959,61742147,2020-05-12 01:19:00,61736959
59916431,64709476,2020-11-06 05:47:12,59916431
60025291,60025664,2020-02-02 11:34:29,60025291
61471370,61501772,2020-04-29 12:24:34,61471370
55670244,55670497,2019-04-13 22:44:23,55670244
50285824,50318079,2018-05-13 16:08:58,50285824
50285824,57407341,2019-08-08 07:29:12,50285824
56741108,56741326,2019-06-24 17:25:53,56741108
56741108,56748776,2019-06-25 07:21:11,56741108
56741108,63607069,2020-08-26 23:27:16,56741108
57237381,57238103,2019-07-28 05:02:03,57237381
57237381,59566009,2020-01-02 15:38:32,57237381
62644255,62655355,2020-06-30 10:26:10,62644255
58890684,58891486,2019-11-16 14:01:43,58890684
59884949,59885369,2020-01-23 18:53:08,59884949
54059953,54060459,2019-01-06 10:05:38,54059953
55129148,55129191,2019-03-12 19:18:22,55129148
55129148,55151439,2019-03-13 21:24:05,55129148
49993776,49996655,2018-04-24 08:16:23,49993776
64973770,64984018,2020-11-24 09:52:32,64973770
59063954,59064650,2019-11-27 06:56:35,59063954
59063954,62936381,2020-07-16 13:56:05,59063954
64601301,64601364,2020-10-30 01:04:08,64601301
61094394,64764820,2020-11-10 07:52:33,61094394
61094394,64769084,2020-11-10 12:37:03,61094394
53036403,53057552,2018-10-30 04:42:05,53036403
62453752,62454393,2020-06-18 16:07:09,62453752
60961466,60962091,2020-04-01 00:54:58,60961466
60961466,60975794,2020-04-01 16:31:56,60961466
49624501,50124266,2018-05-01 21:42:23,49624501
49624501,64835536,2020-11-14 15:31:34,49624501
56744937,56755019,2019-06-25 13:18:18,56744937
56744937,56758399,2019-06-25 16:28:19,56744937
60293600,60294736,2020-02-19 07:04:28,60293600
61701071,61701291,2020-05-09 17:56:34,61701071
61049416,61049938,2020-04-05 21:44:25,61049416
56360644,56738943,2019-06-24 14:40:11,56360644
56360644,63079145,2020-07-24 18:03:44,56360644
46474426,46491810,2017-09-29 15:08:42,46474426
65012948,65013065,2020-11-25 21:38:58,65012948
60845222,60847630,2020-03-25 11:11:46,60845222
64809589,64840890,2020-11-15 03:17:46,64809589
50073358,50206475,2018-05-07 02:52:26,50073358
50073358,51440629,2018-07-20 10:34:10,50073358
49520443,49522566,2018-03-27 21:18:33,49520443
57988897,58071155,2019-09-23 23:04:07,57988897
55488795,63638539,2020-08-28 17:36:09,55488795
63656680,63680292,2020-09-01 01:55:37,63656680
60459292,60480429,2020-03-01 22:35:41,60459292
60958134,60960512,2020-03-31 21:52:44,60958134
61565293,61566434,2020-05-02 21:18:56,61565293
59800318,59891326,2020-01-24 06:22:55,59800318
55476131,55477773,2019-04-02 14:55:34,55476131
59705922,59707577,2020-01-12 19:53:04,59705922
58059221,58059613,2019-09-23 09:39:40,58059221
47635918,47638058,2017-12-04 16:45:07,47635918
60031174,60033893,2020-02-03 06:05:57,60031174
52731782,58890075,2019-11-16 11:10:49,52731782
