,Q_id
0,61913010
1,60940110
2,64313576
3,64727226
4,62757772
5,61072673
6,60232485
7,63519373
8,63201036
9,64156202
10,61580961
11,60120849
12,64138426
13,62472438
14,65157852
15,64947064
16,61990266
17,63436152
18,64823332
19,63020991
20,62014720
21,62538079
22,62206826
23,62907901
24,64839614
25,62125405
26,62351295
27,63606049
28,64564545
29,63902401
30,63920887
31,64595546
32,60923314
33,60881999
34,61306391
35,62435022
36,65093007
37,61000500
38,61107371
39,63899303
40,63917142
41,59978959
42,63785319
43,64180222
44,62598130
45,64663385
46,63607919
47,64491004
48,63017931
49,61776977
50,61551797
51,64646867
52,61558613
53,61821515
54,62882030
55,63608183
56,63839885
57,63538113
58,60142937
59,60192523
60,65079466
61,63139394
62,62386631
63,63087586
64,61569900
65,63924567
66,63672261
67,60187634
68,64105840
69,63648380
70,61916760
71,61127158
72,60990897
73,64002602
74,61134980
75,62040309
76,63392315
77,59701981
78,64631124
79,63112907
80,60492839
81,60243099
82,61860156
83,60867353
84,61073049
85,64610841
86,61046012
87,64675655
88,62703391
89,61656822
90,64445784
91,62545504
92,63281940
93,62644862
94,63626014
95,63387831
96,61166514
97,63478947
98,63633633
99,60573957
100,62771502
101,61690689
102,60914793
103,59435020
104,64119623
105,62750798
106,65084644
107,64262302
108,60876394
109,61022109
110,61567599
111,64937822
112,63113763
113,57891759
114,64805769
115,64047261
116,63948641
117,61191642
118,64702885
119,63141267
120,62638298
121,62658346
122,64193049
123,65034771
124,60997438
125,54873721
126,63932600
127,60996241
128,63236864
129,63689270
130,60345277
131,64774966
132,62651112
133,63988599
134,62093326
135,61124443
136,60579343
137,62345557
138,64626637
139,62350438
140,64112358
141,63953597
142,57248098
143,65025131
144,61227950
145,61825698
146,59962851
147,60780181
148,62797376
149,64793859
150,64646890
151,60121768
152,61482810
153,60170037
154,64310515
155,62961194
156,60220842
157,62502719
158,64342621
159,62782001
160,64023547
161,62361657
162,65123084
163,63918658
