,Q_id
0,61913010
1,60940110
2,64313576
3,64727226
4,62757772
5,61072673
6,59656096
7,60232485
8,63519373
9,63201036
10,64156202
11,62979062
12,64818504
13,61580961
14,60120849
15,64138426
16,65023526
17,61019485
18,62472438
19,65157852
20,64947064
21,61990266
22,63436152
23,64823332
24,63020991
25,62014720
26,62538079
27,62206826
28,62907901
29,65091635
30,64839614
31,62125405
32,64370953
33,62351295
34,63465109
35,63606049
36,65095129
37,64564545
38,63902401
39,61382917
40,63920887
41,62936905
42,64595546
43,60923314
44,60881999
45,61306391
46,62435022
47,65093007
48,61000500
49,61107371
50,63899303
51,63917142
52,59978959
53,63785319
54,64180222
55,62598130
56,64663385
57,63607919
58,64491004
59,63017931
60,60459292
61,64044200
62,60848403
63,60530393
64,61776977
65,61863504
66,61551797
67,64646867
68,61558613
69,61821515
70,62882030
71,63608183
72,63839885
73,63538113
74,60142937
75,60192523
76,65079466
77,63139394
78,62386631
79,63087586
80,61569900
81,63924567
82,63672261
83,60833301
84,60187634
85,64105840
86,63648380
87,61916760
88,61127158
89,60990897
90,64002602
91,61134980
92,62040309
93,63392315
94,59701981
95,64631124
96,63112907
97,62434075
98,60492839
99,64124757
100,64180517
101,60243099
102,61860156
103,60867353
104,61073049
105,64610841
106,61046012
107,64675655
108,62703391
109,61656822
110,64445784
111,62545504
112,60209265
113,63281940
114,62644862
115,63626014
116,63387831
117,61166514
118,62142122
119,63478947
120,61888473
121,63633633
122,60573957
123,62771502
124,61690689
125,60914793
126,59435020
127,64119623
128,62750798
129,65084644
130,64262302
131,60876394
132,61022109
133,63232732
134,61567599
135,60062624
136,62671054
137,64937822
138,63113763
139,57891759
140,62863374
141,64805769
142,64047261
143,63948641
144,61191642
145,64702885
146,62472238
147,63141267
148,62638298
149,62658346
150,64193049
151,65034771
152,64180606
153,60997438
154,54873721
155,63932600
156,58454157
157,60996241
158,63236864
159,64626722
160,63689270
161,61680408
162,60345277
163,64774966
164,62651112
165,63988599
166,62093326
167,61124443
168,60579343
169,62345557
170,64800623
171,64626637
172,62350438
173,64112358
174,62327803
175,65082609
176,63953597
177,57248098
178,65025131
179,61227950
180,65140400
181,63906559
182,61825698
183,59962851
184,60780181
185,62797376
186,64793859
187,64646890
188,64406166
189,60121768
190,61482810
191,60170037
192,64310515
193,62961194
194,62772819
195,60220842
196,62502719
197,64342621
198,62782001
199,64023547
200,62361657
201,65123084
202,64514791
203,63918658
