,Q_id
0,52019226
1,64070871
2,59113797
3,58245855
4,59898015
5,54283937
6,59632120
7,60286674
8,63605446
9,62593621
10,53258236
11,59656318
12,61057620
13,64347099
14,47208048
15,46141331
16,52699598
17,55407947
18,65145865
19,56254649
20,61721518
21,50559586
22,60616842
23,55779201
24,60091890
25,61717694
26,57582591
27,56817588
28,50075783
29,60028225
30,56678776
31,64184130
32,50874279
33,60651110
34,59388426
35,55093539
36,61299146
37,61768686
38,64639175
39,60810806
40,59270769
41,56918388
42,62762673
43,59719200
44,59985154
45,57152157
46,64539158
47,51549799
48,59568216
49,53690572
50,64509613
51,62487570
52,63205159
53,58253408
54,55561540
55,61193282
56,60651800
57,63084944
58,47352366
59,47443880
60,57753687
61,64561441
62,44544766
63,62818464
64,50183809
65,59360678
66,60826779
67,61914767
68,55960004
69,50477443
70,62810016
71,60707780
72,53097319
73,34716454
74,47149076
75,52360978
76,63740473
77,64869242
78,63515917
79,58018009
80,58784182
81,58898253
82,53413756
83,50083767
84,53919837
85,44980787
86,43367004
87,62309736
88,56854539
89,64266764
90,49439963
91,49856097
92,51502888
93,59357170
94,52019808
95,62421732
96,56411775
97,62014498
98,64438467
99,62451217
100,61922244
101,58764687
102,61724871
103,62617097
104,62921107
105,42191267
106,57706942
107,44399071
108,61559333
109,60218269
110,55150730
111,47599888
112,45947351
113,60959631
114,64163517
115,58837207
116,61472806
117,64952634
118,56270098
119,52447345
120,60960691
121,63469342
122,65077143
123,53204604
124,48428415
125,44129726
126,48145150
127,59555168
128,56520140
129,51941092
130,54945641
131,62156766
132,64334292
133,61286412
134,61960251
135,55314078
136,59431911
137,64614449
138,64811632
139,61976011
140,63731349
141,63696334
142,60546872
143,57271991
144,64974605
145,62366872
146,55742105
147,60761415
148,63989328
149,58864930
150,63612751
151,64667048
152,63156066
153,61544214
154,54636921
155,62553164
156,60412093
157,61026175
158,60897336
159,51939618
160,62267488
161,46923704
162,60470811
163,56518355
164,56026250
165,55074954
166,61456686
167,64500549
168,63278199
169,58764595
170,54429053
171,62565448
172,61036421
173,65133108
174,52418248
175,47214731
176,64198831
177,59142425
178,40755024
179,55394182
180,56663388
181,51537837
182,53640596
183,61102362
184,60880868
185,54688502
186,61556914
187,56703423
188,55654311
189,58059130
190,54772456
191,62988304
192,47279677
193,51428696
194,51167542
195,61922891
196,53674690
197,54144189
198,60055937
199,59074105
200,58116359
201,62674827
202,64984056
203,50109629
204,61491302
205,62682371
206,55673776
207,52710671
208,55232800
209,63613281
210,63258902
211,43048376
212,53311885
213,64757677
214,55281410
215,54022742
216,57448488
217,56681728
218,59788528
219,51751163
220,63008991
221,62897437
222,63170105
223,62433179
224,47417897
225,63070670
226,58233442
227,64224948
228,53170149
229,61532345
230,63522465
231,62814089
232,41714947
233,57390019
234,59972820
235,54194624
236,63900578
237,60598858
238,50399495
239,64317067
240,61753091
241,44005637
242,38452646
243,55944143
244,56192998
245,61906826
246,61280315
247,59120270
248,60151548
249,42346516
250,60268647
251,62855617
252,56481038
253,60682098
254,46242187
255,54575515
256,64308649
257,59317919
258,63564751
259,60820691
260,57539204
261,56767529
262,58537017
263,60395881
264,58043606
265,58438967
266,64959055
267,65135393
268,56445615
269,63947374
270,62787056
271,63994092
272,57439802
273,62440336
274,60646839
275,58347545
276,56010489
277,59106542
278,61974526
279,43361603
280,51463383
281,47608273
282,46674293
283,61666415
284,62932191
285,58253846
286,49866649
287,42149649
288,64983112
289,62742336
290,61848368
291,56721498
292,58467962
293,37641854
294,63347272
295,51070935
296,63827339
297,45111142
298,62168306
299,45099737
300,56728337
301,41768341
302,62498623
303,51144462
304,55655972
305,60040420
306,60494789
307,51414808
308,64476432
309,42026835
310,64833532
311,60615290
312,51785432
313,48982715
314,55449225
315,63809805
316,54301574
317,45319055
318,59562711
319,59137907
320,58181083
321,55066217
322,56895298
323,55435899
