,Q_id
0,54004682
1,64753300
2,46698189
3,37950354
4,64208387
5,64805202
6,53636759
7,58184141
8,57934994
9,64475686
10,51887958
11,54980992
12,56509459
13,59089002
14,46115403
15,59019290
16,48870598
17,48607078
18,48519761
19,50819081
20,51738029
21,51643987
22,44191723
23,50994090
24,42015797
25,56743055
26,54241172
27,55140993
28,64569649
29,60670924
30,58990039
31,62000175
32,60674758
33,41716380
34,59319022
35,62494271
36,61693941
37,60157547
38,61456677
39,49206650
40,59820290
41,60708920
42,64951910
43,63487955
44,61027271
45,59555321
46,61733280
47,63254704
48,56974542
49,56526497
50,55699860
51,55420520
52,61896928
53,61635398
54,56430021
55,52995288
56,47946413
57,57350120
58,49402739
59,61194564
60,45930750
61,61886725
62,55966221
63,60877810
64,53533974
65,53630041
66,55371645
67,40329307
68,51595618
69,62832159
70,64404290
71,46995209
72,65069637
73,55264696
74,62783076
75,57278557
76,54553561
77,62681282
78,57315783
79,49126007
80,52106752
81,61679760
82,52751040
83,62385838
84,51180234
85,42821363
86,65150136
87,61239827
88,58467774
89,58103035
90,63579211
91,63389187
92,61464546
93,58545092
94,60785112
95,52192148
96,53689684
97,60179689
98,54069363
99,56064192
100,60878915
101,57532416
102,60720300
103,56064458
104,62568236
105,54343465
106,50334755
107,60469114
108,63267540
109,56733871
110,64734203
111,64966595
112,63820479
113,55211277
114,50664485
115,59041987
116,42823627
117,51469638
118,58381152
119,59729498
120,59654681
121,60577039
122,51445857
123,62535968
124,60642537
125,42641824
126,43128584
127,60553285
128,62635133
129,46227678
130,53243386
131,56270834
132,55879149
133,62141945
134,39432170
135,51048421
136,55797278
137,52579346
138,62201397
139,59963721
140,62169893
141,59493127
142,54829236
143,60347228
144,52653320
145,54939086
146,60444268
147,52723416
148,59414250
149,51288213
150,52742283
151,59518447
152,62318238
153,59069058
154,52317452
155,54731066
156,50898628
157,52372118
158,59933399
159,63546290
160,56821415
161,38483787
162,60125466
163,48265926
164,53489352
165,55264427
166,60443479
167,63818561
168,58685407
169,56313068
170,48599464
171,59447567
172,50710068
173,63207113
174,60776218
175,64441356
176,50628586
177,61116190
178,50755429
179,54750890
180,47898566
181,45488000
182,58376590
183,52606473
184,52675607
185,64754715
186,43084571
187,60070279
188,64916272
189,57756451
190,52866049
191,48550201
192,64135559
193,64938800
194,45123263
195,60371871
196,49465418
197,61447786
198,45188827
199,59360263
200,58804850
201,61495030
202,60902858
203,58300382
204,57801222
205,54361669
206,51159010
207,57033167
208,43357570
209,57737176
210,54923916
211,58807467
212,60684838
213,64721025
214,61967172
215,58329949
216,47215195
217,64593326
218,57693124
219,55277561
220,62729806
221,52162004
222,59220998
223,64628738
224,49779141
225,50474336
226,61402458
227,57470479
228,44012309
229,57005176
230,56914715
231,63556536
232,59577258
233,61355289
234,44566475
235,50977948
236,60474700
237,59399878
238,54911015
239,54084546
240,46828476
241,54151453
242,60910157
243,46224598
244,60758865
245,49765265
246,62823385
247,51915835
248,38684768
249,63468244
250,56581569
251,63414719
252,49321280
253,59519256
254,57234949
255,49330274
256,63214838
257,55099721
258,57058178
259,43525896
260,51697727
261,60456253
262,55931671
263,48677077
264,53152243
265,62899061
266,60299868
267,57291799
268,59748121
269,57635704
270,55681649
271,40747679
272,58734690
273,55115837
274,50858265
275,50853699
276,60482956
277,60162973
278,61222522
279,55582569
280,51457084
281,58113387
282,53371014
283,62203079
284,64575050
285,60112588
286,58390826
287,51078625
288,52481006
289,55963617
290,49702026
291,61123589
292,59479469
293,63118141
294,48466896
295,53058116
296,43242313
297,50266975
298,55361979
299,53256877
300,59587900
301,57670482
302,52118525
303,53296165
304,56887202
305,59361779
306,59585026
307,55923311
308,59832879
309,63167041
310,60306789
311,55699540
312,55163177
313,61586614
314,52897995
315,53648620
316,62138035
317,46510992
318,63516865
319,54205249
320,61609913
321,40401008
322,62256568
323,62229683
324,53634924
325,45194059
326,49847312
327,61154388
328,42867864
329,61064717
330,56856573
331,49603498
332,64742115
333,44409453
334,53516662
335,61227604
336,62188439
337,57937097
338,59131008
339,61616735
340,40382543
341,60693220
342,63347868
343,56742985
344,52013446
345,61798624
346,65010818
347,49852241
348,43566949
349,56609235
350,57047940
351,61079306
352,59182568
353,64315183
354,40028175
355,62901817
356,64854746
357,46411875
358,63966917
359,53966356
360,49501372
361,60057411
362,60297320
363,45552856
364,54754668
365,54522336
366,59608752
367,47670737
368,62038389
369,57751417
370,51509353
371,62682505
372,43479957
373,55463117
374,52217603
375,60275052
376,43637515
377,45064091
378,63700886
379,54842219
380,62666620
381,50267032
382,60167128
383,56657993
384,53031577
385,49721691
386,63409879
387,53066762
388,61422468
389,54161023
390,64072898
391,61789738
392,57974580
393,64940745
394,53095061
395,62346545
396,56854988
397,50033312
398,51015259
399,60080851
400,57651278
401,56000268
402,60126101
403,46598341
404,49202952
405,48218618
406,51944836
407,63724730
408,57627360
409,50682119
410,48529048
411,39303623
412,54323960
413,63479067
414,53266491
415,64115390
416,50629620
417,50511689
418,57228000
419,48539256
420,41958566
421,59848121
422,61843677
423,58557857
424,62670168
425,58089423
426,60201977
427,54595256
428,50992948
429,56341753
430,53804297
431,61481921
432,52469352
433,50895891
434,64090745
435,60576466
436,61506431
437,56317547
438,61311763
439,64276284
440,49841716
441,61839480
442,48247301
443,55109696
444,59728509
445,60743370
446,62772571
447,54025795
448,63063260
449,57682831
450,58391295
451,63687295
452,62018119
453,44497149
454,51427390
455,62670459
456,61189881
457,43153935
458,64858908
459,59483760
460,43730275
461,58735698
462,52708764
463,53613681
464,65102124
465,47877083
466,61655305
467,63061789
468,53038804
469,44367493
470,45190707
471,61893001
472,60356110
473,60350774
474,62158382
475,58311142
476,60784293
477,62850541
478,58702129
479,64118767
480,57126626
481,62614256
482,62924886
483,60058588
484,47206714
485,50210953
486,62596380
487,59081904
488,63074971
