,Q_id
0,52019226
1,64070871
2,59113797
3,58245855
4,59898015
5,54283937
6,60286674
7,63605446
8,62593621
9,53258236
10,59656318
11,61057620
12,47208048
13,46141331
14,52699598
15,55407947
16,56254649
17,61721518
18,50559586
19,60616842
20,55779201
21,60091890
22,61717694
23,57582591
24,56817588
25,50075783
26,60028225
27,56678776
28,64184130
29,50874279
30,60651110
31,59388426
32,61299146
33,61768686
34,60810806
35,59270769
36,62762673
37,59719200
38,64539158
39,51549799
40,59568216
41,53690572
42,64509613
43,62487570
44,63205159
45,58253408
46,55561540
47,61193282
48,60651800
49,63084944
50,47352366
51,47443880
52,57753687
53,64561441
54,44544766
55,62818464
56,50183809
57,61914767
58,55960004
59,50477443
60,62810016
61,60707780
62,53097319
63,34716454
64,47149076
65,52360978
66,63740473
67,64869242
68,58784182
69,58898253
70,50083767
71,53919837
72,44980787
73,43367004
74,62309736
75,56854539
76,64266764
77,49439963
78,49856097
79,51502888
80,59357170
81,52019808
82,62421732
83,56411775
84,62014498
85,64438467
86,62451217
87,61922244
88,58764687
89,61724871
90,62617097
91,62921107
92,42191267
93,44399071
94,61559333
95,60218269
96,55150730
97,47599888
98,45947351
99,60959631
100,64163517
101,58837207
102,61472806
103,64952634
104,56270098
105,52447345
106,60960691
107,63469342
108,65077143
109,53204604
110,44129726
111,48145150
112,56520140
113,62156766
114,64334292
115,55314078
116,59431911
117,64811632
118,61976011
119,63696334
120,60546872
121,57271991
122,64974605
123,62366872
124,55742105
125,60761415
126,63989328
127,58864930
128,63612751
129,64667048
130,63156066
131,61544214
132,62553164
133,60412093
134,61026175
135,62267488
136,46923704
137,60470811
138,56518355
139,56026250
140,55074954
141,64500549
142,58764595
143,54429053
144,62565448
145,61036421
146,65133108
147,52418248
148,47214731
149,64198831
150,59142425
151,55394182
152,51537837
153,53640596
154,54688502
155,56703423
156,55654311
157,58059130
158,54772456
159,62988304
160,47279677
161,51428696
162,51167542
163,61922891
164,53674690
165,54144189
166,60055937
167,58116359
168,62674827
169,64984056
170,50109629
171,61491302
172,62682371
173,55673776
174,52710671
175,55232800
176,63258902
177,43048376
178,53311885
179,64757677
180,55281410
181,56681728
182,59788528
183,51751163
184,63008991
185,62897437
186,63170105
187,62433179
188,47417897
189,63070670
190,58233442
191,64224948
192,53170149
193,61532345
194,63522465
195,62814089
196,57390019
197,59972820
198,54194624
199,63900578
200,60598858
201,50399495
202,64317067
203,44005637
204,38452646
205,55944143
206,56192998
207,61906826
208,61280315
209,59120270
210,60151548
211,42346516
212,56481038
213,60682098
214,46242187
215,54575515
216,64308649
217,59317919
218,63564751
219,60820691
220,57539204
221,56767529
222,58537017
223,60395881
224,58043606
225,58438967
226,64959055
227,65135393
228,63994092
229,57439802
230,62440336
231,60646839
232,58347545
233,56010489
234,59106542
235,61974526
236,43361603
237,51463383
238,47608273
239,46674293
240,61666415
241,62932191
242,58253846
243,49866649
244,64983112
245,62742336
246,61848368
247,58467962
248,37641854
249,63347272
250,51070935
251,63827339
252,45111142
253,62168306
254,45099737
255,56728337
256,41768341
257,62498623
258,51144462
259,55655972
260,60040420
261,51414808
262,64476432
263,64833532
264,51785432
265,48982715
266,55449225
267,63809805
268,54301574
269,45319055
270,59562711
271,59137907
272,58181083
273,55066217
274,56895298
275,62235453
276,63271897
277,57544846
278,64080961
279,56240197
280,51968293
281,52937055
282,43714864
283,61068616
284,55916235
285,64415238
286,58106068
287,52069367
288,49419860
289,64084985
290,62647689
291,53639067
292,62454464
293,62757232
294,62687230
295,63961076
296,63675105
297,49388477
298,61547304
299,47064178
300,56715893
301,60505628
302,54377670
303,60263100
304,64052906
305,56498504
306,57677834
307,61068630
308,58208659
309,53897220
310,55227732
311,58722640
312,61335856
313,61248166
314,50925072
315,60871258
316,63055498
317,49363410
318,58988302
319,52575271
320,44410135
321,48227078
322,61646417
323,63233460
