,Q_id
0,61433576
1,45017534
2,5651998
3,29653321
4,45588502
5,52919299
6,44187168
7,37909295
8,49891820
9,50570511
10,59360678
11,31836058
12,62740690
13,42616455
14,45783267
15,51585247
16,22775938
17,48810597
18,24134131
19,51910396
20,43923853
21,53284807
22,64307851
23,60653271
24,38309163
25,31707742
26,49074258
27,50694066
28,63764186
29,35705303
30,51330793
31,7679970
32,51895244
33,38401202
34,61278302
35,37096648
36,28501072
37,27471177
38,3703944
39,22919275
40,46449738
41,36870633
42,18023553
43,36349755
44,38907413
45,34242030
46,4858467
47,51135507
48,56882778
49,43572898
50,63427681
51,43216610
52,16370583
53,27074322
54,14802442
55,10715628
56,48872564
57,62472606
58,28999668
59,58800527
60,44334261
61,49845994
62,30003957
63,59151477
64,62672474
65,61897926
66,50849478
67,11870210
68,52542614
69,54537417
70,54517501
71,28926017
72,46914387
73,37908571
74,39643391
75,58085041
76,62956267
77,59099451
78,43207335
79,14580540
80,47992091
81,58437691
82,14313025
83,43194726
84,28575082
85,50659889
86,36382937
87,27216038
88,54631353
89,53920226
90,31349851
91,34904175
92,39473824
93,42970646
94,44584671
95,60633076
96,32896097
97,52423333
98,47614999
99,34787210
100,53451941
101,43166692
102,63945863
103,62758797
104,55168908
105,50591856
106,48630248
107,37148550
108,23120822
109,22999273
110,23861355
111,15587445
112,43325174
113,53728305
114,56451430
115,45318066
116,53582922
117,13516364
118,23175832
119,49058275
120,61646185
121,19975301
122,63338737
123,38420922
124,40453457
125,49466707
126,45953625
127,64177931
128,54162277
129,64498145
130,51287590
131,43317187
132,40117239
133,52830545
134,52804788
135,38090137
136,33015326
137,31298842
138,29290913
139,61363051
140,9777871
141,29275614
142,36666641
143,50464008
144,57193221
145,60151377
146,49017941
147,62335799
148,49216339
149,62588616
150,46509783
151,29149158
152,54499209
153,36836481
154,44630043
155,21882460
156,40979675
157,11763613
158,37550554
159,55840360
160,57994144
161,7400533
162,48671265
163,19515595
164,48412858
165,48741451
166,34088658
167,27818607
168,60869725
169,62092230
170,64835357
171,19693204
172,14881943
173,53927702
174,53231269
175,62182432
176,56592351
177,32446892
178,46192371
179,50140693
180,64322444
181,49863520
182,62523664
183,63197345
184,41114728
185,62341545
186,35269142
187,13269543
188,27178492
189,41229635
190,25256878
191,29476963
192,42698478
193,61142747
194,34083039
195,27576462
196,46866525
197,62123806
198,57081411
199,55833370
200,44881831
201,58097278
202,48535287
203,43868811
204,35103191
205,44539224
206,56416641
207,50794820
208,39241709
209,42679560
210,62292731
211,3595877
212,46344878
213,29230623
214,58902475
215,35118596
216,63642426
217,57981616
218,44486259
219,29113755
220,48729237
221,31621967
222,60350262
223,29395248
224,40661360
225,35373833
226,43993038
227,48480999
228,33207799
229,63454445
230,35889792
231,46109452
232,27271082
233,28141348
234,39007755
235,60800291
236,19694106
237,25493720
238,21918961
239,58639521
240,64656848
241,43412753
242,23914243
243,8562079
244,46501481
245,37059269
246,12317279
247,30807170
248,15009656
249,65040696
250,3788870
251,40900854
252,24622693
253,63586212
254,27141464
255,21633542
256,48411190
257,20470921
258,63708987
259,33389108
260,42543853
261,18426127
262,33731454
263,46499433
264,43451906
265,51490620
266,37971268
267,19648959
268,30328586
269,25352211
270,58623137
271,16275471
272,51406281
273,39858195
274,50883000
275,30808083
276,48585330
277,60835684
278,29850301
279,55202347
280,54787845
281,48619305
282,14095971
283,62416738
284,57598318
285,43856752
286,18465660
287,31234168
288,63587198
289,45132422
290,36254464
291,17486918
292,25924932
293,58148110
294,57140928
295,54989825
296,31514136
297,34670663
298,58122336
299,29863715
300,22430402
301,43514169
302,58703422
303,10349889
304,57088490
305,47741315
306,30153125
307,1286301
308,17672423
309,57971569
310,51337884
311,2289046
312,34232190
313,20403876
314,45202126
315,59529467
316,49255795
317,33222502
318,58844962
319,50644702
320,48115430
321,38221147
322,57092074
323,52941091
324,50995179
325,16771178
326,48152637
327,50617254
328,28447330
329,61681613
330,55619297
331,51945520
332,15169472
333,27889882
334,60295233
335,21859098
336,32685445
337,25147121
338,53040262
339,48641112
340,38811973
341,26415163
342,50966675
343,40361488
344,41468975
345,31700152
346,30664677
347,28979559
348,26767502
349,43111471
350,51081994
351,33829160
352,59430805
353,29126915
354,63433168
355,40190037
356,41874607
357,42207723
358,52625388
359,61549822
360,31843524
361,40741982
362,21366286
363,35624245
364,38340207
365,59214434
366,39823863
367,60059964
368,38521971
369,14500831
370,52436726
371,45339229
372,64977540
373,56585262
374,25111090
375,46405091
376,58002877
377,59538701
378,59633929
379,55304262
380,41286961
381,60574800
382,39706790
383,43721175
384,37862845
385,64945324
386,39698100
387,52863400
388,45388056
389,47337547
390,45855664
391,63033347
392,36511498
393,25910257
394,47906952
395,26560640
396,49600319
397,35738678
398,19749541
399,12291492
400,57708975
401,45663631
402,27935195
403,63521184
404,24125862
405,46939068
406,60345476
407,55135556
408,4294474
409,45919639
410,29574236
411,34153955
412,42695952
413,33755092
414,60261080
415,61170528
416,30673455
417,21619267
