,Q_id
0,55482342
1,43130071
2,29358039
3,62450339
4,61872214
5,32264398
6,49100615
7,44246658
8,5696995
9,54539126
10,16645799
11,50906501
12,19243162
13,47103811
14,2844105
15,60556235
16,42699627
17,40771599
18,53224769
19,25897678
20,7742894
21,60403126
22,23314834
23,57002951
24,29810081
25,48302987
26,15051969
27,65150136
28,63011517
29,37958781
30,39029244
31,21366266
32,23793628
33,32953360
34,50776350
35,7986900
36,38026975
37,31812825
38,11460115
39,14131690
40,63369826
41,10874994
42,51264216
43,50354482
44,30085694
45,54412655
46,62707857
47,37331708
48,9720894
49,61150183
50,50126580
51,45550584
52,40369387
53,14168601
54,24647400
55,12389093
56,54352011
57,32434810
58,44280418
59,17083442
60,31148582
61,46375817
62,42428610
63,2472313
64,36358721
65,42454501
66,32706790
67,50003363
68,46765067
69,1787755
70,40886601
71,37913600
72,23945336
73,47373905
74,25159723
75,44627080
76,19675106
77,58938085
78,22993796
79,56181579
80,51189880
81,56821957
82,24838422
83,60348046
84,22573251
85,51978112
86,61182857
87,23555995
88,43113266
89,30323409
90,41135369
91,32173039
92,4543008
93,63334958
94,38014539
95,43264637
96,45315009
97,38644313
98,43876234
99,61116245
100,2836959
101,55170966
102,58046570
103,52469352
104,42504788
105,11351290
106,12501165
107,35398153
108,27203056
109,55833825
110,25835893
111,23396807
112,57204486
113,14732167
114,7056996
115,58887586
116,41404155
117,61655305
118,54491245
119,45531514
120,28841229
121,39909873
122,49887390
123,43036843
124,20083056
125,1687510
126,36074536
127,51877220
128,53545420
129,46732843
130,53089132
131,27119584
132,51514208
133,63221794
134,16351744
135,60270641
136,52080253
137,59038431
138,54634000
139,20020506
140,62643461
141,7731981
142,64333028
143,55492666
144,27500159
145,28548445
146,16436314
147,34640116
148,22031968
149,46308283
150,47340789
151,24053462
152,40122738
153,38367997
154,48521208
155,5532363
156,9876616
157,38445904
158,28579530
159,54659466
160,64068144
161,15073937
162,34560047
163,32161569
164,58437385
165,47602873
166,9647202
167,10789834
168,56586527
169,5341957
170,15468178
171,62228457
172,8778924
173,65030356
174,48963243
175,42033110
176,40826144
177,58750644
178,6922076
179,18529140
180,37134730
181,55225954
182,39567162
183,60963726
184,28876407
185,46943409
186,11402632
187,18385303
188,50796665
189,21722956
190,9288221
191,297112
192,12703842
193,7511538
194,45145020
195,15920104
196,30658769
197,43688114
198,15326694
199,41929044
200,59938853
201,37056797
202,64913531
203,65071386
204,7629872
205,45392362
206,29276191
207,15885089
208,62734153
209,24866017
210,52125902
211,51213768
212,54846268
213,29418845
214,40889493
215,58081159
216,35017830
217,48392792
218,35344433
219,7591258
220,49360828
221,62058420
222,47622946
223,34090316
224,61250510
225,36072920
226,62718063
227,10434869
228,29760119
229,29753856
230,10072744
231,40432155
232,54432045
233,44092103
234,30812859
235,23872413
236,4990936
237,42679796
238,43288061
239,4176350
240,63574386
241,25206991
242,45069970
243,20710593
244,23565062
245,45497976
246,8394257
247,56022278
248,44514898
249,5928704
250,28845717
251,28773122
252,61730055
253,61919670
254,63378487
255,63717266
256,11479935
257,56105853
258,47865082
259,43943462
260,30678323
261,48237632
262,13065103
263,64610705
264,59845191
265,28558807
266,41107048
267,21652251
268,45338979
269,23808776
270,29323849
271,32474847
272,48170666
273,63607797
274,31285027
275,12459908
276,56274996
277,24788566
278,65107947
279,1787110
280,47728419
281,8841569
282,22349991
283,56208287
284,25534214
285,41511463
286,14732465
287,52916729
288,33169772
289,5044359
290,50049805
291,51214026
292,61843575
293,41891665
294,28618400
295,53246564
296,27551550
297,21367779
298,52447573
299,59817080
300,54960958
301,55154381
302,38682784
303,35462747
304,34501296
305,3501436
306,51343373
307,46912501
308,2572301
309,16379313
310,46519084
311,3182268
312,42193818
313,8192455
314,57226900
315,17502580
316,39624478
317,23189755
318,39806859
319,45590278
320,27393613
321,27852969
322,27497528
323,59912179
324,42370347
325,5443553
326,47772094
327,15317690
328,41810928
329,31578300
330,4895661
331,32237564
332,61731279
333,49484820
334,60712874
335,59207644
336,18352030
337,56448980
338,46691516
339,46964236
340,25042855
341,60752016
342,52999914
343,11839021
344,48865150
345,38087711
346,40602222
347,64999042
348,17864538
349,11350616
350,43913983
351,3522372
352,6787345
353,46252792
354,37576649
355,25134160
356,53514277
357,59510138
358,17879551
359,9355460
360,33252480
361,57524628
362,45075762
363,59588492
364,17684186
365,14311601
366,47419623
367,37504391
368,7335740
369,49546253
370,54868337
371,52692912
372,11515339
373,29374157
374,23506732
375,29570207
376,31101471
377,44041125
378,38636967
379,40166031
380,46931868
381,34603922
382,26917726
383,36446729
384,62642578
385,47443608
386,40620294
387,7764229
388,53200934
389,29332454
390,32331848
391,62032971
392,32411715
393,43438008
394,12138656
395,21756196
396,38976670
397,10559591
398,16230984
399,38393554
400,53534662
401,13735815
402,59513752
403,53751241
404,11333903
405,60888125
406,14307313
407,34617557
408,40350299
409,47159447
410,56440347
411,11277379
412,45108634
413,20140678
414,21374375
415,50484314
416,9027369
417,45392648
418,8175726
419,53197537
420,43642567
421,56983821
422,42600706
423,37745801
424,23374694
425,12335917
426,61209388
427,48144253
428,20587153
429,65106321
430,35751207
431,47722992
432,15229963
433,60683505
434,36661097
435,23044789
436,3965850
437,22202071
438,52665291
439,51591096
440,64441812
441,2290375
442,54915130
443,63007606
444,35542519
445,41200785
446,62279907
447,24002485
448,44905199
449,4789318
450,3108602
451,42329766
452,35880803
453,48360678
454,34190860
455,42280418
456,60817248
457,53005362
458,47615654
459,59859386
460,33537664
461,23571785
462,60406830
463,59719477
464,41651625
465,34332675
466,38984387
467,15782898
468,17759489
469,25108053
470,6277350
471,51722351
472,27604191
473,6219539
474,20083422
475,13395409
476,9227527
477,50932132
478,27086753
479,8174904
480,50508049
481,21231151
482,5084578
483,29721510
484,61909731
485,64610402
486,43532718
487,38763007
488,37646254
489,26582452
490,29332851
491,27215031
492,49658383
493,30266502
494,40793193
495,47397768
496,52316106
497,29455919
498,50882838
499,40626011
500,64961588
501,39738327
502,27234280
503,6602664
504,26329525
505,17398052
506,11163656
507,33115343
508,49440520
509,46159517
510,11822194
511,62051187
512,42630026
513,49589709
514,24469369
515,43870604
516,8842817
517,56345245
518,56978661
519,20954805
520,8190545
521,49593080
522,26056621
523,44657908
524,30822131
525,48142702
526,36464366
527,26336106
528,60197895
529,42835852
530,25894451
531,62142403
532,48026532
533,51721454
534,15547409
535,18984722
536,59498416
537,48664343
538,55038360
539,19130512
540,39179703
541,43563593
542,24786679
543,52125136
544,36434783
545,17487406
546,24534699
547,33634432
548,7760513
549,44386072
550,51167284
551,9610903
552,34911264
553,56548554
554,45333997
555,12295251
556,55383438
557,18911589
558,6666537
559,59907990
560,43611550
561,12821201
562,4803032
563,52216546
564,28720174
565,51369210
566,62392445
567,38264636
568,16491594
569,23406043
570,17990384
571,11879864
572,29416355
573,27658409
574,58229402
575,37407054
576,42508624
577,40325980
578,19626737
579,17856860
580,46444449
581,15467627
582,41720086
583,42027252
584,24988678
585,13857686
586,11219319
587,31827756
588,44804418
589,12166819
590,46129217
591,63348829
592,59554641
593,22600665
594,40248786
595,58942407
596,36398088
597,44091813
598,21980086
599,47455914
600,42422593
601,5564066
602,52448995
603,27071209
604,42445842
605,37178220
606,42848307
607,23634759
608,48974864
609,10463898
610,63409896
611,16410661
612,30084024
613,25615741
614,36796234
615,17014293
616,20896278
617,50309786
618,33969173
619,45525260
620,44412633
621,49986858
622,5364493
623,21607541
624,51518059
625,5248100
626,24517722
627,15003136
628,45511119
629,34093782
630,45636959
631,2168793
632,54528740
633,38029270
634,33044681
635,57471912
636,32262068
637,22191619
638,64696740
639,63120681
640,6849600
641,2661778
642,29102632
643,59991499
644,48468198
645,2539782
646,25360580
647,58816133
648,32746636
649,61458623
650,52213335
651,46318284
652,23429117
653,40851783
654,57851379
655,48058311
656,35882925
657,18797776
658,50642738
659,15591551
660,48607339
661,52418254
662,49929066
663,32988413
664,19402971
665,30041040
666,30715896
667,59102223
668,61293521
669,52918493
670,31350798
671,17669952
672,36610253
673,39233259
674,32549376
675,26752970
676,38630934
677,14611236
678,44046259
679,3699810
680,22076055
681,52307022
682,13015593
683,43369168
684,11529424
685,49596744
686,33465118
687,51634328
688,62044225
689,51324178
690,61243879
691,17753182
692,54053517
693,38547598
694,20091698
695,51859091
696,52729565
697,30697605
698,28517258
699,59977552
700,58531461
701,42313776
702,24130880
703,54647276
704,20971073
705,38304330
706,52809932
707,39777806
708,19746251
709,59178739
710,43221446
711,35356198
712,4905368
713,61151029
714,28965120
715,32235272
716,56873562
717,45320104
718,48628870
719,49064114
720,64675028
721,9735381
722,9763393
723,60558084
724,11463396
725,62987153
726,13690194
727,50273626
728,30791194
729,49261780
730,49678251
731,30120307
732,54187798
733,29540952
