,Q_id
0,63831906
1,52948410
2,63522070
3,53588623
4,55762581
5,64355180
6,57753687
7,52361735
8,60940110
9,62354726
10,63309922
11,57618507
12,63658604
13,61402813
14,63372759
15,62677285
16,52818145
17,65097733
18,64974605
19,46509039
20,60013915
21,63339395
22,53901228
23,57491610
24,54722814
25,64313576
26,59648324
27,58256816
28,60851129
29,64727226
30,56092682
31,54490351
32,64703326
33,64618164
34,62379726
35,61971817
36,63015883
37,57857690
38,56861860
39,60900406
40,61708729
41,63746182
42,53578605
43,52196554
44,55060705
45,59905306
46,55754400
47,59223995
48,52178579
49,53916510
50,53548405
51,61897853
52,62665081
53,61250507
54,62024420
55,62762721
56,57502753
57,62411516
58,44837426
59,58959799
60,55466298
61,60478862
62,49035156
63,51562323
64,54770249
65,59646298
66,62757772
67,62938230
68,62079034
69,54340766
70,58879512
71,59662399
72,60452222
73,61072673
74,53547304
75,53623472
76,63830441
77,58344480
78,57208913
79,62317756
80,60302123
81,53090781
82,42480111
83,63215140
84,60715802
85,51803437
86,56251267
87,57407939
88,59955290
89,59352314
90,52782864
91,62905328
92,63979009
93,60465720
94,64966807
95,47996046
96,53684335
97,63221468
98,64462531
99,49304817
100,52391648
101,60150426
102,51851966
103,61907618
104,60232485
105,58688056
106,58979779
107,47624798
108,49951492
109,56856236
110,63227656
111,47594358
112,59209055
113,64263839
114,53581904
115,53569050
116,46330797
117,61789457
118,62833157
119,58990284
120,64914598
121,60101973
122,51198474
123,62504157
124,64523441
125,62466506
126,53683116
127,59014699
128,60903821
129,61115032
130,61289559
131,49742625
132,62274014
133,46480972
134,64756123
135,62400718
136,57061969
137,61569612
138,64268742
139,59037704
140,63132181
141,55814318
142,51554788
143,56391692
144,52503695
145,61655781
146,61837275
147,63254843
148,57365477
149,62312611
150,61778197
151,54994658
152,61015728
153,61501555
154,49065222
155,47553103
156,61689643
157,58709494
158,62156124
159,42795226
160,64670476
161,60158625
162,64142041
163,48226221
164,54247715
165,60312775
166,64846787
167,65092624
168,59684472
169,60939198
170,56675943
171,59072659
172,63380445
173,62338595
174,63487775
175,61741843
176,51180423
177,63424990
178,43662364
179,62480165
180,48822463
181,64156202
182,63740367
183,57258882
184,53874379
185,60045550
186,60467264
187,64092022
188,55030766
189,58632551
190,65014887
191,50663803
192,49445701
193,61375457
194,58954799
195,52343382
196,53496570
197,64515207
198,57948024
199,57425873
200,51909270
201,58893823
202,48274929
203,55342589
204,49247369
205,62166719
206,56783182
207,57993899
208,55369821
209,57104935
210,59300326
211,60009868
212,51986758
213,57815801
214,62569202
215,65155494
216,61143910
217,57710920
218,58733721
219,61556129
220,64138426
221,57763326
222,65023526
223,63222657
224,58251047
225,60095102
226,54682457
227,62806681
228,56861681
229,61490158
230,64589649
231,43664444
232,62748639
233,61039700
234,56534732
235,61019485
236,63418904
237,62472438
238,64944839
239,61312746
240,62868829
241,64585455
242,63778509
243,63789391
244,64335975
245,52119162
246,63366703
247,56238599
248,61883535
249,52298179
250,59183865
251,60897306
252,59048467
253,56926882
254,59485640
255,63421750
256,59581762
257,61301519
258,63350404
259,60796555
260,60893196
261,61128098
262,56429621
263,48796469
264,65115120
265,65103014
266,62349556
267,62055185
268,60257756
269,64084881
270,64929665
271,64823332
272,63089405
273,64356499
274,60444507
275,59551458
276,58241313
277,64832467
278,63264460
279,59511040
280,58308257
281,60656880
282,55812434
283,47488598
284,45113245
285,58529988
286,53844826
287,61099847
288,64348688
289,60082711
290,60272142
291,57900190
292,61884137
293,60028614
294,59080201
295,53097477
296,50087252
297,62109055
298,58946353
299,53467460
300,62588779
301,57151432
302,62587345
303,61009940
304,64627576
305,57771959
306,53710313
307,61945404
308,51329159
309,52126579
310,60063910
311,54316053
312,62014720
313,62099030
314,60865167
315,53043713
316,60367356
317,65133426
318,42479902
319,62111894
320,61862678
321,55691819
322,55895696
323,59863263
324,62084654
325,64365215
326,63587198
327,62453430
328,59273275
329,61412874
330,61226042
331,64372169
332,60157858
333,56549448
334,59260854
335,62318970
336,62126586
337,62129665
338,61900138
339,63269658
340,55948551
341,64814104
342,62941402
343,60189355
344,64267027
345,47319704
346,47373421
347,50919752
348,62538079
349,63852258
350,61398117
351,51704247
352,58251122
353,62276020
354,62206826
355,59268952
356,64369385
357,62311058
358,62237372
359,62585158
360,58671916
361,64876788
362,59932666
363,61565156
364,50710037
365,59584457
366,61964909
367,60421630
368,60615115
369,59280816
370,50734480
371,59008098
372,64565697
373,58125674
374,62099164
375,56849779
376,55774902
377,61697227
378,58786354
379,59613693
380,60005715
381,59999705
382,63936020
383,61245215
384,59437658
385,60376096
386,56821925
387,57995859
388,65156637
389,65049435
390,65137260
391,53890913
392,53515719
393,58256194
394,45929573
395,55193322
396,50586687
397,60724571
398,64089044
399,55133700
400,54727465
401,55341072
402,56093749
403,62350436
404,61956923
405,58518980
406,63112597
407,64574142
408,55584747
409,57836679
410,44717100
411,52827601
412,48807989
413,55669763
414,62125405
415,56923703
416,53663166
417,62644040
418,60689453
419,62246089
420,61736959
421,59005509
422,64088157
423,60955126
424,61405407
425,60877440
426,63618047
427,63530582
428,54445471
429,64779266
430,61718535
431,58589349
432,60021266
433,58439395
434,63076590
435,60527655
436,64370953
437,46756709
438,45618655
439,62554659
440,62442937
441,62351295
442,45490265
443,50086577
444,62415251
445,64925948
446,54824768
447,55792839
448,64098364
449,64170444
450,55473368
451,51943308
452,51125227
453,54323427
454,59916431
455,61580468
456,54977756
457,61558291
458,63265578
459,55718119
460,58310080
461,56667596
462,47267293
463,56027238
464,48940080
465,60025291
466,59358141
467,58349230
468,59697062
469,59525926
470,63215665
471,51828551
472,64645040
473,57526302
474,61584587
475,63606049
476,57276137
477,63178559
478,55937437
479,64052643
480,50450800
481,64807447
482,59650840
483,62442198
484,64321810
485,60923994
486,52780559
487,55820628
488,62537299
489,61471370
490,49362616
491,55670244
492,47313656
493,64857786
494,50285824
495,54916135
496,56741108
497,57237381
498,54737581
499,61544723
500,57688191
501,57168696
502,57122727
503,53184978
504,61544379
505,61169941
506,62644255
507,53695105
508,55179282
509,47786930
510,56131509
511,63976297
512,61538860
513,57122734
514,60586665
515,48350616
516,58890684
517,59884949
518,61978831
519,64963144
520,49004255
521,54059953
522,64311259
523,62839623
524,52513802
525,58434046
526,62375165
527,59512718
528,64825610
529,63902401
530,59569330
531,59007045
532,59509873
533,54964330
534,53331540
535,54411662
536,64356583
537,62163109
538,63922223
539,53030001
540,60825989
541,47521393
542,55129148
543,62667033
544,60437683
545,64662102
546,60101240
547,55595898
548,46739115
549,59816287
550,47128044
551,60949936
552,59879006
553,59340983
554,52044361
555,62420826
556,59215086
557,61710826
558,53363663
559,59537390
560,64086949
561,60690395
562,60873447
563,58580553
564,64229717
565,50718045
566,63431889
567,55762706
568,60595325
569,60586724
570,57815001
571,59818727
572,65061871
573,50841770
574,60873477
575,64080739
576,63937472
577,58786745
578,61855486
579,64923957
580,58908390
581,61209252
582,48574173
583,59939481
584,64052842
585,59301583
586,58530117
587,51845675
588,63458498
589,52235928
590,64885565
591,48608585
592,49993776
593,61292150
594,60397443
595,64885859
596,64973770
597,47146768
598,56346569
599,57005162
600,57612610
601,59452502
602,59063954
603,62598745
604,63680816
605,59378710
606,56144001
607,56002682
608,64601301
609,62147378
610,58408143
611,61841672
612,55907234
613,60710819
614,62334279
615,64612004
616,49073799
617,62084245
618,60881542
619,49717876
620,59924904
621,59076228
622,64473958
623,64933097
624,55083571
625,64911842
626,65115848
627,58236245
628,58319866
629,48558915
630,61094394
631,63920887
632,62513412
633,54371840
634,63929723
635,64595546
636,61001855
637,64182041
638,61640074
639,57307537
640,54239125
641,62327089
642,62253205
643,56859803
644,53036403
645,53367049
646,60855328
647,57459067
648,63113593
649,60014734
650,62453752
651,58404923
652,57085716
653,53137588
654,64345192
655,56772637
656,60996756
657,53843711
658,47461625
659,60423030
660,62380252
661,60961466
662,49624501
663,60923314
664,56744937
665,60293600
666,50532286
667,61664389
668,62406283
669,56312886
670,61701071
671,63299162
672,64204904
673,58560316
674,62124809
675,54421321
676,59762694
677,64343096
678,55875331
679,63786278
680,61373549
681,57386257
682,64457385
683,62435022
684,61049416
685,52455285
686,61811257
687,56360644
688,62359037
689,62888624
690,59924335
691,57281765
692,63209784
693,46474426
694,51677788
695,60129816
696,62939056
697,57490945
698,59024492
699,47107589
700,57457437
701,65093007
702,55012880
703,63758830
704,62891103
705,62622634
706,65012948
707,59643492
708,64919192
709,58590420
710,60845222
711,62213536
712,60360149
713,58063826
714,59986205
715,61196162
716,54249399
717,64734480
718,57632084
719,56426326
720,62427615
721,62342221
722,64373287
723,64483963
724,59889041
725,63946820
726,56307488
727,56636719
728,61107371
729,62688442
730,63528887
731,49358396
732,64809589
733,58167146
734,50073358
735,52755805
736,62850262
737,57260097
738,62198351
739,58935825
740,54942416
741,55545995
742,53165990
743,58044728
744,57403213
745,64058958
746,60300668
747,61074340
748,63899303
749,63117121
750,55550641
751,55388650
752,53836018
753,54773106
754,56791080
755,61169218
756,62185188
757,55368465
758,63785319
759,62985691
760,62853810
761,61081303
762,63811002
763,61287654
764,56922099
765,60993802
766,58582228
767,60713420
768,55904997
769,52833049
770,62995726
771,62100388
772,64180222
773,60134907
774,61436770
775,58496535
776,49520443
777,57988897
778,55488795
779,61043646
780,62598130
781,62309497
782,64663385
783,58753038
784,65121613
785,62822737
786,59350190
787,62113314
788,61370554
789,60906284
790,60527036
791,58896335
792,63656680
793,58660031
794,64491004
795,61737314
796,54307225
797,64770259
798,60899711
799,58521595
800,60963839
801,54945594
802,58533136
803,62496172
804,51761806
805,63002352
806,62270525
807,64837376
808,53500511
809,58846881
810,61493749
811,60646641
812,64409438
813,56732759
814,52769986
815,55936611
816,64121996
817,60627462
818,62561163
819,55985336
820,62434037
821,59255464
822,63311675
823,62295662
824,60981102
825,56088189
826,51371070
827,63548611
828,60682593
829,59417849
830,63972921
831,61713122
832,64483856
833,59467473
834,58149401
835,58350179
836,60119288
837,51896105
838,52498690
839,64913854
840,63017931
841,64622234
842,55011980
843,51444059
844,56711772
845,52758051
846,56949918
847,53475803
848,54300707
849,54837969
850,44524901
851,62114631
852,52875989
853,62892556
854,61637213
855,51533663
856,51751231
857,53359056
858,60459292
859,50544730
860,55229636
861,55312396
862,57357963
863,60958134
864,57223818
865,62437509
866,56370964
867,64783744
868,62136624
869,61565293
870,49312367
871,50783853
872,62010920
873,61726552
874,52489037
875,60116398
876,59152826
877,56019560
878,59080843
879,62454219
880,57756173
881,62559008
882,62071173
883,58241947
884,53442510
885,59800318
886,56099266
887,59702785
888,62225465
889,60003876
890,64366121
891,61665622
892,55476131
893,63751972
894,59705922
895,48320418
896,44641976
897,61945936
898,64907992
899,58059221
900,63544702
901,44790670
902,47635918
903,63063470
904,62246676
905,60031174
906,62017085
907,55994955
908,63065765
909,52731782
910,62148106
911,61250268
912,50751689
913,59431618
914,61045748
915,61527660
916,57067605
917,51531007
918,58457789
919,65066059
920,60513896
921,60079783
922,60108013
923,60685684
924,53332635
925,62746834
926,55195572
927,64629183
928,64603234
929,60250839
930,64554137
931,64618079
932,59063417
933,55305262
934,54299965
935,57192111
936,60735596
937,57189133
938,54626777
939,64919460
