,Q_id
0,57788412
1,59731860
2,61739615
3,55604691
4,62303645
5,65120345
6,62111922
7,63861373
8,65012728
9,62494271
10,59435653
11,65128847
12,55227010
13,63174079
14,60172383
15,63980931
16,55411921
17,53990652
18,61273244
19,58084325
20,55667005
21,53884692
22,52614786
23,54590661
24,64462917
25,62469768
26,59041987
27,61068181
28,59856930
29,62403547
30,56270834
31,60615832
32,56506412
33,43851657
34,59231709
35,64339140
36,41924453
37,51101177
38,52866049
39,44829420
40,54976741
41,55324790
42,59253507
43,64628738
44,60202280
45,56364712
46,53405934
47,51364273
48,62459563
49,62578502
50,64776822
51,62261602
52,64974317
53,63166005
54,57726064
55,62139949
56,61265768
57,58194657
58,58514197
59,64527004
60,64482223
61,62706421
62,63810637
63,62138437
64,54893935
65,58857720
66,63174996
67,61755717
68,61022347
69,55605577
70,62276091
71,62707202
72,52374287
73,60229897
74,65158654
75,64713257
76,58277642
77,63513639
78,56765727
79,61346009
80,52796121
81,58971123
82,61479551
83,54969705
84,64710318
85,53150430
86,59631255
87,64178913
88,59684527
89,60555060
90,57858433
91,65067023
92,62733655
93,55737470
94,65164783
95,57228000
96,64295110
97,49433936
98,60408022
99,65085515
100,62029416
101,62662993
102,63832094
103,63255037
104,63745704
105,60651684
106,62961627
107,48815203
108,53759952
109,64247042
110,47096651
111,51125856
112,53401431
113,59582226
114,56813778
115,64503537
116,61757622
117,50495053
118,51743214
119,59332694
120,55471459
121,64450632
122,63743557
123,59005379
124,63313842
125,48152674
126,63607243
127,60603123
128,54034242
129,63549420
130,57204864
131,59451514
132,53689624
133,56325104
134,65059862
135,57178269
136,64491974
137,62556220
138,58616298
139,49595599
140,63522955
141,55471467
142,58690338
143,58690771
144,64134515
145,56934495
146,55046557
147,51847674
148,60493576
149,56463317
150,58961768
151,55739993
152,51121678
153,63193611
154,64917109
155,59503852
156,60563888
157,51433378
158,50700007
159,63481926
160,54210933
161,64693959
162,59818595
163,58950131
164,63988988
165,62871098
166,62940320
167,62634416
168,55054009
169,46727042
170,57515064
171,60520549
172,58163483
173,54964521
174,62480254
175,55381052
176,50438738
177,60682690
178,49044980
179,59151504
180,57447736
181,47645428
182,64849520
183,62888242
184,60795970
185,60886033
186,65033693
187,57798219
188,46826218
189,63020056
190,51143206
191,60718563
192,54445893
193,57989716
194,48527808
195,58821164
196,62132445
197,63210533
198,65132527
199,55246952
200,58281876
201,62998911
202,61616423
203,53693431
204,63185157
205,55445835
206,63039866
207,54585685
208,56640336
209,61876366
210,62499307
211,54844493
212,57968087
213,51893903
214,54650587
215,57261254
216,61280157
217,50376463
218,63948175
219,58434930
220,52566050
221,61527938
222,63918516
223,61168513
224,56658935
225,64644745
226,61920798
227,62262241
228,57137505
229,62688906
230,49594858
231,60187803
232,62816092
233,64435947
234,57923280
235,54485815
236,61339978
237,63879173
238,55733736
239,50391703
240,64515073
241,60590560
242,60724236
243,50902067
244,51477977
245,58233328
246,59961103
247,60069977
248,53539348
249,60775139
250,47197885
251,55663672
252,63605512
253,62391627
254,48006755
255,52074153
256,63618030
257,54093417
258,58466396
259,64502474
260,61929181
261,64519911
262,56309028
263,55894693
264,51801648
265,60449931
266,51425436
267,63542599
268,58656046
269,59687789
270,49283435
271,62039237
272,58506072
273,56420878
274,57669222
275,61474514
276,59640574
277,64811420
278,59620431
279,56133218
280,63982778
281,61621010
282,46991226
283,62492707
284,54758800
285,56093722
286,55757255
287,54738384
288,64729199
289,51115630
290,61377620
291,62830701
292,64764937
293,55388781
294,58125212
295,63730869
296,50394505
297,42703500
298,62027771
299,61761778
300,62888778
301,58298711
302,57467707
303,53463156
304,56944889
305,52856441
306,57940151
307,54395051
308,61044235
309,53259021
310,56026555
311,63163020
312,64920291
313,58823918
314,62584922
315,63476702
316,62981621
317,51759882
318,63057468
319,61556043
320,56491650
321,49643622
322,57721451
323,64157192
324,53803889
325,45184741
326,64103609
327,52312799
328,58269819
329,65120178
330,58482236
331,41861354
332,55854761
333,51202485
334,55126493
335,54909322
336,57383595
337,50405832
338,59771715
339,60955922
340,62806427
341,61105070
342,61101919
343,59095824
344,60977024
345,63061779
346,51505711
347,55629163
348,59351910
349,54897646
350,57396424
351,61045362
352,60860513
353,63455304
354,60610280
355,44351134
356,59521961
357,60523638
358,62798170
359,55992158
360,60001698
361,63879856
362,63489963
363,63668481
364,64727718
365,51911749
366,57710588
367,65092019
368,65071268
369,61032272
370,62110937
371,63801809
372,51490965
373,61008209
374,57767899
375,64661065
376,57566057
377,61464726
378,59287728
379,49992174
380,64271657
381,60869537
382,51129043
383,62381929
384,63155994
385,60976026
386,60340357
387,62060190
388,64805828
389,59889944
390,64913609
391,55253708
392,51173695
393,47581877
394,48445942
395,63250935
396,51980654
397,59118630
398,60312752
399,63153843
400,64613180
401,48529625
402,63559139
403,64796931
404,49299609
405,56539865
406,60621131
407,62189366
408,52587227
409,55954232
410,47296329
411,61092523
412,49710537
413,60372025
414,60025695
415,50982503
416,59826670
417,55621322
418,55447245
419,57572973
420,51152088
421,62862925
422,54230231
423,55973335
424,55681502
425,59633685
426,64893872
427,57555134
428,58223002
429,58786133
430,61548364
431,62456558
432,56927999
433,61504356
434,55515033
435,62211749
436,56803220
437,64211037
438,60372544
439,56391392
440,63600423
441,45828265
442,60201895
443,49954852
444,59259550
445,61525190
446,49989414
447,64821745
448,58939126
449,62956995
450,65030112
451,52673610
452,62907011
453,63970950
454,62629644
455,63514536
456,54091864
457,34750268
458,52710348
459,65017452
460,62564691
461,61755019
462,61252440
463,50424167
464,65143404
465,58422569
466,55986607
467,60200088
468,44905227
469,56176439
470,58235790
471,50440391
472,59836100
473,59078318
474,61043897
475,53768085
476,54716377
477,61987293
478,43793168
479,50850497
480,61941317
481,62675254
482,55471260
483,49711519
484,47525820
485,63348829
486,59412020
487,62296631
488,62246851
489,50852294
490,63294918
491,58049625
492,57510105
493,65087845
494,54030714
495,63490419
496,62603414
497,58917500
498,61518915
499,53542974
500,63864199
501,56592745
502,63373454
503,62304877
504,54869612
505,61223589
506,63246685
507,60904665
508,61911837
509,63680784
510,62561471
511,62644584
512,64909658
513,55835557
514,51511152
515,63240702
516,56177305
517,63086902
518,56501260
519,54473620
520,53367724
521,58085131
522,58825226
523,52663358
524,65074020
525,59560372
526,43459013
527,51136581
528,58378568
529,60110462
530,54984345
531,64798832
532,59236459
533,58040324
534,61567597
535,59123783
536,53474056
537,61571873
538,58082534
539,60631933
540,64967770
541,64580276
542,57107945
543,58245762
544,60976758
545,48716184
546,63914849
547,61025759
548,54387686
549,50196212
550,44318616
551,57259600
552,61296075
553,52288635
554,65057340
555,51296898
556,61193517
557,52144109
558,64400296
559,56659166
560,58356756
561,64852728
562,65123557
563,63507027
564,59663573
565,61736305
566,52469566
567,61681356
568,54467696
569,59943865
570,58871113
571,64513223
572,60671971
573,50414900
574,63993407
575,46167566
576,61974153
577,61326538
578,58850829
579,48560227
580,51438232
581,64407272
582,61044652
583,58665534
584,62212847
585,62113487
586,62486518
587,53593363
588,62455254
589,53570732
590,56448693
591,64163602
592,55166874
593,52628270
594,62986273
595,59126097
596,61766711
597,65076892
598,62637515
599,46562612
600,52021760
601,48345857
602,62850814
603,58422652
604,59894984
605,62429164
606,64641364
607,51001968
608,61632584
609,60119934
610,63449011
611,57803287
612,61172400
613,63549736
614,64289155
615,62373343
616,52790775
617,59854794
618,64952700
619,63200111
620,58989945
621,59132647
622,59620104
623,61799068
624,51052785
625,63265560
626,64087503
627,50361650
628,64964537
629,53998282
630,60362114
631,60447401
632,60463821
633,54746829
634,63233726
635,62657168
636,61542620
637,64986623
638,62465920
639,60890856
640,64493979
641,65027818
642,60723535
643,59589483
644,52964807
645,63128641
646,52689970
647,61028535
648,54527439
649,55048659
650,59280880
651,55881517
652,54771426
653,50270283
654,56744397
655,59603064
656,63893602
657,64758066
658,63941582
659,62110589
660,48874285
661,58965717
662,49195481
663,62257967
664,64354309
665,63844428
666,50759355
667,50285525
668,63001830
669,44946190
670,63909619
671,60663784
672,62506781
673,60276672
674,64886507
675,64964239
676,49987614
677,62381023
678,62977751
679,49768306
680,44614977
681,64242443
682,63345212
683,61629395
684,61768191
685,49103096
686,46065873
687,60531380
688,64516138
689,63348557
690,64850321
691,52957809
692,63967302
693,56725660
694,60918676
695,63855505
696,53878476
697,60069035
698,64691517
699,57448795
700,64697755
701,63818907
702,62112534
703,62427719
704,62519413
705,63799763
706,53247475
707,61263103
708,62412976
709,56435712
710,56144895
711,59682625
712,44264443
713,49674079
714,64819592
715,44951963
716,53688217
717,62817472
718,55472629
719,58388830
720,58692476
721,62659706
722,57303955
723,64915116
724,51756913
725,59131945
726,63738632
727,55050717
728,59215618
729,63673769
730,60387130
731,63915186
732,59552122
733,56120217
734,62439852
735,53467215
736,56205691
737,44617871
738,57466673
739,63037135
740,55486631
741,59604918
742,59679949
743,60881366
744,58370247
745,52946349
746,58338441
747,54831128
748,64735739
749,55559610
750,55431681
751,51837110
752,60807705
753,49856659
754,59093925
755,53678133
756,60877680
757,59523712
