,Q_id
0,35451782
1,65010536
2,51802752
3,53494873
4,46168756
5,44848294
6,29653321
7,13294254
8,47208048
9,46988517
10,60991907
11,53890194
12,31238079
13,65033069
14,49891820
15,44853509
16,47799305
17,53460450
18,42728772
19,45768139
20,42432850
21,24107503
22,45727934
23,44359991
24,35932223
25,50787220
26,43772002
27,50629163
28,60738300
29,44504496
30,47681099
31,64427419
32,59655829
33,50072501
34,35689623
35,53757691
36,49019531
37,55534815
38,52000882
39,30428278
40,26107930
41,56273016
42,43079511
43,52080028
44,44363682
45,37677496
46,56855496
47,64614449
48,61228191
49,29512130
50,58177523
51,48000890
52,45828228
53,47577754
54,63629709
55,49856936
56,35363530
57,63454505
58,62983865
59,53454643
60,47633587
61,48425128
62,53215628
63,60816279
64,65108088
65,45758878
66,53902299
67,47279677
68,55409014
69,30374878
70,45733650
71,64351918
72,57483923
73,59941792
74,63340280
75,60273501
76,56897526
77,63428743
78,12616492
79,62549863
80,41714947
81,62290906
82,47227877
83,64656728
84,62622268
85,41478432
86,42823365
87,65161478
88,49538120
89,40220492
90,50412872
91,49540162
92,51163974
93,61905268
94,57439802
95,63367272
96,54001299
97,56036248
98,64731533
99,47632671
100,39772847
101,62829748
102,62416223
103,50261094
104,60585953
105,36618259
106,38236294
107,55988440
108,31786347
109,40020560
110,56780025
111,59082273
112,38965058
113,58862466
114,28160335
115,31428581
116,59815191
117,28801810
118,45698951
119,64068419
120,53478333
121,50333374
122,56429489
123,49640315
124,60824204
125,44523492
126,60897174
127,64473561
128,43110098
129,38060078
130,44683197
131,57045752
132,42657546
133,51776145
134,62761472
135,48819346
136,51079983
137,35706433
138,41859613
139,57622988
140,62537457
141,56244548
142,28921807
143,54052836
144,28501072
145,33417495
146,55863823
147,20488912
148,58479634
149,35232804
150,45784077
151,58859565
152,31858922
153,49748640
154,57481712
155,54556224
156,60195735
157,63521539
158,62186418
159,62437799
160,62919738
161,51979028
162,36870633
163,26586232
164,40751455
165,41125589
166,52002607
167,60010684
168,51904158
169,51449039
170,46133126
171,63567837
172,29377109
173,50565937
174,55715010
175,57049137
176,56394692
177,40392472
178,55983983
179,43982440
180,58495721
181,52740089
182,51383297
183,34339410
184,49238160
185,21052050
186,44783360
187,62996098
188,61368323
189,35372043
190,45498622
191,63158264
192,65082283
193,59327405
194,55651835
195,55639179
196,54515472
197,44759309
198,59133039
199,42427463
200,56174456
201,49353916
202,45261459
203,61562247
204,36245192
205,60840995
206,59786830
207,47894387
208,47403696
209,55776092
210,63211058
211,63655953
212,61256501
213,64206406
214,51306645
215,50402758
216,26987248
217,48646202
218,56799651
219,43129758
220,55129963
221,23484532
222,40408208
223,54754595
224,44334261
225,48463883
226,61641852
227,49456380
228,46834013
229,45694799
230,44459845
231,53819718
232,48046052
233,51465665
234,32675516
235,56936071
236,20265379
237,30742727
238,26513657
239,38506413
240,58068774
241,45395207
242,11870210
243,38931631
244,48726418
245,55562121
246,51336554
247,62498093
248,60570709
249,38782072
250,58457929
251,63742494
252,62267257
253,61415039
254,54138191
255,46112757
256,61241299
257,45791482
258,36991587
259,56640751
260,61438920
261,37401096
262,55595809
263,36732462
264,37865844
265,58096711
266,18259372
267,54266047
268,50051040
269,55826200
270,53566563
271,37976564
272,49018652
273,62017587
274,30144901
275,64604248
276,56247636
277,48856595
278,60673168
279,61943972
280,62867860
281,62616810
282,59914276
283,58960472
284,59453655
285,63586995
286,51009895
287,56142690
288,35304681
289,54833924
290,42111182
291,43207335
292,53027819
293,34540017
294,40659645
295,62920350
296,37202501
297,59949141
298,64838108
299,56550018
300,62071283
301,63151621
302,64221586
303,47066192
304,59094540
305,43194726
306,50184534
307,57089748
308,63189787
309,64076856
310,50923923
311,63479080
312,62898638
313,21639685
314,53920226
315,21634198
316,27508844
317,56377141
318,62664461
319,37045251
320,46905841
321,50213578
322,54562464
323,39621351
324,34869851
325,62801999
326,45910823
327,21151346
328,60278581
329,50111612
330,53140853
331,32148161
332,35925576
333,42970646
334,38610462
335,61385916
336,22361781
337,49927354
338,53931289
339,49839270
340,60873497
341,50869405
342,57421169
343,49025207
344,58660822
345,60368598
346,62184449
347,61878551
348,38850885
349,64851308
350,56309692
351,50030751
352,62199012
353,62957875
354,54867558
355,22974521
356,37943403
357,60094256
358,33038367
359,63884432
360,53936310
361,58275188
362,30699454
363,52116717
364,65073061
365,54980098
366,49633465
367,36998360
368,37282233
369,56553564
370,28438855
371,47387727
372,54741763
373,50428825
374,63513280
375,59101623
376,52082139
377,38472244
378,11690930
379,62759109
380,50441669
381,43209565
382,59086422
383,62562363
384,58826825
385,53067344
386,64546802
387,53409843
388,44864408
389,49869805
390,64969380
391,51098715
392,57464098
393,42492824
394,26902048
395,51419541
396,62462098
397,50011348
398,47460201
399,63597330
400,60782660
401,60169306
402,35857837
403,63817583
404,37780139
405,46584519
406,45764637
407,32947999
408,56392852
409,43192986
410,62170224
411,37623259
412,60200665
413,43494059
414,58884108
415,17776760
416,49328229
417,36756427
418,48647616
419,62028043
420,58992514
421,54524369
422,64783033
423,43210970
424,60786742
425,58468570
426,28917985
427,13516364
428,63478798
429,44897075
430,42827885
431,54857477
432,41997799
433,60445032
434,57629912
435,27541892
436,63495145
437,56571731
438,62093938
439,54099256
440,62307329
441,55208008
442,61767425
443,57380948
444,49346045
445,56779111
446,52797118
447,17455302
448,49494313
449,51154180
450,55690164
451,20842082
452,54504633
453,52561024
454,39634375
455,61345231
456,43792132
457,33576024
458,56862277
459,46362025
460,40174812
461,47008802
462,64875794
463,18243959
464,45064382
465,57855392
466,64613067
467,33644341
468,59214336
469,63863945
470,51694637
471,45347202
472,55737053
473,49525618
474,60196616
475,31995175
476,21260691
477,65113929
478,44461127
479,35739124
480,44599057
481,41372375
482,53436609
483,48856766
484,60950680
485,50614069
486,52978434
487,32530283
488,43513966
489,56152152
490,39810655
491,59186518
492,54945196
493,62361715
494,61859341
495,58408110
496,60965498
497,60364370
498,61984819
499,57094596
500,50163386
501,59157081
502,62483704
503,52489775
504,32734949
505,48239242
506,36028905
507,63427899
508,26126224
509,36666641
510,39629931
511,62510913
512,35082140
513,48419119
514,43307229
515,60937783
516,33783374
517,54315592
518,50464008
519,56134613
520,64559225
521,55984775
522,33771255
523,32401493
524,64036120
525,60363286
526,52750930
527,58765373
528,38646040
529,56151936
530,62072117
531,60746207
532,60704335
533,58186702
534,30771313
535,39966973
536,35694883
537,49785904
538,52029408
539,55964972
540,63954939
541,51129498
542,58819606
543,53028896
544,51574788
545,63164780
546,11763613
547,60043276
548,56462776
549,61924217
550,59220952
551,50331599
552,51847184
553,54227194
554,31306390
555,62741356
556,55132382
557,62140886
558,32544774
559,27860302
560,46964786
561,49262900
562,61146709
563,39376967
564,53449337
565,49394654
566,47708865
567,37161563
568,15361885
569,53311481
570,48687375
571,52587973
572,63060738
573,61326085
574,40198251
575,58248437
576,63704531
577,47269418
578,61940957
579,63742906
580,64363983
581,21946968
582,45291358
583,54014566
584,35393775
585,24061358
586,27818607
587,54256983
588,61862007
589,44340445
590,56869695
591,42965181
592,53278489
593,57912451
594,41313601
595,45629563
596,47407996
597,29382049
598,51152330
599,63090297
600,41723247
601,43579633
602,36755737
603,40640744
604,46304514
605,58999989
606,58133650
607,49520109
608,64983794
609,51959321
610,60874349
611,63361907
612,43455407
613,38811078
614,30271257
615,28386108
616,49015452
617,43917599
618,54658490
619,45364783
620,44646557
621,59163188
622,44852977
623,59568957
624,59193859
625,48424084
626,45062395
627,61482991
628,48090658
629,33090202
630,62746789
631,59680245
632,56739392
633,58703968
634,34844886
635,45837885
636,62868129
637,61101834
638,24135711
639,48253844
640,44217631
641,52144670
642,44353799
643,57514912
644,58781392
645,42444267
646,38665388
647,47002151
648,20437259
649,59587331
650,47437398
651,50836608
652,25179800
653,52931158
654,59812995
655,39256287
656,16330366
657,53212485
658,47309376
659,54741682
660,43562952
661,62894945
662,58155778
663,29298973
664,49433462
665,64179726
666,58913635
667,63076503
668,54456591
669,52513495
670,53828926
671,43214091
672,35513237
673,59351613
674,42131696
675,14255675
676,37984934
677,59227747
678,57876956
679,23201823
680,32086551
681,21855410
682,65070994
683,47381253
684,56495021
685,58453562
686,42042648
687,34315893
688,52359797
689,46193900
690,54998789
691,64174234
692,50526898
693,57371409
694,46597286
695,27576462
696,36826273
697,33906155
698,64700958
699,51644262
700,34213199
701,49196650
702,56549270
703,40669951
704,16123572
705,48508036
706,53915862
707,36715615
708,60920877
709,63472319
710,46421212
711,36936209
712,17715723
713,64320741
714,58097278
715,57625931
716,60687232
717,44360774
718,46629924
719,54197831
720,22687365
721,43665253
722,49852925
723,59643516
724,43072699
725,54549056
726,53276565
727,26165112
728,24370930
729,61048952
730,49270324
731,57834078
732,49654883
733,38545574
734,51874355
735,62364812
736,52712254
737,53824695
738,57223874
739,59448048
740,31421413
741,64402464
742,63758831
743,42679560
744,56481115
745,54947988
746,55128356
747,36608756
748,43864800
749,48561247
750,51894591
751,15369006
752,59733540
753,47510135
754,64978642
755,50552142
756,49147774
757,65124845
758,63695859
759,29737690
760,58155491
761,43777487
762,60378363
763,35249760
764,58495599
765,61411175
766,33486596
767,51380812
768,61503079
769,40874114
770,58349314
771,34155916
772,46477897
773,34761945
774,58122764
775,62747584
776,31621967
777,36294229
778,20398242
779,60955014
780,63929772
781,51201789
782,64998827
783,50537651
784,24714297
785,38742707
786,46872385
787,52906227
788,62406489
789,53275136
790,48631907
791,60967077
792,49094854
793,40057049
794,56649173
795,42128545
796,46313895
797,41505048
798,14688391
799,48826891
800,60418592
801,48484807
802,34263772
803,63951867
804,35996970
805,59293402
806,39651648
807,42030370
808,59226993
809,19504898
810,46701530
811,59566539
812,53697980
813,50996623
814,55549806
815,39059714
816,55631575
817,52931081
818,24458163
819,64084881
820,30849018
821,41222641
822,63091586
823,50545339
824,59266824
825,59057351
826,48804586
827,59094710
828,54841298
829,54714052
830,59740434
831,55710050
832,52616617
833,46853403
834,42456651
835,64989067
836,64846142
837,28667594
838,63461112
839,42979156
840,53869535
841,56177767
842,42203859
843,19336497
844,36870241
845,33320816
846,20781614
847,58876954
848,61309946
849,60372345
850,56154303
851,55844720
852,33799559
853,62710476
854,61866244
855,58803398
856,44239392
857,20681864
858,59013490
859,57435094
860,25134428
861,50852700
862,46540504
863,55228326
864,59661835
865,49052420
866,48252295
867,36537764
868,37611197
869,17931865
870,37689942
871,53717922
872,37149979
873,57698801
874,30188135
875,60489356
876,36022649
877,42667378
878,40139216
879,54238783
880,56694611
881,54545654
882,59295506
883,48917781
884,63840397
885,55123534
886,39437687
887,47468627
888,31279575
889,62861453
890,61386662
891,52123168
892,43701196
893,53973731
894,52013990
895,64079638
896,45102765
897,53172401
898,56640154
899,54436817
900,39174005
901,58829489
902,55682156
903,41506134
904,64924411
905,63035778
906,63536907
907,55123282
908,62583823
909,44445144
910,47060108
911,50894760
912,36874374
913,48704500
914,63102217
915,46288517
916,47374552
917,32625094
918,45110106
919,30936779
920,45641409
921,54950900
922,40348137
923,53978945
924,62980500
925,57779393
926,50625975
927,39658675
928,54957053
929,52032553
930,30757431
931,43803394
932,39898477
933,29619610
934,44767567
935,49940816
936,60868629
937,20007369
938,38021937
939,47927732
940,41475539
941,37678471
942,62099002
943,59796185
944,32128802
945,28321117
946,43529388
947,53346333
948,57598318
949,29112602
950,63975504
951,61695645
952,53423383
953,59131580
954,59299140
955,59346463
956,61114520
957,45227351
958,29146910
959,50993867
960,60934156
961,47477728
962,54049587
963,60432260
964,38482883
965,51779042
966,43720376
967,46597476
968,61247162
969,48662759
970,42247020
971,58098061
972,60111319
973,59838679
974,45150652
975,46392904
976,37335992
977,55019516
978,64912167
979,59034334
980,61940432
981,48273112
982,41633828
983,62316089
984,39133951
985,35582612
986,28890418
987,25170886
988,12237127
989,45715018
990,53665535
991,51852502
992,22752931
993,45065469
994,64022258
995,53030262
996,58135795
997,58283870
998,18334472
999,58108194
1000,56596653
1001,35488627
1002,57291432
1003,53502557
1004,53470097
1005,18210799
1006,59081406
1007,54618946
1008,14986893
1009,21810272
1010,50090673
1011,58163026
1012,54783679
1013,61817879
1014,51382250
1015,40845304
1016,28344660
1017,54453219
1018,50152386
1019,46572475
1020,55198750
1021,53430297
1022,38421618
1023,53337090
1024,48225494
1025,53421626
1026,47702097
1027,49192570
1028,55980321
1029,59618368
1030,52483935
1031,57779749
1032,63716139
1033,50843757
1034,61106509
1035,55429846
1036,38470124
1037,54815305
1038,19265097
1039,4575041
1040,63478024
1041,62889313
1042,53423563
1043,47916335
1044,52146092
1045,62455816
1046,64174739
1047,58535828
1048,40499715
1049,56769036
1050,46049816
1051,61888280
1052,52461039
1053,64539168
1054,57258515
1055,59348996
1056,26856095
1057,54604105
1058,34232190
1059,59004176
1060,61285622
1061,39116088
1062,54139403
1063,53896757
1064,20403876
1065,48880557
1066,61626072
1067,63184256
1068,57156122
1069,64094175
1070,65109670
1071,58352877
1072,59131522
1073,62816393
1074,57748563
1075,61335499
1076,45115964
1077,61711896
1078,61288627
1079,34686216
1080,51448833
1081,59661775
1082,34318524
1083,31330584
1084,45602975
1085,60098958
1086,52905033
1087,39378510
1088,44239078
1089,37697654
1090,55584296
1091,62072690
1092,48489339
1093,45085762
1094,62225230
1095,63939783
1096,59973453
1097,50780487
1098,37110879
1099,65136041
1100,28528700
1101,45491064
1102,19274471
1103,43702571
1104,57092074
1105,39166960
1106,38676436
1107,12355434
1108,40698853
1109,57744995
1110,43188738
1111,59932666
1112,50995179
1113,61069716
1114,65080328
1115,45173321
1116,48884782
1117,36457683
1118,61339532
1119,52254618
1120,35430869
1121,53370715
1122,53354060
1123,43994505
1124,60857604
1125,61449364
1126,59744346
1127,36411603
1128,55076069
1129,48614321
1130,54883928
1131,56026829
1132,53122091
1133,31556744
1134,34206613
1135,61557662
1136,58523857
1137,62514596
1138,28936364
1139,52591137
1140,59152570
1141,64188021
1142,51528579
1143,47390313
1144,44197135
1145,48222803
1146,61260114
1147,30734884
1148,55090337
1149,25678097
1150,59779520
1151,57368260
1152,58475716
1153,35987337
1154,61069810
1155,53933613
1156,54475202
1157,21393704
1158,60903295
1159,59667667
1160,60503924
1161,61034101
1162,15274696
1163,64086222
1164,30919454
1165,61945250
1166,32685445
1167,48450566
1168,43380745
1169,65129939
1170,42590235
1171,38851979
1172,28093984
1173,63783909
1174,62401756
1175,61144668
1176,32877365
1177,30465416
1178,43657536
1179,45738308
1180,44405433
1181,19176361
1182,61951360
1183,40051170
1184,45056309
1185,52774430
1186,52830867
1187,63839777
1188,33115107
1189,27357121
1190,24745879
1191,62103246
1192,57613829
1193,44566461
1194,45743619
1195,58204905
1196,44694391
1197,38062403
1198,55856697
1199,39472040
1200,61938210
1201,54731262
1202,61217713
1203,52698815
1204,51372534
1205,50509177
1206,39071205
1207,44323005
1208,63511829
1209,62476872
1210,53131575
1211,24727716
1212,53680853
1213,61977692
