,Q_id
0,41515917
1,60461306
2,42580228
3,59370344
4,26310593
5,62336142
6,52573224
7,37221635
8,63726368
9,60570007
10,58527817
11,48853484
12,50310515
13,20450051
14,24123847
15,45941940
16,36593963
17,49001316
18,58901742
19,45896410
20,43012103
21,62212049
22,30494067
23,64850776
24,22274233
25,41619431
26,53339292
27,17046397
28,22460948
29,54450495
30,52567129
31,31994726
32,39990706
33,53010030
34,43990750
35,50323770
36,7391427
37,41529154
38,60362063
39,64560379
40,28654325
41,52876613
42,18970171
43,49017069
44,22597239
45,24715230
46,46427374
47,47663569
48,57946307
49,55878247
50,61726782
51,51291082
52,32719363
53,43537579
54,37217703
55,52751040
56,62605238
57,54370065
58,38299015
59,62385838
60,56804964
61,46173599
62,43850927
63,44039718
64,55042015
65,54625114
66,37751430
67,64637963
68,32268916
69,38164798
70,33503687
71,18893807
72,61424904
73,48963813
74,65092284
75,57424338
76,27235744
77,37342088
78,60721298
79,41325227
80,44636370
81,37832536
82,15143253
83,40159161
84,37114273
85,28994857
86,27138752
87,14410193
88,56949825
89,64505251
90,37095246
91,60087814
92,33819228
93,41488795
94,56039406
95,33968353
96,61843680
97,36441786
98,48872742
99,46799621
100,52742283
101,57471418
102,42201103
103,44251894
104,38045787
105,62723117
106,30232743
107,18656387
108,35386282
109,50628586
110,56682250
111,50755429
112,60737371
113,62620936
114,33937532
115,64916272
116,34492894
117,42404689
118,45541356
119,35974957
120,55825030
121,51636383
122,62014062
123,63753078
124,58552524
125,53124843
126,30937667
127,34847210
128,60637915
129,62331614
130,64090601
131,49991677
132,53053602
133,62041999
134,62750491
135,21556623
136,60717679
137,15154658
138,38381649
139,59253507
140,28200907
141,31500877
142,47104910
143,56304624
144,15582669
145,51314845
146,31601212
147,27875056
148,59918912
149,50473381
150,29422093
151,61230590
152,65058131
153,42143489
154,63614943
155,44889891
156,45591208
157,25354667
158,36358721
159,61237965
160,60461183
161,60001911
162,59471105
163,62970394
164,55099721
165,32557895
166,32181338
167,41486171
168,62780855
169,41159733
170,30041684
171,65126722
172,39522079
173,27337610
174,25368238
175,64932206
176,37572136
177,62668293
178,58126842
179,63271023
180,17929389
181,56347361
182,42722322
183,46967126
184,60908596
185,58502698
186,49702026
187,34428587
188,47140803
189,55086948
190,23260376
191,38863733
192,51008162
193,41639557
194,52226200
195,25193915
196,33716395
197,56887202
198,16877448
199,52408980
200,53523887
201,59375220
202,60146553
203,37311877
204,59922899
205,29904888
206,40401008
207,54728689
208,49381661
209,41924885
210,39814862
211,23030284
212,63226850
213,52359458
214,54854120
215,60503373
216,62759662
217,22562540
218,56238710
219,62992617
220,59953078
221,62761934
222,61731738
223,28016752
224,14557597
225,43163418
226,41064832
227,63458409
228,46257726
229,35662635
230,46906036
231,48027461
232,59377573
233,39766593
234,41087734
235,59537040
236,50356091
237,25427650
238,29358294
239,58664419
240,42316431
241,32888817
242,65129383
243,43329821
244,31202124
245,53391444
246,54744142
247,41600349
248,61767647
249,46515481
250,44751315
251,40907007
252,29930160
253,54267566
254,57946006
255,36687929
256,61146233
257,44556535
258,58046129
259,48698535
260,34999564
261,49495297
262,52093314
263,57025433
264,64040020
265,25985491
266,48269248
267,64075736
268,27690434
269,61021902
270,42009525
271,29603541
272,41899011
273,46015426
274,38865708
275,54587595
276,37767790
277,16502445
278,29380739
279,61954811
280,22208792
281,33973148
282,36909310
283,48511048
284,51089207
285,40141710
286,53765549
287,59660939
288,60627942
289,40916939
290,33504183
291,62026216
292,59522353
293,44869533
294,45176469
295,62967471
296,62864193
297,26677655
298,52872569
299,42887621
300,55366454
301,52159619
302,65102124
303,33631125
304,28064634
305,17053548
306,34448288
307,51715923
308,46701081
309,27935553
310,60356110
311,51342369
312,28829805
313,31956501
314,59221723
315,21198692
316,49246856
317,44345219
318,53554375
319,57235584
320,15177490
321,39909873
322,36288578
323,59845935
324,44234682
325,36554456
326,62891870
327,38817914
328,64506181
329,49544896
330,49420191
331,53523110
332,62396140
333,52500971
334,43742877
335,44531410
336,47010575
337,61482767
338,63917449
339,61190714
340,40552937
341,52364892
342,54870334
343,63073951
344,40369042
345,42601426
346,37747182
347,55925556
348,46359490
349,63426898
350,23201339
351,47431661
352,48665131
353,41045752
354,30243761
355,60803027
356,62125582
357,40265075
358,27670683
359,58849225
360,30149401
361,50973903
362,63002137
363,53045859
364,52577305
365,40742172
366,31435024
367,18106400
368,60459746
369,36915655
370,41754624
371,21420225
372,56094779
373,31611075
374,60634430
375,38671718
376,44776786
377,26836366
378,52151765
379,59102829
380,58896211
381,61880769
382,31417487
383,41259240
384,31062620
385,59533423
386,38819913
387,61553290
388,59835884
389,23850256
390,33002621
391,36984987
392,17018568
393,49365009
394,51287512
395,37291128
396,49030479
397,31822238
398,25334334
399,43390499
400,27436544
401,60062575
402,65029921
403,15065833
404,34556476
405,43107387
406,63027118
407,64218670
408,52098107
409,44417317
410,58527024
411,49355804
412,43307616
413,58935488
414,58317643
415,64143779
416,62673970
417,55769836
418,62654066
419,30056331
420,50117450
421,47929831
422,44227908
423,30805192
424,64077206
425,55001137
426,28232551
427,47156906
428,34688177
429,21826863
430,60980807
431,60053402
432,64611768
433,59935155
434,49218954
435,56934495
436,41405640
437,32239577
438,55414583
439,54097067
440,43973355
441,53943376
442,44842030
443,39620185
444,48567012
445,38223546
446,60152729
447,57328545
448,36864116
449,60168227
450,34619822
451,54358841
452,59052818
453,55421502
454,24543807
455,53773352
456,44775387
457,30361118
458,54704015
459,48729365
460,44935999
461,54599611
462,22767695
463,49151325
464,60919724
465,50518706
466,60818733
467,53618367
468,60673045
469,19984957
470,50749588
471,61936596
472,59585957
473,32161569
474,48332964
475,25688526
476,34318839
477,51434567
478,34418472
479,45562465
480,43216530
481,63120046
482,47079266
483,33721996
484,42905551
485,53065283
486,22346065
487,33860938
488,43580033
489,40271269
490,39083462
491,35773388
492,33168836
493,31714597
494,39328658
495,41335718
496,48645846
497,51928265
498,49525582
499,38304942
500,16827614
501,62896054
502,16392872
503,54359332
504,32661909
505,31290976
506,47129301
507,49453535
508,44491125
509,45149541
510,36387337
511,43970894
512,36113686
513,41901416
514,35862428
515,51676390
516,52790985
517,57507635
518,57598105
519,37316672
520,45177734
521,60511496
522,62348010
523,55770280
524,59200594
525,10304280
526,33043222
527,41974081
528,39466671
529,52250115
530,48930303
531,59946528
532,37126576
533,50879932
534,44806416
535,36597315
536,60974043
537,41715835
538,13480941
539,37422794
540,24846105
541,64849520
542,15920104
543,45937511
544,60035460
545,25336176
546,64601547
547,52940136
548,42725933
549,62340880
550,31109464
551,44595654
552,64591756
553,16128834
554,46363204
555,22737145
