,Q_id
0,35451782
1,65010536
2,29653321
3,65033069
4,49891820
5,47799305
6,53757691
7,26107930
8,64614449
9,60816279
10,63428743
11,41714947
12,64656728
13,49540162
14,54001299
15,31428581
16,28801810
17,45698951
18,44523492
19,51776145
20,48819346
21,57622988
22,28921807
23,57481712
24,62186418
25,52002607
26,58495721
27,49238160
28,59133039
29,42427463
30,56174456
31,61562247
32,36245192
33,48646202
34,56799651
35,23484532
36,48463883
37,61641852
38,46834013
39,45694799
40,38931631
41,55562121
42,62498093
43,58457929
44,63742494
45,61415039
46,30144901
47,56247636
48,35304681
49,62071283
50,50184534
51,64076856
52,21639685
53,53920226
54,56377141
55,60278581
56,49025207
57,61878551
58,56309692
59,50030751
60,22974521
61,33038367
62,54980098
63,37780139
64,37623259
65,63478798
66,42827885
67,63495145
68,57380948
69,51154180
70,55690164
71,39634375
72,43792132
73,44461127
74,44599057
75,50614069
76,43513966
77,32734949
78,36028905
79,33771255
80,52750930
81,35694883
82,51129498
83,53028896
84,31306390
85,49394654
86,58248437
87,64363983
88,29382049
89,49520109
90,63361907
91,45837885
92,48253844
93,44353799
94,20437259
95,16330366
96,62894945
97,52359797
98,34213199
99,56549270
100,40669951
101,60920877
102,59448048
103,55128356
104,43864800
105,58155491
106,34761945
107,31621967
108,24714297
109,60967077
110,49094854
111,56649173
112,60418592
113,59293402
114,59094710
115,52616617
116,64846142
117,28667594
118,58876954
119,60372345
120,25134428
121,30188135
122,48917781
123,53172401
124,58829489
125,64924411
126,47060108
127,54957053
128,30757431
129,60868629
130,37678471
131,28321117
132,29112602
133,61695645
134,47477728
135,51779042
136,55019516
137,28890418
138,51852502
139,22752931
140,35488627
141,59081406
142,54618946
143,50090673
144,58163026
145,40845304
146,54453219
147,47702097
148,59618368
149,52483935
150,63716139
151,61106509
152,38470124
153,19265097
154,47916335
155,20403876
156,61626072
157,59131522
158,61335499
159,37697654
160,62072690
161,63939783
162,50780487
163,19274471
164,43702571
165,59932666
166,65080328
167,53370715
168,43994505
169,48222803
170,55090337
171,58475716
172,61069810
173,59667667
174,15274696
175,28093984
176,32877365
177,19176361
178,40051170
179,44566461
180,61938210
181,44323005
182,46599461
183,45688810
184,22496910
185,52999018
186,34524084
187,58255107
188,51140650
189,58113265
190,50750052
191,62520099
192,47563870
193,31812147
194,61916110
195,63308474
196,29005004
197,37577210
198,43729651
199,60020698
200,59350224
201,32085904
202,46949235
203,34518141
204,62855418
205,46909217
206,57854878
207,62677973
208,51149589
209,59594583
210,19328028
211,47758387
212,27257339
213,37782049
214,62717770
215,36567961
216,65113356
217,64480165
218,51231260
219,60236102
220,52687235
221,41553652
222,58416514
223,42977098
224,49355517
225,46356773
226,49398834
227,55975805
228,59433909
229,47102150
230,55840738
231,38989272
232,32316336
233,62728913
234,61074634
235,53975449
236,57511359
237,35953300
238,60132576
239,57533799
240,48973628
241,60884275
242,35416989
243,39459006
244,59079086
245,59066728
246,40891942
247,54009432
248,64284756
249,63542086
250,25430384
251,56773250
252,41128397
253,57007630
254,49351616
255,59137760
256,62443443
257,46921047
258,41273637
259,47383696
260,39105680
261,40803684
262,39356560
263,61937607
264,57497759
265,57388124
266,55195697
267,48962346
268,31196924
269,33915940
270,34777210
271,59224166
272,25829358
273,27649083
274,61007141
275,22722517
276,25001270
277,27588845
278,43065575
279,15220961
280,58395934
281,53553485
282,32857903
283,65117386
284,38594624
285,43407896
286,37632550
287,45291093
288,57696925
289,52748854
290,64902209
291,61007727
292,60232314
293,61718716
294,39951432
295,62793756
296,47981756
297,20836840
298,59006937
299,30791682
300,54384473
301,40684734
302,54669666
303,49949224
304,35760256
305,39505783
306,47564504
307,37879138
308,35201968
309,32147007
310,36320787
311,59483453
312,54870799
313,64673064
314,55529044
315,63251437
316,45227229
317,51037737
318,53507902
319,40745180
320,60237791
321,59711670
322,50953127
323,16270679
324,64601847
325,59192681
326,50901281
327,55415891
328,18812338
329,31825874
330,54723168
331,33603787
332,50134054
333,54060677
334,60429660
335,40371271
336,60627615
337,62717722
338,44643123
339,29269397
340,48516633
341,61867945
342,50920908
343,39210127
344,36363072
345,37014996
346,43176916
347,35970126
348,59815973
349,41880459
350,54560836
351,48901691
352,53850538
353,51462538
354,48046646
355,48490411
356,63479213
357,44765165
358,43026934
359,58170730
360,52082477
361,41881086
362,61383287
363,38108832
364,62328486
365,29476807
366,55108902
367,59994781
368,26102261
369,63582890
370,61111212
371,45780449
372,47564903
373,55120637
374,12444316
375,57663178
376,48252006
377,64965190
378,62929273
379,52547379
380,63305459
381,27046786
382,52928348
383,55885403
384,59226093
385,44076195
386,56730158
387,46051985
388,52792692
389,32464356
390,64545949
391,12484310
392,62721490
393,23980755
394,57272110
395,57484399
396,26444907
397,63040630
398,26367075
399,49259305
400,62957667
401,46702675
402,48702761
403,28954926
404,45457225
405,57292669
406,35847269
407,62473466
408,57599021
409,37681953
410,49987532
411,36677791
412,42882207
413,59258479
414,62412188
415,64927925
416,64542271
417,50651861
418,25175318
419,55738711
420,53560187
421,52132774
422,64576747
423,45898858
424,56484351
425,48288367
426,36488564
427,59659583
428,50322384
429,55485099
430,64614736
431,22257836
432,11464445
433,43353738
434,38242237
435,60550897
436,34347971
437,41635426
438,49328243
439,60589216
440,50665942
441,53198192
442,36921068
443,55940318
444,24282900
445,65051748
446,62236778
447,25104075
448,44669921
449,36236153
450,49329403
451,63609848
452,53289115
453,43409811
454,29776822
455,59809219
456,25976672
457,35247687
458,40337201
459,55302500
460,56460113
461,45695814
462,59321650
463,45163639
464,40692017
465,35439723
466,51295392
467,47418063
468,61941818
469,20104999
470,59384122
471,63890583
472,28797769
473,41179710
474,62616406
475,63164175
476,64960334
477,36873082
478,59782522
479,42736237
480,58767228
481,47957151
482,54310818
483,55501848
484,55678112
485,46105015
486,38351778
487,58147761
488,17013457
489,26899025
490,21511420
491,29412348
492,56913478
493,63070040
494,45771064
495,42732377
496,63192302
497,58174529
498,24879141
499,60232792
500,44172608
501,52171610
502,51359476
503,55447538
504,54366265
505,20330445
506,61084722
507,45983690
508,20509111
509,58919079
510,51404590
511,32857714
512,40192440
513,21342831
514,45444213
515,33447808
516,37749791
517,61088062
518,57498267
519,62535931
520,57499867
521,64521370
522,24583249
523,64223102
524,33065876
525,44574100
526,52008548
527,34119932
528,59487612
529,64877836
530,20994569
531,59218169
532,50181642
533,62891735
534,59318734
535,60165184
536,65137085
537,55793377
538,58682949
539,64242558
540,31615190
541,64281184
542,47324921
543,19895502
544,33315607
545,52600611
546,50090767
547,45242891
548,32589447
549,52728119
550,54432034
551,55240922
552,30539388
553,45954885
554,57113361
555,52975345
556,45514323
557,19018333
558,40615021
559,25443503
560,53471140
561,38369742
562,33588838
563,54931535
564,60993421
565,36698912
566,21038210
567,23963542
568,54272913
569,53345375
570,42244860
571,31744519
572,35388864
573,43689716
574,52070950
575,22750247
576,38382981
577,29670503
578,42593892
579,21034678
580,64310613
581,60334379
582,23118309
583,52612657
584,50531995
585,61218326
586,53575513
587,48052570
588,61233485
589,20483826
590,36389689
591,63429941
592,40998774
593,62928611
594,52661363
595,38670657
596,51825576
597,23899057
598,31617530
599,65106126
600,63730042
601,47788673
602,56017804
603,64092664
604,62471014
605,52877658
606,37202945
607,59403627
608,41995322
609,57179394
610,28655889
611,63405961
612,58660239
613,45133782
614,45423783
615,32697093
616,43925714
617,53351781
618,21506758
619,61157679
620,59466597
621,54245923
622,57574501
623,22766978
624,40051478
625,59494922
626,48070697
627,32674380
628,36840496
629,46967451
630,51572536
631,36630213
632,61288972
633,38084673
634,59594166
635,24960967
636,64792081
637,62766772
638,38605888
639,46786036
640,61800137
641,23353213
642,51378105
643,51298992
644,60117319
645,49075045
646,24363300
647,47270934
648,56453129
649,63837206
650,50425068
651,25954833
652,48219751
653,53472477
654,62176622
655,63091513
656,46175773
657,59556305
658,56032550
659,26092132
660,57717423
661,52351608
662,58933714
663,61019123
664,48320396
665,47343142
666,56865740
667,33465671
668,25963710
669,43608007
670,46636626
671,24961233
672,49839298
673,24854633
674,49207957
675,57549263
676,23890873
677,56552642
678,15865016
679,59845950
680,53484270
681,59269464
682,41796618
683,48173153
684,16453644
685,39523278
686,60417050
687,56928310
688,58040556
689,27968868
690,38574222
691,38535008
692,60198111
693,59701645
694,20335074
695,53693031
696,29668513
697,52338532
698,63203450
699,64671488
700,57668459
701,61784758
702,36894322
703,54855072
704,43106417
705,49330195
706,40514019
707,54098749
708,59512487
709,65057019
710,46415260
711,55999473
712,63530522
713,48631131
714,50656471
715,64601366
716,37707718
717,53556524
718,60086189
719,53065934
720,22332886
721,23375950
722,55760112
723,29873981
724,60830157
725,38770169
726,50106047
727,59826799
728,30438696
729,54477362
730,39187875
731,60612499
732,48081020
733,46064418
734,43934678
735,30742743
736,15796627
737,19195048
738,52457024
739,63388097
740,63159217
741,60110236
742,39392442
743,50661075
744,53774601
745,19980460
746,35973698
747,43255057
748,60005949
749,60843170
750,45124476
751,40077084
752,60993356
753,47892066
754,55300498
755,46663796
756,62902565
757,25599816
758,24171725
759,59415663
760,61464287
761,43218685
762,55884002
763,51773495
764,39059732
765,60795729
766,59320664
767,51444758
768,32625639
769,58205477
770,11441751
771,47895064
772,46483002
773,46807106
774,63051823
775,57310470
776,58488247
777,58547797
778,29980037
779,17139658
780,50800085
781,52859383
782,47891655
783,16990996
784,62407463
785,54619078
786,57413218
787,58299984
788,28930609
789,28920079
790,26903091
791,50826359
792,44645497
793,44059573
794,20400454
795,31572165
796,51677828
797,43535991
798,41843007
799,61943857
800,55978750
801,50692660
802,55245249
803,57041610
804,46398860
805,55793441
806,61555956
807,26442172
808,59973656
809,58315555
810,51026841
811,59921307
812,21589177
813,31026950
814,54090132
815,54385892
816,16256032
817,43222882
818,60136834
819,22167095
820,44958693
821,49649675
822,25172359
823,61426594
824,38711932
825,44474570
826,46090951
827,19820369
828,30464472
829,62148698
830,49200761
831,51229016
832,64344402
833,44805449
834,60643832
835,59358828
836,36371691
837,50023892
838,51413355
839,34221712
840,38225948
841,59291277
842,47790854
843,49838074
844,62521453
845,58442374
846,21034862
847,44338119
848,40481943
849,59065058
850,62561902
851,49547715
852,64007345
853,58807393
854,18473164
855,60250823
856,32916507
857,34592788
858,37960302
859,18432289
860,46374587
861,26018543
862,35251190
863,20663860
864,60380808
865,21085990
866,27740804
867,56496692
868,46920490
869,51552438
870,31774661
871,59294900
872,43314707
873,32707914
874,44131323
875,37265268
876,29753850
877,59617431
878,16631334
879,61634500
880,46297371
881,52787553
882,28687531
883,50045558
884,28531573
885,62285062
886,50023771
887,26532165
888,36182502
889,56779657
890,63240275
891,62354777
892,29660252
893,34387701
894,40115043
895,38374709
896,40327067
897,47488774
898,64856763
899,30032907
900,61818704
901,46939608
902,41216528
903,62957761
904,40508119
905,45950630
906,59195341
907,30421187
908,57951443
909,47047179
910,58548969
911,52055658
912,56489120
913,59270864
914,63363598
915,16530997
916,32566053
917,28618517
918,54028667
919,43420755
920,55201924
921,32839887
922,39007083
923,41417727
924,32531143
925,62693409
926,58101126
927,57960429
928,31625652
929,29948156
930,57921715
931,60672136
932,64161389
933,17328386
934,46178199
935,23900711
936,32784354
937,52815702
938,43159536
939,29603097
940,33571111
941,25249212
942,62631771
943,62608835
944,62917163
945,32233630
946,52350074
947,57061437
948,63970578
949,56632418
950,58347822
951,39467496
952,58469719
953,46606855
954,58246435
955,29259808
956,63851453
957,58859160
958,44091787
959,23879139
960,63088535
961,52731818
962,49815472
963,62528055
964,45091008
965,47767162
966,62378086
967,53380288
968,51018963
969,17393989
970,55428645
971,18138115
972,55759808
973,50515476
974,64762309
975,60918535
976,46638641
977,34867593
978,48587784
979,39892605
980,55888872
981,50968788
982,45849374
983,60654200
984,23582896
985,61927944
986,57931454
987,27617078
988,44109782
989,61373393
990,43946259
991,56981382
992,24498018
993,32987364
994,12222290
995,63811127
996,30958433
997,35340670
998,39745807
999,63722704
1000,27890413
1001,55661668
1002,46943536
1003,21173010
1004,21363827
1005,49843335
1006,56105055
1007,29852680
1008,58935419
1009,43828704
1010,28888070
1011,64961499
1012,60765961
1013,20831882
1014,48504914
1015,53035666
1016,59402131
1017,61641033
1018,61603465
1019,50268691
1020,43012227
1021,58855743
1022,46406720
1023,58317976
1024,53549966
1025,14225882
1026,20797860
1027,61392198
1028,24640954
1029,23008447
1030,46964090
1031,44193154
1032,57547230
1033,52056640
1034,64001691
1035,59487643
1036,53803775
1037,58931234
1038,48231995
1039,54584393
1040,62418108
1041,62024422
1042,15282046
1043,56484180
1044,49679707
1045,48527435
1046,52129773
1047,31076143
1048,50034958
1049,60826262
1050,45289793
1051,49899973
1052,55799969
1053,51453326
1054,20751880
1055,40709315
1056,24251959
1057,34096980
1058,41024001
1059,39453121
1060,26887745
1061,60417626
1062,64528388
1063,43187426
1064,58430530
1065,39303912
1066,58833393
1067,53200779
1068,33478998
1069,63895430
1070,37396486
1071,33400621
1072,41336094
1073,51245311
1074,60537888
1075,20620339
1076,36260730
1077,31007753
1078,31347273
1079,50642763
1080,60145652
1081,62945155
1082,45318784
1083,60527883
1084,19938587
1085,39779113
1086,47151453
1087,57969495
1088,34664768
1089,59050251
1090,45996902
1091,46309539
1092,59887850
1093,43728879
1094,63293459
1095,21320456
1096,32106063
1097,43579320
1098,48302113
1099,25614681
1100,53938687
1101,63683165
1102,51978308
1103,55625048
1104,62283893
1105,65005912
1106,50123260
1107,30017491
1108,63008188
1109,44436069
1110,35022463
1111,38816012
1112,61975829
1113,50442427
1114,29975033
1115,36255281
1116,59550394
1117,51172889
1118,20151843
1119,53355338
1120,56202264
1121,63644910
1122,31122811
1123,28256553
1124,51309526
1125,55459174
1126,58228420
1127,53970014
1128,52186091
1129,43941534
1130,39803215
1131,43951995
1132,51392603
1133,52007396
1134,38237005
1135,35346581
1136,42344399
1137,65164203
1138,63023624
1139,61819628
1140,62854851
1141,39592114
1142,51387915
1143,47635838
1144,46961325
1145,54272744
1146,49562230
1147,33822948
1148,55027404
1149,22287194
1150,58623398
1151,38275541
1152,50768511
1153,21390084
1154,38808824
1155,58795644
1156,34077482
1157,54987484
1158,55953284
1159,19007407
1160,22608034
1161,59220550
1162,61010040
1163,44468172
1164,38386694
1165,44775418
1166,51772935
1167,41657551
1168,56022886
1169,20968237
1170,39280466
1171,46386914
1172,16381577
1173,61763533
1174,26199093
1175,21243156
1176,38990274
1177,64788649
1178,58524955
1179,59493873
1180,64538474
1181,46034861
1182,15521852
1183,63922546
1184,30727274
1185,49042340
1186,30026960
1187,59810497
1188,56303572
1189,54515651
1190,23227053
1191,41643992
1192,58537609
1193,17184079
1194,27489365
1195,53606365
1196,64071661
1197,41822302
1198,54709600
1199,61549925
1200,11998820
1201,57651302
1202,51276171
1203,28207805
1204,39725403
1205,43939994
1206,46522936
1207,64253812
1208,60888381
1209,64348369
1210,64116586
1211,42151706
1212,44896606
1213,57981878
