,Q_id
0,51802752
1,53494873
2,46168756
3,44848294
4,13294254
5,47208048
6,46988517
7,60991907
8,53890194
9,31238079
10,44853509
11,53460450
12,42728772
13,45768139
14,42432850
15,24107503
16,45727934
17,44359991
18,35932223
19,50787220
20,43772002
21,50629163
22,60738300
23,44504496
24,47681099
25,64427419
26,59655829
27,50072501
28,35689623
29,49019531
30,55534815
31,52000882
32,30428278
33,56273016
34,43079511
35,52080028
36,44363682
37,37677496
38,56855496
39,61228191
40,29512130
41,58177523
42,48000890
43,45828228
44,47577754
45,63629709
46,49856936
47,35363530
48,63454505
49,62983865
50,53454643
51,47633587
52,48425128
53,53215628
54,65108088
55,45758878
56,53902299
57,47279677
58,55409014
59,30374878
60,45733650
61,64351918
62,57483923
63,59941792
64,63340280
65,60273501
66,56897526
67,12616492
68,62549863
69,62290906
70,47227877
71,62622268
72,41478432
73,42823365
74,65161478
75,49538120
76,40220492
77,50412872
78,51163974
79,61905268
80,57439802
81,63367272
82,56036248
83,64731533
84,47632671
85,39772847
86,62829748
87,62416223
88,50261094
89,60585953
90,36618259
91,38236294
92,55988440
93,31786347
94,40020560
95,56780025
96,59082273
97,38965058
98,58862466
99,28160335
100,59815191
101,64068419
102,53478333
103,50333374
104,56429489
105,49640315
106,60824204
107,60897174
108,64473561
109,43110098
110,38060078
111,44683197
112,57045752
113,42657546
114,62761472
115,51079983
116,35706433
117,41859613
118,62537457
119,56244548
120,54052836
121,28501072
122,33417495
123,55863823
124,20488912
125,58479634
126,35232804
127,45784077
128,58859565
129,31858922
130,49748640
131,54556224
132,60195735
133,63521539
134,62437799
135,62919738
136,51979028
137,36870633
138,26586232
139,40751455
140,41125589
141,60010684
142,51904158
143,51449039
144,46133126
145,63567837
146,29377109
147,50565937
148,55715010
149,57049137
150,56394692
151,40392472
152,55983983
153,43982440
154,52740089
155,51383297
156,34339410
157,21052050
158,44783360
159,62996098
160,61368323
161,35372043
162,45498622
163,63158264
164,65082283
165,59327405
166,55651835
167,55639179
168,54515472
169,44759309
170,49353916
171,45261459
172,60840995
173,59786830
174,47894387
175,47403696
176,55776092
177,63211058
178,63655953
179,61256501
180,64206406
181,51306645
182,50402758
183,26987248
184,43129758
185,55129963
186,40408208
187,54754595
188,44334261
189,49456380
190,44459845
191,53819718
192,48046052
193,51465665
194,32675516
195,56936071
196,20265379
197,30742727
198,26513657
199,38506413
200,58068774
201,45395207
202,11870210
203,48726418
204,51336554
205,60570709
206,38782072
207,62267257
208,54138191
209,46112757
210,61241299
211,45791482
212,36991587
213,56640751
214,61438920
215,37401096
216,55595809
217,36732462
218,37865844
219,58096711
220,18259372
221,54266047
222,50051040
223,55826200
224,53566563
225,37976564
226,49018652
227,62017587
228,64604248
229,48856595
230,60673168
231,61943972
232,62867860
233,62616810
234,59914276
235,58960472
236,59453655
237,63586995
238,51009895
239,56142690
240,54833924
241,42111182
242,43207335
243,53027819
244,34540017
245,40659645
246,62920350
247,37202501
248,59949141
249,64838108
250,56550018
251,63151621
252,64221586
253,47066192
254,59094540
255,43194726
256,57089748
257,63189787
258,50923923
259,63479080
260,62898638
261,21634198
262,27508844
263,62664461
264,37045251
265,46905841
266,50213578
267,54562464
268,39621351
269,34869851
270,62801999
271,45910823
272,21151346
273,50111612
274,53140853
275,32148161
276,35925576
277,42970646
278,38610462
279,61385916
280,22361781
281,49927354
282,53931289
283,49839270
284,60873497
285,50869405
286,57421169
287,58660822
288,60368598
289,62184449
290,38850885
291,64851308
292,62199012
293,62957875
294,54867558
295,37943403
296,60094256
297,63884432
298,53936310
299,58275188
300,30699454
301,52116717
302,65073061
303,49633465
304,36998360
305,37282233
306,56553564
307,28438855
308,47387727
309,54741763
310,50428825
311,63513280
312,59101623
313,52082139
314,38472244
315,11690930
316,62759109
317,50441669
318,43209565
319,59086422
320,62562363
321,58826825
322,53067344
323,64546802
324,53409843
325,44864408
326,49869805
327,64969380
328,51098715
329,57464098
330,42492824
331,26902048
332,51419541
333,62462098
334,50011348
335,47460201
336,63597330
337,60782660
338,60169306
339,35857837
340,63817583
341,46584519
342,45764637
343,32947999
344,56392852
345,43192986
346,62170224
347,60200665
348,43494059
349,58884108
350,17776760
351,49328229
352,36756427
353,48647616
354,62028043
355,58992514
356,54524369
357,64783033
358,43210970
359,60786742
360,58468570
361,28917985
362,13516364
363,44897075
364,54857477
365,41997799
366,60445032
367,57629912
368,27541892
369,56571731
370,62093938
371,54099256
372,62307329
373,55208008
374,61767425
375,49346045
376,56779111
377,52797118
378,17455302
379,49494313
380,20842082
381,54504633
382,52561024
383,61345231
384,33576024
385,56862277
386,46362025
387,40174812
388,47008802
389,64875794
390,18243959
391,45064382
392,57855392
393,64613067
394,33644341
395,59214336
396,63863945
397,51694637
398,45347202
399,55737053
400,49525618
401,60196616
402,31995175
403,21260691
404,65113929
405,35739124
406,41372375
407,53436609
408,48856766
409,60950680
410,52978434
411,32530283
412,56152152
413,39810655
414,59186518
415,54945196
416,62361715
417,61859341
418,58408110
419,60965498
420,60364370
421,61984819
422,57094596
423,50163386
424,59157081
425,62483704
426,52489775
427,48239242
428,63427899
429,26126224
430,36666641
431,39629931
432,62510913
433,35082140
434,48419119
435,43307229
436,60937783
437,33783374
438,54315592
439,50464008
440,56134613
441,64559225
442,55984775
443,32401493
444,64036120
445,60363286
446,58765373
447,38646040
448,56151936
449,62072117
450,60746207
451,60704335
452,58186702
453,30771313
454,39966973
455,49785904
456,52029408
457,55964972
458,63954939
459,58819606
460,51574788
461,63164780
462,11763613
463,60043276
464,56462776
465,61924217
466,59220952
467,50331599
468,51847184
469,54227194
470,62741356
471,55132382
472,62140886
473,32544774
474,27860302
475,46964786
476,49262900
477,61146709
478,39376967
479,53449337
480,47708865
481,37161563
482,15361885
483,53311481
484,48687375
485,52587973
486,63060738
487,61326085
488,40198251
489,63704531
490,47269418
491,61940957
492,63742906
493,21946968
494,45291358
495,54014566
496,35393775
497,24061358
498,27818607
499,54256983
500,61862007
501,44340445
502,56869695
503,42965181
504,53278489
505,57912451
506,41313601
507,45629563
508,47407996
509,51152330
510,63090297
511,41723247
512,43579633
513,36755737
514,40640744
515,46304514
516,58999989
517,58133650
518,64983794
519,51959321
520,60874349
521,43455407
522,38811078
523,30271257
524,28386108
525,49015452
526,43917599
527,54658490
528,45364783
529,44646557
530,59163188
531,44852977
532,59568957
533,59193859
534,48424084
535,45062395
536,61482991
537,48090658
538,33090202
539,62746789
540,59680245
541,56739392
542,58703968
543,34844886
544,62868129
545,61101834
546,24135711
547,44217631
548,52144670
549,57514912
550,58781392
551,42444267
552,38665388
553,47002151
554,59587331
555,47437398
556,50836608
557,25179800
558,52931158
559,59812995
560,39256287
561,53212485
562,47309376
563,54741682
564,43562952
565,58155778
566,29298973
567,49433462
568,64179726
569,58913635
570,63076503
571,54456591
572,52513495
573,53828926
574,43214091
575,35513237
576,59351613
577,42131696
578,14255675
579,37984934
580,59227747
581,57876956
582,23201823
583,32086551
584,21855410
585,65070994
586,47381253
587,56495021
588,58453562
589,42042648
590,34315893
591,46193900
592,54998789
593,64174234
594,50526898
595,57371409
596,46597286
597,27576462
598,36826273
599,33906155
600,64700958
601,51644262
602,49196650
603,16123572
604,48508036
605,53915862
606,36715615
607,63472319
608,46421212
609,36936209
610,17715723
611,64320741
612,58097278
613,57625931
614,60687232
615,44360774
616,46629924
617,54197831
618,22687365
619,43665253
620,49852925
621,59643516
622,43072699
623,54549056
624,53276565
625,26165112
626,24370930
627,61048952
628,49270324
629,57834078
630,49654883
631,38545574
632,51874355
633,62364812
634,52712254
635,53824695
636,57223874
637,31421413
638,64402464
639,63758831
640,42679560
641,56481115
642,54947988
643,36608756
644,48561247
645,51894591
646,15369006
647,59733540
648,47510135
649,64978642
650,50552142
651,49147774
652,65124845
653,63695859
654,29737690
655,43777487
656,60378363
657,35249760
658,58495599
659,61411175
660,33486596
661,51380812
662,61503079
663,40874114
664,58349314
665,34155916
666,46477897
667,58122764
668,62747584
669,36294229
670,20398242
671,60955014
672,63929772
673,51201789
674,64998827
675,50537651
676,38742707
677,46872385
678,52906227
679,62406489
680,53275136
681,48631907
682,40057049
683,42128545
684,46313895
685,41505048
686,14688391
687,48826891
688,48484807
689,34263772
690,63951867
691,35996970
692,39651648
693,42030370
694,59226993
695,19504898
696,46701530
697,59566539
698,53697980
699,50996623
700,55549806
701,39059714
702,55631575
703,52931081
704,24458163
705,64084881
706,30849018
707,41222641
708,63091586
709,50545339
710,59266824
711,59057351
712,48804586
713,54841298
714,54714052
715,59740434
716,55710050
717,46853403
718,42456651
719,64989067
720,63461112
721,42979156
722,53869535
723,56177767
724,42203859
725,19336497
726,36870241
727,33320816
728,20781614
729,61309946
730,56154303
731,55844720
732,33799559
733,62710476
734,61866244
735,58803398
736,44239392
737,20681864
738,59013490
739,57435094
740,50852700
741,46540504
742,55228326
743,59661835
744,49052420
745,48252295
746,36537764
747,37611197
748,17931865
749,37689942
750,53717922
751,37149979
752,57698801
753,60489356
754,36022649
755,42667378
756,40139216
757,54238783
758,56694611
759,54545654
760,59295506
761,63840397
762,55123534
763,39437687
764,47468627
765,31279575
766,62861453
767,61386662
768,52123168
769,43701196
770,53973731
771,52013990
772,64079638
773,45102765
774,56640154
775,54436817
776,39174005
777,55682156
778,41506134
779,63035778
780,63536907
781,55123282
782,62583823
783,44445144
784,50894760
785,36874374
786,48704500
787,63102217
788,46288517
789,47374552
790,32625094
791,45110106
792,30936779
793,45641409
794,54950900
795,40348137
796,53978945
797,62980500
798,57779393
799,50625975
800,39658675
801,52032553
802,43803394
803,39898477
804,29619610
805,44767567
806,49940816
807,20007369
808,38021937
809,47927732
810,41475539
811,62099002
812,59796185
813,32128802
814,43529388
815,53346333
816,57598318
817,63975504
818,53423383
819,59131580
820,59299140
821,59346463
822,61114520
823,45227351
824,29146910
825,50993867
826,60934156
827,54049587
828,60432260
829,38482883
830,43720376
831,46597476
832,61247162
833,48662759
834,42247020
835,58098061
836,60111319
837,59838679
838,45150652
839,46392904
840,37335992
841,64912167
842,59034334
843,61940432
844,48273112
845,41633828
846,62316089
847,39133951
848,35582612
849,25170886
850,12237127
851,45715018
852,53665535
853,45065469
854,64022258
855,53030262
856,58135795
857,58283870
858,18334472
859,58108194
860,56596653
861,57291432
862,53502557
863,53470097
864,18210799
865,14986893
866,21810272
867,54783679
868,61817879
869,51382250
870,28344660
871,50152386
872,46572475
873,55198750
874,53430297
875,38421618
876,53337090
877,48225494
878,53421626
879,49192570
880,55980321
881,57779749
882,50843757
883,55429846
884,54815305
885,4575041
886,63478024
887,62889313
888,53423563
889,52146092
890,62455816
891,64174739
892,58535828
893,40499715
894,56769036
895,46049816
896,61888280
897,52461039
898,64539168
899,57258515
900,59348996
901,26856095
902,54604105
903,34232190
904,59004176
905,61285622
906,39116088
907,54139403
908,53896757
909,48880557
910,63184256
911,57156122
912,64094175
913,65109670
914,58352877
915,62816393
916,57748563
917,45115964
