,Q_id
0,43929708
1,53154852
2,50473181
3,49805284
4,32714825
5,43224389
6,44425159
7,51144078
8,51230726
9,51721448
10,50572592
11,51553123
12,64405445
13,37270446
14,44146567
15,51232624
16,48433197
17,38664620
18,50338747
19,37823992
20,61397456
21,40659109
22,55079805
23,39641770
24,41374498
25,48234474
26,45787323
27,56749463
28,35253990
29,58454744
30,49729510
31,36707344
32,37260902
33,63857130
34,55552110
35,58622226
36,32556178
37,54662701
38,64448161
39,39025707
40,33574807
41,46110563
42,51754740
43,47007512
44,49885315
45,42301111
46,38726333
47,48637278
48,53919415
49,50897978
50,58345073
51,36404894
52,40366588
53,39541568
54,52989574
55,54196845
56,53564164
57,63392312
58,50127304
59,48604920
60,39529012
61,45442918
62,49181179
63,54708557
64,63687319
65,50638911
66,36650561
67,42138482
68,39022052
69,33723099
70,32606294
71,41863428
72,54776007
73,37278999
74,59472593
75,37473380
76,62956891
77,38697066
78,53632689
79,55427880
80,60071681
81,47899604
82,53450900
83,35174749
84,51223026
85,55704959
86,50361096
87,62735030
88,53696164
89,47022409
90,54592009
91,38751536
92,49698111
93,58257860
94,56585434
95,60032083
96,50425779
97,50145195
98,35882446
99,37574833
100,32982425
101,46257819
102,59872620
103,33636944
104,35804755
105,54219826
106,50533589
107,53166010
108,51268803
109,47770674
110,44479293
111,60658600
112,64825126
113,61937550
114,53740026
115,53799702
116,48917438
117,50496361
118,51649611
119,33912626
120,44325555
121,54642353
122,38384347
123,48266749
124,62702871
125,47650391
