,Q_id
0,43929708
1,53154852
2,50473181
3,49805284
4,43224389
5,44425159
6,51144078
7,51230726
8,51721448
9,50572592
10,51553123
11,64405445
12,37270446
13,44146567
14,48433197
15,38664620
16,50338747
17,37823992
18,61397456
19,40659109
20,55079805
21,39641770
22,41374498
23,48234474
24,45787323
25,56749463
26,35253990
27,58454744
28,36707344
29,55552110
30,32556178
31,54662701
32,64448161
33,39025707
34,46110563
35,51754740
36,47007512
37,49885315
38,42301111
39,38726333
40,48637278
41,53919415
42,50897978
43,58345073
44,36404894
45,39541568
46,52989574
47,54196845
48,53564164
49,63392312
50,50127304
51,48604920
52,39529012
53,45442918
54,49181179
55,54708557
56,63687319
57,50638911
58,36650561
59,42138482
60,39022052
61,33723099
62,32606294
63,41863428
64,37278999
65,59472593
66,37473380
67,62956891
68,38697066
69,55427880
70,47899604
71,53450900
72,35174749
73,51223026
74,55704959
75,50361096
76,62735030
77,53696164
78,47022409
79,54592009
80,38751536
81,49698111
82,58257860
83,56585434
84,60032083
85,50425779
86,50145195
87,35882446
88,37574833
89,32982425
90,59872620
91,33636944
92,35804755
93,50533589
94,53166010
95,51268803
96,47770674
97,44479293
98,60658600
99,64825126
100,61937550
101,53799702
102,50496361
103,51649611
104,44325555
105,54642353
106,38384347
107,48266749
108,62702871
109,47650391
