,Q_id
0,43574928
1,52019226
2,48065685
3,64070871
4,60342600
5,59113797
6,58245855
7,51839415
8,55117165
9,42567398
10,59898015
11,54283937
12,49799998
13,59632120
14,47000992
15,63605446
16,62593621
17,37757678
18,53258236
19,59656318
20,61057620
21,64347099
22,46141331
23,37715330
24,56544166
25,38996464
26,52699598
27,51207093
28,56038372
29,58188087
30,65145865
31,56254649
32,50559586
33,60616842
34,54419009
35,55762581
36,62533360
37,63602858
38,55779201
39,60091890
40,61717694
41,60572767
42,52041028
43,56817588
44,50075783
45,60028225
46,56678776
47,64184130
48,63931981
49,49865478
50,50874279
51,60651110
52,59388426
53,55093539
54,61299146
55,61768686
56,64639175
57,65002461
58,46799892
59,60810806
60,61469188
61,59270769
62,61384935
63,56918388
64,62762673
65,39266944
66,43427714
67,44142175
68,59719200
69,55472095
70,61605888
71,57154087
72,59985154
73,57152157
74,60578356
75,64539158
76,43892046
77,51634218
78,46137190
79,46269557
80,59568216
81,64509613
82,62487570
83,63205159
84,58253408
85,55561540
86,49357582
87,61193282
88,60651800
89,63084944
90,47352366
91,47443880
92,59987004
93,64561441
94,44544766
95,62818464
96,50183809
97,59360678
98,49279596
99,59394681
100,60826779
101,56976438
102,64866219
103,60234725
104,62859365
105,61914767
106,60393535
107,64426489
108,60848437
109,50477443
110,47976507
111,62810016
112,64929017
113,62372149
114,54373780
115,47149076
116,63740473
117,53930858
118,49588308
119,64869242
120,63515917
121,61433414
122,40802457
123,44298811
124,56259506
125,58784182
126,50166780
127,58898253
128,53413756
129,62067207
130,57612543
131,48733821
132,59173309
133,50083767
134,53919837
135,44980787
136,61986459
137,62309736
138,57086301
139,43697539
140,56854539
141,63186177
142,64266764
143,49012907
144,45661178
145,61778842
146,49439963
147,49856097
148,47525650
149,63717207
150,50850258
151,59357170
152,52019808
153,64403776
154,62421732
155,42398672
156,56411775
157,55829593
158,62014498
159,62095754
160,49019531
161,64438467
162,62451217
163,49972992
164,54627554
165,61922244
166,58639588
167,58764687
168,61724871
169,62617097
170,62921107
171,57329677
172,55182326
173,51674213
174,57706942
175,44399071
176,55900290
177,61559333
178,60218269
179,55150730
180,47599888
181,45947351
182,60959631
183,64163517
184,58837207
185,60724360
186,51971050
187,61472806
188,64952634
189,56270098
190,52447345
191,56481256
192,60960691
193,63469342
194,65077143
195,55077129
196,48428415
197,56960184
198,59555168
199,62747428
200,56520140
201,61838265
202,51941092
203,54945641
204,62156766
205,64334292
206,61286412
207,61960251
208,42870727
209,49774035
210,47457344
211,59431911
212,64811632
213,61976011
214,55024656
215,62303911
216,50706431
217,63731349
218,42430525
219,40966861
220,62817099
221,59126070
222,63122285
223,63696334
224,61679757
225,56707063
226,60546872
227,36188958
228,54531730
229,64974605
230,62366872
231,52031170
232,55742105
233,43285733
234,60761415
235,63989328
236,61551592
237,58864930
238,63612751
239,64667048
240,63156066
241,50329855
242,61544214
243,54636921
244,57601256
245,62553164
246,61026175
247,60897336
248,51939618
249,62267488
250,60662485
251,46371561
252,50282420
253,54581391
254,56026250
255,55074954
256,61456686
257,64500549
258,39795064
259,43057816
260,47014306
261,63278199
262,54429053
263,58470530
264,65133108
265,43360560
266,52418248
267,60048397
268,65045232
269,50104344
270,55166024
271,64198831
272,59142425
273,40755024
274,56663388
275,61433880
276,61102362
277,60880868
278,44801494
279,54688502
280,61556914
281,36479335
282,56703423
283,55654311
284,54772456
285,43048506
286,62988304
287,57169454
288,59368539
289,61271216
290,51167542
291,53674690
292,42867132
293,59616436
294,53413407
295,54144189
296,49540395
297,59074105
298,61882988
299,49732976
300,50027652
301,58116359
302,48398229
303,62674827
304,57565037
305,53242299
306,64984056
307,64579137
308,55132494
309,50109629
310,61491302
311,62682371
312,45219736
313,52710671
314,52636943
315,61773514
316,38924568
317,55232800
318,63613281
319,63258902
320,53311885
321,59511572
322,59254640
323,63340280
324,64757677
325,55281410
326,54022742
327,57448488
328,63399633
329,38452989
330,56681728
331,48483612
332,60117707
333,59788528
334,48090240
335,51751163
336,63008991
337,62897437
338,62356736
339,63170105
340,62433179
341,47417897
342,60216860
343,63070670
344,58233442
345,42418029
346,64224948
347,51536373
348,53170149
349,64860866
350,61582302
351,61532345
352,39657063
353,63522465
354,62814089
355,64672735
356,58669730
357,51458651
358,43332638
359,45873424
360,47723527
361,57390019
362,63171355
363,48714608
364,61142811
365,40827076
366,55601028
367,63900578
368,60598858
369,51023829
370,64317067
371,61753091
372,61421094
373,43632476
374,64618164
375,65026361
376,55944143
377,56192998
378,61906826
379,44006283
380,39878628
381,46935216
382,61280315
383,59120270
384,60151548
385,42346516
386,60268647
387,62855617
388,56481038
389,63392134
390,59957233
391,46242187
392,54575515
393,64308649
394,59317919
395,63564751
396,61533291
397,50410799
398,60820691
399,61943931
400,57539204
401,56767529
402,61905268
403,58537017
404,60395881
405,58043606
406,58438967
407,48316020
408,49419720
409,65135393
410,56445615
411,62840332
412,63947374
413,62787056
414,63994092
415,50694066
416,62440336
417,53788893
418,48656317
419,58347545
420,61679365
421,56010489
422,38031154
423,53032412
424,59106542
425,46733102
426,54180658
427,43212857
428,63496263
429,43361603
430,57523260
431,64808532
432,61692802
433,43130365
434,54864675
435,42327891
436,46674293
437,42207554
438,37671974
439,62251962
440,61666415
441,49866649
442,57023861
443,62742336
444,61848368
445,56721498
446,57194070
447,63347272
448,42687441
449,55077982
450,51070935
451,63827339
452,62168306
453,42834355
454,42704808
455,45099737
456,56728337
457,36706379
458,62498623
459,44297731
460,61894993
461,60494789
462,51414808
463,64476432
464,60461461
465,60815004
466,37578876
467,57977713
468,60401234
469,59778931
470,51625911
471,48922447
472,64833532
473,60615290
474,60079644
475,48982715
476,55449225
477,57200410
478,61640966
479,59562711
480,62294648
481,59137907
482,46388793
483,55066217
484,56895298
485,39826514
486,55435899
487,62235453
488,63271897
489,57544846
490,64080961
491,63509763
492,64013413
493,57613236
494,59674613
495,43714864
496,63956135
497,60229227
498,44299638
499,64010548
500,61918073
501,57752017
502,53933528
503,62828443
504,61068616
505,55916235
506,64415238
507,58106068
508,52069367
509,53397589
510,64084985
511,65043294
512,62647689
513,60436527
514,64668956
515,58575586
516,44416354
517,59570081
518,38060078
519,53639067
520,60588562
521,62454464
522,62757232
523,54700736
524,62687230
525,63961076
526,42312938
527,50349213
528,49916152
529,62786079
530,45767480
531,63675105
532,61547304
533,63554912
534,57681345
535,47064178
536,64437625
537,44174944
538,56715893
539,60505628
540,63733051
541,64022719
542,54377670
543,60263100
544,64052906
545,57677834
546,61068630
547,58208659
548,42381537
549,53902959
550,44150921
551,38876765
552,55227732
553,58722640
554,61335856
555,61248166
556,61556662
557,60871258
558,52060438
559,63055498
560,59667300
561,49363410
562,65003896
563,58988302
564,54184517
565,52575271
566,60470112
567,56716948
568,47624260
569,44410135
570,59986679
571,64840441
572,61646417
573,52794599
574,63233460
575,34377797
576,51404204
577,42814738
578,48231593
579,63956735
580,55076304
581,48315934
582,52119988
583,44736360
584,55757445
585,62342940
586,51930183
587,55258859
588,62764912
589,51657456
590,60251342
591,47753736
592,50574272
593,48252312
594,56104841
595,58859062
596,59588928
597,60195735
598,50139215
599,59646105
600,37756452
601,57797113
602,60852787
603,63958816
604,63345829
605,59938365
606,52981044
607,60801746
608,56716059
609,61899073
610,35972194
611,58417341
612,57633854
613,65042945
614,57748812
615,54619251
616,53225804
617,64059211
618,52909618
619,63845455
620,59480596
621,58501086
622,61695367
623,56727893
624,58993596
625,64743941
626,63139050
627,53641389
628,55731949
629,59690188
630,61734803
631,46156717
632,53079511
633,52448652
634,53053649
635,62868268
636,55754315
637,52500088
638,41951433
639,49620057
640,51753328
641,43837577
642,57841557
643,44894883
644,53761145
645,61603429
646,46050073
647,42821932
648,60842383
649,63908516
650,60522177
651,56664751
652,62732146
653,60541399
654,44587346
655,61180002
656,58413295
657,58003448
658,47568793
659,63217804
660,63131626
661,53107605
662,62813488
663,62294271
664,62759835
665,55019885
666,59843037
667,62454676
668,59735873
669,62625109
670,45747928
671,50271291
672,64409974
673,62372670
674,59313711
675,56471368
676,53113316
677,56841736
678,54800979
679,59472799
680,59826281
681,64200117
682,57740150
683,58251062
684,59461550
685,60490084
686,51684041
687,53225442
688,64040349
689,46806127
690,40628929
691,51443898
692,50518563
693,60679465
694,51837914
695,55354111
696,57387169
697,58530328
698,51638053
699,63276000
700,48796619
701,61928675
702,35418410
703,59699935
704,60015820
705,50123194
706,48972044
707,46574601
708,58150403
709,62938230
710,51715632
711,62079034
712,60529273
713,45060544
714,37048090
715,50028868
716,60234357
717,44963306
718,59394902
719,59451934
720,45007963
721,51631447
722,60491542
723,61991694
724,61121937
725,64966761
726,55577711
727,63426481
728,57894349
729,61533209
730,56650063
731,59345642
732,55091324
733,61851707
734,56819460
735,51322381
736,56257216
737,63624890
738,60311186
739,42311242
740,47323828
741,64313638
742,38238192
743,51237419
744,58905540
745,62604925
746,55406274
747,44461197
748,58842925
749,45134309
750,52804669
751,54805110
752,61218324
753,50653044
754,48306763
755,48143753
756,50831434
757,51152579
758,64982212
759,55328246
760,34987509
761,49305971
762,54857913
763,62538267
764,59341644
765,61458419
766,60981589
767,50295442
768,50903350
769,65096946
770,64371884
771,59132850
772,62726272
773,49611307
774,50359526
775,65160888
776,38109476
777,54510950
778,63575384
779,51371444
780,63830441
781,50901790
782,53147241
783,62843483
784,51540068
785,62697962
786,58646871
787,64992274
788,56190774
789,64272209
790,58980108
791,53031887
792,58782397
793,62044474
794,44201892
795,49740247
796,48952003
797,49476287
798,60990781
799,60622080
800,65031497
801,56687174
802,58658265
803,63786533
804,64948281
805,56259596
806,55660172
807,64590332
808,62212827
809,53660808
810,52754453
811,61042573
812,35953210
813,63814193
814,51087747
815,57154583
816,59984361
817,62088563
818,43106573
819,42072234
820,63405139
821,58559569
822,63732040
823,61521845
824,62504822
825,42573628
826,58256352
827,60027537
828,47973009
829,56535900
830,57199905
831,61499177
832,61918917
833,51732686
834,53079108
835,41389387
836,60142357
837,49306601
838,62478552
839,62143530
840,62179971
841,51845395
842,61656071
843,55532819
844,53649837
845,41116270
846,62743319
847,60387078
848,36867608
849,42899186
850,63796327
851,39295136
852,51936464
853,43444835
854,59209056
855,54294939
856,58061538
857,56329560
858,55292673
859,58494648
860,56015259
861,62291871
862,50161671
863,47342241
864,58879210
865,63119124
866,49373068
867,62354127
868,59656096
869,53304490
870,56779949
871,58595506
872,62813601
873,53535805
874,53090781
875,64521258
876,61459612
877,58499146
878,63626151
879,60245055
880,55447066
881,51182162
882,40992703
883,41942538
884,42851931
885,48502454
886,64968913
887,42115585
888,62836692
889,50244982
890,59214299
891,62188666
892,60495569
893,61238763
894,59436710
895,45581758
896,56462478
897,60008591
898,64985723
899,57046189
900,60349042
901,55618016
902,62395549
903,64451191
904,49538940
905,57626828
906,57191796
907,52093062
908,53562493
909,61815908
910,60381569
911,58477017
912,63142022
913,45536330
914,56989522
915,63916017
916,45570072
917,62511015
918,55923566
919,47861918
920,60354923
921,45784963
922,55353580
923,48825785
924,55699907
925,64037232
926,60920524
927,64966613
928,63738681
929,55149225
930,41767411
931,63687113
932,54629689
933,59546988
934,62436016
935,62905328
936,53590269
937,64937957
938,63905839
939,53748450
940,52373204
941,64945540
942,58076296
943,47294735
944,62547807
945,39705249
946,59074630
947,62407403
948,51257037
949,56942351
950,53501315
951,49588382
952,57696200
953,40466303
954,62942230
955,54836522
956,53206900
957,58745187
958,53135439
959,50053272
960,63479771
961,61820214
962,62324305
963,49155874
964,65151225
965,64921917
966,57843656
967,45634254
968,62014496
969,63641945
970,51814654
971,64618682
972,59873568
973,63621251
974,57807175
975,48192342
976,52017233
977,65005842
978,58163571
979,59933598
980,51886844
981,50178866
982,45459613
983,62867860
984,53443415
985,64799628
986,48958765
987,48513337
988,61104096
989,64851547
990,64935176
991,57725172
992,59621796
993,60879109
994,64988038
995,56738544
996,45997645
997,46153113
998,61240758
999,50340211
1000,54245307
1001,63783420
1002,44483560
1003,49642086
1004,49844907
1005,62467650
1006,63838440
1007,63572451
1008,55236003
1009,56546049
1010,63562281
1011,58872976
1012,63636565
1013,61153278
1014,42498876
1015,60505369
1016,60831263
1017,47020411
1018,63485535
1019,59417433
1020,56190392
1021,58408711
1022,63531993
1023,56656757
1024,53027819
1025,60750035
1026,61709870
1027,58764125
1028,62837923
1029,50824643
1030,61532600
1031,53786149
1032,60042553
1033,63492668
1034,40651509
1035,38824943
1036,56210588
1037,64943976
1038,55805831
1039,56550018
1040,62743374
1041,36918831
1042,45428864
1043,61426257
1044,64522160
1045,64766435
1046,57066115
1047,65030708
1048,47279687
1049,50358448
1050,62071283
1051,64797142
1052,40372026
1053,52957339
1054,49568041
1055,45428427
1056,62996281
1057,47543589
1058,53317523
1059,61783320
1060,57432696
1061,59895819
1062,42535795
1063,53586790
1064,61190181
1065,55244579
1066,48456216
1067,51179394
1068,64076856
1069,53626504
1070,58106650
1071,63807400
1072,37425559
1073,58868733
1074,62830533
1075,58227444
1076,58529504
1077,48290345
1078,47652345
