,Q_id
0,45011900
1,54004682
2,46143492
3,61006923
4,46698189
5,49025680
6,62500223
7,41343827
8,64208387
9,64805202
10,56036922
11,46223742
12,64221829
13,57384753
14,63131782
15,46974157
16,64475686
17,60521877
18,51887958
19,54980992
20,42617238
21,56509459
22,49282948
23,59089002
24,46115403
25,42608245
26,63642334
27,59019290
28,58359881
29,61079681
30,48870598
31,50051685
32,55870502
33,48519761
34,64665500
35,50819081
36,51738029
37,51643987
38,60042934
39,54228222
40,51567728
41,59592406
42,58238146
43,48492079
44,42015797
45,56743055
46,48757463
47,60879374
48,50310515
49,62784304
50,38615121
51,54241172
52,55140993
53,57182169
54,64569649
55,43988150
56,60670924
57,41287867
58,58990039
59,62000175
60,56336258
61,60674758
62,52213776
63,41702226
64,59319022
65,54902197
66,61693941
67,60157547
68,46805735
69,49206650
70,57369148
71,38444202
72,50634751
73,49749706
74,57469673
75,51425803
76,59820290
77,60708920
78,51145682
79,49599876
80,63094763
81,51054292
82,64951910
83,34682174
84,63539290
85,61027271
86,60482664
87,63254704
88,56526497
89,55699860
90,55420520
91,52400391
92,59217719
93,61896928
94,44247152
95,59852036
96,45379778
97,41713516
98,61635398
99,56430021
100,45823662
101,47946413
102,47845629
103,53333794
104,59039744
105,47897997
106,57350120
107,55666237
108,49402739
109,65128847
110,61194564
111,51385792
112,54037100
113,64386238
114,60086992
115,60811753
116,40731433
117,60212297
118,61886725
119,60877810
120,53533974
121,53630041
122,62580609
123,60656499
124,48736206
125,36745266
126,61448372
127,60356414
128,58798302
129,55371645
130,62872907
131,49994979
132,40203035
133,51595618
134,62832159
135,64404290
136,54207221
137,53208334
138,55403410
139,58228242
140,65069637
141,45824737
142,44339501
143,53530628
144,55264696
145,46542632
146,36382076
147,53293243
148,54553561
149,51133972
150,58943535
151,53541803
152,58485621
153,62681282
154,57721324
155,60742455
156,57315783
157,63135083
158,42203190
159,38440642
160,44359313
161,65035109
162,52106752
163,43321035
164,60178952
165,39703369
166,55581177
167,61679760
168,52751040
169,54472607
170,47807934
171,55406968
172,41497710
173,46784295
174,65150136
175,50729241
176,59115365
177,52500185
178,61239827
179,58467774
180,58103035
181,62352603
182,59568868
183,63579211
184,64513931
185,55293484
186,63389187
187,61464546
188,45598587
189,58545092
190,65057028
191,52621627
192,48144371
193,61769152
194,52192148
195,44515532
196,38164798
197,53689684
198,60179689
199,54069363
200,56064192
201,60878915
202,57540443
203,59819449
204,45854681
205,54613615
206,46648484
207,62704906
208,58788165
209,57532416
210,55575681
211,58523251
212,56064458
213,64496447
214,58519780
215,52614786
216,62568236
217,62093781
218,43674830
219,47945670
220,50334755
221,63267540
222,53401636
223,63642953
224,37340129
225,62355695
226,50510132
227,49728797
228,64734203
229,55430586
230,64966595
231,61908447
232,43400292
233,63820479
234,55211277
235,50664485
236,48148109
237,59041987
238,42823627
239,50644567
240,49736537
241,65095943
242,64041169
243,50999880
244,51469638
245,63938682
246,45644224
247,58381152
248,59729498
249,59654681
250,52873243
251,46152187
252,60577039
253,51445857
254,49642343
255,62535968
256,59355891
257,60642537
258,61329635
259,42641824
260,64659531
261,57887035
262,37098546
263,51825987
264,47707793
265,59954265
266,64317387
267,50539342
268,41017346
269,43128584
270,55749799
271,60553285
272,46062649
273,60532922
274,62635133
275,58428007
276,55055325
277,62403547
278,43204193
279,57253259
280,51018233
281,49977236
282,62141945
283,36371137
284,45433231
285,63294276
286,51048421
287,63703696
288,50849823
289,55797278
290,52579346
291,62201397
292,64448769
293,43851657
294,59963721
295,62169893
296,59493127
297,54829236
298,60347228
299,44226932
300,37863377
301,46679365
302,42087542
303,60444268
304,55781724
305,57805332
306,52723416
307,59414250
308,58825090
309,53007095
310,41299126
311,51288213
312,53090359
313,50669990
314,64318940
315,44516609
316,56713804
317,41560621
318,45593967
319,62318238
320,51014688
321,40137402
322,59069058
323,55000285
324,40808149
325,60229666
326,41620975
327,62998073
328,59905986
329,52317452
330,46843565
331,44363610
332,50898628
333,59493222
334,59933399
335,63546290
336,56821415
337,53826892
338,60125466
339,60460338
340,62598537
341,53489352
342,55264427
343,49752192
344,59448675
345,63818561
346,51673665
347,58685407
348,48599464
349,59447567
350,63207113
351,60776218
352,63514076
353,65156359
354,64441356
355,61116190
356,45949736
357,42756400
358,54750890
359,64453608
360,47898566
361,50955454
362,39856291
363,65030306
364,59324845
365,65054658
366,61173884
367,61463327
368,54012846
369,64445245
370,44515119
371,61250311
372,58953873
373,60306088
374,35037360
375,53201297
376,64757088
377,45527722
378,52675607
379,60291619
380,43084571
381,60070279
382,52866049
383,48550201
384,61861533
385,53273723
386,59439249
387,64938800
388,46001982
389,60371871
390,50899131
391,49465418
392,61447786
393,45188827
394,59360263
395,58804850
396,61495030
397,60902858
398,47986662
399,49388901
400,59882584
401,62079569
402,45701073
403,47444039
404,62308415
405,54948475
406,57801222
407,54361669
408,56243402
409,64068935
410,57033167
411,43357570
412,45932027
413,53894458
414,57737176
415,54923916
416,58807467
417,44175037
418,64721025
419,61967172
420,58329949
421,46700989
422,49655204
423,64593326
424,56980145
425,55085280
426,38745060
427,53796310
428,57693124
429,55277561
430,52029879
431,58861313
432,62729806
433,62312195
434,59220998
435,64628738
436,53232969
437,49218685
438,46124965
439,51951097
440,52973241
441,50474336
442,61402458
443,52734397
444,57470479
445,59799353
446,60276015
447,61166107
448,46145100
449,57005176
450,40340131
451,59569722
452,57347833
453,52147236
454,63556536
455,59577258
456,54749188
457,46977856
458,52138057
459,54864100
460,61355289
461,41125728
462,54956837
463,43007183
464,62881276
465,50977948
466,55814939
467,55933890
468,60474700
469,63614943
470,54903753
471,56687784
472,54051444
473,43833031
474,61980878
475,54084546
476,45485995
477,46828476
478,54772067
479,54151453
480,42193779
481,38990738
482,61784507
483,60910157
484,60356404
485,44719159
486,38893526
487,46224598
488,49765265
489,62795488
490,49530459
491,62823385
492,51915835
493,63468244
494,53596245
495,57203426
496,58543931
497,63414719
498,58588600
499,49321280
500,59519256
501,54160393
502,62459563
503,46536893
504,52464094
505,57234949
506,49330274
507,63214838
508,63907988
509,44897648
510,41942885
511,49162276
512,57058178
513,43525896
514,61944317
515,60456253
516,55931671
517,45425896
518,48677077
519,50356367
520,63333551
521,55757646
522,53152243
523,59780886
524,62899061
525,48153142
526,60299868
527,57291799
528,49714839
529,58959547
530,59748121
531,53885868
532,55681649
533,59576387
534,55115837
535,49872357
536,36805013
537,50858265
538,60432327
539,61768401
540,60482956
541,60162973
542,55582569
543,64047488
544,62668293
545,41312197
546,58194657
547,62544829
548,59605077
549,58113387
550,53235485
551,37054188
552,53371014
553,62702463
554,49889617
555,62203079
556,64575050
557,59475722
558,60112588
559,54934207
560,58390826
561,51078625
562,54896588
563,55429304
564,46392970
565,52481006
566,55963617
567,49702026
568,50047909
569,59746823
570,59745659
571,61123589
572,59479469
573,64825533
574,63118141
575,64527004
576,48466896
577,44856964
578,43977629
579,63011755
580,61450446
581,56766277
582,46919462
583,52742509
584,46841443
585,53058116
586,48238113
587,43242313
588,50266975
589,55361979
590,51754968
591,62138437
592,51902278
593,47636101
594,53256877
595,54906661
596,41370987
597,59587900
598,51665533
599,57670482
600,53296165
601,45478716
602,41141264
603,59585026
604,59832879
605,47131248
606,59246985
607,64117232
608,58857720
609,60306789
610,58344865
611,64549288
612,55699540
613,55163177
614,61586614
615,54383045
616,39135024
617,49028978
618,52897995
619,60614054
620,53648620
621,62138035
622,46510992
623,52234782
624,38111129
625,58786275
626,63516865
627,54205249
628,49941091
629,61609913
630,60895421
631,63722187
632,47383336
633,58746572
634,56452714
635,57219011
636,55632888
637,53634924
638,38083325
639,37979238
640,44437878
641,49847312
642,61154388
643,42867864
644,61064717
645,56856573
646,45922913
647,49603498
648,59529804
