,Q_id
0,43574928
1,52019226
2,48065685
3,64070871
4,60342600
5,59113797
6,58245855
7,55117165
8,42567398
9,59898015
10,54283937
11,49799998
12,47000992
13,63605446
14,62593621
15,37757678
16,53258236
17,59656318
18,61057620
19,46141331
20,37715330
21,56544166
22,52699598
23,51207093
24,56038372
25,58188087
26,56254649
27,50559586
28,60616842
29,54419009
30,62533360
31,63602858
32,55779201
33,60091890
34,61717694
35,60572767
36,52041028
37,56817588
38,50075783
39,60028225
40,56678776
41,64184130
42,63931981
43,49865478
44,50874279
45,60651110
46,59388426
47,61299146
48,61768686
49,65002461
50,46799892
51,60810806
52,61469188
53,59270769
54,61384935
55,62762673
56,39266944
57,43427714
58,44142175
59,59719200
60,61605888
61,57154087
62,60578356
63,64539158
64,43892046
65,51634218
66,46137190
67,46269557
68,59568216
69,64509613
70,62487570
71,63205159
72,58253408
73,55561540
74,49357582
75,61193282
76,60651800
77,63084944
78,47352366
79,47443880
80,59987004
81,64561441
82,44544766
83,62818464
84,50183809
85,49279596
86,59394681
87,56976438
88,64866219
89,60234725
90,61914767
91,60393535
92,64426489
93,60848437
94,50477443
95,47976507
96,62810016
97,64929017
98,62372149
99,47149076
100,63740473
101,53930858
102,49588308
103,64869242
104,61433414
105,40802457
106,44298811
107,56259506
108,58784182
109,50166780
110,58898253
111,62067207
112,57612543
113,48733821
114,59173309
115,50083767
116,53919837
117,44980787
118,62309736
119,57086301
120,43697539
121,56854539
122,63186177
123,64266764
124,49012907
125,61778842
126,49439963
127,49856097
128,47525650
129,63717207
130,50850258
131,59357170
132,52019808
133,64403776
134,62421732
135,56411775
136,55829593
137,62014498
138,62095754
139,49019531
140,64438467
141,62451217
142,49972992
143,61922244
144,58764687
145,61724871
146,62617097
147,62921107
148,57329677
149,55182326
150,44399071
151,55900290
152,61559333
153,60218269
154,55150730
155,47599888
156,45947351
157,60959631
158,64163517
159,58837207
160,60724360
161,51971050
162,61472806
163,64952634
164,56270098
165,52447345
166,56481256
167,60960691
168,63469342
169,65077143
170,56960184
171,62747428
172,56520140
173,62156766
174,64334292
175,42870727
176,49774035
177,47457344
178,59431911
179,64811632
180,61976011
181,55024656
182,62303911
183,50706431
184,42430525
185,40966861
186,62817099
187,59126070
188,63122285
189,63696334
190,60546872
191,36188958
192,54531730
193,64974605
194,62366872
195,52031170
196,55742105
197,43285733
198,60761415
199,63989328
200,58864930
201,63612751
202,64667048
203,63156066
204,61544214
205,57601256
206,62553164
207,61026175
208,62267488
209,60662485
210,46371561
211,50282420
212,54581391
213,56026250
214,55074954
215,64500549
216,39795064
217,43057816
218,47014306
219,54429053
220,58470530
221,65133108
222,43360560
223,52418248
224,65045232
225,50104344
226,64198831
227,59142425
228,61433880
229,54688502
230,56703423
231,55654311
232,54772456
233,43048506
234,62988304
235,59368539
236,61271216
237,51167542
238,53674690
239,42867132
240,59616436
241,53413407
242,54144189
243,49540395
244,61882988
245,49732976
246,50027652
247,58116359
248,48398229
249,62674827
250,57565037
251,53242299
252,64984056
253,64579137
254,55132494
255,50109629
256,61491302
257,62682371
258,45219736
259,52710671
260,52636943
261,38924568
262,55232800
263,63258902
264,53311885
265,59511572
266,59254640
267,63340280
268,64757677
269,55281410
270,63399633
271,38452989
272,56681728
273,60117707
274,59788528
275,48090240
276,51751163
277,63008991
278,62897437
279,62356736
280,63170105
281,62433179
282,47417897
283,60216860
284,63070670
285,58233442
286,42418029
287,64224948
288,51536373
289,53170149
290,61582302
291,61532345
292,39657063
293,63522465
294,62814089
295,64672735
296,58669730
297,51458651
298,47723527
299,57390019
300,63171355
301,48714608
302,61142811
303,40827076
304,55601028
305,63900578
306,60598858
307,64317067
308,61421094
309,43632476
310,65026361
311,55944143
312,56192998
313,61906826
314,39878628
315,46935216
316,61280315
317,59120270
318,60151548
319,42346516
320,56481038
321,63392134
322,59957233
323,46242187
324,54575515
325,64308649
326,59317919
327,63564751
328,61533291
329,50410799
330,60820691
331,61943931
332,57539204
333,56767529
334,61905268
335,58537017
336,60395881
337,58043606
338,58438967
339,49419720
340,65135393
341,62840332
342,63994092
343,62440336
344,53788893
345,48656317
346,58347545
347,61679365
348,56010489
349,38031154
350,53032412
351,59106542
352,46733102
353,54180658
354,43212857
355,63496263
356,43361603
357,57523260
358,64808532
359,61692802
360,43130365
361,46674293
362,42207554
363,37671974
364,62251962
365,61666415
366,49866649
367,57023861
368,62742336
369,61848368
370,57194070
371,63347272
372,42687441
373,51070935
374,63827339
375,62168306
376,42834355
377,42704808
378,45099737
379,56728337
380,36706379
381,62498623
382,61894993
383,51414808
384,64476432
385,60461461
386,60815004
387,37578876
388,57977713
389,60401234
390,59778931
391,48922447
392,64833532
393,60079644
394,48982715
395,55449225
396,57200410
397,59562711
398,62294648
399,59137907
400,46388793
401,55066217
402,56895298
403,39826514
404,62235453
405,63271897
406,57544846
407,64080961
408,64013413
409,57613236
410,59674613
411,43714864
412,64010548
413,61918073
414,57752017
415,53933528
416,62828443
417,61068616
418,55916235
419,64415238
420,58106068
421,52069367
422,53397589
423,64084985
424,65043294
425,62647689
426,44416354
427,59570081
428,38060078
429,53639067
430,60588562
431,62454464
432,62757232
433,62687230
434,63961076
435,42312938
436,49916152
437,62786079
438,45767480
439,63675105
440,61547304
441,47064178
442,64437625
443,44174944
444,56715893
445,60505628
446,63733051
447,54377670
448,60263100
449,64052906
450,57677834
451,61068630
452,58208659
453,53902959
454,44150921
455,38876765
456,55227732
457,58722640
458,61335856
459,61248166
460,61556662
461,60871258
462,52060438
463,63055498
464,49363410
465,58988302
466,52575271
467,60470112
468,56716948
469,47624260
470,44410135
471,59986679
472,64840441
473,61646417
474,52794599
475,63233460
476,34377797
477,51404204
478,42814738
479,63956735
480,55076304
481,52119988
482,55757445
483,62342940
484,51930183
485,62764912
486,51657456
487,60251342
488,47753736
489,50574272
490,48252312
491,56104841
492,58859062
493,59588928
494,60195735
495,50139215
496,59646105
497,37756452
498,57797113
499,60852787
500,63958816
501,63345829
502,59938365
503,52981044
504,60801746
505,56716059
506,61899073
507,35972194
508,58417341
509,57633854
510,65042945
511,54619251
512,53225804
513,64059211
514,52909618
515,63845455
516,59480596
517,61695367
518,56727893
519,63139050
520,53641389
521,55731949
522,59690188
523,61734803
524,46156717
525,53079511
526,52448652
527,53053649
528,62868268
529,55754315
530,52500088
531,41951433
532,49620057
533,51753328
534,43837577
535,57841557
536,53761145
537,61603429
538,46050073
539,42821932
540,60842383
541,63908516
542,60522177
543,62732146
544,60541399
545,44587346
546,61180002
547,58413295
548,58003448
549,47568793
550,63131626
551,53107605
552,62813488
553,62759835
554,55019885
555,59735873
556,62625109
557,50271291
558,64409974
559,62372670
560,59313711
561,56471368
562,53113316
563,56841736
564,54800979
565,59472799
566,59826281
567,64200117
568,57740150
569,58251062
570,51684041
571,53225442
572,64040349
573,46806127
574,40628929
575,51443898
576,50518563
577,60679465
578,51837914
579,55354111
580,57387169
581,58530328
582,51638053
583,63276000
584,48796619
585,61928675
586,35418410
587,59699935
588,60015820
589,50123194
590,48972044
591,46574601
592,62938230
593,51715632
594,62079034
595,60529273
596,45060544
597,50028868
598,60234357
599,44963306
600,59451934
601,45007963
602,60491542
603,61991694
604,64966761
605,55577711
606,63426481
607,57894349
608,61533209
609,56650063
610,59345642
611,55091324
612,61851707
613,56819460
614,51322381
615,63624890
616,60311186
617,42311242
618,64313638
619,38238192
620,51237419
621,62604925
622,55406274
623,44461197
624,58842925
625,45134309
626,52804669
627,61218324
628,50653044
629,48306763
630,48143753
631,64982212
632,55328246
633,34987509
634,54857913
635,62538267
636,59341644
637,61458419
638,60981589
639,50903350
640,65096946
641,59132850
642,62726272
643,49611307
644,50359526
645,65160888
646,38109476
647,54510950
648,63575384
649,51371444
650,63830441
651,50901790
652,62843483
653,51540068
654,62697962
655,58646871
656,64992274
657,56190774
658,64272209
659,58980108
660,53031887
661,58782397
662,62044474
663,44201892
664,49740247
665,48952003
666,60990781
667,60622080
668,65031497
669,58658265
670,63786533
671,64948281
672,56259596
673,55660172
674,64590332
675,62212827
676,53660808
677,52754453
678,61042573
679,63814193
680,57154583
681,59984361
682,62088563
683,43106573
684,42072234
685,63405139
686,58559569
687,63732040
688,61521845
689,62504822
690,42573628
691,58256352
692,60027537
693,47973009
694,56535900
695,57199905
696,61499177
697,61918917
698,51732686
699,60142357
700,49306601
701,62478552
702,51845395
703,55532819
704,53649837
705,62743319
706,60387078
707,36867608
708,42899186
709,63796327
710,43444835
711,59209056
712,54294939
713,58061538
714,56329560
715,55292673
716,58494648
717,56015259
718,62291871
719,50161671
720,58879210
721,63119124
722,49373068
723,62354127
724,53304490
725,53535805
726,53090781
727,64521258
728,61459612
729,63626151
730,60245055
731,55447066
732,51182162
733,40992703
734,41942538
735,42851931
736,48502454
737,64968913
738,42115585
739,62836692
740,50244982
741,59214299
742,62188666
743,60495569
744,61238763
745,59436710
746,45581758
747,56462478
748,60008591
749,64985723
750,57046189
751,55618016
752,62395549
753,64451191
754,57626828
755,57191796
756,52093062
757,53562493
758,60381569
759,58477017
760,63142022
761,45536330
762,56989522
763,45570072
764,62511015
765,55923566
766,47861918
767,60354923
768,45784963
769,48825785
770,55699907
771,64037232
772,60920524
773,64966613
774,63738681
775,55149225
776,41767411
777,63687113
778,54629689
779,59546988
780,62436016
781,62905328
782,53590269
783,64937957
784,63905839
785,53748450
786,52373204
787,64945540
788,58076296
789,47294735
790,62547807
791,39705249
792,59074630
793,62407403
794,51257037
795,56942351
796,49588382
797,57696200
798,40466303
799,62942230
800,54836522
801,53206900
802,58745187
803,53135439
804,50053272
805,63479771
806,61820214
807,62324305
808,49155874
809,64921917
810,57843656
811,45634254
812,62014496
813,63641945
814,51814654
815,57807175
816,48192342
817,52017233
818,65005842
819,59933598
820,51886844
821,50178866
822,45459613
823,62867860
824,53443415
825,64799628
826,48958765
827,61104096
828,64851547
829,64935176
830,57725172
831,60879109
832,64988038
833,56738544
834,45997645
835,46153113
836,61240758
837,50340211
838,54245307
839,63783420
840,44483560
841,49642086
842,49844907
843,62467650
844,63838440
845,63572451
846,55236003
847,56546049
848,63562281
849,58872976
850,63636565
851,61153278
852,60505369
853,60831263
854,47020411
855,63485535
856,56190392
857,58408711
858,63531993
859,56656757
860,53027819
861,61709870
862,58764125
863,62837923
864,50824643
865,61532600
866,53786149
867,60042553
868,38824943
869,56210588
870,64943976
871,55805831
872,56550018
873,62743374
874,36918831
875,45428864
876,64522160
877,64766435
878,57066115
879,65030708
880,47279687
881,50358448
882,64797142
883,49568041
884,45428427
885,62996281
886,47543589
887,53317523
888,61783320
889,57432696
890,59895819
891,42535795
892,53586790
893,61190181
894,55244579
895,48456216
896,51179394
897,58106650
898,63807400
899,37425559
900,58868733
901,62830533
902,58227444
903,48290345
904,61475460
905,58097348
906,57510115
907,51202602
908,48880922
909,54993855
910,63687478
911,60607009
912,50998702
913,61793344
914,40273109
915,50710889
916,61272538
917,63917912
918,47624798
919,61426853
920,57531365
921,62290513
922,48562282
923,64057207
924,53117437
925,61628771
926,62862808
927,62011960
928,56388324
929,62283556
930,42792518
931,54513742
932,59797805
933,59809986
934,53140853
935,58376222
936,61076556
937,64456365
938,62932374
939,64434163
940,54346263
941,63235076
942,59863288
943,48488227
944,58644365
945,52035918
946,40064422
947,37746670
948,64586008
949,60300498
950,53194918
951,56798056
952,61379244
953,61825347
954,62062177
955,58483511
956,47532162
957,62484668
958,57438747
959,61568030
960,43435309
961,58208252
962,53836507
963,61115408
964,42208067
965,47734614
966,57381023
967,45632684
968,62225540
969,58581933
970,45154668
971,55028479
972,44794237
973,40558352
974,55886146
975,57779967
976,46755616
977,60082858
978,65098672
979,60478750
980,53578009
981,61419842
982,44182348
983,64373113
984,53874732
985,58287403
986,63690545
987,41828263
988,50682487
989,51487963
990,61789457
991,64314574
992,61703435
993,63495362
994,42349931
995,35911252
996,55413789
997,63682934
998,60633053
999,48212629
1000,58573205
1001,55203017
1002,56101920
1003,54017729
1004,51885739
1005,55566152
1006,61723195
1007,56218256
1008,64992959
1009,56911622
1010,50331201
1011,63355334
1012,62476491
1013,40402050
1014,55009650
1015,50924403
1016,50881468
1017,53919290
1018,44289834
1019,55341239
1020,49360100
1021,55714528
1022,41885665
1023,49879750
1024,54547141
1025,52832497
1026,47387727
1027,51231576
1028,61783873
1029,45711842
1030,63957457
1031,63720681
1032,64229057
1033,63574871
1034,62990721
1035,47153182
1036,64955811
1037,54538497
1038,46382820
1039,60167656
1040,63522048
1041,63344322
1042,47766440
1043,57921463
1044,56843008
1045,63558522
1046,43045402
1047,54102280
1048,60539431
1049,61867027
1050,61004389
1051,43793300
1052,58556906
1053,48832025
1054,53473264
1055,46771194
1056,49266894
1057,56466742
1058,39236284
1059,64523441
1060,46371321
1061,46685395
1062,47698121
1063,57661592
1064,55631072
1065,62377757
1066,51475082
1067,43889373
1068,38955736
1069,46406938
1070,55100466
1071,62707199
1072,41403999
1073,44413564
1074,53115876
1075,63464944
1076,44826477
1077,60500736
1078,46084375
