Q_id,Id,CreationDate,ParentId
61913010,61913108,2020-05-20 12:26:09,61913010
61913010,62440289,2020-06-18 00:08:30,61913010
64313576,64812941,2020-11-12 22:45:02,64313576
62757772,62962264,2020-07-17 21:57:38,62757772
61072673,61074902,2020-04-07 07:32:54,61072673
60232485,60263925,2020-02-17 13:50:03,60232485
63519373,63524376,2020-08-21 14:04:48,63519373
63201036,63692060,2020-09-01 16:47:33,63201036
64156202,64156497,2020-10-01 13:33:45,64156202
64156202,64156912,2020-10-01 13:56:29,64156202
61580961,61581357,2020-05-03 20:43:44,61580961
60120849,60147063,2020-02-10 09:04:19,60120849
64138426,64144405,2020-09-30 19:21:51,64138426
62472438,62544040,2020-06-23 21:28:44,62472438
64947064,64959535,2020-11-22 21:05:46,64947064
61990266,62170433,2020-06-03 10:18:18,61990266
64823332,64866990,2020-11-16 23:03:07,64823332
63020991,63050666,2020-07-23 09:04:13,63020991
62538079,62542474,2020-06-23 19:36:06,62538079
62206826,62207015,2020-06-05 02:12:26,62206826
62907901,64214867,2020-10-05 19:18:31,62907901
64839614,64860363,2020-11-16 15:00:38,64839614
62125405,62126272,2020-06-01 05:36:16,62125405
64564545,64569354,2020-10-28 08:51:46,64564545
60923314,60926442,2020-03-30 08:14:52,60923314
61306391,61316474,2020-04-20 06:39:55,61306391
61306391,61670209,2020-05-08 00:51:54,61306391
62435022,62436033,2020-06-17 18:34:53,62435022
61000500,61364843,2020-04-22 12:13:16,61000500
61000500,61386745,2020-04-23 12:00:45,61000500
61107371,61107682,2020-04-08 18:35:43,61107371
63899303,63917542,2020-09-16 09:56:05,63899303
63899303,63956740,2020-09-18 13:30:29,63899303
59978959,60929439,2020-03-30 11:20:43,59978959
63785319,63791977,2020-09-08 10:27:17,63785319
64180222,64183369,2020-10-03 10:47:24,64180222
62598130,62598924,2020-06-26 16:22:39,62598130
62598130,62616138,2020-06-27 22:18:16,62598130
63607919,63608550,2020-08-27 03:05:29,63607919
61776977,62867913,2020-07-13 00:55:19,61776977
61776977,63379055,2020-08-12 14:47:22,61776977
61551797,61632692,2020-05-06 10:16:51,61551797
64646867,64647354,2020-11-02 14:23:25,64646867
61821515,62065782,2020-05-28 13:21:16,61821515
62882030,63161649,2020-07-29 20:06:40,62882030
63608183,63608360,2020-08-27 02:41:20,63608183
63538113,63538547,2020-08-22 16:31:29,63538113
60142937,60481050,2020-03-02 00:18:45,60142937
60192523,60205849,2020-02-13 10:39:28,60192523
62386631,62386694,2020-06-15 10:51:23,62386631
62386631,62505002,2020-06-21 22:12:48,62386631
63087586,63089149,2020-07-25 13:50:04,63087586
61569900,61704397,2020-05-09 22:06:22,61569900
63924567,63939998,2020-09-17 14:13:56,63924567
60187634,60213244,2020-02-13 17:13:30,60187634
63648380,64157071,2020-10-01 14:04:43,63648380
61916760,61929387,2020-05-21 07:26:15,61916760
61127158,61136147,2020-04-10 07:55:08,61127158
60990897,61944020,2020-05-21 21:19:41,60990897
61134980,61136334,2020-04-10 08:09:41,61134980
61134980,63116712,2020-07-27 13:44:43,61134980
62040309,62053791,2020-05-27 22:18:31,62040309
62040309,62130091,2020-06-01 10:24:28,62040309
62040309,62454967,2020-06-18 16:36:55,62040309
63392315,63400622,2020-08-13 17:47:43,63392315
59701981,59703711,2020-01-12 12:18:03,59701981
63112907,65016424,2020-11-26 05:08:09,63112907
60492839,60493083,2020-03-02 16:36:36,60492839
60492839,60504075,2020-03-03 09:31:59,60492839
60243099,60244493,2020-02-16 00:44:37,60243099
60867353,60989317,2020-04-02 10:21:25,60867353
64610841,64798263,2020-11-12 05:08:23,64610841
64675655,64728238,2020-11-07 13:37:56,64675655
62703391,62980607,2020-07-19 12:59:13,62703391
61656822,61719248,2020-05-10 21:56:02,61656822
61656822,61727773,2020-05-11 10:42:28,61656822
64445784,64450767,2020-10-20 17:52:50,64445784
63281940,64467338,2020-10-21 15:52:44,63281940
63626014,63636417,2020-08-28 15:06:19,63626014
63387831,63403438,2020-08-13 21:27:21,63387831
61166514,61176504,2020-04-12 18:50:19,61166514
63478947,63500593,2020-08-20 07:49:54,63478947
61690689,61690755,2020-05-09 01:43:28,61690689
60914793,60938998,2020-03-30 20:29:38,60914793
59435020,59520904,2019-12-29 15:52:57,59435020
59435020,60146344,2020-02-10 08:09:06,59435020
64119623,64120322,2020-09-29 13:10:04,64119623
60876394,60883003,2020-03-27 09:14:00,60876394
61022109,61023914,2020-04-04 04:51:49,61022109
61567599,61704348,2020-05-09 22:01:58,61567599
64937822,64965727,2020-11-23 09:28:31,64937822
63113763,63459238,2020-08-17 22:04:48,63113763
63948641,63948723,2020-09-18 02:59:37,63948641
61191642,61202555,2020-04-14 07:21:52,61191642
64702885,64710897,2020-11-06 08:09:07,64702885
63141267,63177834,2020-07-30 16:53:18,63141267
65034771,65038457,2020-11-27 13:48:14,65034771
54873721,54952215,2019-03-01 20:58:36,54873721
54873721,60359949,2020-02-23 07:10:24,54873721
63932600,63956838,2020-09-18 13:36:03,63932600
63236864,63237503,2020-08-03 21:58:51,63236864
63689270,63701604,2020-09-02 08:27:38,63689270
60345277,60390257,2020-02-25 08:22:35,60345277
61124443,61125328,2020-04-09 16:02:01,61124443
61124443,65144737,2020-12-04 13:47:56,61124443
60579343,60612158,2020-03-10 05:47:24,60579343
63953597,63995083,2020-09-21 15:09:05,63953597
57248098,60574502,2020-03-07 04:51:26,57248098
57248098,65097446,2020-12-01 19:43:38,57248098
61227950,61249113,2020-04-16 11:28:25,61227950
61825698,61828910,2020-05-15 21:50:07,61825698
59962851,59992623,2020-01-30 18:49:30,59962851
60780181,60780342,2020-03-20 19:16:30,60780181
