Q_id,Id,CreationDate,ParentId
63672169,63679073,2020-08-31 22:39:56,63672169
62830783,62830856,2020-07-10 09:03:55,62830783
62261602,62288407,2020-06-09 17:25:36,62261602
60513592,60905909,2020-03-28 19:28:44,60513592
60513592,64732429,2020-11-07 21:07:14,60513592
61168513,61706884,2020-05-10 03:43:13,61168513
60382793,60384804,2020-02-24 22:24:31,60382793
62487267,62504947,2020-06-21 22:04:36,62487267
60610280,60615939,2020-03-10 10:41:23,60610280
60001698,60002037,2020-01-31 10:24:21,60001698
61464726,61470583,2020-04-28 00:13:00,61464726
62561471,62685337,2020-07-01 21:06:43,62561471
62561471,62705302,2020-07-02 21:28:54,62561471
60186935,60312352,2020-02-20 03:08:48,60186935
60186935,60336376,2020-02-21 10:11:07,60186935
60186935,60361827,2020-02-23 11:42:01,60186935
59589483,59590798,2020-01-04 12:48:01,59589483
63774619,63777582,2020-09-07 12:24:49,63774619
60918676,60955544,2020-03-31 16:39:25,60918676
62519413,62599063,2020-06-26 16:30:47,62519413
63407347,63408340,2020-08-14 07:25:39,63407347
