Q_id,Id,CreationDate,ParentId
45017534,45026733,2017-07-11 06:15:04,45017534
5651998,5652021,2011-04-13 15:49:20,5651998
5651998,5652040,2011-04-13 15:50:51,5651998
5651998,5652072,2011-04-13 15:53:28,5651998
5651998,5652081,2011-04-13 15:54:22,5651998
5651998,5652354,2011-04-13 16:17:34,5651998
29653321,38192664,2016-07-04 21:54:30,29653321
29653321,43251374,2017-04-06 09:40:06,29653321
29653321,58127750,2019-09-27 04:06:51,29653321
44187168,44213572,2017-05-27 06:09:28,44187168
37909295,37909442,2016-06-19 16:31:54,37909295
37909295,37920978,2016-06-20 11:07:57,37909295
37909295,37921019,2016-06-20 11:09:47,37909295
49891820,49891951,2018-04-18 05:39:18,49891820
50570511,50575550,2018-05-29 02:31:34,50570511
50570511,50579611,2018-05-29 08:24:09,50570511
31836058,31837224,2015-08-05 15:50:49,31836058
31836058,31838373,2015-08-05 16:46:27,31836058
31836058,44294377,2017-05-31 20:45:48,31836058
31836058,45704548,2017-08-16 03:15:09,31836058
31836058,48738383,2018-02-12 01:30:17,31836058
31836058,49327568,2018-03-16 18:40:27,31836058
31836058,60829206,2020-03-24 10:28:49,31836058
62740690,62740814,2020-07-05 12:40:27,62740690
62740690,62741134,2020-07-05 13:11:03,62740690
42616455,42616512,2017-03-06 02:16:34,42616455
51585247,51585422,2018-07-29 23:42:18,51585247
51585247,51585650,2018-07-30 00:29:55,51585247
22775938,22781232,2014-04-01 09:01:59,22775938
48810597,48810869,2018-02-15 15:34:59,48810597
48810597,48811063,2018-02-15 15:44:06,48810597
24134131,24298458,2014-06-19 03:48:41,24134131
51910396,51911264,2018-08-18 17:54:14,51910396
51910396,51912125,2018-08-18 20:00:08,51910396
43923853,43928573,2017-05-12 02:57:43,43923853
53284807,53285003,2018-11-13 16:07:09,53284807
53284807,53285079,2018-11-13 16:11:00,53284807
64307851,64308001,2020-10-11 19:06:21,64307851
64307851,64308124,2020-10-11 19:23:20,64307851
60653271,60653436,2020-03-12 11:42:36,60653271
38309163,38309471,2016-07-11 14:27:09,38309163
31707742,31709496,2015-07-29 19:30:47,31707742
31707742,31710022,2015-07-29 20:00:41,31707742
49074258,51457754,2018-07-21 15:53:35,49074258
50694066,50711097,2018-06-06 01:36:22,50694066
63764186,63764312,2020-09-06 12:46:29,63764186
63764186,63777886,2020-09-07 12:44:02,63764186
35705303,35705366,2016-02-29 17:09:24,35705303
35705303,35705892,2016-02-29 17:38:31,35705303
51330793,51330877,2018-07-13 18:20:12,51330793
7679970,7680639,2011-10-06 21:25:14,7679970
51895244,51895442,2018-08-17 12:26:00,51895244
