Q_id,Id,CreationDate,ParentId
35451782,35452670,2016-02-17 09:29:40,35451782
29653321,38192664,2016-07-04 21:54:30,29653321
29653321,43251374,2017-04-06 09:40:06,29653321
29653321,58127750,2019-09-27 04:06:51,29653321
65033069,65033315,2020-11-27 07:10:54,65033069
49891820,49891951,2018-04-18 05:39:18,49891820
47799305,47799377,2017-12-13 17:52:31,47799305
47799305,47800373,2017-12-13 19:02:03,47799305
53757691,53761248,2018-12-13 11:51:07,53757691
26107930,28398565,2015-02-08 19:47:27,26107930
60816279,60817309,2020-03-23 16:09:04,60816279
63428743,63428827,2020-08-15 17:17:40,63428743
41714947,41740409,2017-01-19 11:13:39,41714947
64656728,64660843,2020-11-03 10:17:48,64656728
49540162,49547140,2018-03-29 02:37:55,49540162
54001299,54001846,2019-01-02 05:54:45,54001299
31428581,31432111,2015-07-15 13:41:26,31428581
28801810,28802004,2015-03-02 02:54:52,28801810
45698951,45699110,2017-08-15 18:23:43,45698951
51776145,51777301,2018-08-10 00:12:37,51776145
51776145,51788887,2018-08-10 14:40:22,51776145
57622988,57647988,2019-08-25 16:56:55,57622988
28921807,28925234,2015-03-08 10:05:48,28921807
52002607,52003820,2018-08-24 11:47:51,52002607
58495721,58508694,2019-10-22 16:32:29,58495721
58495721,63139115,2020-07-28 16:54:49,58495721
49238160,49967163,2018-04-22 14:43:26,49238160
59133039,59144596,2019-12-02 18:16:56,59133039
42427463,42465199,2017-02-26 05:47:23,42427463
56174456,56175269,2019-05-16 19:18:26,56174456
56174456,56195540,2019-05-18 02:36:40,56174456
61562247,61562520,2020-05-02 16:14:30,61562247
48646202,48646264,2018-02-06 15:16:09,48646202
56799651,56801062,2019-06-28 04:52:15,56799651
56799651,56805476,2019-06-28 10:42:05,56799651
61641852,61642626,2020-05-06 18:29:27,61641852
61641852,61643084,2020-05-06 18:53:57,61641852
46834013,46834470,2017-10-19 16:16:36,46834013
45694799,46742435,2017-10-14 08:20:31,45694799
45694799,49665069,2018-04-05 05:53:43,45694799
38931631,58885910,2019-11-15 23:17:54,38931631
55562121,56183308,2019-05-17 09:18:27,55562121
55562121,58317590,2019-10-10 07:28:07,55562121
62498093,62498230,2020-06-21 12:02:18,62498093
62498093,62544206,2020-06-23 21:41:11,62498093
58457929,60166243,2020-02-11 09:59:45,58457929
63742494,63755408,2020-09-05 15:12:16,63742494
61415039,61422527,2020-04-25 07:47:09,61415039
30144901,30167243,2015-05-11 12:07:00,30144901
30144901,30178958,2015-05-11 22:56:22,30144901
35304681,35421337,2016-02-15 23:58:37,35304681
62071283,62072336,2020-05-28 18:48:45,62071283
50184534,50207824,2018-05-07 05:54:57,50184534
64076856,64077149,2020-09-26 11:29:20,64076856
21639685,21645674,2014-02-08 11:54:29,21639685
53920226,53920592,2018-12-25 08:22:11,53920226
56377141,56377311,2019-05-30 11:20:59,56377141
60278581,60293652,2020-02-19 05:33:17,60278581
49025207,49043172,2018-03-01 05:28:58,49025207
50030751,50030974,2018-04-25 20:38:39,50030751
22974521,23483822,2014-05-05 23:58:52,22974521
33038367,33042703,2015-10-09 16:04:45,33038367
54980098,54980203,2019-03-04 09:28:27,54980098
54980098,54981347,2019-03-04 10:31:42,54980098
37780139,37780243,2016-06-12 23:53:38,37780139
37780139,37971791,2016-06-22 15:01:17,37780139
37623259,37624404,2016-06-03 22:36:45,37623259
37623259,37840881,2016-06-15 16:26:23,37623259
37623259,38070294,2016-06-28 07:54:30,37623259
63478798,63480968,2020-08-19 06:12:59,63478798
42827885,42828169,2017-03-16 07:51:48,42827885
63495145,63496000,2020-08-19 22:53:50,63495145
57380948,57381362,2019-08-06 17:37:33,57380948
51154180,51155617,2018-07-03 13:16:20,51154180
51154180,51168120,2018-07-04 07:29:37,51154180
55690164,55697349,2019-04-15 21:15:57,55690164
39634375,39634485,2016-09-22 08:55:19,39634375
39634375,39637144,2016-09-22 10:57:03,39634375
43792132,51956362,2018-08-21 20:36:34,43792132
44599057,44599242,2017-06-16 23:26:23,44599057
50614069,50614299,2018-05-30 22:45:52,50614069
32734949,32735877,2015-09-23 09:31:58,32734949
36028905,36038113,2016-03-16 14:09:35,36028905
33771255,33771376,2015-11-18 03:34:52,33771255
52750930,52750950,2018-10-11 01:42:33,52750930
35694883,35695891,2016-02-29 09:26:46,35694883
51129498,54100438,2019-01-08 22:06:13,51129498
53028896,53034405,2018-10-28 17:43:04,53028896
31306390,31780034,2015-08-03 05:32:49,31306390
31306390,50445071,2018-05-21 08:48:16,31306390
49394654,49399780,2018-03-21 06:38:41,49394654
58248437,58249404,2019-10-05 14:48:34,58248437
58248437,59917184,2020-01-26 09:48:23,58248437
64363983,64365438,2020-10-15 05:35:42,64363983
29382049,30320639,2015-05-19 08:39:00,29382049
49520109,49533984,2018-03-28 11:59:56,49520109
63361907,63362281,2020-08-11 16:17:37,63361907
45837885,45875994,2017-08-25 07:00:27,45837885
48253844,48253991,2018-01-14 20:46:12,48253844
20437259,20437430,2013-12-07 04:01:58,20437259
16330366,16330519,2013-05-02 04:49:06,16330366
62894945,62895079,2020-07-14 12:20:58,62894945
62894945,62907774,2020-07-15 04:47:18,62894945
52359797,52368329,2018-09-17 12:58:14,52359797
34213199,34276057,2015-12-14 20:31:24,34213199
56549270,56592239,2019-06-14 06:01:13,56549270
56549270,57592549,2019-08-21 13:14:48,56549270
56549270,59209543,2019-12-06 08:34:25,56549270
56549270,60812284,2020-03-23 11:01:54,56549270
56549270,63015475,2020-07-21 13:23:10,56549270
40669951,40670662,2016-11-18 06:28:26,40669951
59448048,60665372,2020-03-13 05:41:55,59448048
34761945,34772115,2016-01-13 16:36:32,34761945
31621967,31630857,2015-07-25 20:34:21,31621967
