Q_id,Id,CreationDate,ParentId
56949825,56952784,2019-07-09 12:38:22,56949825
44570118,44573098,2017-06-15 17:04:11,44570118
58483371,58483658,2019-10-21 09:42:55,58483371
58483371,58491153,2019-10-21 17:12:43,58483371
58483371,58635864,2019-10-31 01:43:44,58483371
31774311,31775865,2015-08-02 19:40:58,31774311
46680536,46691959,2017-10-11 15:18:02,46680536
48767109,48767191,2018-02-13 12:46:58,48767109
32331848,32337101,2015-09-01 16:56:02,32331848
61725481,61853516,2020-05-17 14:34:23,61725481
62680321,62680598,2020-07-01 15:49:09,62680321
62680321,62680630,2020-07-01 15:51:15,62680321
42935914,42959818,2017-03-22 18:22:13,42935914
42935914,48624023,2018-02-05 13:46:33,42935914
42935914,51712195,2018-08-06 16:42:26,42935914
38839924,39801829,2016-10-01 00:32:07,38839924
