Q_id,Id,CreationDate,ParentId
51232624,51232979,2018-07-08 14:31:34,51232624
49729510,49729605,2018-04-09 09:24:31,49729510
37260902,37262463,2016-05-16 20:11:25,37260902
37260902,41162688,2016-12-15 11:09:10,37260902
37260902,63181936,2020-07-30 21:56:10,37260902
58622226,58635757,2019-10-31 01:26:31,58622226
33574807,33579202,2015-11-07 04:41:48,33574807
33574807,33583048,2015-11-07 13:01:04,33574807
40366588,61839136,2020-05-16 15:25:28,40366588
54776007,54776264,2019-02-19 23:05:12,54776007
53632689,53636176,2018-12-05 15:59:24,53632689
46257819,46257990,2017-09-16 20:03:55,46257819
53740026,53740174,2018-12-12 09:46:06,53740026
48917438,48936379,2018-02-22 20:12:36,48917438
33912626,34642875,2016-01-06 21:14:13,33912626
