Q_id,Id,CreationDate,ParentId
43929708,43931068,2017-05-12 06:48:29,43929708
50473181,50473277,2018-05-22 17:18:41,50473181
49805284,49907265,2018-04-18 19:06:38,49805284
49805284,56495320,2019-06-07 13:30:52,49805284
44425159,44505571,2017-06-12 17:38:52,44425159
51144078,51185557,2018-07-05 07:28:41,51144078
51230726,51231402,2018-07-08 11:13:22,51230726
51721448,51728488,2018-08-07 13:52:39,51721448
50572592,50574528,2018-05-28 23:36:14,50572592
51553123,51561330,2018-07-27 15:41:33,51553123
37270446,37279526,2016-05-17 14:51:15,37270446
48433197,48453699,2018-01-25 23:40:44,48433197
48433197,50086085,2018-04-29 11:29:41,48433197
38664620,38664792,2016-07-29 17:54:06,38664620
38664620,52735101,2018-10-10 07:43:02,38664620
50338747,55250135,2019-03-19 21:17:48,50338747
50338747,57657480,2019-08-26 11:55:47,50338747
37823992,37932340,2016-06-20 21:48:49,37823992
37823992,54109557,2019-01-09 11:54:19,37823992
40659109,40659180,2016-11-17 15:45:02,40659109
55079805,55080310,2019-03-09 17:55:34,55079805
39641770,39646290,2016-09-22 18:23:39,39641770
39641770,39646961,2016-09-22 19:01:20,39641770
41374498,41375366,2016-12-29 07:52:30,41374498
48234474,48235041,2018-01-12 22:43:42,48234474
45787323,45787920,2017-08-21 00:11:17,45787323
56749463,57680553,2019-08-27 18:42:59,56749463
35253990,35255523,2016-02-07 15:46:50,35253990
36707344,36707553,2016-04-19 02:39:11,36707344
32556178,32557330,2015-09-14 04:29:34,32556178
54662701,54662907,2019-02-13 05:07:47,54662701
39025707,39026265,2016-08-18 19:38:48,39025707
46110563,46110995,2017-09-08 07:30:35,46110563
46110563,55024007,2019-03-06 13:15:24,46110563
46110563,55971353,2019-05-03 14:00:09,46110563
51754740,51755720,2018-08-08 21:13:05,51754740
47007512,47112096,2017-11-04 15:04:32,47007512
49885315,49885600,2018-04-17 18:58:41,49885315
42301111,42301705,2017-02-17 15:32:09,42301111
42301111,54679951,2019-02-13 21:46:26,42301111
38726333,38726749,2016-08-02 17:17:16,38726333
48637278,48637829,2018-02-06 07:41:47,48637278
36404894,36407932,2016-04-04 16:22:35,36404894
36404894,37758090,2016-06-10 22:40:36,36404894
39541568,39548128,2016-09-17 14:48:38,39541568
52989574,52990496,2018-10-25 13:29:17,52989574
54196845,54198959,2019-01-15 12:33:19,54196845
53564164,53565724,2018-11-30 22:24:02,53564164
39529012,39531097,2016-09-16 12:06:27,39529012
39529012,41488798,2017-01-05 15:31:41,39529012
45442918,45442919,2017-08-01 16:18:49,45442918
49181179,49245905,2018-03-12 23:20:28,49181179
54708557,55085948,2019-03-10 08:45:15,54708557
63687319,63688083,2020-09-01 12:53:39,63687319
63687319,63728659,2020-09-03 17:18:19,63687319
36650561,36651147,2016-04-15 15:25:43,36650561
42138482,42591686,2017-03-04 03:19:54,42138482
42138482,48333361,2018-01-19 02:39:13,42138482
39022052,43961851,2017-05-14 08:23:26,39022052
39022052,49115989,2018-03-05 17:16:32,39022052
39022052,56219339,2019-05-20 10:47:18,39022052
39022052,56895105,2019-07-04 23:37:20,39022052
33723099,33724798,2015-11-15 20:42:11,33723099
32606294,32607349,2015-09-16 11:29:30,32606294
41863428,41863587,2017-01-25 23:28:58,41863428
37278999,37279855,2016-05-17 15:05:07,37278999
37278999,43684787,2017-04-28 16:21:04,37278999
37473380,37480283,2016-05-27 09:50:26,37473380
37473380,37548419,2016-05-31 14:25:33,37473380
62956891,62964874,2020-07-18 05:06:37,62956891
38697066,38699366,2016-08-01 12:49:27,38697066
55427880,55429075,2019-03-30 07:08:28,55427880
47899604,47907248,2017-12-20 13:33:30,47899604
53450900,53451121,2018-11-23 17:55:04,53450900
35174749,35175314,2016-02-03 11:06:04,35174749
51223026,51228310,2018-07-08 02:05:47,51223026
50361096,50361499,2018-05-16 02:09:24,50361096
62735030,62745002,2020-07-05 18:48:08,62735030
53696164,53698929,2018-12-10 02:59:33,53696164
47022409,47025051,2017-10-30 22:17:33,47022409
38751536,38752234,2016-08-03 19:35:58,38751536
49698111,49698209,2018-04-06 17:32:59,49698111
58257860,58258777,2019-10-06 15:33:44,58257860
56585434,56585878,2019-06-13 17:37:35,56585434
60032083,60044944,2020-02-03 18:16:13,60032083
50425779,50427320,2018-05-19 16:27:15,50425779
35882446,35884924,2016-03-09 06:55:20,35882446
37574833,37575054,2016-06-01 17:18:04,37574833
32982425,32984795,2015-10-07 05:59:07,32982425
33636944,33903867,2015-11-24 21:10:19,33636944
35804755,35807949,2016-03-04 23:29:28,35804755
35804755,42373329,2017-02-21 16:52:19,35804755
53166010,54752576,2019-02-18 17:35:08,53166010
51268803,51283039,2018-07-11 10:23:39,51268803
47770674,47785727,2017-12-13 04:56:06,47770674
44479293,44482097,2017-06-11 09:02:02,44479293
60658600,60711933,2020-03-16 19:13:02,60658600
50496361,50502373,2018-05-24 06:27:14,50496361
44325555,44326172,2017-06-02 10:02:30,44325555
38384347,38385033,2016-07-14 22:09:24,38384347
38384347,55871614,2019-04-26 16:26:17,38384347
38384347,58736226,2019-11-06 18:13:55,38384347
38384347,63038556,2020-07-22 16:07:41,38384347
38384347,63038648,2020-07-22 16:12:47,38384347
62702871,62703006,2020-07-02 18:39:46,62702871
47650391,60541937,2020-03-05 09:26:30,47650391
