,Q_id
0,63831906
1,52948410
2,63522070
3,64355180
4,57753687
5,52361735
6,60940110
7,62354726
8,63309922
9,57618507
10,61402813
11,63372759
12,52818145
13,65097733
14,64974605
15,60013915
16,63339395
17,53901228
18,57491610
19,64313576
20,59648324
21,58256816
22,60851129
23,64727226
24,56092682
25,54490351
26,64703326
27,61971817
28,63015883
29,57857690
30,56861860
31,60900406
32,63746182
33,52196554
34,59905306
35,55754400
36,59223995
37,52178579
38,53548405
39,61897853
40,62665081
41,61250507
42,62024420
43,62762721
44,57502753
45,62411516
46,44837426
47,58959799
48,55466298
49,49035156
50,51562323
51,54770249
52,59646298
53,62757772
54,62938230
55,62079034
56,54340766
57,59662399
58,60452222
59,61072673
60,53547304
61,53623472
62,63830441
63,58344480
64,57208913
65,53090781
66,42480111
67,63215140
68,60715802
69,51803437
70,57407939
71,59955290
72,59352314
73,62905328
74,63979009
75,60465720
76,64966807
77,47996046
78,53684335
79,63221468
80,64462531
81,49304817
82,52391648
83,60150426
84,51851966
85,61907618
86,60232485
87,58979779
88,47624798
89,49951492
90,56856236
91,63227656
92,64263839
93,53581904
94,53569050
95,46330797
96,61789457
97,62833157
98,58990284
99,60101973
100,51198474
101,62504157
102,64523441
103,53683116
104,59014699
105,60903821
106,61115032
107,49742625
108,62274014
109,46480972
110,64756123
111,57061969
112,64268742
113,59037704
114,63132181
115,55814318
116,51554788
117,56391692
118,52503695
119,61655781
120,61837275
121,63254843
122,57365477
123,62312611
124,61778197
125,54994658
126,61015728
127,49065222
128,47553103
129,61689643
130,62156124
131,42795226
132,60158625
133,64142041
134,48226221
135,54247715
136,60312775
137,64846787
138,65092624
139,60939198
140,56675943
141,59072659
142,63380445
143,62338595
144,63487775
145,61741843
146,51180423
147,63424990
148,62480165
149,48822463
150,64156202
151,63740367
152,57258882
153,53874379
154,60467264
155,64092022
156,55030766
157,58632551
158,65014887
159,49445701
160,61375457
161,58954799
162,52343382
163,53496570
164,64515207
165,57425873
166,51909270
167,58893823
168,48274929
169,55342589
170,49247369
171,62166719
172,56783182
173,57993899
174,55369821
175,57104935
176,59300326
177,51986758
178,57815801
179,62569202
180,65155494
181,61143910
182,57710920
183,58733721
184,61556129
185,64138426
186,57763326
187,63222657
188,58251047
189,54682457
190,62806681
191,61490158
192,43664444
193,62748639
194,61039700
195,56534732
196,63418904
197,62472438
198,64944839
199,61312746
200,62868829
201,64585455
202,63778509
203,63789391
204,52119162
205,63366703
206,56238599
207,61883535
208,52298179
209,59183865
210,60897306
211,59048467
212,63421750
213,61301519
214,63350404
215,60893196
216,61128098
217,56429621
218,48796469
219,65115120
220,65103014
221,62349556
222,62055185
223,64084881
224,64929665
225,64823332
226,63089405
227,60444507
228,59551458
229,58241313
230,64832467
231,63264460
232,59511040
233,58308257
234,60656880
235,55812434
236,47488598
237,45113245
238,58529988
239,53844826
240,61099847
241,64348688
242,60082711
243,60272142
244,57900190
245,60028614
246,59080201
247,50087252
248,62109055
249,58946353
250,53467460
251,62588779
252,57151432
253,62587345
254,61009940
255,64627576
256,57771959
257,61945404
258,52126579
259,60063910
260,54316053
261,62014720
262,62099030
263,60865167
264,53043713
265,60367356
266,65133426
267,42479902
268,62111894
269,61862678
270,55691819
271,59863263
272,62453430
273,59273275
274,61412874
275,61226042
276,64372169
277,60157858
278,56549448
279,59260854
280,62318970
281,62126586
282,62129665
283,63269658
284,55948551
285,62941402
286,60189355
287,64267027
288,47319704
289,47373421
290,50919752
291,62538079
292,63852258
293,61398117
294,51704247
295,58251122
296,62276020
297,62206826
298,59268952
299,64369385
300,62311058
301,58671916
302,64876788
303,61565156
304,50710037
305,59584457
306,61964909
307,60421630
308,59280816
309,50734480
310,64565697
311,58125674
312,62099164
313,56849779
314,55774902
315,61697227
316,58786354
317,60005715
318,59999705
319,63936020
320,61245215
321,56821925
322,57995859
323,65156637
324,65049435
325,65137260
326,53890913
327,58256194
328,45929573
329,55193322
330,60724571
331,64089044
332,55133700
333,54727465
334,56093749
335,62350436
336,61956923
337,58518980
338,64574142
339,55584747
340,57836679
341,44717100
342,52827601
343,55669763
344,62125405
345,56923703
346,53663166
347,62644040
348,60689453
349,62246089
350,59005509
351,64088157
352,60955126
353,61405407
354,60877440
355,63618047
356,63530582
357,54445471
358,64779266
359,61718535
360,58589349
361,60021266
362,58439395
363,63076590
364,60527655
365,46756709
366,45618655
367,62442937
368,62351295
369,45490265
370,50086577
371,62415251
372,64925948
373,54824768
374,55792839
375,64098364
376,64170444
377,55473368
378,51943308
379,51125227
380,54323427
381,61580468
382,54977756
383,61558291
384,63265578
385,55718119
386,58310080
387,56667596
388,47267293
389,56027238
390,48940080
391,59358141
392,58349230
393,59697062
394,59525926
395,63215665
396,51828551
397,64645040
398,57526302
399,61584587
400,63606049
401,57276137
402,63178559
403,55937437
404,64052643
405,50450800
406,64807447
407,59650840
408,62442198
409,64321810
410,60923994
411,52780559
412,55820628
413,62537299
414,49362616
415,47313656
416,54916135
417,54737581
418,61544723
419,57688191
420,57168696
421,57122727
422,53184978
423,61544379
424,61169941
425,53695105
426,55179282
427,47786930
428,56131509
429,63976297
430,61538860
431,57122734
432,60586665
433,48350616
434,61978831
435,64963144
436,49004255
437,62839623
438,52513802
439,58434046
440,62375165
441,59512718
442,64825610
443,63902401
444,59569330
445,59007045
446,59509873
447,54964330
448,53331540
449,54411662
450,64356583
451,63922223
452,53030001
453,60825989
454,47521393
455,62667033
456,60437683
457,64662102
458,60101240
459,55595898
460,46739115
461,59816287
462,47128044
463,60949936
464,59879006
465,59340983
466,52044361
467,62420826
468,59215086
469,61710826
470,53363663
471,59537390
472,64086949
473,60690395
474,60873447
475,58580553
476,64229717
477,50718045
478,63431889
479,55762706
480,60595325
481,60586724
482,57815001
483,59818727
484,65061871
485,50841770
486,60873477
487,64080739
488,63937472
489,58786745
490,61855486
491,64923957
492,58908390
493,61209252
494,48574173
495,59939481
496,64052842
497,59301583
498,58530117
499,51845675
500,52235928
501,64885565
502,48608585
503,61292150
504,60397443
505,64885859
506,47146768
507,56346569
508,57005162
509,57612610
510,59452502
511,62598745
512,63680816
513,59378710
514,56144001
515,56002682
516,62147378
517,58408143
518,61841672
519,55907234
520,60710819
521,62334279
522,64612004
523,49073799
524,60881542
525,49717876
526,59924904
527,59076228
528,64473958
529,64933097
530,55083571
531,64911842
532,65115848
533,58236245
534,58319866
535,48558915
536,63920887
537,62513412
538,54371840
539,63929723
540,64595546
541,61001855
542,64182041
543,57307537
544,54239125
545,62327089
546,62253205
547,56859803
548,53367049
549,60855328
550,57459067
551,63113593
552,60014734
553,58404923
554,57085716
555,53137588
556,64345192
557,56772637
558,60996756
559,53843711
560,47461625
561,60423030
562,60923314
563,50532286
564,61664389
565,62406283
566,56312886
567,63299162
568,64204904
569,58560316
570,62124809
571,54421321
572,59762694
573,64343096
574,55875331
575,63786278
576,61373549
577,57386257
578,64457385
579,62435022
580,52455285
581,61811257
582,62359037
583,62888624
584,59924335
585,57281765
586,63209784
587,51677788
588,60129816
589,57490945
590,59024492
591,47107589
592,57457437
593,65093007
594,55012880
595,63758830
596,62891103
597,62622634
598,59643492
599,64919192
600,58590420
601,62213536
602,60360149
603,58063826
604,61196162
605,54249399
606,64734480
607,57632084
608,56426326
609,62427615
610,62342221
611,64373287
612,64483963
613,59889041
614,63946820
615,56307488
616,56636719
617,61107371
618,63528887
619,49358396
620,58167146
621,52755805
622,57260097
623,62198351
624,58935825
625,54942416
626,55545995
627,53165990
628,58044728
629,57403213
630,64058958
631,60300668
632,61074340
633,63899303
634,63117121
635,55550641
636,55388650
637,53836018
638,54773106
639,56791080
640,61169218
641,62185188
642,55368465
643,63785319
644,62985691
645,62853810
646,61081303
647,63811002
648,61287654
649,56922099
650,60993802
651,58582228
652,60713420
653,55904997
654,52833049
655,62995726
656,62100388
657,64180222
658,60134907
659,61436770
660,58496535
661,61043646
662,62598130
663,62309497
664,64663385
665,58753038
666,65121613
667,62822737
668,59350190
669,62113314
670,61370554
671,60906284
672,60527036
673,58660031
674,64491004
675,61737314
676,54307225
677,60899711
678,58521595
679,60963839
680,54945594
681,58533136
682,62496172
683,51761806
684,63002352
685,62270525
686,53500511
687,58846881
688,61493749
689,60646641
690,64409438
691,56732759
692,52769986
693,55936611
694,64121996
695,60627462
696,62561163
697,55985336
698,62434037
699,59255464
700,63311675
701,62295662
702,60981102
703,56088189
704,51371070
705,63548611
706,59417849
707,63972921
708,61713122
709,64483856
710,59467473
711,58149401
712,58350179
713,60119288
714,51896105
715,52498690
716,64913854
717,63017931
718,64622234
719,55011980
720,51444059
721,56711772
722,52758051
723,56949918
724,53475803
725,54837969
726,44524901
727,62114631
728,52875989
729,51751231
730,53359056
731,50544730
732,55229636
733,55312396
734,57357963
735,57223818
736,62437509
737,56370964
738,64783744
739,62136624
740,49312367
741,50783853
742,62010920
743,61726552
744,52489037
745,59152826
746,56019560
747,59080843
748,57756173
749,62559008
750,62071173
751,58241947
752,53442510
753,56099266
754,59702785
755,62225465
756,60003876
757,64366121
758,61665622
759,63751972
760,48320418
761,44641976
762,61945936
763,64907992
764,63544702
765,44790670
766,62246676
767,62017085
768,55994955
769,63065765
770,50751689
771,59431618
772,61045748
773,61527660
774,57067605
775,58457789
776,60513896
777,60079783
778,60108013
779,60685684
780,53332635
781,62746834
782,55195572
783,64629183
784,64603234
785,60250839
786,59063417
787,55305262
788,54299965
789,60735596
790,57189133
791,54626777
792,64919460
793,62878189
794,56925288
795,64777050
796,53350810
797,60667909
798,60328337
799,63964730
800,63426968
801,61846505
802,54210286
803,54383474
804,58105073
805,62079990
806,64934952
807,63487598
808,56402753
809,64499294
810,64503533
811,57599555
812,58026949
813,59516181
814,46382578
815,52973758
816,54851182
817,47979852
818,58349732
819,62120526
820,62083570
821,60331464
822,58059268
823,58374374
824,61551797
825,58631744
826,54155275
827,64806900
828,63813116
829,54162500
830,59003985
831,59621589
832,60952692
833,63426545
834,56513117
835,60133809
836,53350677
837,56327213
838,58554327
839,59108988
840,61558613
841,54355067
842,48549101
843,63207013
844,61122798
845,57490832
846,49447270
847,53745454
848,59233155
849,64987430
850,63445488
851,65154958
852,54458911
853,64455422
854,60663054
855,63318595
856,62326683
857,58055912
858,62271194
859,54310861
860,61117361
861,52662197
862,61821515
863,63056076
864,64633825
865,54047155
866,59384435
867,63645419
868,62047605
869,63893953
870,59499857
871,61224933
872,60582195
873,56758445
874,63792353
875,59736822
876,51620964
877,62428919
878,54408973
879,59123577
880,58701205
881,58811208
882,49483394
883,62503769
884,62887574
885,56342193
886,63185212
887,62207646
888,64994231
889,56962318
890,62108063
891,62245173
892,64883998
893,63293877
894,57947094
895,59343283
896,61504168
897,57561004
898,55274076
899,63569776
900,51459987
901,56708296
902,43441673
903,61414065
904,58859081
905,63978020
906,59657761
907,63508818
908,57067167
909,63617394
910,64446313
911,58022846
912,60949990
913,62487029
914,45875837
915,60511346
916,62833828
917,58050105
918,52138920
919,62300942
920,57548180
921,52761666
922,57378005
923,59782403
924,64415250
925,62004680
926,63223579
927,55831694
928,63323109
929,57836894
930,62404149
931,63608183
932,48538919
933,62520806
934,57011855
935,59680756
936,63435621
937,52226611
938,54662346
939,54403933
