,Q_id
0,51839415
1,59632120
2,64347099
3,38996464
4,65145865
5,55762581
6,55093539
7,64639175
8,56918388
9,55472095
10,59985154
11,57152157
12,59360678
13,60826779
14,62859365
15,54373780
16,63515917
17,53413756
18,61986459
19,45661178
20,42398672
21,54627554
22,58639588
23,51674213
24,57706942
25,55077129
26,48428415
27,59555168
28,61838265
29,51941092
30,54945641
31,61286412
32,61960251
33,63731349
34,61679757
35,56707063
36,61551592
37,50329855
38,54636921
39,60897336
40,51939618
41,61456686
42,63278199
43,60048397
44,55166024
45,40755024
46,56663388
47,61102362
48,60880868
49,44801494
50,61556914
51,36479335
52,57169454
53,59074105
54,61773514
55,63613281
56,54022742
57,57448488
58,48483612
59,64860866
60,43332638
61,45873424
62,51023829
63,61753091
64,64618164
65,44006283
66,60268647
67,62855617
68,48316020
69,56445615
70,63947374
71,62787056
72,50694066
73,54864675
74,42327891
75,56721498
76,55077982
77,44297731
78,60494789
79,51625911
80,60615290
81,61640966
82,55435899
83,63509763
84,63956135
85,60229227
86,44299638
87,60436527
88,64668956
89,58575586
90,54700736
91,50349213
92,63554912
93,57681345
94,64022719
95,42381537
96,59667300
97,65003896
98,54184517
99,48231593
100,48315934
101,44736360
102,55258859
103,57748812
104,58501086
105,58993596
106,64743941
107,44894883
108,56664751
109,63217804
110,62294271
111,59843037
112,62454676
113,45747928
114,59461550
115,60490084
116,58150403
117,37048090
118,59394902
119,51631447
120,61121937
121,56257216
122,47323828
123,58905540
124,54805110
125,50831434
126,51152579
127,49305971
128,50295442
129,64371884
130,53147241
131,49476287
132,56687174
133,35953210
134,51087747
135,53079108
136,41389387
137,62143530
138,62179971
139,61656071
140,41116270
141,39295136
142,51936464
143,47342241
144,59656096
145,56779949
146,58595506
147,62813601
148,58499146
149,60349042
150,49538940
151,61815908
152,63916017
153,55353580
154,53501315
155,65151225
156,64618682
157,59873568
158,63621251
159,58163571
160,48513337
161,59621796
162,42498876
163,59417433
164,60750035
165,63492668
166,40651509
167,61426257
168,62071283
169,40372026
170,52957339
171,64076856
172,53626504
173,58529504
174,47652345
175,59765784
176,62348406
177,62494412
178,51120303
179,54994533
180,53496095
181,60202936
182,63296412
183,60691155
184,59276713
185,63368781
186,57625960
187,60550005
188,42104577
189,59358813
190,46344583
191,57561966
192,48208724
193,59398598
194,35582746
195,59109436
196,41077940
197,53618757
198,57371018
199,57721804
200,47610308
201,61773597
202,42890908
203,60444486
204,57653444
205,64072148
206,62226487
207,63340967
208,58200403
209,61824447
210,59108130
211,63460911
212,45282297
213,61289559
214,55714076
215,60307567
216,47949159
217,61493605
218,49937576
219,44115133
220,63312674
221,55645953
222,56447556
223,58123276
224,65113349
225,63736368
226,39881437
227,53285424
228,48729409
229,58432559
230,47499284
231,53120951
232,51472307
233,53499321
234,45670244
235,49210844
236,58305973
237,62957726
238,54704052
239,49192051
240,64553952
241,38833934
242,52359157
243,62153815
244,58002600
245,46253823
246,55224045
247,54430310
248,59780740
249,55032687
250,61007457
251,55690917
252,60975651
253,65055254
254,62239477
255,57982158
256,63964890
257,61438530
258,61005832
259,64313526
260,60958214
261,61632744
262,52522171
263,58115412
264,39908940
265,50779752
266,58635521
267,61176084
268,46180019
269,47615041
270,45265977
271,63966872
272,60035792
273,64611269
274,60589622
275,64238625
276,64528706
277,62311222
278,52781514
279,64999781
280,53584580
281,58383691
282,50184145
283,61693349
284,55181044
285,54108047
286,46688822
287,61054359
288,56289270
289,45924269
290,63482558
291,58361405
292,57272481
293,61336639
294,50572259
295,64127480
296,37611479
297,53765593
298,46441577
299,51269683
300,49699572
301,39779184
302,64243290
303,60808775
304,64894027
305,63896182
306,61934272
307,63191821
308,62825151
309,55998133
310,63669084
311,51708373
312,63878391
313,57133906
314,60337342
315,64818504
316,60060152
317,56535020
318,57712087
319,60453460
320,63479358
321,57046843
322,58751457
323,51025483
324,55323968
325,57507774
326,53466396
327,63982154
328,54442106
329,44522954
330,52915150
331,56606583
332,47943207
333,63350105
334,64711311
335,44434359
336,40733905
337,43245794
338,56307656
339,58880985
340,53462143
341,44485560
342,64849240
343,57619393
344,62871218
345,47191992
346,51764713
347,56889170
348,59532768
349,55786512
350,59421277
351,34442420
352,53206781
353,51569370
354,54090270
355,59305514
356,52682671
357,60143510
358,62894945
359,40917017
360,57406870
361,52149009
362,43441926
363,56034502
364,47030644
365,47545540
366,43019852
367,60646444
368,60634839
369,59073606
370,39672514
371,56090377
372,63590912
373,51223936
374,59842712
375,50819035
376,37762210
377,56861681
378,49151662
379,33730259
380,59370688
381,65055947
382,63209583
383,64829764
384,56834596
385,47299339
386,62864665
387,48819561
388,53451188
389,45047205
390,60901344
391,63268144
392,48286968
393,50761702
394,46637670
395,50366626
396,64108943
397,61447912
398,59982893
399,60557629
400,61920569
401,45235253
402,49301203
403,53607181
404,62727910
405,56814449
406,46542773
407,50339570
408,64105822
409,62712483
410,45142977
411,62943063
412,45266707
413,51063631
414,64798786
415,60309106
416,45920126
417,48737869
418,43168895
419,61276178
420,53149386
421,55181024
422,37772329
423,63447282
424,63068695
425,58878421
426,58894472
427,63591672
428,51978488
429,50152548
430,46066124
431,53643164
432,63376512
433,53171885
434,61364684
435,61308343
436,45008373
437,63968316
438,63652692
439,62089034
440,58912448
441,63502882
442,40956040
443,40803383
444,57062456
445,61751324
446,56711354
447,51649833
448,51377371
449,56650333
450,63152966
451,41990876
452,43108211
453,55854885
454,52606751
455,60367212
456,58939656
457,60727762
458,56111120
459,59658798
460,61104317
461,58570184
462,60361603
463,59840411
464,59791553
465,63896793
466,64666638
467,62895192
468,64629122
469,59094710
470,64356499
471,55682452
472,48888271
473,62388362
474,64915407
475,54098247
476,61488904
477,51868631
478,61128890
479,58940568
480,55788627
481,43158719
482,53262744
483,61156263
484,58968487
485,62017903
486,48796097
487,63354021
488,50537971
489,63801591
490,50479021
491,51654346
492,60079541
493,47257751
494,61526096
495,56895339
496,61147366
497,64947580
498,51139028
499,54168153
500,49853718
501,62010272
502,63139159
503,55750736
504,61884137
505,40209302
506,49242500
507,52614606
508,54877268
509,47072050
510,49730923
511,60543207
512,60014636
513,54707880
514,63457928
515,49524396
516,64313908
517,63519240
518,57565019
519,64729958
520,63860741
521,63411700
522,44232898
523,48075842
524,62986661
525,63317589
526,60705802
527,57372037
528,50006011
529,50668416
530,48636133
531,53729113
532,44496325
533,59512005
534,54865209
535,46900915
536,51912155
537,62474043
538,64605457
539,63226867
540,56973032
541,45107068
542,53310724
543,50661415
544,50586649
545,62169315
546,47242485
547,44285907
548,55762759
549,48764716
550,60570121
551,64032493
552,49661495
553,52597523
554,52004148
555,46624010
556,48088038
557,56163917
558,60638782
559,55772880
560,59586949
561,59240084
562,59918588
563,47877858
564,60430369
565,53978372
566,60987914
567,53020781
568,59873313
569,43555365
570,59475010
571,60985161
572,50090673
573,61644641
574,55835696
575,63776727
576,60327453
577,45998875
578,59571395
579,61986056
580,54839184
581,61137954
582,45513114
583,63636427
584,62258549
585,58971998
586,58183711
587,54842893
588,58631329
589,46220285
590,51254382
591,59827764
592,55323723
593,64770484
594,59919582
595,47315445
596,48272426
597,59053918
598,46700885
599,65130506
600,62237372
601,59202302
602,64446052
603,62585158
604,64815251
605,55908188
606,44186886
607,54856829
608,35106101
609,49975629
610,60884699
611,59932666
612,59261876
613,56585023
614,62751485
615,47124427
616,41323576
617,54282434
618,59825630
619,60401791
620,40257607
621,50722067
622,64327397
623,49767233
624,46678066
625,51578810
626,54278779
627,61661990
628,41576944
629,53860022
630,58249968
631,59988742
632,62900698
633,46107872
634,49701918
635,57082995
636,56604825
637,37733245
638,64174532
639,51223320
640,63721741
641,65160085
642,65091635
643,57911524
644,60399413
645,64868080
646,45719947
647,50929469
648,62576422
649,49805375
650,60597787
651,63481175
652,62698575
653,58602285
654,45935386
655,59437658
656,49808042
657,51507322
658,56364021
659,60913324
660,60844553
661,51109914
662,55634133
663,63079677
664,51374273
665,50269943
666,54546666
667,60972058
668,61148454
669,63630875
670,45090440
671,51428329
672,61603966
673,43084137
674,54673919
675,52094675
676,57310339
677,52032828
678,52337439
679,59847067
680,40699607
681,56424803
682,40395454
683,61850232
684,43616373
685,65125832
686,51471264
687,64208355
688,64554852
689,53596521
690,56986100
691,55246565
692,56337100
693,43620335
694,64854096
695,61798179
696,58184299
697,61320661
698,64668346
699,48264676
700,40660121
701,62601120
702,63174874
703,57948726
704,63278000
705,63200541
706,56167196
707,49140164
708,59318052
709,50733227
710,63761654
711,65120399
712,46677926
713,50961544
714,37898617
715,40070064
716,60998288
717,46621847
718,51873651
719,48982092
720,41900775
721,52447384
722,64742557
723,41011707
724,54072496
725,56760853
726,42265950
727,54284165
728,58650715
729,58714685
730,58761088
731,46204650
732,46118947
733,41927602
734,62216478
735,45732286
736,63357387
737,42672431
738,59223142
739,52095790
740,62413757
741,57562496
742,52041077
743,41386167
744,62483557
745,54130206
746,47305473
747,45377383
748,63134764
749,62344514
750,58367519
751,62677973
752,60247826
753,51898548
754,56096399
755,52638191
756,45735071
757,62627982
758,59858677
759,51527115
760,47040815
761,54788005
762,51212806
763,50439395
764,44414381
765,60918054
766,53421233
767,45428220
768,46839291
769,59784018
770,49298506
771,47644306
772,65146493
773,46910972
774,57338428
775,37568980
776,40362680
777,49902780
778,52561224
779,60402033
780,49668252
781,47175128
782,64725404
783,59819007
784,58239781
785,56612386
786,48477909
787,57020796
788,48135452
789,58752552
790,56386913
791,61812227
792,56581124
793,47738016
794,57981959
795,62605992
796,56186384
797,59356553
798,64630222
799,60936538
800,55071668
801,64322094
802,63284711
803,60005661
804,60436285
805,60572568
806,44876793
807,59435036
808,45666147
809,62970881
810,53403445
811,59798817
812,46773873
813,57351918
814,40639491
815,65095129
816,58581575
817,60761888
818,60587885
819,53159251
820,59497369
821,55628805
822,43526595
823,48997571
824,60775077
825,62575639
826,49439665
827,59337592
828,46026337
829,44835223
830,64657265
831,48846332
832,55097990
833,45269790
834,64394603
835,49333162
836,61471370
837,62502555
838,60920262
839,61710061
840,54916508
841,42404724
842,62482404
843,61665501
844,62022631
845,36927025
846,51549056
847,58706844
848,58833945
849,50015121
850,54200850
851,59593972
852,44585735
853,54895756
854,63434753
855,48764610
856,59654172
857,60082554
858,63367851
859,58858077
860,53694123
861,56771548
862,51229572
863,63732386
864,47115946
865,51794914
866,58677736
867,51872412
868,60899535
869,44346384
870,61586429
871,58013427
872,51996163
873,62861830
874,57150305
875,62478208
876,50390640
877,50437382
878,63759088
879,63320771
880,45844769
881,60948259
882,42838796
883,60675024
884,40105625
885,40891942
886,60107207
887,63542086
888,53212672
889,50138891
890,53072772
891,51567587
892,59763562
893,65057505
894,52543817
895,50317073
896,59289451
897,63342595
898,61910143
899,60152473
900,58535212
901,63542666
902,45702962
903,59757089
904,44686256
905,62163109
906,58896942
907,59526329
908,50171872
909,51494211
910,57673826
911,58439392
912,54624280
913,61774445
914,46698701
915,49351616
916,64520917
917,62376660
918,61750563
919,50114065
920,63795980
921,58565054
922,35799198
923,60252373
924,64590954
925,63827002
926,52366122
927,62026390
928,51064641
929,51668059
930,62596275
931,62796530
932,61161806
933,60983141
934,62062004
935,47264171
936,56537049
937,45841690
938,43816872
939,59811406
940,45441365
941,59285920
942,64640117
943,64620236
944,49985045
945,62406263
946,65041163
947,63346333
948,63636332
949,61988285
950,57875101
951,59026404
952,33868433
953,48206320
954,52598605
955,42315289
956,63549478
957,41771965
958,63645238
959,47442054
960,56126508
961,59879508
962,57326166
963,49093774
964,60600230
965,51424835
966,59179076
967,61772592
968,56760868
969,51870801
970,48157558
971,50260495
972,63421080
973,58811035
974,56177780
975,46794257
976,62162343
977,61459747
978,61087735
979,45761087
980,45956549
981,56133254
982,60626264
983,63805737
984,42335856
985,42204436
986,60965002
987,38175673
988,62446159
989,57409101
990,53108547
991,48097044
992,64182501
993,48260912
994,61811335
995,48818277
996,60776980
997,61382917
998,49845113
999,49632451
1000,63062972
1001,63923215
1002,52181256
1003,57719531
1004,62588670
1005,62640265
1006,64665532
1007,59344076
1008,63747001
1009,47218034
1010,62983052
1011,61071085
1012,50439980
1013,63544668
1014,63012476
1015,59024574
1016,54301926
1017,63122336
1018,62872755
1019,41630022
1020,51593126
1021,49805955
1022,48640599
1023,64701223
1024,51344694
1025,44074787
1026,62020201
1027,59890328
1028,63441288
1029,62704616
1030,63841876
1031,59825444
1032,63950443
1033,64902209
