,Q_id
0,59632120
1,64347099
2,65145865
3,55093539
4,64639175
5,56918388
6,59985154
7,57152157
8,59360678
9,60826779
10,63515917
11,58018009
12,53413756
13,57706942
14,48428415
15,59555168
16,51941092
17,54945641
18,61286412
19,61960251
20,64614449
21,63731349
22,54636921
23,60897336
24,51939618
25,61456686
26,63278199
27,40755024
28,56663388
29,61102362
30,60880868
31,61556914
32,59074105
33,63613281
34,54022742
35,57448488
36,41714947
37,61753091
38,60268647
39,62855617
40,56445615
41,63947374
42,62787056
43,42149649
44,56721498
45,60494789
46,42026835
47,60615290
48,55435899
49,37221621
50,63509763
51,63956135
52,60436527
53,54700736
54,50349213
55,64022719
56,47973267
57,59667300
58,65003896
59,48231593
60,64932192
61,55258859
62,51615888
63,57748812
64,58501086
65,64743941
66,56664751
67,63217804
68,62454676
69,60017583
70,59461550
71,60490084
72,58150403
73,59394902
74,56257216
75,58905540
76,54805110
77,50831434
78,51152579
79,49305971
80,50295442
81,64371884
82,53147241
83,56687174
84,53079108
85,61656071
86,56779949
87,58595506
88,62813601
89,62130154
90,60349042
91,49538940
92,63916017
93,43455375
94,45265436
95,34193649
96,65151225
97,45465747
98,50564928
99,59873568
100,63621251
101,58163571
102,59621796
103,59417433
104,50184534
105,64076856
106,59765784
107,62348406
108,62494412
109,56377141
110,54994533
111,53496095
112,60202936
113,63296412
114,64959081
115,62371094
116,60691155
117,49363552
118,63368781
119,60550005
120,59358813
121,46344583
122,53651138
123,57561966
124,48208724
125,59398598
126,43796720
127,59109436
128,51359851
129,57721804
130,61773597
131,42890908
132,60444486
133,47543113
134,57653444
135,62226487
136,63340967
137,58200403
138,59108130
139,51958246
140,43827597
141,55714076
142,61493605
143,63312674
144,56447556
145,58123276
146,65113349
147,53285424
148,58432559
149,45670244
150,45124875
151,54704052
152,49192051
153,64553952
154,57160829
155,62153815
156,58002600
157,54430310
158,59780740
159,55032687
160,55690917
161,64894824
162,62239477
163,57982158
164,63964890
165,53127841
166,54511066
167,48709839
168,52522171
169,58115412
170,58635521
171,61176084
172,63966872
173,60035792
174,44740744
175,62311222
176,52781514
177,61693349
178,57190848
179,46758178
180,55181044
181,54108047
182,46688822
183,61054359
184,56289270
185,50572259
186,64127480
187,53765593
188,46441577
189,64243290
190,64894027
191,63896182
192,61934272
193,36367641
194,47859532
195,60647008
196,44023976
197,55998133
198,63669084
199,51827474
200,39091206
201,64818504
202,57046843
203,58751457
204,57507774
205,46758146
206,63982154
207,52915150
208,56204731
209,56606583
210,49520109
211,44434359
212,59236764
213,64849240
214,57619393
215,62871218
216,62749556
217,51764713
218,59532768
219,55786512
220,53206781
221,57811573
222,44071094
223,59305514
224,52682671
225,60143510
226,57004163
227,62894945
228,57406870
229,60686394
230,52149009
231,47545540
232,61726860
233,60646444
234,56681240
235,56090377
236,51223936
237,59842712
238,54282179
239,56861681
240,54892820
241,59370688
242,48112315
243,64829764
244,62864665
245,48819561
246,44077111
247,63268144
248,50366626
249,63779927
250,61447912
251,59982893
252,60557629
253,61920569
254,49301203
255,53607181
256,62727910
257,56814449
258,46542773
259,64105822
260,62712483
261,62943063
262,45266707
263,48200771
264,45920126
265,61276178
266,53149386
267,61766717
268,63447282
269,63068695
270,58878421
271,58894472
272,63591672
273,51978488
274,48377332
275,53643164
276,53171885
277,59525082
278,62089034
279,63502882
280,57062456
281,56711354
282,55700300
283,51377371
284,63152966
285,52606751
286,60367212
287,60727762
288,56111120
289,59658798
290,61104317
291,49005616
292,53470029
293,58570184
294,60361603
295,59840411
296,64666638
297,62895192
298,64629122
299,62388362
300,48480751
301,61488904
302,42746901
303,51868631
304,61128890
305,55788627
306,43158719
307,58968487
308,62017903
309,48796097
310,63354021
311,45300218
312,44146457
313,50479021
314,56895339
315,54168153
316,39280813
317,35951503
318,49853718
319,63139159
320,60014636
321,63457928
322,49524396
323,64313908
324,63519240
325,64729958
326,63860741
327,63317589
328,60705802
329,50006011
330,53729113
331,59512005
332,54865209
333,52331133
334,64605457
335,63226867
336,56973032
337,62169315
338,44285907
339,48764716
340,52597523
341,52004148
342,52836670
343,59338054
344,60638782
345,55772880
346,59918588
347,60430369
348,60987914
349,59873313
350,40818579
351,60985161
352,54618946
353,60327453
354,59571395
355,61986056
356,54839184
357,61137954
358,43785761
359,63636427
360,58971998
361,58183711
362,54842893
363,51254382
364,53169455
365,59827764
366,60394722
367,56991303
368,64770484
369,37118371
370,48272426
371,51870384
372,63074769
373,62237372
374,64446052
375,64815251
376,55908188
377,43702571
378,59261876
379,56585023
380,47124427
381,51076211
382,59825630
383,44671799
384,60401791
385,54394777
386,51578810
387,53860022
388,58249968
389,59988742
390,58309119
391,57082995
392,56604825
393,63721741
394,65091635
395,62166606
396,60520730
397,57911524
398,45600850
399,51031623
400,64868080
401,55923305
402,63481175
403,62698575
404,58602285
405,59437658
406,51507322
407,56364021
408,60913324
409,60844553
410,46608844
411,55634133
412,63079677
413,54546666
414,61148454
415,63630875
416,50586687
417,50540668
418,61603966
419,59847067
420,65125832
421,64554852
422,56986100
423,55246565
424,56337100
425,43620335
426,64854096
427,62601120
428,63174874
429,57948726
430,63278000
431,63200541
432,56167196
433,39465344
434,65120399
435,46677926
436,50961544
437,60998288
438,44703461
439,51873651
440,48982092
441,46112458
442,54072496
443,54284165
444,58714685
445,62796481
446,58761088
447,46204650
448,46118947
449,44184834
450,41927602
451,62436241
452,62216478
453,59350224
454,59223142
455,52095790
456,62413757
457,57562496
458,41386167
459,50885601
460,47305473
461,53443475
462,56826383
463,63134764
464,62344514
465,58367519
466,60247826
467,51898548
468,56096399
469,62627982
470,54788005
471,60918054
472,53421233
473,46839291
474,59784018
475,49298506
476,40362680
477,49902780
478,60402033
479,63176966
480,64725404
481,58239781
482,57020796
483,56386913
484,44369789
485,56186384
486,64630222
487,64322094
488,60005661
489,59435036
490,58581575
491,60761888
492,60587885
493,44627977
494,59497369
495,55628805
496,43526595
497,62575639
498,59337592
499,48656166
500,44835223
501,44836555
502,51463847
503,64657265
504,48846332
505,64394603
506,45590240
507,60920262
508,61710061
509,42708724
510,51746179
511,62482404
512,61665501
513,62022631
514,36927025
