,Q_id
0,29653321
1,49891820
2,59360678
3,42616455
4,22775938
5,24134131
6,31707742
7,49074258
8,50694066
9,37096648
10,36349755
11,16370583
12,27074322
13,58085041
14,53920226
15,34904175
16,32896097
17,34787210
18,19975301
19,38420922
20,51287590
21,33015326
22,31298842
23,9777871
24,49017941
25,36836481
26,13269543
27,27178492
28,31621967
29,35889792
30,27271082
31,39007755
32,25493720
33,43412753
34,37059269
35,12317279
36,16275471
37,50883000
38,63587198
39,17486918
40,29863715
41,57088490
42,1286301
43,17672423
44,2289046
45,20403876
46,40361488
47,31700152
48,28979559
49,51081994
50,35624245
51,60574800
52,39706790
53,25910257
54,35738678
55,19749541
56,55135556
57,42100586
58,40722794
59,28245866
60,40012516
61,30454582
62,27203429
63,35821955
64,33773157
65,35475677
66,26693736
67,40012711
68,59379230
69,15220961
70,30201476
71,42690716
72,50764576
73,47519987
74,40359272
75,37423353
76,32898563
77,49454546
78,64890666
79,49475847
80,21403692
81,32491209
82,44795012
83,41201926
84,35265843
85,61825613
86,43721142
87,54514394
88,61083086
89,46347196
90,48901691
91,50290762
92,20380716
93,52054622
94,49217117
95,33632682
96,14009330
97,51166149
98,34726200
99,36004661
100,47015589
101,23980755
102,57489518
103,49398875
104,44069375
105,34037094
106,39551842
107,51502542
108,35508230
109,54017404
110,58959739
111,60291151
112,55806624
113,24267276
114,26292453
115,40090274
116,59499039
117,44344814
118,49537804
119,41014907
120,41795476
121,45280461
122,61941818
123,57228272
124,36038827
125,45066913
126,26899025
127,21511420
128,35780684
129,38100213
130,64786718
131,48340974
132,37239532
133,20862106
134,39316345
135,60872405
136,43251888
137,27277827
138,60763498
139,26289759
140,28163995
141,25494533
142,55871850
143,29337714
144,24273662
145,57742004
146,47947438
147,43307768
148,45125798
149,61560956
150,49218417
151,43158013
152,29419379
153,46835712
154,39210008
155,60285479
156,10065710
157,35861482
158,42766351
159,34361725
160,14538737
161,48883843
162,17824745
163,26661256
164,13207394
165,64646477
166,44914887
167,45663121
168,63211152
169,62287379
170,26183357
171,48352048
172,36884334
173,41850809
174,33901232
175,38179829
176,5091389
177,38127616
178,54718017
179,54948686
180,54507606
181,36323993
182,39946273
183,54156513
184,55968575
185,36541269
186,28867242
187,17184225
188,40532789
189,37422865
190,27171298
191,6349560
192,53811948
193,51569637
194,42720401
195,28002288
196,27968868
197,25315566
198,39525684
199,16967654
200,58630710
201,56088914
202,14110030
203,17532128
204,5754492
205,62050183
206,49482417
207,34692987
208,29818876
209,35795472
210,25844794
211,54958036
212,58858431
213,25225898
214,29513187
215,42931418
216,28122980
217,61041217
218,41783460
219,3768373
220,44546713
221,36061950
222,20368950
223,60379822
224,56917312
225,59912210
226,12879766
227,51427111
228,22853807
229,16300067
230,31691561
231,10020682
232,60777271
233,53131847
234,23624824
235,61894629
236,45042372
237,28513270
238,23661384
239,49251629
240,46986560
241,43535987
242,34217480
243,38666973
244,23945364
245,26727511
246,32707914
247,61995779
248,2786384
249,40327067
250,40670075
251,35676079
252,50442202
253,30118854
254,41949846
255,19233967
256,29184783
257,32566053
258,48050714
259,55120881
260,41824782
261,17580817
262,27091571
263,15518338
264,36432857
265,30556542
266,6956306
267,38841925
268,38197014
269,29449680
270,44807639
271,43195859
272,48508714
273,30908903
274,48830535
275,36708664
276,43897203
277,27319694
278,48249488
279,22748295
280,47069096
281,26632756
282,25165600
283,51482502
284,49869041
285,44030158
286,25565540
287,6284855
288,63103089
289,41503127
290,26907220
291,44489768
292,39266080
293,39951340
294,14488236
295,52256451
296,30577199
297,63238958
298,63857346
299,26900954
300,59040636
301,9910194
302,33079953
303,47976170
304,53380150
305,49128964
306,61311460
307,35827859
308,25226848
309,41461599
310,27203090
311,25270948
312,38363747
313,45961701
314,52811369
315,26395478
316,40255220
317,42870572
318,55852234
319,44078259
320,38808824
321,15541814
322,62295681
323,36669895
324,35741627
325,20827741
326,56026937
327,49254129
328,46034861
329,11005529
330,64599896
331,31478152
332,23123967
333,61580889
334,15697623
335,30600975
336,37427673
337,40246892
338,64827026
339,32939070
340,39321495
341,62541187
342,16678500
343,24343080
344,54607682
345,52315632
346,35520579
347,60474601
348,49565521
349,26733450
350,31190229
351,49143626
352,38392407
353,21823057
354,45798590
355,42876412
356,50009296
357,59266387
