,Q_id
0,61433576
1,45017534
2,5651998
3,45588502
4,52919299
5,44187168
6,37909295
7,50570511
8,31836058
9,62740690
10,45783267
11,51585247
12,48810597
13,51910396
14,43923853
15,53284807
16,64307851
17,60653271
18,38309163
19,63764186
20,35705303
21,51330793
22,7679970
23,51895244
24,38401202
25,61278302
26,28501072
27,27471177
28,3703944
29,22919275
30,46449738
31,36870633
32,18023553
33,38907413
34,34242030
35,4858467
36,51135507
37,56882778
38,43572898
39,63427681
40,43216610
41,14802442
42,10715628
43,48872564
44,62472606
45,28999668
46,58800527
47,44334261
48,49845994
49,30003957
50,59151477
51,62672474
52,61897926
53,50849478
54,11870210
55,52542614
56,54537417
57,54517501
58,28926017
59,46914387
60,37908571
61,39643391
62,62956267
63,59099451
64,43207335
65,14580540
66,47992091
67,58437691
68,14313025
69,43194726
70,28575082
71,50659889
72,36382937
73,27216038
74,54631353
75,31349851
76,39473824
77,42970646
78,44584671
79,60633076
80,52423333
81,47614999
82,53451941
83,43166692
84,63945863
85,62758797
86,55168908
87,50591856
88,48630248
89,37148550
90,23120822
91,22999273
92,23861355
93,15587445
94,43325174
95,53728305
96,56451430
97,45318066
98,53582922
99,13516364
100,23175832
101,49058275
102,61646185
103,63338737
104,40453457
105,49466707
106,45953625
107,64177931
108,54162277
109,64498145
110,43317187
111,40117239
112,52830545
113,52804788
114,38090137
115,29290913
116,61363051
117,29275614
118,36666641
119,50464008
120,57193221
121,60151377
122,62335799
123,49216339
124,62588616
125,46509783
126,29149158
127,54499209
128,44630043
129,21882460
130,40979675
131,11763613
132,37550554
133,55840360
134,57994144
135,7400533
136,48671265
137,19515595
138,48412858
139,48741451
140,34088658
141,27818607
142,60869725
143,62092230
144,64835357
145,19693204
146,14881943
147,53927702
148,53231269
149,62182432
150,56592351
151,32446892
152,46192371
153,50140693
154,64322444
155,49863520
156,62523664
157,63197345
158,41114728
159,62341545
160,35269142
161,41229635
162,25256878
163,29476963
164,42698478
165,61142747
166,34083039
167,27576462
168,46866525
169,62123806
170,57081411
171,55833370
172,44881831
173,58097278
174,48535287
175,43868811
176,35103191
177,44539224
178,56416641
179,50794820
180,39241709
181,42679560
182,62292731
183,3595877
184,46344878
185,29230623
186,58902475
187,35118596
188,63642426
189,57981616
190,44486259
191,29113755
192,48729237
193,60350262
194,29395248
195,40661360
196,35373833
197,43993038
198,48480999
199,33207799
200,63454445
201,46109452
202,28141348
203,60800291
204,19694106
205,21918961
206,58639521
207,64656848
208,23914243
209,8562079
210,46501481
211,30807170
212,15009656
213,65040696
214,3788870
215,40900854
216,24622693
217,63586212
218,27141464
219,21633542
220,48411190
221,20470921
222,63708987
223,33389108
224,42543853
225,18426127
226,33731454
227,46499433
228,43451906
229,51490620
230,37971268
231,19648959
232,30328586
233,25352211
234,58623137
235,51406281
236,39858195
237,30808083
238,48585330
239,60835684
240,29850301
241,55202347
242,54787845
243,48619305
244,14095971
245,62416738
246,57598318
247,43856752
248,18465660
249,31234168
250,45132422
251,36254464
252,25924932
253,58148110
254,57140928
255,54989825
256,31514136
257,34670663
258,58122336
259,22430402
260,43514169
261,58703422
262,10349889
263,47741315
264,30153125
265,57971569
266,51337884
267,34232190
268,45202126
269,59529467
270,49255795
271,33222502
272,58844962
273,50644702
274,48115430
275,38221147
276,57092074
277,52941091
278,50995179
279,16771178
280,48152637
281,50617254
282,28447330
283,61681613
284,55619297
285,51945520
286,15169472
287,27889882
288,60295233
289,21859098
290,32685445
291,25147121
292,53040262
293,48641112
294,38811973
295,26415163
296,50966675
297,41468975
298,30664677
299,26767502
300,43111471
301,33829160
302,59430805
303,29126915
304,63433168
305,40190037
306,41874607
307,42207723
308,52625388
309,61549822
310,31843524
311,40741982
312,21366286
313,38340207
314,59214434
315,39823863
316,60059964
317,38521971
318,14500831
319,52436726
320,45339229
321,64977540
322,56585262
323,25111090
324,46405091
325,58002877
326,59538701
327,59633929
328,55304262
329,41286961
330,43721175
331,37862845
332,64945324
333,39698100
334,52863400
335,45388056
336,47337547
337,45855664
338,63033347
339,36511498
340,47906952
341,26560640
342,49600319
343,12291492
344,57708975
345,45663631
346,27935195
347,63521184
348,24125862
349,46939068
350,60345476
351,4294474
352,45919639
353,29574236
354,34153955
355,42695952
356,33755092
357,60261080
358,61170528
359,30673455
360,21619267
361,57083223
362,19494449
363,39935007
364,57128735
365,9406093
366,59054314
367,53034299
368,44087668
369,63594160
370,28392860
371,31270361
372,55984480
373,60116885
374,53841061
375,51964337
376,43939344
377,30195287
378,37108656
379,34531780
380,24470390
381,34535591
382,15751636
383,35952677
384,63939569
385,24217776
386,9866949
387,43927305
388,37815758
389,7446992
390,53674743
391,49439979
392,31345593
393,63178559
394,38291460
395,15929233
396,47773666
397,30881250
398,45967214
399,39933493
400,33939486
401,59265920
402,59830094
403,37983752
404,50972571
405,27361627
406,44858741
407,25419021
408,48805672
409,40230773
410,33068269
411,61630046
412,39942933
413,48662556
414,45908231
415,27068612
416,46640820
417,42644764
