Q_id,Id,CreationDate,ParentId
59656096,59684161,2020-01-10 15:00:10,59656096
62979062,63271902,2020-08-05 19:03:22,62979062
65023526,65052927,2020-11-28 18:08:30,65023526
61019485,61019599,2020-04-03 20:03:38,61019485
63465109,63484017,2020-08-19 09:32:08,63465109
65095129,65115011,2020-12-02 19:39:48,65095129
61382917,64956697,2020-11-22 16:35:45,61382917
60459292,60480429,2020-03-01 22:35:41,60459292
64044200,64044374,2020-09-24 10:19:04,64044200
60848403,60863248,2020-03-26 08:20:07,60848403
60833301,60833512,2020-03-24 14:53:58,60833301
62434075,62434868,2020-06-17 17:25:41,62434075
64124757,64126847,2020-09-29 20:03:31,64124757
64180517,64228596,2020-10-06 15:06:00,64180517
63232732,63244366,2020-08-04 09:53:51,63232732
63232732,63415069,2020-08-14 14:49:17,63232732
60062624,60384955,2020-02-24 22:38:09,60062624
62472238,62504856,2020-06-21 21:54:13,62472238
62472238,62664374,2020-06-30 18:57:08,62472238
58454157,58456379,2019-10-18 18:28:43,58454157
61680408,61680700,2020-05-08 13:50:34,61680408
61680408,61695918,2020-05-09 11:20:14,61680408
64800623,64801036,2020-11-12 09:17:11,64800623
62327803,62328920,2020-06-11 16:22:26,62327803
64406166,64415982,2020-10-18 17:01:24,64406166
