,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,20376435,2013-12-04 13:17:32,1177,1,2,1,,"[(53204813.0, '2018-11-08 09:27:56')]",2018-11-08 09:27:56,,43196.17333333333,
1,33610685,2015-11-09 13:52:53,115922,1,208,6,33610914.0,"[(33610914.0, '2015-11-09 14:05:46'), (33666260.0, '2015-11-12 07:28:43'), (46795905.0, '2017-10-17 17:31:19'), (52096129.0, '2018-08-30 11:39:08'), (54296807.0, '2019-01-21 19:43:16'), (60317595.0, '2020-02-20 10:17:11')]",2015-11-09 14:05:46,2015-11-09 14:05:46,0.21472222222222223,0.21472222222222223
2,33616094,2015-11-09 18:51:42,22316,0,60,7,33618580.0,"[(33618580.0, '2015-11-09 21:24:49'), (33623888.0, '2015-11-10 06:02:18'), (33635663.0, '2015-11-10 17:10:33'), (37105739.0, '2016-05-08 23:06:42'), (40156608.0, '2016-10-20 13:59:09'), (40875065.0, '2016-11-29 20:19:09'), (59945336.0, '2020-01-28 09:11:26')]",2015-11-09 21:24:49,2015-11-09 21:24:49,2.5519444444444446,2.5519444444444446
3,33616593,2015-11-09 19:23:22,4010,1,12,3,33641967.0,"[(33622414.0, '2015-11-10 03:33:47'), (33641967.0, '2015-11-11 00:00:48'), (35653639.0, '2016-02-26 13:58:53')]",2015-11-10 03:33:47,2015-11-11 00:00:48,8.17361111111111,28.62388888888889
4,33616732,2015-11-09 19:32:05,80015,1,44,2,33616733.0,"[(33616733.0, '2015-11-09 19:32:05'), (40713607.0, '2016-11-21 05:53:24')]",2015-11-09 19:32:05,2015-11-09 19:32:05,0.0,0.0
5,33634126,2015-11-10 15:54:50,2040,2,4,1,33662406.0,"[(33662406.0, '2015-11-12 00:27:05')]",2015-11-12 00:27:05,2015-11-12 00:27:05,32.5375,32.5375
6,33640581,2015-11-10 22:07:54,96765,1,86,10,55334946.0,"[(33679580.0, '2015-11-12 19:23:25'), (33711310.0, '2015-11-14 17:37:43'), (34376010.0, '2015-12-19 22:25:35'), (36784797.0, '2016-04-22 04:23:57'), (43714083.0, '2017-05-01 04:00:38'), (45380994.0, '2017-07-28 19:24:43'), (49798529.0, '2018-04-12 13:57:19'), (50240889.0, '2018-05-08 19:19:54'), (55334946.0, '2019-03-25 09:42:07'), (64454976.0, '2020-10-21 00:22:14')]",2015-11-12 19:23:25,2019-03-25 09:42:07,45.25861111111111,29531.570277777777
7,33643882,2015-11-11 03:39:40,170,0,2,3,33644208.0,"[(33644208.0, '2015-11-11 04:17:21'), (33644366.0, '2015-11-11 04:39:50'), (33645053.0, '2015-11-11 06:00:45')]",2015-11-11 04:17:21,2015-11-11 04:17:21,0.6280555555555556,0.6280555555555556
8,33681517,2015-11-12 21:16:01,75301,1,71,15,33682213.0,"[(33681732.0, '2015-11-12 21:28:57'), (33682213.0, '2015-11-12 21:57:38'), (33810489.0, '2015-11-19 17:26:19'), (35236597.0, '2016-02-06 02:18:57'), (35236673.0, '2016-02-06 02:30:50'), (35447639.0, '2016-02-17 03:57:23'), (35902365.0, '2016-03-09 20:53:13'), (37640473.0, '2016-06-05 09:41:53'), (38982556.0, '2016-08-16 19:00:34'), (40067488.0, '2016-10-16 06:22:43'), (40942677.0, '2016-12-02 23:55:55'), (41776894.0, '2017-01-21 07:38:25'), (44911049.0, '2017-07-04 16:58:46'), (46441298.0, '2017-09-27 06:53:21'), (59676403.0, '2020-01-10 06:17:59')]",2015-11-12 21:28:57,2015-11-12 21:57:38,0.21555555555555556,0.6936111111111111
9,33759623,2015-11-17 14:37:26,392652,5,581,26,50852627.0,"[(33762168.0, '2015-11-17 16:30:04'), (33763208.0, '2015-11-17 17:22:19'), (34609566.0, '2016-01-05 10:35:15'), (35447265.0, '2016-02-17 03:21:04'), (38179139.0, '2016-07-04 07:32:50'), (40765759.0, '2016-11-23 13:24:27'), (41999075.0, '2017-02-02 09:57:52'), (42076582.0, '2017-02-06 20:21:07'), (43333803.0, '2017-04-10 22:22:48'), (43526252.0, '2017-04-20 17:34:19'), (43784657.0, '2017-05-04 13:45:31'), (44087746.0, '2017-05-20 15:35:10'), (44769893.0, '2017-06-26 23:03:02'), (47235448.0, '2017-11-11 07:19:47'), (50852627.0, '2018-06-14 08:10:11'), (53183223.0, '2018-11-07 03:31:19'), (53577920.0, '2018-12-02 06:18:57'), (53827972.0, '2018-12-18 07:11:31'), (54306505.0, '2019-01-22 10:44:50'), (55770331.0, '2019-04-20 04:45:07'), (56116641.0, '2019-05-13 16:45:14'), (58057293.0, '2019-09-23 07:10:04'), (58073719.0, '2019-09-24 05:41:07'), (58326742.0, '2019-10-10 15:49:27'), (58978357.0, '2019-11-21 15:27:51'), (62280544.0, '2020-06-09 10:32:56')]",2015-11-17 16:30:04,2018-06-14 08:10:11,1.8772222222222221,22553.545833333334
10,33765336,2015-11-17 19:24:08,69975,0,67,5,33768179.0,"[(33768179.0, '2015-11-17 22:21:45'), (35905948.0, '2016-03-10 01:27:02'), (46823233.0, '2017-10-19 05:17:57'), (57177680.0, '2019-07-24 07:41:01'), (60106544.0, '2020-02-07 03:04:37')]",2015-11-17 22:21:45,2015-11-17 22:21:45,2.960277777777778,2.960277777777778
11,33769041,2015-11-17 23:27:40,20920,1,21,5,,"[(33770206.0, '2015-11-18 01:23:23'), (34934873.0, '2016-01-21 21:41:36'), (43011597.0, '2017-03-25 01:40:35'), (48320139.0, '2018-01-18 11:22:50'), (53510122.0, '2018-11-28 00:04:36')]",2015-11-18 01:23:23,,1.928611111111111,
12,33783672,2015-11-18 15:13:38,49637,2,44,3,,"[(33794463.0, '2015-11-19 02:55:47'), (35858862.0, '2016-03-08 04:17:57'), (40652881.0, '2016-11-17 10:49:13')]",2015-11-19 02:55:47,,11.7025,
13,33784214,2015-11-18 15:36:18,12369,0,9,3,34054866.0,"[(33785193.0, '2015-11-18 16:23:04'), (34054866.0, '2015-12-02 23:10:11'), (36364242.0, '2016-04-01 19:18:17')]",2015-11-18 16:23:04,2015-12-02 23:10:11,0.7794444444444445,343.5647222222222
14,33837423,2015-11-20 22:56:07,6469,0,3,3,,"[(33838096.0, '2015-11-21 00:06:57'), (33841129.0, '2015-11-21 08:04:06'), (38258359.0, '2016-07-08 03:08:33')]",2015-11-21 00:06:57,,1.1805555555555556,
15,33847168,2015-11-21 18:42:36,1220,3,3,1,33851308.0,"[(33851308.0, '2015-11-22 03:31:39')]",2015-11-22 03:31:39,2015-11-22 03:31:39,8.8175,8.8175
16,33916981,2015-11-25 12:50:24,2790,1,4,1,,"[(43197063.0, '2017-04-04 01:56:36')]",2017-04-04 01:56:36,,11893.103333333333,
17,33949786,2015-11-27 03:17:52,84334,4,77,8,33950177.0,"[(33950177.0, '2015-11-27 04:16:11'), (34634291.0, '2016-01-06 13:26:42'), (36511416.0, '2016-04-09 00:36:02'), (36525884.0, '2016-04-10 04:43:48'), (38320613.0, '2016-07-12 05:23:56'), (38325288.0, '2016-07-12 09:45:07'), (39128711.0, '2016-08-24 16:35:13'), (43285333.0, '2017-04-07 19:00:17')]",2015-11-27 04:16:11,2015-11-27 04:16:11,0.9719444444444445,0.9719444444444445
18,33955277,2015-11-27 10:24:22,3004,2,4,1,33962786.0,"[(33962786.0, '2015-11-27 18:06:30')]",2015-11-27 18:06:30,2015-11-27 18:06:30,7.702222222222222,7.702222222222222
19,34010962,2015-12-01 01:13:42,2240,0,2,1,,"[(34013929.0, '2015-12-01 06:25:57')]",2015-12-01 06:25:57,,5.204166666666667,
20,34060332,2015-12-03 07:42:21,11513,0,2,2,34092314.0,"[(34092314.0, '2015-12-04 15:58:25'), (47607324.0, '2017-12-02 11:17:14')]",2015-12-04 15:58:25,2015-12-04 15:58:25,32.26777777777778,32.26777777777778
21,34079813,2015-12-04 02:15:03,478,0,4,1,,"[(34080116.0, '2015-12-04 02:51:59')]",2015-12-04 02:51:59,,0.6155555555555555,
