,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,58454157,2019-10-18 15:42:39,5096,2,6,1,58456379.0,"[(58456379.0, '2019-10-18 18:28:43')]",2019-10-18 18:28:43,2019-10-18 18:28:43,2.767777777777778,2.767777777777778
1,59656096,2020-01-09 01:41:04,497,3,4,1,59684161.0,"[(59684161.0, '2020-01-10 15:00:10')]",2020-01-10 15:00:10,2020-01-10 15:00:10,37.318333333333335,37.318333333333335
2,60062624,2020-02-04 17:28:36,114,2,3,1,,"[(60384955.0, '2020-02-24 22:38:09')]",2020-02-24 22:38:09,,485.1591666666667,
3,60459292,2020-02-28 21:11:27,223,1,0,1,60480429.0,"[(60480429.0, '2020-03-01 22:35:41')]",2020-03-01 22:35:41,2020-03-01 22:35:41,49.403888888888886,49.403888888888886
4,60833301,2020-03-24 14:42:14,260,0,0,1,60833512.0,"[(60833512.0, '2020-03-24 14:53:58')]",2020-03-24 14:53:58,2020-03-24 14:53:58,0.19555555555555557,0.19555555555555557
5,60848403,2020-03-25 11:59:40,62,3,-1,1,,"[(60863248.0, '2020-03-26 08:20:07')]",2020-03-26 08:20:07,,20.340833333333332,
6,61019485,2020-04-03 19:54:41,379,0,0,1,61019599.0,"[(61019599.0, '2020-04-03 20:03:38')]",2020-04-03 20:03:38,2020-04-03 20:03:38,0.14916666666666667,0.14916666666666667
7,61382917,2020-04-23 08:42:41,246,2,1,1,,"[(64956697.0, '2020-11-22 16:35:45')]",2020-11-22 16:35:45,,5119.884444444445,
8,61680408,2020-05-08 13:35:11,132,0,0,2,,"[(61680700.0, '2020-05-08 13:50:34'), (61695918.0, '2020-05-09 11:20:14')]",2020-05-08 13:50:34,,0.2563888888888889,
9,62327803,2020-06-11 15:23:32,247,0,1,1,62328920.0,"[(62328920.0, '2020-06-11 16:22:26')]",2020-06-11 16:22:26,2020-06-11 16:22:26,0.9816666666666667,0.9816666666666667
10,62434075,2020-06-17 16:41:46,406,0,0,1,62434868.0,"[(62434868.0, '2020-06-17 17:25:41')]",2020-06-17 17:25:41,2020-06-17 17:25:41,0.7319444444444444,0.7319444444444444
11,62472238,2020-06-19 14:17:46,730,0,0,2,,"[(62504856.0, '2020-06-21 21:54:13'), (62664374.0, '2020-06-30 18:57:08')]",2020-06-21 21:54:13,,55.6075,
12,62979062,2020-07-19 10:28:28,136,2,0,1,,"[(63271902.0, '2020-08-05 19:03:22')]",2020-08-05 19:03:22,,416.58166666666665,
13,63232732,2020-08-03 15:51:49,224,8,6,2,63415069.0,"[(63244366.0, '2020-08-04 09:53:51'), (63415069.0, '2020-08-14 14:49:17')]",2020-08-04 09:53:51,2020-08-14 14:49:17,18.03388888888889,262.9577777777778
14,63465109,2020-08-18 08:52:59,428,2,1,1,,"[(63484017.0, '2020-08-19 09:32:08')]",2020-08-19 09:32:08,,24.6525,
15,64044200,2020-09-24 10:08:21,111,0,1,1,64044374.0,"[(64044374.0, '2020-09-24 10:19:04')]",2020-09-24 10:19:04,2020-09-24 10:19:04,0.1786111111111111,0.1786111111111111
16,64124757,2020-09-29 17:33:32,167,3,-2,1,,"[(64126847.0, '2020-09-29 20:03:31')]",2020-09-29 20:03:31,,2.499722222222222,
17,64180517,2020-10-03 03:51:06,130,3,0,1,,"[(64228596.0, '2020-10-06 15:06:00')]",2020-10-06 15:06:00,,83.24833333333333,
18,64406166,2020-10-17 18:52:55,90,0,1,1,,"[(64415982.0, '2020-10-18 17:01:24')]",2020-10-18 17:01:24,,22.14138888888889,
19,64800623,2020-11-12 08:50:15,49,3,0,1,64801036.0,"[(64801036.0, '2020-11-12 09:17:11')]",2020-11-12 09:17:11,2020-11-12 09:17:11,0.4488888888888889,0.4488888888888889
20,65023526,2020-11-26 14:01:21,52,6,-1,1,65052927.0,"[(65052927.0, '2020-11-28 18:08:30')]",2020-11-28 18:08:30,2020-11-28 18:08:30,52.119166666666665,52.119166666666665
21,65095129,2020-12-01 17:07:32,39,1,1,1,,"[(65115011.0, '2020-12-02 19:39:48')]",2020-12-02 19:39:48,,26.537777777777777,
