,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,,59656096,2020-01-09 01:41:04,497,1,3,4,59684161.0
1,,,,62979062,2020-07-19 10:28:28,136,1,2,0,
2,,,,64818504,2020-11-13 09:32:47,53,0,2,0,
3,,,,65023526,2020-11-26 14:01:21,52,1,6,-1,65052927.0
4,,,,61019485,2020-04-03 19:54:41,379,1,0,0,61019599.0
5,,,,65091635,2020-12-01 13:42:28,35,0,3,0,
6,,,,64370953,2020-10-15 11:49:09,36,0,0,0,
7,,,,63465109,2020-08-18 08:52:59,428,1,2,1,
8,,,,65095129,2020-12-01 17:07:32,39,1,1,1,
9,,,,61382917,2020-04-23 08:42:41,246,1,2,1,
10,,,,62936905,2020-07-16 14:23:59,194,0,0,1,
11,,,,60459292,2020-02-28 21:11:27,223,1,1,0,60480429.0
12,,,,64044200,2020-09-24 10:08:21,111,1,0,1,64044374.0
13,,,,60848403,2020-03-25 11:59:40,62,1,3,-1,
14,,,,60530393,2020-03-04 16:18:38,192,0,2,0,
15,,,,61863504,2020-05-18 06:20:21,687,0,4,0,
16,,,,60833301,2020-03-24 14:42:14,260,1,0,0,60833512.0
17,,,,62434075,2020-06-17 16:41:46,406,1,0,0,62434868.0
18,,,,64124757,2020-09-29 17:33:32,167,1,3,-2,
19,,,,64180517,2020-10-03 03:51:06,130,1,3,0,
20,,,,60209265,2020-02-13 13:42:55,727,0,3,3,
21,,,,62142122,2020-06-01 22:43:30,33,0,0,0,
22,,,,61888473,2020-05-19 10:11:07,41,0,2,0,
23,,,,63232732,2020-08-03 15:51:49,224,2,8,6,63415069.0
24,,,,60062624,2020-02-04 17:28:36,114,1,2,3,
25,,,,62671054,2020-07-01 06:42:21,137,0,2,1,
26,,,,62863374,2020-07-12 16:03:54,378,0,6,2,
27,,,,62472238,2020-06-19 14:17:46,730,2,0,0,
28,,,,64180606,2020-10-03 04:10:57,41,0,1,0,
29,,,,58454157,2019-10-18 15:42:39,5096,1,2,6,58456379.0
30,,,,64626722,2020-10-31 21:46:19,101,0,4,0,
31,,,,61680408,2020-05-08 13:35:11,132,2,0,0,
32,,,,64800623,2020-11-12 08:50:15,49,1,3,0,64801036.0
33,,,,62327803,2020-06-11 15:23:32,247,1,0,1,62328920.0
34,,,,65082609,2020-11-30 23:26:09,14,0,1,0,
35,,,,65140400,2020-12-04 08:42:57,18,0,2,0,
36,,,,63906559,2020-09-15 16:55:29,46,0,0,0,
37,,,,64406166,2020-10-17 18:52:55,90,1,0,1,
38,,,,62772819,2020-07-07 10:06:24,406,0,4,2,
39,,,,64514791,2020-10-24 15:04:55,89,0,11,0,
