,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,[],63831906,2020-09-10 14:30:09,73,0,2,0,
1,,,[],52948410,2018-10-23 11:51:54,226,1,2,-1,
2,,,[],63522070,2020-08-21 11:29:49,62,2,1,0,63523010.0
3,,,[],64355180,2020-10-14 14:11:14,38,1,0,1,64355411.0
4,,,[],57753687,2019-09-02 08:29:42,285,1,2,1,
5,,,[],52361735,2018-09-17 06:15:27,806,1,0,0,52362407.0
6,,,[],60940110,2020-03-30 21:50:45,118,0,0,1,
7,,,[],62354726,2020-06-13 02:08:49,190,0,0,1,
8,,,[],63309922,2020-08-07 22:31:55,102,2,3,0,63412092.0
9,,,[],57618507,2019-08-23 00:38:42,1116,2,1,6,57876684.0
10,,,[],61402813,2020-04-24 06:56:53,38,0,2,1,
11,,,[],63372759,2020-08-12 08:31:23,99,2,7,-1,
12,,,[],52818145,2018-10-15 13:42:15,4468,1,0,8,52858726.0
13,,,[],65097733,2020-12-01 20:05:12,27,1,6,0,65098721.0
14,,,[],64974605,2020-11-23 18:54:16,39,2,0,0,64975393.0
15,,,[],60013915,2020-02-01 04:07:37,47,0,4,0,
16,,,[],63339395,2020-08-10 11:35:32,28,0,0,0,
17,,,[],53901228,2018-12-23 04:37:18,282,0,3,2,
18,,,[],57491610,2019-08-14 09:10:38,1928,2,0,1,
19,,,[],64313576,2020-10-12 07:44:17,41,1,3,0,
20,,,[],59648324,2020-01-08 14:47:51,3090,1,0,6,59648484.0
21,,,[],58256816,2019-10-06 11:32:14,1150,1,16,0,
22,,,[],60851129,2020-03-25 14:40:40,183,0,0,0,
23,,,[],64727226,2020-11-07 11:34:12,70,0,5,1,
24,,,[],56092682,2019-05-11 17:25:22,30,0,1,1,
25,,,[],54490351,2019-02-02 05:44:18,889,3,3,3,
26,,,[],64703326,2020-11-05 18:33:34,46,1,0,2,64709727.0
27,,,[],61971817,2020-05-23 12:11:39,478,1,6,0,
28,,,[],63015883,2020-07-21 13:43:35,380,3,0,1,64964968.0
29,,,[],57857690,2019-09-09 16:15:09,83,1,0,2,
30,,,[],56861860,2019-07-03 01:46:34,103,1,0,2,
31,,,[],60900406,2020-03-28 11:15:29,119,1,5,-1,60903091.0
32,,,[],63746182,2020-09-04 18:13:19,645,2,0,0,
33,,,[],52196554,2018-09-06 04:34:14,1560,1,0,2,
34,,,[],59905306,2020-01-25 00:28:53,45,1,3,0,
35,,,[],55754400,2019-04-18 22:24:40,725,2,0,0,55759838.0
36,,,[],59223995,2019-12-07 07:46:00,243,1,0,2,
37,,,[],52178579,2018-09-05 06:37:18,222,1,0,0,
38,,,[],53548405,2018-11-29 22:14:07,113,1,1,2,
39,,,[],61897853,2020-05-19 18:08:42,71,1,0,0,
40,,,[],62665081,2020-06-30 19:43:56,41,0,0,0,
41,,,[],61250507,2020-04-16 12:42:06,54,0,1,0,
42,,,[],62024420,2020-05-26 14:25:55,39,0,0,1,
43,,,[],62762721,2020-07-06 18:57:17,53,0,0,0,
44,,,[],57502753,2019-08-14 22:18:40,64,1,0,0,
45,,,[],62411516,2020-06-16 14:59:44,16,0,0,0,
46,,,[],44837426,2017-06-30 01:53:16,98,0,2,3,
47,,,[],58959799,2019-11-20 17:07:59,136,1,0,1,58961316.0
48,,,[],55466298,2019-04-02 02:54:59,22460,3,1,22,57014852.0
49,,,[],49035156,2018-02-28 17:16:53,17428,2,0,4,49035810.0
50,,,[],51562323,2018-07-27 16:47:39,767,1,0,0,51564634.0
51,,,[],54770249,2019-02-19 15:54:25,1441,2,0,8,54771104.0
52,,,[],59646298,2020-01-08 12:51:28,41,0,2,0,
53,,,[],62757772,2020-07-06 14:04:08,418,1,0,0,
54,,,[],62938230,2020-07-16 15:33:31,292,2,6,1,
55,,,[],62079034,2020-05-29 05:03:15,137,1,0,1,62083580.0
56,,,[],54340766,2019-01-24 06:44:42,96,2,0,-1,
57,,,[],59662399,2020-01-09 10:56:19,553,1,0,0,59668766.0
58,,,[],60452222,2020-02-28 12:58:33,173,1,11,0,
59,,,[],61072673,2020-04-07 04:07:38,128,1,0,0,61074902.0
60,,,[],53547304,2018-11-29 20:45:35,1056,2,0,1,
61,,,[],53623472,2018-12-05 00:33:01,35366,4,0,17,55196345.0
62,,,[],63830441,2020-09-10 13:10:57,82,1,0,5,63831086.0
63,,,[],58344480,2019-10-11 15:34:45,1033,1,0,1,58344897.0
64,,,[],57208913,2019-07-25 19:23:51,1209,2,1,1,57216689.0
65,,,[],53090781,2018-10-31 19:36:36,361,1,0,0,53091645.0
66,,,[],42480111,2017-02-27 07:35:42,97258,12,2,148,42616812.0
67,,,[],63215140,2020-08-02 10:53:58,40,2,2,0,
68,,,[],60715802,2020-03-17 03:17:34,26,0,0,0,
69,,,[],51803437,2018-08-11 20:19:53,13163,1,2,3,
70,,,[],57407939,2019-08-08 08:05:08,1039,2,4,1,57409671.0
71,,,[],59955290,2020-01-28 18:54:17,836,0,8,1,
72,,,[],59352314,2019-12-16 07:39:45,44,1,0,0,59352680.0
73,,,[],62905328,2020-07-14 23:12:45,137,0,1,1,
74,,,[],63979009,2020-09-20 12:33:19,26,0,2,0,
75,,,[],60465720,2020-02-29 13:37:06,818,0,0,1,
76,,,[],64966807,2020-11-23 10:41:02,15,0,0,1,
77,,,[],47996046,2017-12-27 17:09:08,623,1,0,1,
78,,,[],53684335,2018-12-08 16:05:35,337,0,10,0,
79,,,[],63221468,2020-08-02 22:05:29,787,1,1,1,
80,,,[],64462531,2020-10-21 11:25:10,37,0,1,1,
81,,,[],49304817,2018-03-15 16:39:13,2707,1,4,0,49384714.0
82,,,[],52391648,2018-09-18 17:18:05,140,0,4,1,
83,,,[],60150426,2020-02-10 12:25:46,373,1,0,4,60150673.0
84,,,[],51851966,2018-08-15 02:01:33,385,1,1,1,51869889.0
85,,,[],61907618,2020-05-20 07:41:22,52,1,0,0,61909079.0
86,,,[],60232485,2020-02-14 19:34:41,144,1,0,0,60263925.0
87,,,[],58979779,2019-11-21 16:43:31,1521,1,4,6,
88,,,[],47624798,2017-12-04 00:18:31,550,1,1,2,
89,,,[],49951492,2018-04-21 01:20:46,838,3,1,6,
90,,,[],56856236,2019-07-02 15:58:46,562,1,0,0,
91,,,[],63227656,2020-08-03 10:21:58,148,1,0,0,63235302.0
92,,,[],64263839,2020-10-08 13:42:13,69,2,0,2,64264237.0
93,,,[],53581904,2018-12-02 15:50:29,843,1,1,0,54189308.0
94,,,[],53569050,2018-12-01 08:22:20,521,1,0,0,53569303.0
95,,,[],46330797,2017-09-20 19:57:12,80,0,0,3,
96,,,[],61789457,2020-05-14 04:43:10,29,0,2,0,
97,,,[],62833157,2020-07-10 11:17:16,53,1,0,0,62833966.0
98,,,[],58990284,2019-11-22 08:30:12,33,1,0,1,58990787.0
99,,,[],60101973,2020-02-06 19:09:24,872,2,4,1,60104225.0
100,,,[],51198474,2018-07-05 19:20:02,383,1,3,1,51199519.0
101,,,[],62504157,2020-06-21 20:38:53,142,1,0,0,62504543.0
102,,,[],64523441,2020-10-25 12:01:56,57,1,0,3,64537986.0
103,,,[],53683116,2018-12-08 13:43:22,646,1,0,0,53683951.0
104,,,[],59014699,2019-11-24 04:36:16,50,1,2,0,
105,,,[],60903821,2020-03-28 16:49:34,401,1,1,1,
106,,,[],61115032,2020-04-09 06:17:04,2037,2,0,0,61115826.0
