,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,[],61913010,2020-05-20 12:20:43,1792,2,0,2,61913108.0
1,,,[],60940110,2020-03-30 21:50:45,118,0,0,1,
2,,,[],64313576,2020-10-12 07:44:17,41,1,3,0,
3,,,[],64727226,2020-11-07 11:34:12,70,0,5,1,
4,,,[],62757772,2020-07-06 14:04:08,418,1,0,0,
5,,,[],61072673,2020-04-07 04:07:38,128,1,0,0,61074902.0
6,,,[],60232485,2020-02-14 19:34:41,144,1,0,0,60263925.0
7,,,[],63519373,2020-08-21 08:34:29,97,1,0,1,
8,,,[],63201036,2020-08-01 01:54:28,497,1,0,1,63692060.0
9,,,[],64156202,2020-10-01 13:16:02,359,2,0,4,64156912.0
10,,,[],61580961,2020-05-03 20:09:33,403,1,1,2,61581357.0
11,,,[],60120849,2020-02-07 20:46:37,1235,1,2,1,60147063.0
12,,,[],64138426,2020-09-30 13:15:33,93,1,0,0,64144405.0
13,,,[],62472438,2020-06-19 14:28:33,274,1,0,2,62544040.0
14,,,[],65157852,2020-12-05 14:15:47,22,0,0,0,
15,,,[],64947064,2020-11-21 19:14:58,28,1,0,0,
16,,,[],61990266,2020-05-24 18:10:52,174,1,1,0,
17,,,[],63436152,2020-08-16 11:12:04,30,0,0,0,
18,,,[],64823332,2020-11-13 15:12:04,111,1,5,4,64866990.0
19,,,[],63020991,2020-07-21 18:35:48,184,1,6,1,63050666.0
20,,,[],62014720,2020-05-26 04:32:29,154,0,3,1,
21,,,[],62538079,2020-06-23 15:12:56,686,1,0,1,62542474.0
22,,,[],62206826,2020-06-05 01:47:40,181,1,1,0,62207015.0
23,,,[],62907901,2020-07-15 05:01:54,193,1,1,0,
24,,,[],64839614,2020-11-14 23:13:14,54,1,0,0,
25,,,[],62125405,2020-06-01 03:49:59,511,1,0,0,62126272.0
26,,,[],62351295,2020-06-12 19:37:36,117,0,4,1,
