,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,,59632120,2020-01-07 16:13:19,654,1,0,1,
1,,,,64347099,2020-10-14 05:23:03,47,0,4,0,
2,,,,65145865,2020-12-04 15:01:56,25,0,3,-1,
3,,,,55093539,2019-03-10 23:41:31,410,1,2,1,
4,,,,64639175,2020-11-02 02:42:25,38,0,2,0,
5,,,,56918388,2019-07-06 23:42:32,9423,2,4,6,56918559.0
6,,,,59985154,2020-01-30 11:36:03,372,2,0,0,
7,,,,57152157,2019-07-22 18:54:45,77,0,0,1,
8,,,,59360678,2019-12-16 16:32:46,96,0,2,0,
9,,,,60826779,2020-03-24 07:45:20,1411,1,0,1,60869999.0
10,,,,63515917,2020-08-21 03:03:53,326,1,0,3,
11,,,,58018009,2019-09-19 19:43:44,476,1,0,2,58018010.0
12,,,,53413756,2018-11-21 14:00:41,1269,1,0,1,
13,,,,57706942,2019-08-29 09:17:32,39,1,0,0,57707430.0
14,,,,48428415,2018-01-24 17:30:16,63941,11,5,39,48429585.0
15,,,,59555168,2020-01-01 18:45:29,171,1,2,4,59568500.0
16,,,,51941092,2018-08-21 03:15:47,139,1,0,0,51942256.0
17,,,,54945641,2019-03-01 13:27:02,238,1,2,-1,54946310.0
18,,,,61286412,2020-04-18 08:45:08,148,0,0,0,
19,,,,61960251,2020-05-22 17:04:01,114,0,2,0,
20,,,,64614449,2020-10-30 15:58:16,24,0,5,0,
21,,,,63731349,2020-09-03 20:40:51,113,1,0,1,63738426.0
22,,,,54636921,2019-02-11 18:30:55,70,0,0,1,
23,,,,60897336,2020-03-28 04:43:52,153,0,0,0,
24,,,,51939618,2018-08-20 23:13:08,713,1,0,2,51942395.0
25,,,,61456686,2020-04-27 10:24:08,104,1,0,1,
26,,,,63278199,2020-08-06 06:46:47,40,1,0,0,63278310.0
27,,,,40755024,2016-11-23 02:27:16,466,1,0,0,40755585.0
28,,,,56663388,2019-06-19 08:35:10,2891,5,0,3,
29,,,,61102362,2020-04-08 13:52:19,57,1,0,0,61106828.0
30,,,,60880868,2020-03-27 06:18:39,23,0,5,0,
31,,,,61556914,2020-05-02 09:06:34,740,1,0,1,
32,,,,59074105,2019-11-27 16:00:27,182,1,0,2,59074802.0
33,,,,63613281,2020-08-27 09:42:27,88,1,0,1,63616456.0
34,,,,54022742,2019-01-03 12:55:34,632,1,5,2,54023447.0
35,,,,57448488,2019-08-11 08:29:18,960,1,0,1,57449805.0
36,,,,41714947,2017-01-18 08:54:24,1289,1,0,1,41740409.0
37,,,,61753091,2020-05-12 13:34:10,56,2,6,0,
38,,,,60268647,2020-02-17 18:43:06,330,1,0,2,
39,,,,62855617,2020-07-11 23:29:01,761,1,0,3,
40,,,,56445615,2019-06-04 14:07:13,1452,2,2,2,56475898.0
41,,,,63947374,2020-09-17 23:32:34,76,0,0,0,
42,,,,62787056,2020-07-08 03:24:14,1836,2,0,1,
43,,,,42149649,2017-02-10 00:46:34,128,0,6,3,
44,,,,56721498,2019-06-23 06:16:08,2393,1,0,2,56722207.0
45,,,,60494789,2020-03-02 18:40:51,246,1,1,0,60494928.0
46,,,,42026835,2017-02-03 14:44:58,215,2,10,1,
47,,,,60615290,2020-03-10 10:02:54,41,1,0,2,
48,,,,55435899,2019-03-30 21:43:05,516,0,4,1,
49,,,,37221621,2016-05-14 01:49:27,971,2,0,5,
50,,,,63509763,2020-08-20 16:51:20,82,1,0,0,63511638.0
51,,,,63956135,2020-09-18 12:50:33,49,0,2,1,
52,,,,60436527,2020-02-27 15:24:24,136,1,5,0,
53,,,,54700736,2019-02-14 23:37:56,96,1,2,0,54700968.0
54,,,,50349213,2018-05-15 11:36:19,4334,1,0,1,50350344.0
55,,,,64022719,2020-09-23 07:05:06,40,0,1,1,
56,,,,47973267,2017-12-26 01:58:42,1542,1,4,1,47978533.0
57,,,,59667300,2020-01-09 15:30:32,422,0,5,0,
58,,,,65003896,2020-11-25 11:36:25,16,0,0,0,
59,,,,48231593,2018-01-12 17:51:06,1873,0,7,1,
60,,,,64932192,2020-11-20 15:27:22,11,0,0,0,
61,,,,55258859,2019-03-20 10:43:41,1029,2,2,3,55261401.0
62,,,,51615888,2018-07-31 14:33:09,761,2,0,0,51616103.0
63,,,,57748812,2019-09-01 19:20:18,2533,1,0,11,
64,,,,58501086,2019-10-22 09:25:59,1897,2,0,3,58501198.0
65,,,,64743941,2020-11-08 23:05:12,13,0,0,0,
66,,,,56664751,2019-06-19 09:46:05,49,1,0,0,56665045.0
67,,,,63217804,2020-08-02 15:27:06,27,1,0,1,64453249.0
68,,,,62454676,2020-06-18 16:21:30,94,1,4,0,62484824.0
69,,,,60017583,2020-02-01 14:01:53,148,1,1,0,60017708.0
70,,,,59461550,2019-12-23 21:36:04,218,0,2,0,
71,,,,60490084,2020-03-02 13:41:43,59,0,6,1,
72,,,,58150403,2019-09-28 21:21:52,365,1,3,1,58150665.0
73,,,,59394902,2019-12-18 15:09:59,351,2,3,1,59408155.0
74,,,,56257216,2019-05-22 12:50:20,2035,2,1,1,
75,,,,58905540,2019-11-17 21:49:23,563,0,9,0,
76,,,,54805110,2019-02-21 10:41:30,245,0,2,1,
77,,,,50831434,2018-06-13 07:29:16,597,1,0,0,
78,,,,51152579,2018-07-03 10:43:48,172,1,0,2,51152923.0
79,,,,49305971,2018-03-15 17:42:13,205,1,0,0,
80,,,,50295442,2018-05-11 15:18:58,457,0,3,1,
81,,,,64371884,2020-10-15 12:44:38,94,1,4,-2,
82,,,,53147241,2018-11-05 01:37:22,139,1,2,0,53149891.0
83,,,,56687174,2019-06-20 13:33:44,664,1,0,0,56687547.0
84,,,,53079108,2018-10-31 08:26:06,2586,3,0,1,
85,,,,61656071,2020-05-07 10:57:11,161,0,3,1,
86,,,,56779949,2019-06-26 19:39:23,601,1,0,3,56841250.0
87,,,,58595506,2019-10-28 17:16:05,309,2,0,0,
88,,,,62813601,2020-07-09 11:14:56,35,0,2,1,
89,,,,62130154,2020-06-01 10:28:18,68,1,0,0,
90,,,,60349042,2020-02-22 04:27:46,363,1,0,0,60350887.0
91,,,,49538940,2018-03-28 15:48:57,3540,1,1,3,49540045.0
92,,,,63916017,2020-09-16 08:24:28,36,1,0,0,63916582.0
93,,,,43455375,2017-04-17 16:27:43,1132,2,6,0,
94,,,,45265436,2017-07-23 13:09:27,5515,3,4,10,45321332.0
95,,,,34193649,2015-12-10 04:22:52,7067,2,2,6,42158235.0
96,,,,65151225,2020-12-04 21:50:48,34,3,0,0,
97,,,,45465747,2017-08-02 16:01:30,211,1,0,1,
98,,,,50564928,2018-05-28 11:04:10,1289,1,0,1,50565136.0
99,,,,59873568,2020-01-23 07:37:08,1996,2,10,0,
100,,,,63621251,2020-08-27 17:24:55,54,1,6,0,63623233.0
101,,,,58163571,2019-09-30 07:48:24,251,1,0,1,58163829.0
102,,,,59621796,2020-01-07 03:26:44,26,0,1,0,
103,,,,59417433,2019-12-19 22:02:58,825,1,6,1,
104,,,,50184534,2018-05-05 00:17:22,1501,1,3,1,
105,,,,64076856,2020-09-26 10:59:54,96,1,0,1,
106,,,,59765784,2020-01-16 08:42:57,4795,4,0,4,60204981.0
107,,,,62348406,2020-06-12 16:23:13,26,0,0,0,
108,,,,62494412,2020-06-21 04:32:54,1915,2,2,5,
109,,,,56377141,2019-05-30 11:10:41,1508,1,4,0,
110,,,,54994533,2019-03-05 02:25:20,1395,0,4,5,
111,,,,53496095,2018-11-27 09:08:03,7311,2,0,9,53496805.0
112,,,,60202936,2020-02-13 07:56:58,33,0,0,0,
113,,,,63296412,2020-08-07 06:30:39,97,0,2,0,
114,,,,64959081,2020-11-22 20:17:36,19,0,0,0,
115,,,,62371094,2020-06-14 10:10:18,21,1,0,0,62371227.0
116,,,,60691155,2020-03-15 08:50:46,29,1,0,0,
117,,,,49363552,2018-03-19 12:56:34,384,0,2,0,
118,,,,63368781,2020-08-12 02:14:23,127,0,5,0,
119,,,,60550005,2020-03-05 16:29:56,32,1,0,1,60550075.0
120,,,,59358813,2019-12-16 14:38:23,363,2,2,1,
121,,,,46344583,2017-09-21 12:58:30,185,0,1,1,
122,,,,53651138,2018-12-06 12:07:58,409,1,3,1,53651491.0
123,,,,57561966,2019-08-19 18:12:15,1887,0,3,0,
124,,,,48208724,2018-01-11 13:55:18,50,0,2,0,
125,,,,59398598,2019-12-18 19:05:55,53,1,3,1,59399016.0
126,,,,43796720,2017-05-05 04:48:01,789,1,2,10,
127,,,,59109436,2019-11-29 18:12:19,76,1,0,0,61807667.0
128,,,,51359851,2018-07-16 10:35:35,664,2,1,1,51405308.0
129,,,,57721804,2019-08-30 06:46:55,1356,2,0,1,
130,,,,61773597,2020-05-13 11:37:30,27,1,0,0,61773824.0
131,,,,42890908,2017-03-19 19:04:58,265,0,2,0,
132,,,,60444486,2020-02-28 02:35:21,162,0,2,5,
133,,,,47543113,2017-11-29 00:23:46,2271,1,0,1,47543591.0
134,,,,57653444,2019-08-26 07:23:33,67,1,0,0,
135,,,,62226487,2020-06-06 02:04:48,40,0,3,1,
136,,,,63340967,2020-08-10 13:14:25,31,1,0,0,63342023.0
137,,,,58200403,2019-10-02 11:18:06,423,1,1,1,64113331.0
138,,,,59108130,2019-11-29 16:15:08,438,0,9,0,
139,,,,51958246,2018-08-22 00:07:54,226,0,1,1,
140,,,,43827597,2017-05-07 03:42:16,504,2,2,1,
141,,,,55714076,2019-04-16 17:58:05,283,1,0,0,55715913.0
142,,,,61493605,2020-04-29 03:13:58,352,1,0,1,
143,,,,63312674,2020-08-08 07:02:42,33,2,0,0,63312954.0
144,,,,56447556,2019-06-04 16:04:35,1578,1,3,0,56498788.0
145,,,,58123276,2019-09-26 19:08:21,257,1,0,0,
146,,,,65113349,2020-12-02 17:41:22,8,0,0,0,
147,,,,53285424,2018-11-13 16:28:38,2172,1,3,4,53341233.0
148,,,,58432559,2019-10-17 12:21:59,159,1,0,0,
149,,,,45670244,2017-08-14 08:20:24,3320,2,2,4,
150,,,,45124875,2017-07-16 04:08:43,519,1,0,2,45126777.0
151,,,,54704052,2019-02-15 06:53:01,1155,1,2,0,54705820.0
152,,,,49192051,2018-03-09 10:49:36,8961,2,1,7,49196727.0
153,,,,64553952,2020-10-27 11:56:26,19,0,1,0,
154,,,,57160829,2019-07-23 09:22:03,496,1,3,2,57162404.0
155,,,,62153815,2020-06-02 14:00:49,405,2,0,0,
156,,,,58002600,2019-09-19 01:39:00,838,1,2,6,
157,,,,54430310,2019-01-29 22:03:59,1741,1,6,0,
158,,,,59780740,2020-01-17 03:21:12,249,0,1,1,
159,,,,55032687,2019-03-06 21:47:05,1077,1,0,0,
160,,,,55690917,2019-04-15 14:02:50,424,1,0,2,
161,,,,64894824,2020-11-18 14:14:42,26,1,2,0,64895009.0
162,,,,62239477,2020-06-07 00:14:38,57,0,0,0,
163,,,,57982158,2019-09-17 21:15:16,3567,1,2,5,57985788.0
164,,,,63964890,2020-09-19 03:04:43,26,0,6,0,
165,,,,53127841,2018-11-03 02:22:20,224,1,0,0,
166,,,,54511066,2019-02-04 06:24:02,2242,3,0,1,
167,,,,48709839,2018-02-09 16:10:33,7835,2,1,12,48709941.0
168,,,,52522171,2018-09-26 16:16:33,370,0,2,1,
169,,,,58115412,2019-09-26 11:03:20,1892,2,3,1,
170,,,,58635521,2019-10-31 00:45:25,1734,3,0,1,58635583.0
171,,,,61176084,2020-04-12 18:16:22,693,1,0,2,62510667.0
172,,,,63966872,2020-09-19 08:41:25,64,2,0,0,63976574.0
173,,,,60035792,2020-02-03 08:50:07,97,0,0,0,
174,,,,44740744,2017-06-24 20:32:22,3073,1,1,2,44742015.0
175,,,,62311222,2020-06-10 19:03:16,119,3,0,1,62311811.0
176,,,,52781514,2018-10-12 14:18:51,652,0,5,0,
177,,,,61693349,2020-05-09 07:41:55,556,1,0,0,
178,,,,57190848,2019-07-24 20:34:58,287,1,2,0,57196180.0
179,,,,46758178,2017-10-15 17:53:23,495,1,0,2,46758290.0
180,,,,55181044,2019-03-15 10:56:32,3241,2,4,5,55431517.0
181,,,,54108047,2019-01-09 10:30:26,40,0,2,0,
182,,,,46688822,2017-10-11 12:58:48,1537,1,0,23,
183,,,,61054359,2020-04-06 06:48:38,1152,1,2,0,
184,,,,56289270,2019-05-24 09:04:23,785,1,1,2,56536441.0
185,,,,50572259,2018-05-28 19:05:38,444,0,0,2,
186,,,,64127480,2020-09-29 20:52:31,28,1,0,0,64127587.0
187,,,,53765593,2018-12-13 15:54:33,3398,1,7,2,
188,,,,46441577,2017-09-27 07:10:52,9038,3,5,8,
189,,,,64243290,2020-10-07 11:43:06,67,1,0,0,
190,,,,64894027,2020-11-18 13:27:20,21,1,0,0,
191,,,,63896182,2020-09-15 06:18:50,72,0,0,0,
192,,,,61934272,2020-05-21 12:12:39,369,0,2,1,
193,,,,36367641,2016-04-01 23:59:52,3136,2,1,4,
194,,,,47859532,2017-12-17 21:17:07,524,2,0,0,
195,,,,60647008,2020-03-12 02:58:35,184,1,3,0,
196,,,,44023976,2017-05-17 11:46:46,399,1,7,0,
197,,,,55998133,2019-05-06 02:33:55,2293,2,2,1,
198,,,,63669084,2020-08-31 10:29:30,40,1,2,0,
199,,,,51827474,2018-08-13 17:15:50,928,2,2,1,
200,,,,39091206,2016-08-23 02:01:27,1006,0,7,0,
201,,,,64818504,2020-11-13 09:32:47,53,0,2,0,
202,,,,57046843,2019-07-15 20:35:52,1552,3,0,0,
203,,,,58751457,2019-11-07 14:59:11,202,1,0,0,
204,,,,57507774,2019-08-15 09:43:40,437,1,3,0,
205,,,,46758146,2017-10-15 17:49:26,1647,1,0,1,47195963.0
206,,,,63982154,2020-09-20 18:07:56,362,0,1,0,
207,,,,52915150,2018-10-21 12:07:25,331,1,4,1,
208,,,,56204731,2019-05-19 04:22:36,1515,2,0,0,56205032.0
209,,,,56606583,2019-06-15 01:06:51,1297,1,3,1,56607252.0
210,,,,49520109,2018-03-27 18:31:45,282,1,0,0,
