,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,[],52019226,2018-08-25 16:32:19,312,1,2,0,52019631.0
1,,,[],64070871,2020-09-25 20:19:10,45,0,1,1,
2,,,[],59113797,2019-11-30 06:30:12,139,1,4,0,
3,,,[],58245855,2019-10-05 06:13:39,231,1,2,1,58315643.0
4,,,[],59898015,2020-01-24 14:03:37,436,1,0,1,59928947.0
5,,,[],54283937,2019-01-21 05:30:13,443,1,4,1,
6,,,[],60286674,2020-02-18 17:44:21,51,0,4,0,
7,,,[],63605446,2020-08-26 20:41:45,154,1,0,1,63606494.0
8,,,[],62593621,2020-06-26 11:19:03,54,1,0,0,
9,,,[],53258236,2018-11-12 08:23:21,771,4,0,1,
10,,,[],59656318,2020-01-09 02:12:00,87,1,0,0,59661449.0
11,,,[],61057620,2020-04-06 10:23:11,140,1,0,0,
12,,,[],47208048,2017-11-09 17:25:56,82,1,2,1,
13,,,[],46141331,2017-09-10 13:41:23,243,1,4,1,
14,,,[],52699598,2018-10-08 09:48:35,1537,1,2,4,52701095.0
15,,,[],55407947,2019-03-28 22:44:34,108,1,1,0,
16,,,[],56254649,2019-05-22 10:23:09,97,2,0,1,56260767.0
17,,,[],61721518,2020-05-11 02:49:40,68,0,0,0,
18,,,[],50559586,2018-05-28 05:23:56,532,1,0,2,50570204.0
19,,,[],60616842,2020-03-10 11:38:02,890,5,0,2,60800425.0
20,,,[],55779201,2019-04-21 01:43:41,807,2,0,2,55779881.0
21,,,[],60091890,2020-02-06 09:43:26,161,1,0,0,
22,,,[],61717694,2020-05-10 19:34:30,147,1,0,0,
23,,,[],57582591,2019-08-20 23:12:09,287,1,2,0,57587212.0
24,,,[],56817588,2019-06-29 12:38:12,234,1,0,0,56832687.0
25,,,[],50075783,2018-04-28 10:59:09,355,1,2,0,50456955.0
26,,,[],60028225,2020-02-02 16:36:05,40,1,0,0,60028487.0
27,,,[],56678776,2019-06-20 03:57:10,396,2,1,3,56678835.0
28,,,[],64184130,2020-10-03 12:14:25,47,1,0,2,64184283.0
29,,,[],50874279,2018-06-15 11:04:14,436,1,2,0,
30,,,[],60651110,2020-03-12 09:31:55,53,0,2,0,
31,,,[],59388426,2019-12-18 08:51:44,49,1,3,1,
32,,,[],61299146,2020-04-19 03:20:38,185,1,5,1,
33,,,[],61768686,2020-05-13 07:26:54,31,1,1,0,
34,,,[],60810806,2020-03-23 09:26:53,25,0,0,0,
35,,,[],59270769,2019-12-10 15:38:26,44,1,0,0,59311391.0
