,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,195626,2008-10-12 15:59:48,3042,3,6,13,195962.0,"[(195645.0, '2008-10-12 16:14:44'), (195702.0, '2008-10-12 17:04:21'), (195739.0, '2008-10-12 17:29:46'), (195758.0, '2008-10-12 17:38:21'), (195776.0, '2008-10-12 17:54:37'), (195792.0, '2008-10-12 18:08:55'), (195962.0, '2008-10-12 20:12:25'), (196218.0, '2008-10-12 22:31:37'), (201077.0, '2008-10-14 13:07:08'), (345744.0, '2008-12-06 01:56:12'), (431452.0, '2009-01-10 18:06:13'), (1184838.0, '2009-07-26 15:28:24'), (2213775.0, '2010-02-06 16:28:32')]",2008-10-12 16:14:44,2008-10-12 20:12:25,0.24888888888888888,4.210277777777778
1,1150144,2009-07-19 15:41:58,21199,0,8,5,,"[(1150154.0, '2009-07-19 15:47:10'), (1150200.0, '2009-07-19 16:07:12'), (1150268.0, '2009-07-19 16:35:16'), (1155231.0, '2009-07-20 18:48:32'), (1481492.0, '2009-09-26 15:50:57')]",2009-07-19 15:47:10,,0.08666666666666667,
2,1639855,2009-10-28 20:17:48,17261,2,25,5,1640001.0,"[(1640001.0, '2009-10-28 20:46:26'), (1640109.0, '2009-10-28 21:05:00'), (4758556.0, '2011-01-21 12:01:33'), (15278298.0, '2013-03-07 17:54:00'), (20816272.0, '2013-12-28 15:40:12')]",2009-10-28 20:46:26,2009-10-28 20:46:26,0.4772222222222222,0.4772222222222222
3,1663762,2009-11-02 21:18:40,4177,0,0,2,,"[(1663990.0, '2009-11-02 21:58:48'), (1664176.0, '2009-11-02 22:36:30')]",2009-11-02 21:58:48,,0.6688888888888889,
4,1695841,2009-11-08 09:22:19,2825,2,3,5,1697002.0,"[(1695866.0, '2009-11-08 09:33:50'), (1697002.0, '2009-11-08 16:11:20'), (1725401.0, '2009-11-12 21:04:56'), (1734159.0, '2009-11-14 12:53:21'), (46628114.0, '2017-10-08 06:18:49')]",2009-11-08 09:33:50,2009-11-08 16:11:20,0.19194444444444445,6.816944444444444
5,1902967,2009-12-14 19:32:26,7506,1,8,2,1903002.0,"[(1903002.0, '2009-12-14 19:39:50'), (20075588.0, '2013-11-19 15:31:39')]",2009-12-14 19:39:50,2009-12-14 19:39:50,0.12333333333333334,0.12333333333333334
6,2162718,2010-01-29 14:58:20,7999,0,3,3,,"[(2165625.0, '2010-01-29 22:26:03'), (2226115.0, '2010-02-09 01:18:36'), (5890759.0, '2011-05-04 22:50:07')]",2010-01-29 22:26:03,,7.461944444444445,
7,3121217,2010-06-25 20:27:51,18701,0,14,3,3121298.0,"[(3121298.0, '2010-06-25 20:40:32'), (3145811.0, '2010-06-30 01:00:22'), (14951278.0, '2013-02-19 06:36:12')]",2010-06-25 20:40:32,2010-06-25 20:40:32,0.21138888888888888,0.21138888888888888
8,3125926,2010-06-27 00:11:59,4768,1,15,1,3126853.0,"[(3126853.0, '2010-06-27 08:38:47')]",2010-06-27 08:38:47,2010-06-27 08:38:47,8.446666666666667,8.446666666666667
9,3428131,2010-08-06 22:04:00,2664,5,5,1,3428307.0,"[(3428307.0, '2010-08-06 22:41:42')]",2010-08-06 22:41:42,2010-08-06 22:41:42,0.6283333333333333,0.6283333333333333
10,3549910,2010-08-23 17:07:48,791,0,2,2,3549972.0,"[(3549972.0, '2010-08-23 17:15:18'), (3550079.0, '2010-08-23 17:28:20')]",2010-08-23 17:15:18,2010-08-23 17:15:18,0.125,0.125
11,3571887,2010-08-26 03:42:08,435,2,0,4,3572358.0,"[(3571973.0, '2010-08-26 04:07:11'), (3572059.0, '2010-08-26 04:31:23'), (3572271.0, '2010-08-26 05:33:04'), (3572358.0, '2010-08-26 05:49:44')]",2010-08-26 04:07:11,2010-08-26 05:49:44,0.4175,2.1266666666666665
12,3591673,2010-08-28 17:16:11,546,0,3,1,3591690.0,"[(3591690.0, '2010-08-28 17:19:55')]",2010-08-28 17:19:55,2010-08-28 17:19:55,0.06222222222222222,0.06222222222222222
13,3595877,2010-08-29 17:50:43,1811,2,4,2,3903865.0,"[(3903865.0, '2010-10-11 06:18:56'), (3976505.0, '2010-10-20 09:41:45')]",2010-10-11 06:18:56,2010-10-11 06:18:56,1020.4702777777778,1020.4702777777778
14,3596744,2010-08-29 21:50:32,476,3,0,1,3604400.0,"[(3604400.0, '2010-08-30 21:34:28')]",2010-08-30 21:34:28,2010-08-30 21:34:28,23.732222222222223,23.732222222222223
15,3703944,2010-09-13 20:01:49,2669,2,0,4,3703993.0,"[(3703982.0, '2010-09-13 20:06:35'), (3703993.0, '2010-09-13 20:08:03'), (3704000.0, '2010-09-13 20:09:23'), (3705488.0, '2010-09-14 01:04:45')]",2010-09-13 20:06:35,2010-09-13 20:08:03,0.07944444444444444,0.10388888888888889
16,3753021,2010-09-20 15:36:31,26917,1,38,4,3761041.0,"[(3761041.0, '2010-09-21 13:58:06'), (6461693.0, '2011-06-23 23:12:37'), (26802243.0, '2014-11-07 13:21:53'), (48300948.0, '2018-01-17 12:16:11')]",2010-09-21 13:58:06,2010-09-21 13:58:06,22.35972222222222,22.35972222222222
17,3788870,2010-09-24 16:01:16,182419,0,139,9,3789057.0,"[(3788947.0, '2010-09-24 16:12:00'), (3789057.0, '2010-09-24 16:26:11'), (3789527.0, '2010-09-24 17:28:58'), (5351315.0, '2011-03-18 11:29:06'), (21400566.0, '2014-01-28 08:38:26'), (38062250.0, '2016-06-27 19:58:48'), (43785402.0, '2017-05-04 14:16:16'), (54499811.0, '2019-02-03 03:53:12'), (61479854.0, '2020-04-28 12:09:39')]",2010-09-24 16:12:00,2010-09-24 16:26:11,0.17888888888888888,0.4152777777777778
18,3902044,2010-10-10 20:25:38,6903,1,5,1,3902368.0,"[(3902368.0, '2010-10-10 21:54:21')]",2010-10-10 21:54:21,2010-10-10 21:54:21,1.478611111111111,1.478611111111111
19,3930267,2010-10-14 05:15:34,3550,1,3,2,,"[(3933679.0, '2010-10-14 13:33:54'), (3937353.0, '2010-10-14 20:39:11')]",2010-10-14 13:33:54,,8.305555555555555,
20,4148171,2010-11-10 19:17:56,807,2,6,1,,"[(6238977.0, '2011-06-04 19:43:01')]",2011-06-04 19:43:01,,4944.418055555556,
21,4206979,2010-11-17 16:57:11,7847,2,2,4,4207287.0,"[(4207287.0, '2010-11-17 17:28:53'), (4208064.0, '2010-11-17 18:58:12'), (18166567.0, '2013-08-10 21:34:11'), (33811168.0, '2015-11-19 18:02:35')]",2010-11-17 17:28:53,2010-11-17 17:28:53,0.5283333333333333,0.5283333333333333
22,4294474,2010-11-27 23:24:38,497,0,2,1,4294518.0,"[(4294518.0, '2010-11-27 23:36:28')]",2010-11-27 23:36:28,2010-11-27 23:36:28,0.19722222222222222,0.19722222222222222
23,4381846,2010-12-07 21:36:23,1384,3,1,5,,"[(4381906.0, '2010-12-07 21:42:51'), (4381916.0, '2010-12-07 21:44:21'), (4381946.0, '2010-12-07 21:47:47'), (4381952.0, '2010-12-07 21:48:22'), (4383405.0, '2010-12-08 01:32:13')]",2010-12-07 21:42:51,,0.10777777777777778,
24,4467193,2010-12-17 02:29:41,2557,2,5,2,4473022.0,"[(4473022.0, '2010-12-17 17:14:33'), (24389905.0, '2014-06-24 14:57:20')]",2010-12-17 17:14:33,2010-12-17 17:14:33,14.747777777777777,14.747777777777777
25,4634787,2011-01-08 16:12:47,73400,2,30,6,,"[(4634924.0, '2011-01-08 16:44:40'), (4635804.0, '2011-01-08 19:52:50'), (6500258.0, '2011-06-27 23:58:29'), (18119400.0, '2013-08-08 06:37:24'), (60463723.0, '2020-02-29 09:33:32'), (64186240.0, '2020-10-03 16:06:01')]",2011-01-08 16:44:40,,0.5313888888888889,
26,4766474,2011-01-22 06:18:28,2579,0,0,2,4766530.0,"[(4766530.0, '2011-01-22 06:40:17'), (42150830.0, '2017-02-10 03:08:39')]",2011-01-22 06:40:17,2011-01-22 06:40:17,0.3636111111111111,0.3636111111111111
27,4858467,2011-02-01 03:06:57,8905,1,27,3,4860826.0,"[(4860826.0, '2011-02-01 09:23:25'), (4876291.0, '2011-02-02 15:28:40'), (11780678.0, '2012-08-02 15:18:33')]",2011-02-01 09:23:25,2011-02-01 09:23:25,6.274444444444445,6.274444444444445
28,4867197,2011-02-01 19:43:49,160462,1,153,15,,"[(10852888.0, '2012-06-01 15:12:26'), (14711518.0, '2013-02-05 15:54:57'), (27706667.0, '2014-12-30 13:50:10'), (29390095.0, '2015-04-01 11:53:38'), (31471008.0, '2015-07-17 08:00:46'), (39437771.0, '2016-09-11 15:36:28'), (42849699.0, '2017-03-17 05:15:41'), (44208380.0, '2017-05-26 18:50:32'), (48494192.0, '2018-01-29 04:00:13'), (50884916.0, '2018-06-16 04:21:04'), (56172934.0, '2019-05-16 16:27:53'), (56815275.0, '2019-06-29 05:28:07'), (57595232.0, '2019-08-21 15:45:45'), (61139866.0, '2020-04-10 12:04:15'), (62100463.0, '2020-05-30 09:26:53')]",2012-06-01 15:12:26,,11659.476944444445,
29,4915776,2011-02-06 20:08:12,1511,1,0,1,4917026.0,"[(4917026.0, '2011-02-06 23:49:19')]",2011-02-06 23:49:19,2011-02-06 23:49:19,3.685277777777778,3.685277777777778
30,4951751,2011-02-09 23:19:48,74056,0,83,4,4952238.0,"[(4952238.0, '2011-02-10 00:42:42'), (5113509.0, '2011-02-25 04:11:23'), (20922201.0, '2014-01-04 14:29:11'), (64299155.0, '2020-10-10 23:10:12')]",2011-02-10 00:42:42,2011-02-10 00:42:42,1.3816666666666666,1.3816666666666666
31,5074562,2011-02-22 05:54:50,14670,0,8,7,,"[(5074606.0, '2011-02-22 06:01:39'), (5074643.0, '2011-02-22 06:06:22'), (5074785.0, '2011-02-22 06:24:53'), (5074894.0, '2011-02-22 06:38:56'), (27581273.0, '2014-12-20 14:43:34'), (45804876.0, '2017-08-21 20:14:23'), (56423224.0, '2019-06-03 07:58:08')]",2011-02-22 06:01:39,,0.11361111111111111,
32,5087493,2011-02-23 05:55:54,5257,0,9,1,,"[(5087502.0, '2011-02-23 05:57:08')]",2011-02-23 05:57:08,,0.020555555555555556,
33,5088448,2011-02-23 08:18:15,1610,0,0,1,5097903.0,"[(5097903.0, '2011-02-23 22:16:01')]",2011-02-23 22:16:01,2011-02-23 22:16:01,13.962777777777777,13.962777777777777
