,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id,Duration_ans,Duration_acc_ans
0,2018-12-03 11:07:23,2018-12-03 11:07:23,"[(53592537, '2018-12-03 11:07:23')]",53588623,2018-12-03 06:35:18,5508,1,0,2,53592537.0,4.534722222222222,4.534722222222222
1,2019-04-19 14:04:51,2019-04-19 14:04:51,"[(55763110, '2019-04-19 14:04:51')]",55762581,2019-04-19 13:24:59,4454,1,0,2,55763110.0,0.6644444444444444,0.6644444444444444
2,,,[],63658604,2020-08-30 14:42:21,23,0,1,0,,,
3,2020-07-01 13:53:06,2020-07-01 13:53:06,"[(62680230, '2020-07-01 15:29:24'), (62678431, '2020-07-01 13:53:06')]",62677285,2020-07-01 12:52:23,108,2,0,0,62678431.0,1.0119444444444445,1.0119444444444445
4,2017-10-04 13:11:59,,"[(52350192, '2018-09-16 01:22:05'), (46565802, '2017-10-04 13:11:59'), (49472197, '2018-03-25 03:15:47')]",46509039,2017-10-01 03:50:18,4559,3,2,3,,81.36138888888888,
5,2019-02-16 18:40:22,,"[(54726401, '2019-02-16 18:40:22')]",54722814,2019-02-16 11:58:25,404,1,13,1,,6.699166666666667,
6,,,[],64618164,2020-10-31 03:39:09,42,0,2,0,,,
7,,,[],62379726,2020-06-15 00:33:23,225,0,2,0,,,
8,2020-05-12 08:49:50,2020-05-12 08:49:50,"[(61747498, '2020-05-12 08:49:50')]",61708729,2020-05-10 07:44:44,463,1,0,0,61747498.0,49.085,49.085
9,2019-12-16 23:26:45,,"[(59365634, '2019-12-16 23:26:45')]",53578605,2018-12-02 08:22:14,485,1,2,4,,9111.075277777778,
10,,,[],55060705,2019-03-08 09:55:57,221,0,0,2,,,
11,2018-12-24 18:10:52,2018-12-24 18:10:52,"[(53916567, '2018-12-24 18:10:52')]",53916510,2018-12-24 18:04:07,497,1,0,1,53916567.0,0.1125,0.1125
12,2020-03-02 09:19:44,2020-03-29 03:26:04,"[(60909819, '2020-03-29 03:26:04'), (60485719, '2020-03-02 09:19:44')]",60478862,2020-03-01 19:19:38,1085,2,0,1,60909819.0,14.001666666666667,656.1072222222223
13,,,[],58879512,2019-11-15 14:53:20,265,0,4,0,,,
14,,,[],62317756,2020-06-11 05:36:29,23,0,1,0,,,
15,,,[],60302123,2020-02-19 14:03:36,217,0,3,0,,,
16,2019-05-22 07:36:06,2019-05-22 07:36:06,"[(56251599, '2019-05-22 07:36:06')]",56251267,2019-05-22 07:16:23,3044,1,0,7,56251599.0,0.32861111111111113,0.32861111111111113
17,2018-10-16 23:23:34,2018-10-16 23:23:34,"[(52845257, '2018-10-16 23:23:34')]",52782864,2018-10-12 15:40:18,1665,1,1,0,52845257.0,103.72111111111111,103.72111111111111
18,2019-11-04 12:49:22,2019-11-04 12:49:22,"[(58693807, '2019-11-04 12:49:22')]",58688056,2019-11-04 06:10:37,630,1,0,0,58693807.0,6.645833333333333,6.645833333333333
19,2017-12-06 18:00:59,,"[(47680685, '2017-12-06 18:00:59')]",47594358,2017-12-01 13:20:26,8630,1,0,3,,124.67583333333333,
20,,,[],59209055,2019-12-06 07:55:34,40,0,0,0,,,
21,,,[],64914598,2020-11-19 15:17:27,957,0,2,1,,,
22,,,[],62466506,2020-06-19 08:41:04,495,0,1,0,,,
23,,,[],61289559,2020-04-18 13:03:40,31,0,4,0,,,
24,2020-06-16 07:59:12,2020-06-16 07:59:12,"[(62403717, '2020-06-16 07:59:12')]",62400718,2020-06-16 04:01:47,28,1,0,0,62403717.0,3.9569444444444444,3.9569444444444444
25,2020-06-09 14:43:41,,"[(62285265, '2020-06-09 14:43:41')]",61569612,2020-05-03 04:24:46,388,1,0,0,,898.3152777777777,
26,,,[],61501555,2020-04-29 12:13:46,48,0,0,0,,,
27,2019-11-05 10:53:28,2019-11-05 10:53:28,"[(58709822, '2019-11-05 10:53:28')]",58709494,2019-11-05 10:35:18,467,1,4,-1,58709822.0,0.30277777777777776,0.30277777777777776
28,2020-11-10 06:51:57,,"[(64764132, '2020-11-10 06:51:57')]",64670476,2020-11-03 20:52:06,61,1,12,-1,,153.9975,
29,2020-05-03 14:47:18,,"[(61576400, '2020-05-03 14:47:18')]",59684472,2020-01-10 15:20:22,290,1,1,0,,2735.448888888889,
30,2017-04-27 23:17:21,,"[(43669406, '2017-04-27 23:17:21')]",43662364,2017-04-27 15:45:38,897,1,0,0,,7.528611111111111,
31,,,[],60045550,2020-02-03 19:01:36,229,0,0,0,,,
32,2018-06-05 23:53:46,2018-06-05 23:53:46,"[(50710466, '2018-06-05 23:53:46'), (59842060, '2020-01-21 13:17:36')]",50663803,2018-06-03 06:22:30,551,2,0,1,50710466.0,65.52111111111111,65.52111111111111
33,,,[],57948024,2019-09-15 20:38:42,211,0,3,0,,,
34,2020-01-31 19:42:54,2020-01-31 19:42:54,"[(60010284, '2020-01-31 19:42:54')]",60009868,2020-01-31 19:05:49,50,1,0,0,60010284.0,0.6180555555555556,0.6180555555555556
35,2020-11-28 18:08:30,2020-11-28 18:08:30,"[(65052927, '2020-11-28 18:08:30')]",65023526,2020-11-26 14:01:21,52,1,6,-1,65052927.0,52.119166666666665,52.119166666666665
36,,,[],60095102,2020-02-06 12:31:10,330,0,1,0,,,
37,2019-07-05 11:13:33,,"[(56901974, '2019-07-05 11:13:33')]",56861681,2019-07-03 01:07:22,215,1,2,0,,58.10305555555556,
38,2020-10-29 20:10:47,2020-10-29 20:10:47,"[(64598561, '2020-10-29 20:10:47')]",64589649,2020-10-29 10:52:18,37,1,7,0,64598561.0,9.308055555555555,9.308055555555555
39,2020-04-03 20:03:38,2020-04-03 20:03:38,"[(61019599, '2020-04-03 20:03:38')]",61019485,2020-04-03 19:54:41,379,1,0,0,61019599.0,0.14916666666666667,0.14916666666666667
40,2020-10-16 14:02:13,,"[(64390722, '2020-10-16 14:02:13')]",64335975,2020-10-13 13:09:43,55,1,3,0,,72.875,
41,2019-07-08 07:41:22,2019-07-08 07:41:22,"[(56930366, '2019-07-08 07:41:22')]",56926882,2019-07-07 23:28:56,274,1,2,-1,56930366.0,8.207222222222223,8.207222222222223
