,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,,32714825,2015-09-22 10:44:13,2079,0,12,6,
1,,,,51232624,2018-07-08 13:47:43,652,1,0,0,51232979.0
2,,,,49729510,2018-04-09 09:19:08,492,1,0,2,49729605.0
3,,,,37260902,2016-05-16 18:36:08,7846,3,2,14,
4,,,,63857130,2020-09-12 05:26:56,60,0,0,0,
5,,,,58622226,2019-10-30 09:30:04,543,1,2,0,
6,,,,33574807,2015-11-06 20:02:43,13254,2,0,17,33579202.0
7,,,,40366588,2016-11-01 18:45:06,2824,1,7,11,
8,,,,54776007,2019-02-19 22:36:58,384,1,2,1,54776264.0
9,,,,53632689,2018-12-05 12:46:41,461,1,0,0,53636176.0
10,,,,60071681,2020-02-05 08:25:04,114,0,0,1,
11,,,,46257819,2017-09-16 19:42:56,1592,1,0,2,46257990.0
12,,,,54219826,2019-01-16 15:00:02,30,0,4,0,
13,,,,53740026,2018-12-12 09:37:11,172,1,0,0,
14,,,,48917438,2018-02-21 23:50:51,827,1,0,2,48936379.0
15,,,,33912626,2015-11-25 09:20:33,920,1,2,4,34642875.0
