,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,33619190,2015-11-09 22:08:03,7807,3,5,1,33636869.0,"[(33636869.0, '2015-11-10 18:20:30')]",2015-11-10 18:20:30,2015-11-10 18:20:30,20.2075,20.2075
1,33622019,2015-11-10 02:45:29,10186,2,11,4,,"[(33622507.0, '2015-11-10 03:43:36'), (33625805.0, '2015-11-10 08:37:36'), (33636999.0, '2015-11-10 18:28:34'), (33641112.0, '2015-11-10 22:46:52')]",2015-11-10 03:43:36,,0.9686111111111111,
2,33624048,2015-11-10 06:17:43,5578,0,14,2,33624832.0,"[(33624715.0, '2015-11-10 07:17:56'), (33624832.0, '2015-11-10 07:28:34')]",2015-11-10 07:17:56,2015-11-10 07:28:34,1.003611111111111,1.1808333333333334
3,33644635,2015-11-11 05:12:37,3848,3,4,2,,"[(33685174.0, '2015-11-13 02:53:06'), (38107323.0, '2016-06-29 18:20:25')]",2015-11-13 02:53:06,,45.67472222222222,
4,33656551,2015-11-11 17:42:12,23566,5,12,4,33691154.0,"[(33659659.0, '2015-11-11 20:56:01'), (33663662.0, '2015-11-12 02:59:34'), (33691154.0, '2015-11-13 10:56:52'), (33805088.0, '2015-11-19 13:19:21')]",2015-11-11 20:56:01,2015-11-13 10:56:52,3.230277777777778,41.24444444444445
5,33671372,2015-11-12 12:26:02,9292,3,6,1,33675465.0,"[(33675465.0, '2015-11-12 15:44:47')]",2015-11-12 15:44:47,2015-11-12 15:44:47,3.3125,3.3125
6,33686607,2015-11-13 05:40:45,3009,0,1,2,,"[(33686917.0, '2015-11-13 06:13:03'), (33686929.0, '2015-11-13 06:14:19')]",2015-11-13 06:13:03,,0.5383333333333333,
7,33730259,2015-11-16 07:24:37,3129,0,3,2,33856549.0,"[(33856549.0, '2015-11-22 15:32:07'), (34122049.0, '2015-12-06 20:04:34')]",2015-11-22 15:32:07,2015-11-22 15:32:07,152.125,152.125
8,33731875,2015-11-16 09:18:43,3759,0,2,3,42618440.0,"[(33741079.0, '2015-11-16 17:22:09'), (42618440.0, '2017-03-06 05:51:55'), (47495810.0, '2017-11-26 11:48:00')]",2015-11-16 17:22:09,2017-03-06 05:51:55,8.057222222222222,11420.553333333333
9,33762831,2015-11-17 17:01:45,6693,1,14,2,33764034.0,"[(33763850.0, '2015-11-17 17:58:00'), (33764034.0, '2015-11-17 18:08:27')]",2015-11-17 17:58:00,2015-11-17 18:08:27,0.9375,1.1116666666666666
10,33772819,2015-11-18 05:59:47,2222,5,0,2,,"[(33794161.0, '2015-11-19 02:22:49'), (41002102.0, '2016-12-06 18:12:57')]",2015-11-19 02:22:49,,20.38388888888889,
11,33785936,2015-11-18 16:57:38,18373,0,25,2,33786141.0,"[(33786141.0, '2015-11-18 17:09:08'), (48031624.0, '2017-12-30 06:33:50')]",2015-11-18 17:09:08,2015-11-18 17:09:08,0.19166666666666668,0.19166666666666668
12,33808368,2015-11-19 15:45:29,7618,0,9,2,33810040.0,"[(33810040.0, '2015-11-19 17:02:29'), (33810130.0, '2015-11-19 17:06:39')]",2015-11-19 17:02:29,2015-11-19 17:02:29,1.2833333333333334,1.2833333333333334
13,33810990,2015-11-19 17:52:30,32358,0,21,1,33812296.0,"[(33812296.0, '2015-11-19 19:03:16')]",2015-11-19 19:03:16,2015-11-19 19:03:16,1.1794444444444445,1.1794444444444445
14,33868433,2015-11-23 10:14:44,679,0,1,1,33873885.0,"[(33873885.0, '2015-11-23 14:48:52')]",2015-11-23 14:48:52,2015-11-23 14:48:52,4.568888888888889,4.568888888888889
15,33889366,2015-11-24 09:04:16,3223,1,7,1,33901141.0,"[(33901141.0, '2015-11-24 18:27:52')]",2015-11-24 18:27:52,2015-11-24 18:27:52,9.393333333333333,9.393333333333333
16,33977273,2015-11-28 22:41:30,7891,2,4,2,,"[(42198267.0, '2017-02-13 06:59:09'), (56139057.0, '2019-05-14 21:46:06')]",2017-02-13 06:59:09,,10616.294166666667,
17,33980109,2015-11-29 06:34:01,1671,0,3,1,33993325.0,"[(33993325.0, '2015-11-30 07:20:25')]",2015-11-30 07:20:25,2015-11-30 07:20:25,24.773333333333333,24.773333333333333
