,First_ans_time,First_acc_ans_time,Answers,Q_id,Q_create_time,View_count,Answer_count,Comment_count,Score,Accepted_Answer_id
0,,,,51839415,2018-08-14 10:35:10,383,1,5,0,
1,,,,59632120,2020-01-07 16:13:19,654,1,0,1,
2,,,,64347099,2020-10-14 05:23:03,47,0,4,0,
3,,,,38996464,2016-08-17 12:18:26,343,1,0,0,38996589.0
4,,,,65145865,2020-12-04 15:01:56,25,0,3,-1,
5,,,,55762581,2019-04-19 13:24:59,4454,1,0,2,55763110.0
6,,,,55093539,2019-03-10 23:41:31,410,1,2,1,
7,,,,64639175,2020-11-02 02:42:25,38,0,2,0,
8,,,,56918388,2019-07-06 23:42:32,9423,2,4,6,56918559.0
9,,,,55472095,2019-04-02 10:06:59,782,1,0,2,
10,,,,59985154,2020-01-30 11:36:03,372,2,0,0,
11,,,,57152157,2019-07-22 18:54:45,77,0,0,1,
12,,,,59360678,2019-12-16 16:32:46,96,0,2,0,
13,,,,60826779,2020-03-24 07:45:20,1411,1,0,1,60869999.0
14,,,,62859365,2020-07-12 09:31:22,108,0,2,0,
15,,,,54373780,2019-01-25 22:44:29,330,1,1,2,54375699.0
16,,,,63515917,2020-08-21 03:03:53,326,1,0,3,
17,,,,53413756,2018-11-21 14:00:41,1269,1,0,1,
18,,,,61986459,2020-05-24 13:09:20,18,0,0,0,
19,,,,45661178,2017-08-13 14:02:54,629,1,0,1,45661565.0
20,,,,42398672,2017-02-22 17:43:05,2490,3,0,4,
21,,,,54627554,2019-02-11 09:38:12,136,1,0,1,54628702.0
22,,,,58639588,2019-10-31 08:45:47,236,1,0,2,59318193.0
23,,,,51674213,2018-08-03 13:53:13,320,1,2,3,
24,,,,57706942,2019-08-29 09:17:32,39,1,0,0,57707430.0
25,,,,55077129,2019-03-09 12:00:59,1377,1,2,0,
26,,,,48428415,2018-01-24 17:30:16,63941,11,5,39,48429585.0
27,,,,59555168,2020-01-01 18:45:29,171,1,2,4,59568500.0
28,,,,61838265,2020-05-16 14:21:24,39,0,0,0,
29,,,,51941092,2018-08-21 03:15:47,139,1,0,0,51942256.0
30,,,,54945641,2019-03-01 13:27:02,238,1,2,-1,54946310.0
31,,,,61286412,2020-04-18 08:45:08,148,0,0,0,
32,,,,61960251,2020-05-22 17:04:01,114,0,2,0,
33,,,,63731349,2020-09-03 20:40:51,113,1,0,1,63738426.0
34,,,,61679757,2020-05-08 12:59:22,44,0,0,0,
35,,,,56707063,2019-06-21 16:11:59,216,0,1,1,
36,,,,61551592,2020-05-01 22:11:45,206,1,3,1,
37,,,,50329855,2018-05-14 12:04:15,3531,1,3,5,50337385.0
38,,,,54636921,2019-02-11 18:30:55,70,0,0,1,
39,,,,60897336,2020-03-28 04:43:52,153,0,0,0,
40,,,,51939618,2018-08-20 23:13:08,713,1,0,2,51942395.0
41,,,,61456686,2020-04-27 10:24:08,104,1,0,1,
42,,,,63278199,2020-08-06 06:46:47,40,1,0,0,63278310.0
43,,,,60048397,2020-02-03 23:07:27,3916,1,2,2,60066750.0
44,,,,55166024,2019-03-14 15:12:45,629,0,2,0,
45,,,,40755024,2016-11-23 02:27:16,466,1,0,0,40755585.0
46,,,,56663388,2019-06-19 08:35:10,2891,5,0,3,
47,,,,61102362,2020-04-08 13:52:19,57,1,0,0,61106828.0
48,,,,60880868,2020-03-27 06:18:39,23,0,5,0,
49,,,,44801494,2017-06-28 11:45:24,1554,0,0,3,
50,,,,61556914,2020-05-02 09:06:34,740,1,0,1,
51,,,,36479335,2016-04-07 14:32:12,535,0,3,0,
52,,,,57169454,2019-07-23 17:34:00,984,2,0,0,
53,,,,59074105,2019-11-27 16:00:27,182,1,0,2,59074802.0
54,,,,61773514,2020-05-13 11:33:53,24,0,0,0,
55,,,,63613281,2020-08-27 09:42:27,88,1,0,1,63616456.0
56,,,,54022742,2019-01-03 12:55:34,632,1,5,2,54023447.0
57,,,,57448488,2019-08-11 08:29:18,960,1,0,1,57449805.0
58,,,,48483612,2018-01-28 05:55:29,416,0,9,3,
59,,,,64860866,2020-11-16 15:31:10,32,0,4,0,
60,,,,43332638,2017-04-10 20:47:54,61,0,0,1,
61,,,,45873424,2017-08-25 02:11:27,115,1,0,0,45876950.0
62,,,,51023829,2018-06-25 12:45:57,1202,2,0,1,51024474.0
63,,,,61753091,2020-05-12 13:34:10,56,2,6,0,
64,,,,64618164,2020-10-31 03:39:09,42,0,2,0,
65,,,,44006283,2017-05-16 15:59:23,1091,1,0,1,
66,,,,60268647,2020-02-17 18:43:06,330,1,0,2,
67,,,,62855617,2020-07-11 23:29:01,761,1,0,3,
68,,,,48316020,2018-01-18 07:38:57,624,1,0,0,
69,,,,56445615,2019-06-04 14:07:13,1452,2,2,2,56475898.0
70,,,,63947374,2020-09-17 23:32:34,76,0,0,0,
71,,,,62787056,2020-07-08 03:24:14,1836,2,0,1,
72,,,,50694066,2018-06-05 07:06:58,214,1,5,0,
73,,,,54864675,2019-02-25 10:59:36,1536,0,0,1,
74,,,,42327891,2017-02-19 13:38:13,359,0,2,0,
75,,,,56721498,2019-06-23 06:16:08,2393,1,0,2,56722207.0
76,,,,55077982,2019-03-09 13:46:40,135,1,0,0,
77,,,,44297731,2017-06-01 02:52:23,683,1,0,1,
78,,,,60494789,2020-03-02 18:40:51,246,1,1,0,60494928.0
79,,,,51625911,2018-08-01 05:32:37,213,1,0,0,51628287.0
80,,,,60615290,2020-03-10 10:02:54,41,1,0,2,
81,,,,61640966,2020-05-06 17:04:50,115,1,0,0,61688505.0
82,,,,55435899,2019-03-30 21:43:05,516,0,4,1,
83,,,,63509763,2020-08-20 16:51:20,82,1,0,0,63511638.0
84,,,,63956135,2020-09-18 12:50:33,49,0,2,1,
85,,,,60229227,2020-02-14 15:31:07,137,0,0,0,
86,,,,44299638,2017-06-01 06:05:13,7916,1,1,5,44306512.0
87,,,,60436527,2020-02-27 15:24:24,136,1,5,0,
88,,,,64668956,2020-11-03 19:01:12,34,0,0,0,
89,,,,58575586,2019-10-26 23:50:39,4270,2,2,1,
90,,,,54700736,2019-02-14 23:37:56,96,1,2,0,54700968.0
91,,,,50349213,2018-05-15 11:36:19,4334,1,0,1,50350344.0
92,,,,63554912,2020-08-24 04:52:49,61,2,0,2,63557818.0
93,,,,57681345,2019-08-27 19:48:05,35,1,0,1,57681520.0
94,,,,64022719,2020-09-23 07:05:06,40,0,1,1,
95,,,,42381537,2017-02-22 02:20:37,168,1,2,1,
96,,,,59667300,2020-01-09 15:30:32,422,0,5,0,
97,,,,65003896,2020-11-25 11:36:25,16,0,0,0,
98,,,,54184517,2019-01-14 15:35:06,62,1,0,0,54187583.0
99,,,,48231593,2018-01-12 17:51:06,1873,0,7,1,
100,,,,48315934,2018-01-18 07:33:45,122,0,2,0,
101,,,,44736360,2017-06-24 12:26:49,379,2,2,1,44738793.0
102,,,,55258859,2019-03-20 10:43:41,1029,2,2,3,55261401.0
103,,,,57748812,2019-09-01 19:20:18,2533,1,0,11,
104,,,,58501086,2019-10-22 09:25:59,1897,2,0,3,58501198.0
105,,,,58993596,2019-11-22 11:43:16,689,1,0,0,
106,,,,64743941,2020-11-08 23:05:12,13,0,0,0,
107,,,,44894883,2017-07-03 23:13:16,2610,1,0,0,44895156.0
108,,,,56664751,2019-06-19 09:46:05,49,1,0,0,56665045.0
109,,,,63217804,2020-08-02 15:27:06,27,1,0,1,64453249.0
110,,,,62294271,2020-06-10 01:06:31,58,0,0,0,
111,,,,59843037,2020-01-21 14:16:07,10786,1,8,4,
112,,,,62454676,2020-06-18 16:21:30,94,1,4,0,62484824.0
113,,,,45747928,2017-08-18 03:13:42,557,0,1,1,
114,,,,59461550,2019-12-23 21:36:04,218,0,2,0,
115,,,,60490084,2020-03-02 13:41:43,59,0,6,1,
116,,,,58150403,2019-09-28 21:21:52,365,1,3,1,58150665.0
117,,,,37048090,2016-05-05 10:22:56,566,0,2,1,
118,,,,59394902,2019-12-18 15:09:59,351,2,3,1,59408155.0
119,,,,51631447,2018-08-01 10:51:17,74,0,3,0,
120,,,,61121937,2020-04-09 13:09:36,73,1,4,0,61122008.0
121,,,,56257216,2019-05-22 12:50:20,2035,2,1,1,
122,,,,47323828,2017-11-16 07:23:24,1055,2,0,2,
123,,,,58905540,2019-11-17 21:49:23,563,0,9,0,
124,,,,54805110,2019-02-21 10:41:30,245,0,2,1,
125,,,,50831434,2018-06-13 07:29:16,597,1,0,0,
126,,,,51152579,2018-07-03 10:43:48,172,1,0,2,51152923.0
127,,,,49305971,2018-03-15 17:42:13,205,1,0,0,
128,,,,50295442,2018-05-11 15:18:58,457,0,3,1,
129,,,,64371884,2020-10-15 12:44:38,94,1,4,-2,
130,,,,53147241,2018-11-05 01:37:22,139,1,2,0,53149891.0
131,,,,49476287,2018-03-25 13:17:42,2202,1,1,1,52403624.0
132,,,,56687174,2019-06-20 13:33:44,664,1,0,0,56687547.0
133,,,,35953210,2016-03-12 02:55:21,89439,11,0,67,35963479.0
134,,,,51087747,2018-06-28 16:35:30,1436,2,0,1,51087850.0
135,,,,53079108,2018-10-31 08:26:06,2586,3,0,1,
136,,,,41389387,2016-12-30 01:17:37,885,1,0,0,41418934.0
137,,,,62143530,2020-06-02 01:45:08,94,1,2,0,63107455.0
138,,,,62179971,2020-06-03 18:19:36,130,1,0,0,
139,,,,61656071,2020-05-07 10:57:11,161,0,3,1,
140,,,,41116270,2016-12-13 08:09:11,13607,2,2,14,
141,,,,39295136,2016-09-02 14:44:00,2204,1,0,5,39295309.0
142,,,,51936464,2018-08-20 18:17:45,101,0,0,1,
143,,,,47342241,2017-11-17 02:11:24,420,0,7,1,
144,,,,59656096,2020-01-09 01:41:04,497,1,3,4,59684161.0
145,,,,56779949,2019-06-26 19:39:23,601,1,0,3,56841250.0
146,,,,58595506,2019-10-28 17:16:05,309,2,0,0,
147,,,,62813601,2020-07-09 11:14:56,35,0,2,1,
148,,,,58499146,2019-10-22 07:31:02,1435,1,7,5,
149,,,,60349042,2020-02-22 04:27:46,363,1,0,0,60350887.0
150,,,,49538940,2018-03-28 15:48:57,3540,1,1,3,49540045.0
151,,,,61815908,2020-05-15 09:21:21,37,0,0,0,
152,,,,63916017,2020-09-16 08:24:28,36,1,0,0,63916582.0
153,,,,55353580,2019-03-26 09:22:30,97,1,2,0,
154,,,,53501315,2018-11-27 13:55:33,245,1,0,1,
155,,,,65151225,2020-12-04 21:50:48,34,3,0,0,
156,,,,64618682,2020-10-31 05:23:24,21,0,2,0,
157,,,,59873568,2020-01-23 07:37:08,1996,2,10,0,
158,,,,63621251,2020-08-27 17:24:55,54,1,6,0,63623233.0
159,,,,58163571,2019-09-30 07:48:24,251,1,0,1,58163829.0
160,,,,48513337,2018-01-30 03:15:11,141,1,7,0,
161,,,,59621796,2020-01-07 03:26:44,26,0,1,0,
162,,,,42498876,2017-02-28 02:04:12,7863,1,0,4,42504176.0
163,,,,59417433,2019-12-19 22:02:58,825,1,6,1,
164,,,,60750035,2020-03-19 02:16:55,23,0,3,0,
165,,,,63492668,2020-08-19 18:08:22,47,0,0,0,
166,,,,40651509,2016-11-17 09:47:15,103,1,0,1,40651982.0
167,,,,61426257,2020-04-25 13:18:29,18,0,0,0,
168,,,,62071283,2020-05-28 17:51:13,47,1,1,0,62072336.0
169,,,,40372026,2016-11-02 03:29:06,819,1,0,0,40372074.0
170,,,,52957339,2018-10-23 20:25:38,617,1,0,2,
171,,,,64076856,2020-09-26 10:59:54,96,1,0,1,
172,,,,53626504,2018-12-05 06:37:48,519,1,0,4,53630278.0
173,,,,58529504,2019-10-23 19:04:58,2169,2,0,1,58756089.0
174,,,,47652345,2017-12-05 11:19:00,247,1,2,0,
175,,,,59765784,2020-01-16 08:42:57,4795,4,0,4,60204981.0
176,,,,62348406,2020-06-12 16:23:13,26,0,0,0,
177,,,,62494412,2020-06-21 04:32:54,1915,2,2,5,
178,,,,51120303,2018-07-01 04:02:41,1291,1,4,0,
179,,,,54994533,2019-03-05 02:25:20,1395,0,4,5,
180,,,,53496095,2018-11-27 09:08:03,7311,2,0,9,53496805.0
181,,,,60202936,2020-02-13 07:56:58,33,0,0,0,
182,,,,63296412,2020-08-07 06:30:39,97,0,2,0,
183,,,,60691155,2020-03-15 08:50:46,29,1,0,0,
184,,,,59276713,2019-12-10 23:15:39,233,1,2,0,
185,,,,63368781,2020-08-12 02:14:23,127,0,5,0,
186,,,,57625960,2019-08-23 12:01:38,535,0,3,0,
187,,,,60550005,2020-03-05 16:29:56,32,1,0,1,60550075.0
188,,,,42104577,2017-02-08 04:13:17,422,1,2,0,
189,,,,59358813,2019-12-16 14:38:23,363,2,2,1,
190,,,,46344583,2017-09-21 12:58:30,185,0,1,1,
191,,,,57561966,2019-08-19 18:12:15,1887,0,3,0,
192,,,,48208724,2018-01-11 13:55:18,50,0,2,0,
193,,,,59398598,2019-12-18 19:05:55,53,1,3,1,59399016.0
