,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,297112,2008-11-17 22:03:25,9532,0,9,4,297175.0,"[(297137.0, '2008-11-17 22:10:08'), (297155.0, '2008-11-17 22:13:29'), (297175.0, '2008-11-17 22:18:46'), (297520.0, '2008-11-18 00:58:43')]",2008-11-17 22:10:08,2008-11-17 22:18:46,0.11194444444444444,0.25583333333333336
1,526469,2009-02-08 21:41:13,50256,0,78,3,,"[(526485.0, '2009-02-08 21:50:53'), (1249895.0, '2009-08-08 21:03:17'), (7734737.0, '2011-10-12 02:52:44')]",2009-02-08 21:50:53,,0.16111111111111112,
2,818691,2009-05-04 03:26:39,2941,2,2,4,818737.0,"[(818737.0, '2009-05-04 04:01:02'), (818740.0, '2009-05-04 04:01:59'), (818748.0, '2009-05-04 04:06:50'), (1155326.0, '2009-07-20 19:08:32')]",2009-05-04 04:01:02,2009-05-04 04:01:02,0.5730555555555555,0.5730555555555555
3,1687510,2009-11-06 13:10:20,4410,0,9,2,1687712.0,"[(1687712.0, '2009-11-06 13:49:24'), (1691962.0, '2009-11-07 04:10:05')]",2009-11-06 13:49:24,2009-11-06 13:49:24,0.6511111111111111,0.6511111111111111
4,1787110,2009-11-24 00:48:12,83671,4,140,9,1787121.0,"[(1787121.0, '2009-11-24 00:52:12'), (1787129.0, '2009-11-24 00:54:19'), (1787709.0, '2009-11-24 04:07:19'), (5605064.0, '2011-04-09 12:37:16'), (31247216.0, '2015-07-06 13:31:36'), (33300859.0, '2015-10-23 11:07:24'), (33704691.0, '2015-11-14 03:05:05'), (59752867.0, '2020-01-15 13:54:02'), (61876510.0, '2020-05-18 18:30:55')]",2009-11-24 00:52:12,2009-11-24 00:52:12,0.06666666666666667,0.06666666666666667
5,1787755,2009-11-24 04:21:28,6314,0,8,3,1788172.0,"[(1787793.0, '2009-11-24 04:32:18'), (1787804.0, '2009-11-24 04:34:10'), (1788172.0, '2009-11-24 06:18:45')]",2009-11-24 04:32:18,2009-11-24 06:18:45,0.18055555555555555,1.9547222222222222
6,1795410,2009-11-25 08:17:32,7806,0,10,1,1900596.0,"[(1900596.0, '2009-12-14 12:15:51')]",2009-12-14 12:15:51,2009-12-14 12:15:51,459.97194444444443,459.97194444444443
7,2168793,2010-01-30 17:48:45,6378,0,4,3,,"[(2168862.0, '2010-01-30 18:13:27'), (2226080.0, '2010-02-09 01:12:42'), (2355858.0, '2010-03-01 12:53:18')]",2010-01-30 18:13:27,,0.4116666666666667,
8,2290375,2010-02-18 16:46:36,1918,1,0,2,2290400.0,"[(2290400.0, '2010-02-18 16:48:49'), (2298117.0, '2010-02-19 16:58:09')]",2010-02-18 16:48:49,2010-02-18 16:48:49,0.036944444444444446,0.036944444444444446
9,2472313,2010-03-18 18:14:47,174,1,-6,1,,"[(2472327.0, '2010-03-18 18:16:27')]",2010-03-18 18:16:27,,0.027777777777777776,
10,2539782,2010-03-29 17:04:00,1562,0,1,1,2540925.0,"[(2540925.0, '2010-03-29 20:12:27')]",2010-03-29 20:12:27,2010-03-29 20:12:27,3.140833333333333,3.140833333333333
11,2568963,2010-04-02 20:19:51,483,0,2,1,2570311.0,"[(2570311.0, '2010-04-03 05:13:41')]",2010-04-03 05:13:41,2010-04-03 05:13:41,8.897222222222222,8.897222222222222
12,2572301,2010-04-03 18:53:14,28569,2,14,4,2574727.0,"[(2574727.0, '2010-04-04 14:35:20'), (2574775.0, '2010-04-04 14:48:08'), (3910175.0, '2010-10-11 21:43:46'), (21691055.0, '2014-02-11 01:01:16')]",2010-04-04 14:35:20,2010-04-04 14:35:20,19.701666666666668,19.701666666666668
