,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,32556178,2015-09-14 01:29:26,14160,0,12,1,32557330.0,"[(32557330.0, '2015-09-14 04:29:34')]",2015-09-14 04:29:34,2015-09-14 04:29:34,3.002222222222222,3.002222222222222
1,32606294,2015-09-16 10:39:53,14816,0,23,1,32607349.0,"[(32607349.0, '2015-09-16 11:29:30')]",2015-09-16 11:29:30,2015-09-16 11:29:30,0.8269444444444445,0.8269444444444445
2,32982425,2015-10-07 01:40:58,22694,0,26,1,32984795.0,"[(32984795.0, '2015-10-07 05:59:07')]",2015-10-07 05:59:07,2015-10-07 05:59:07,4.3025,4.3025
3,33574807,2015-11-06 20:02:43,13254,0,17,2,33579202.0,"[(33579202.0, '2015-11-07 04:41:48'), (33583048.0, '2015-11-07 13:01:04')]",2015-11-07 04:41:48,2015-11-07 04:41:48,8.651388888888889,8.651388888888889
4,33636944,2015-11-10 18:24:52,5647,0,15,1,33903867.0,"[(33903867.0, '2015-11-24 21:10:19')]",2015-11-24 21:10:19,2015-11-24 21:10:19,338.7575,338.7575
5,33723099,2015-11-15 18:07:09,1289,0,5,1,,"[(33724798.0, '2015-11-15 20:42:11')]",2015-11-15 20:42:11,,2.5838888888888887,
6,33912626,2015-11-25 09:20:33,920,2,4,1,34642875.0,"[(34642875.0, '2016-01-06 21:14:13')]",2016-01-06 21:14:13,2016-01-06 21:14:13,1019.8944444444444,1019.8944444444444
7,35174749,2016-02-03 10:40:00,1871,0,0,1,35175314.0,"[(35175314.0, '2016-02-03 11:06:04')]",2016-02-03 11:06:04,2016-02-03 11:06:04,0.43444444444444447,0.43444444444444447
8,35253990,2016-02-07 13:20:34,2571,2,3,1,35255523.0,"[(35255523.0, '2016-02-07 15:46:50')]",2016-02-07 15:46:50,2016-02-07 15:46:50,2.437777777777778,2.437777777777778
9,35804755,2016-03-04 19:42:43,11829,0,8,2,35807949.0,"[(35807949.0, '2016-03-04 23:29:28'), (42373329.0, '2017-02-21 16:52:19')]",2016-03-04 23:29:28,2016-03-04 23:29:28,3.779166666666667,3.779166666666667
10,35882446,2016-03-09 03:40:53,9068,0,5,1,35884924.0,"[(35884924.0, '2016-03-09 06:55:20')]",2016-03-09 06:55:20,2016-03-09 06:55:20,3.2408333333333332,3.2408333333333332
11,36404894,2016-04-04 14:04:19,1419,0,0,2,36407932.0,"[(36407932.0, '2016-04-04 16:22:35'), (37758090.0, '2016-06-10 22:40:36')]",2016-04-04 16:22:35,2016-04-04 16:22:35,2.3044444444444445,2.3044444444444445
12,36650561,2016-04-15 14:58:35,1815,0,5,1,,"[(36651147.0, '2016-04-15 15:25:43')]",2016-04-15 15:25:43,,0.45222222222222225,
13,36707344,2016-04-19 02:12:33,2274,0,6,1,36707553.0,"[(36707553.0, '2016-04-19 02:39:11')]",2016-04-19 02:39:11,2016-04-19 02:39:11,0.4438888888888889,0.4438888888888889
14,37260902,2016-05-16 18:36:08,7846,2,14,3,,"[(37262463.0, '2016-05-16 20:11:25'), (41162688.0, '2016-12-15 11:09:10'), (63181936.0, '2020-07-30 21:56:10')]",2016-05-16 20:11:25,,1.5880555555555556,
15,37270446,2016-05-17 08:04:22,6774,0,16,1,,"[(37279526.0, '2016-05-17 14:51:15')]",2016-05-17 14:51:15,,6.7813888888888885,
16,37278999,2016-05-17 14:27:38,5503,0,1,2,,"[(37279855.0, '2016-05-17 15:05:07'), (43684787.0, '2017-04-28 16:21:04')]",2016-05-17 15:05:07,,0.6247222222222222,
17,37473380,2016-05-27 01:25:34,3346,0,4,2,37480283.0,"[(37480283.0, '2016-05-27 09:50:26'), (37548419.0, '2016-05-31 14:25:33')]",2016-05-27 09:50:26,2016-05-27 09:50:26,8.414444444444445,8.414444444444445
18,37574833,2016-06-01 17:05:44,1638,0,1,1,37575054.0,"[(37575054.0, '2016-06-01 17:18:04')]",2016-06-01 17:18:04,2016-06-01 17:18:04,0.20555555555555555,0.20555555555555555
19,37823992,2016-06-14 23:52:46,620,0,3,2,37932340.0,"[(37932340.0, '2016-06-20 21:48:49'), (54109557.0, '2019-01-09 11:54:19')]",2016-06-20 21:48:49,2016-06-20 21:48:49,141.93416666666667,141.93416666666667
20,38384347,2016-07-14 21:12:04,27736,3,45,5,38385033.0,"[(38385033.0, '2016-07-14 22:09:24'), (55871614.0, '2019-04-26 16:26:17'), (58736226.0, '2019-11-06 18:13:55'), (63038556.0, '2020-07-22 16:07:41'), (63038648.0, '2020-07-22 16:12:47')]",2016-07-14 22:09:24,2016-07-14 22:09:24,0.9555555555555556,0.9555555555555556
21,38664620,2016-07-29 17:42:06,3217,0,8,2,38664792.0,"[(38664792.0, '2016-07-29 17:54:06'), (52735101.0, '2018-10-10 07:43:02')]",2016-07-29 17:54:06,2016-07-29 17:54:06,0.2,0.2
22,38697066,2016-08-01 10:56:57,2784,4,3,1,38699366.0,"[(38699366.0, '2016-08-01 12:49:27')]",2016-08-01 12:49:27,2016-08-01 12:49:27,1.875,1.875
23,38726333,2016-08-02 16:52:17,489,0,1,1,38726749.0,"[(38726749.0, '2016-08-02 17:17:16')]",2016-08-02 17:17:16,2016-08-02 17:17:16,0.41638888888888886,0.41638888888888886
24,38751536,2016-08-03 18:52:59,3639,0,6,1,,"[(38752234.0, '2016-08-03 19:35:58')]",2016-08-03 19:35:58,,0.7163888888888889,
25,39022052,2016-08-18 15:26:21,2327,0,7,4,,"[(43961851.0, '2017-05-14 08:23:26'), (49115989.0, '2018-03-05 17:16:32'), (56219339.0, '2019-05-20 10:47:18'), (56895105.0, '2019-07-04 23:37:20')]",2017-05-14 08:23:26,,6448.951388888889,
26,39025707,2016-08-18 19:02:22,6756,0,14,1,,"[(39026265.0, '2016-08-18 19:38:48')]",2016-08-18 19:38:48,,0.6072222222222222,
27,39529012,2016-09-16 10:18:00,6586,0,6,2,39531097.0,"[(39531097.0, '2016-09-16 12:06:27'), (41488798.0, '2017-01-05 15:31:41')]",2016-09-16 12:06:27,2016-09-16 12:06:27,1.8075,1.8075
28,39541568,2016-09-17 00:00:30,1293,0,0,1,39548128.0,"[(39548128.0, '2016-09-17 14:48:38')]",2016-09-17 14:48:38,2016-09-17 14:48:38,14.802222222222222,14.802222222222222
29,39641770,2016-09-22 14:25:10,2328,2,-1,2,,"[(39646290.0, '2016-09-22 18:23:39'), (39646961.0, '2016-09-22 19:01:20')]",2016-09-22 18:23:39,,3.9747222222222223,
30,40366588,2016-11-01 18:45:06,2824,7,11,1,,"[(61839136.0, '2020-05-16 15:25:28')]",2020-05-16 15:25:28,,31004.672777777778,
31,40659109,2016-11-17 15:42:11,1688,0,4,1,40659180.0,"[(40659180.0, '2016-11-17 15:45:02')]",2016-11-17 15:45:02,2016-11-17 15:45:02,0.0475,0.0475
32,41374498,2016-12-29 06:46:45,2053,0,3,1,41375366.0,"[(41375366.0, '2016-12-29 07:52:30')]",2016-12-29 07:52:30,2016-12-29 07:52:30,1.0958333333333334,1.0958333333333334
33,41863428,2017-01-25 23:14:56,923,0,0,1,41863587.0,"[(41863587.0, '2017-01-25 23:28:58')]",2017-01-25 23:28:58,2017-01-25 23:28:58,0.2338888888888889,0.2338888888888889
34,42138482,2017-02-09 13:49:50,27356,1,65,2,42591686.0,"[(42591686.0, '2017-03-04 03:19:54'), (48333361.0, '2018-01-19 02:39:13')]",2017-03-04 03:19:54,2017-03-04 03:19:54,541.5011111111111,541.5011111111111
35,42301111,2017-02-17 15:04:33,1993,0,3,2,42301705.0,"[(42301705.0, '2017-02-17 15:32:09'), (54679951.0, '2019-02-13 21:46:26')]",2017-02-17 15:32:09,2017-02-17 15:32:09,0.46,0.46
36,43929708,2017-05-12 05:10:08,386,0,0,1,43931068.0,"[(43931068.0, '2017-05-12 06:48:29')]",2017-05-12 06:48:29,2017-05-12 06:48:29,1.6391666666666667,1.6391666666666667
37,44325555,2017-06-02 09:35:01,578,0,3,1,44326172.0,"[(44326172.0, '2017-06-02 10:02:30')]",2017-06-02 10:02:30,2017-06-02 10:02:30,0.45805555555555555,0.45805555555555555
38,44425159,2017-06-08 01:17:35,17479,0,26,1,,"[(44505571.0, '2017-06-12 17:38:52')]",2017-06-12 17:38:52,,112.35472222222222,
39,44479293,2017-06-11 00:21:43,679,0,1,1,44482097.0,"[(44482097.0, '2017-06-11 09:02:02')]",2017-06-11 09:02:02,2017-06-11 09:02:02,8.671944444444444,8.671944444444444
40,45442918,2017-08-01 16:18:49,10335,0,8,1,45442919.0,"[(45442919.0, '2017-08-01 16:18:49')]",2017-08-01 16:18:49,2017-08-01 16:18:49,0.0,0.0
41,45787323,2017-08-20 22:26:47,1464,0,3,1,45787920.0,"[(45787920.0, '2017-08-21 00:11:17')]",2017-08-21 00:11:17,2017-08-21 00:11:17,1.7416666666666667,1.7416666666666667
42,46110563,2017-09-08 07:07:08,2764,0,2,3,,"[(46110995.0, '2017-09-08 07:30:35'), (55024007.0, '2019-03-06 13:15:24'), (55971353.0, '2019-05-03 14:00:09')]",2017-09-08 07:30:35,,0.3908333333333333,
43,46257819,2017-09-16 19:42:56,1592,0,2,1,46257990.0,"[(46257990.0, '2017-09-16 20:03:55')]",2017-09-16 20:03:55,2017-09-16 20:03:55,0.3497222222222222,0.3497222222222222
44,47007512,2017-10-30 02:53:26,606,0,1,1,,"[(47112096.0, '2017-11-04 15:04:32')]",2017-11-04 15:04:32,,132.185,
45,47022409,2017-10-30 18:57:23,622,3,2,1,47025051.0,"[(47025051.0, '2017-10-30 22:17:33')]",2017-10-30 22:17:33,2017-10-30 22:17:33,3.3361111111111112,3.3361111111111112
46,47650391,2017-12-05 09:43:03,337,2,1,1,,"[(60541937.0, '2020-03-05 09:26:30')]",2020-03-05 09:26:30,,19703.724166666667,
47,47770674,2017-12-12 10:45:37,920,2,6,1,,"[(47785727.0, '2017-12-13 04:56:06')]",2017-12-13 04:56:06,,18.174722222222222,
48,47899604,2017-12-20 05:54:30,522,0,1,1,,"[(47907248.0, '2017-12-20 13:33:30')]",2017-12-20 13:33:30,,7.65,
49,48234474,2018-01-12 21:50:19,485,1,2,1,48235041.0,"[(48235041.0, '2018-01-12 22:43:42')]",2018-01-12 22:43:42,2018-01-12 22:43:42,0.8897222222222222,0.8897222222222222
50,48433197,2018-01-24 23:08:27,1816,1,1,2,50086085.0,"[(48453699.0, '2018-01-25 23:40:44'), (50086085.0, '2018-04-29 11:29:41')]",2018-01-25 23:40:44,2018-04-29 11:29:41,24.538055555555555,2268.353888888889
51,48637278,2018-02-06 07:06:03,287,2,-3,1,,"[(48637829.0, '2018-02-06 07:41:47')]",2018-02-06 07:41:47,,0.5955555555555555,
52,48917438,2018-02-21 23:50:51,827,0,2,1,48936379.0,"[(48936379.0, '2018-02-22 20:12:36')]",2018-02-22 20:12:36,2018-02-22 20:12:36,20.3625,20.3625
53,49181179,2018-03-08 19:38:47,1481,5,3,1,49245905.0,"[(49245905.0, '2018-03-12 23:20:28')]",2018-03-12 23:20:28,2018-03-12 23:20:28,99.69472222222223,99.69472222222223
54,49698111,2018-04-06 17:24:21,3887,0,1,1,49698209.0,"[(49698209.0, '2018-04-06 17:32:59')]",2018-04-06 17:32:59,2018-04-06 17:32:59,0.1438888888888889,0.1438888888888889
55,49729510,2018-04-09 09:19:08,492,0,2,1,49729605.0,"[(49729605.0, '2018-04-09 09:24:31')]",2018-04-09 09:24:31,2018-04-09 09:24:31,0.08972222222222222,0.08972222222222222
56,49805284,2018-04-12 20:22:00,1612,0,3,2,,"[(49907265.0, '2018-04-18 19:06:38'), (56495320.0, '2019-06-07 13:30:52')]",2018-04-18 19:06:38,,142.74388888888888,
