,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
0,31774311,2015-08-02 17:01:06,15081,1,7,1,31775865.0,"[(31775865.0, '2015-08-02 19:40:58')]",2015-08-02 19:40:58,2015-08-02 19:40:58,2.6644444444444444,2.6644444444444444
1,32331848,2015-09-01 12:36:57,16058,0,29,1,32337101.0,"[(32337101.0, '2015-09-01 16:56:02')]",2015-09-01 16:56:02,2015-09-01 16:56:02,4.3180555555555555,4.3180555555555555
2,38839924,2016-08-08 23:29:19,3932,0,9,1,39801829.0,"[(39801829.0, '2016-10-01 00:32:07')]",2016-10-01 00:32:07,2016-10-01 00:32:07,1273.0466666666666,1273.0466666666666
3,42935914,2017-03-21 18:56:44,10987,0,20,3,,"[(42959818.0, '2017-03-22 18:22:13'), (48624023.0, '2018-02-05 13:46:33'), (51712195.0, '2018-08-06 16:42:26')]",2017-03-22 18:22:13,,23.424722222222222,
4,44570118,2017-06-15 14:27:28,2511,2,3,1,44573098.0,"[(44573098.0, '2017-06-15 17:04:11')]",2017-06-15 17:04:11,2017-06-15 17:04:11,2.6119444444444446,2.6119444444444446
5,46680536,2017-10-11 05:31:50,596,0,2,1,46691959.0,"[(46691959.0, '2017-10-11 15:18:02')]",2017-10-11 15:18:02,2017-10-11 15:18:02,9.77,9.77
6,48767109,2018-02-13 12:42:35,1665,1,0,1,,"[(48767191.0, '2018-02-13 12:46:58')]",2018-02-13 12:46:58,,0.07305555555555555,
7,56949825,2019-07-09 09:48:13,170,2,0,1,56952784.0,"[(56952784.0, '2019-07-09 12:38:22')]",2019-07-09 12:38:22,2019-07-09 12:38:22,2.8358333333333334,2.8358333333333334
8,58483371,2019-10-21 09:25:49,469,3,1,3,,"[(58483658.0, '2019-10-21 09:42:55'), (58491153.0, '2019-10-21 17:12:43'), (58635864.0, '2019-10-31 01:43:44')]",2019-10-21 09:42:55,,0.285,
9,61725481,2020-05-11 08:35:36,70,2,0,1,,"[(61853516.0, '2020-05-17 14:34:23')]",2020-05-17 14:34:23,,149.97972222222222,
10,62680321,2020-07-01 15:34:30,76,3,0,2,,"[(62680598.0, '2020-07-01 15:49:09'), (62680630.0, '2020-07-01 15:51:15')]",2020-07-01 15:49:09,,0.24416666666666667,
